Tm,G,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Atlanta Falcons,16,628,408,4620,27,243,2976,7.3,1644,4.0,8.3,27,15.1,34,5.4,,
Buffalo Bills,16,596,410,4786,40,240,2840,6.9,1946,4.7,8.3,15,27.3,27,4.5,,
Carolina Panthers,16,550,373,4129,16,192,2098,5.6,2031,5.4,7.4,31,12.0,26,4.7,,
Chicago Bears,16,614,402,3925,26,218,2205,5.5,1720,4.3,7.7,31,13.0,18,2.9,,
Cincinnati Bengals,16,581,372,3793,19,201,2005,5.4,1788,4.8,8.0,24,15.5,28,4.8,,
Cleveland Browns,16,501,315,3701,27,195,2296,7.3,1405,4.5,8.0,21,15.0,21,4.2,,
Indianapolis Colts,16,552,371,4186,24,201,1937,5.2,2249,6.1,7.1,17,21.8,18,3.3,,
Arizona Cardinals,16,575,387,4102,27,211,2232,5.8,1870,4.8,7.5,27,14.3,13,2.3,,
Dallas Cowboys,16,639,413,4511,25,231,2451,5.9,2060,5.0,7.1,31,13.3,36,5.6,,
Denver Broncos,16,556,317,3673,21,176,2045,6.5,1628,5.1,8.8,24,13.2,31,5.6,,
Detroit Lions,16,582,374,4397,27,220,2513,6.7,1884,5.0,8.4,21,17.8,36,6.2,,
Green Bay Packers,16,526,372,4299,48,216,2051,5.5,2248,6.0,7.7,15,24.8,27,5.1,,
Houston Texans,16,546,383,4843,33,222,2865,7.5,1978,5.2,8.6,27,14.2,19,3.5,,
Jacksonville Jaguars,16,616,387,3955,25,205,2248,5.8,1707,4.4,7.7,22,17.6,22,3.6,,
Kansas City Chiefs,16,630,420,5005,40,255,2550,6.1,2455,5.8,7.8,40,10.5,29,4.6,,
Miami Dolphins,16,559,370,3937,24,207,2283,6.2,1654,4.5,7.6,33,11.2,22,3.9,,
Minnesota Vikings,16,516,349,4265,35,212,2329,6.7,1936,5.5,7.5,31,11.3,18,3.5,,
New Orleans Saints,16,522,370,3945,28,199,2034,5.5,1911,5.2,6.1,39,9.5,27,5.2,,
New England Patriots,16,440,283,3124,12,157,1590,5.6,1534,5.4,6.7,19,14.9,19,4.3,,
New York Giants,16,517,321,3336,12,177,2072,6.5,1264,3.9,7.6,12,26.8,28,5.4,,
New York Jets,16,499,292,3115,16,146,1599,5.5,1516,5.2,8.1,16,18.3,19,3.8,,
Tennessee Titans,16,485,316,3826,33,203,2297,7.3,1529,4.8,8.0,23,13.7,20,4.1,,
Philadelphia Eagles,16,598,334,3728,22,177,2227,6.7,1501,4.5,8.4,19,17.6,28,4.7,,
Pittsburgh Steelers,16,656,428,4129,35,206,2061,4.8,2068,4.8,7.1,23,18.6,43,6.6,,
Las Vegas Raiders,16,551,369,4383,28,205,2327,6.3,2056,5.6,8.0,29,12.7,21,3.8,,
Los Angeles Rams,16,590,392,4183,20,206,1938,4.9,2245,5.7,6.5,37,10.6,28,4.7,,
Baltimore Ravens,16,406,257,2919,27,142,1647,6.4,1272,4.9,8.4,21,12.2,21,5.2,,
Los Angeles Chargers,16,627,413,4548,31,226,2249,5.4,2299,5.6,7.4,29,14.2,24,3.8,,
Seattle Seahawks,16,563,388,4245,40,216,2404,6.2,1841,4.7,8.0,16,24.3,27,4.8,,
San Francisco 49ers,16,570,371,4320,25,217,2023,5.5,2297,6.2,6.5,28,13.3,34,6.0,,
Tampa Bay Buccaneers,16,626,410,4776,42,238,2886,7.0,1890,4.6,8.9,17,24.1,32,5.1,,
Washington Football Team,16,601,389,3796,16,183,1609,4.1,2187,5.6,5.9,32,12.2,23,3.8,,
