Tm,G,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
ATL,17,573,377,3987,20,196,2251,6.0,1736,4.6,7.0,31,12.2,23,4.0,,
BUF,17,655,415,4450,36,236,2691,6.5,1759,4.2,8.1,18,23.1,36,5.5,,
CAR,17,599,348,3573,14,174,1751,5.0,1822,5.2,7.2,24,14.5,35,5.8,,
CHI,17,542,332,3635,16,180,2026,6.1,1609,4.8,8.0,21,15.8,28,5.2,,
CIN,17,555,384,4806,36,208,2357,6.1,2449,6.4,7.8,33,11.6,25,4.5,,
CLE,17,520,320,3619,21,178,1877,5.9,1742,5.4,7.9,21,15.2,25,4.8,,
IND,17,521,324,3588,27,168,1941,6.0,1647,5.1,7.6,9,36.0,26,5.0,,
ARI,17,591,415,4619,27,214,2371,5.7,2248,5.4,7.3,20,20.8,21,3.6,,
DAL,17,647,444,4963,40,249,2717,6.1,2246,5.1,7.7,31,14.3,30,4.6,,
DEN,17,541,354,3856,20,179,2113,6.0,1743,4.9,8.1,16,22.1,20,3.7,,
DET,17,593,396,3884,23,193,1802,4.6,2082,5.3,6.3,26,15.2,24,4.0,,
GNB,17,593,402,4526,39,235,2125,5.3,2401,6.0,7.5,24,16.8,15,2.5,,
HOU,17,546,354,3630,21,162,1892,5.3,1738,4.9,6.9,16,22.1,17,3.1,,
JAX,17,604,361,3674,12,178,2031,5.6,1643,4.6,7.6,20,18.1,33,5.5,,
KAN,17,675,448,4937,37,267,2218,5.0,2719,6.1,6.9,37,12.1,32,4.7,,
MIA,17,615,404,3936,21,206,2211,5.5,1725,4.3,7.2,26,15.5,35,5.7,,
MIN,17,604,398,4450,34,202,2513,6.3,1937,4.9,7.5,19,20.9,23,3.8,,
NOR,17,504,293,3437,29,165,1752,6.0,1685,5.8,7.2,18,16.3,30,6.0,,
NWE,17,535,364,4098,24,187,2144,5.9,1954,5.4,8.0,31,11.7,16,3.0,,
NYG,17,593,351,3463,15,171,1855,5.3,1608,4.6,6.9,17,20.6,34,5.7,,
NYJ,17,603,357,3959,20,195,1987,5.6,1972,5.5,7.0,16,22.3,34,5.6,,
TEN,17,535,359,3745,22,194,1967,5.5,1778,5.0,7.3,10,35.9,23,4.3,,
PHI,17,494,307,3585,20,167,1844,6.0,1741,5.7,8.0,25,12.3,27,5.5,,
PIT,17,664,425,4017,23,204,1981,4.7,2036,4.8,6.6,43,9.9,33,5.0,,
LVR,17,628,429,4808,23,217,2521,5.9,2287,5.3,7.9,38,11.3,26,4.1,,
LAR,17,607,406,4893,41,233,2754,6.8,2139,5.3,8.4,19,21.4,31,5.1,,
BAL,17,611,396,4267,21,209,2552,6.4,1715,4.3,8.5,16,24.8,22,3.6,,
LAC,17,674,443,5014,38,256,2613,5.9,2401,5.4,7.4,16,27.7,38,5.6,,
SEA,17,495,324,3815,30,166,2072,6.4,1743,5.4,9.0,31,10.5,16,3.2,,
SFO,17,514,343,4437,26,200,2197,6.4,2240,6.5,7.7,32,10.7,26,5.1,,
TAM,17,731,492,5383,43,273,2790,5.7,2593,5.3,7.9,31,15.9,32,4.4,,
WAS,17,550,356,3746,21,181,1833,5.1,1913,5.4,7.3,17,20.9,22,4.0,,
