Tm,G,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
ATL,16,684,459,5049,29,258,3128,6.8,1921,4.2,7.8,22,20.9,17,2.5,,
BUF,16,513,299,3476,21,162,1977,6.6,1499,5.0,8.8,20,15.0,36,7.0,,
CAR,16,633,382,4134,17,230,2076,5.4,2058,5.4,8.1,26,14.7,33,5.2,,
CHI,16,580,371,3573,20,178,2035,5.5,1538,4.1,7.5,25,14.8,32,5.5,,
CIN,16,616,356,3994,18,191,2137,6.0,1857,5.2,7.4,22,16.2,31,5.0,,
CLE,16,539,318,3847,22,180,2022,6.4,1825,5.7,8.2,26,12.2,31,5.8,,
IND,16,513,307,3314,22,165,1652,5.4,1662,5.4,7.6,13,23.6,27,5.3,,
ARI,16,554,355,3797,20,176,1918,5.4,1879,5.3,7.0,16,22.2,18,3.2,,
DAL,16,597,388,4902,30,229,2984,7.7,1918,4.9,8.8,25,15.5,36,6.0,,
DEN,16,504,312,3401,16,162,1700,5.4,1701,5.5,6.6,25,12.5,27,5.4,,
DET,16,571,344,4187,28,196,2683,7.8,1504,4.4,9.1,17,20.2,20,3.5,,
GNB,16,573,356,4017,26,190,1994,5.6,2023,5.7,8.4,28,12.7,24,4.2,,
HOU,16,534,355,4083,27,203,2275,6.4,1808,5.1,8.3,33,10.8,21,3.9,,
JAX,16,589,364,4023,24,183,2084,5.7,1939,5.3,7.1,23,15.8,28,4.8,,
KAN,16,576,378,4690,30,211,2453,6.5,2237,5.9,8.2,26,14.5,28,4.9,,
MIA,16,615,371,4117,22,210,2520,6.8,1597,4.3,8.8,14,26.5,36,5.9,,
MIN,16,466,319,3729,26,171,1878,5.9,1851,5.8,7.1,19,16.8,20,4.3,,
NOR,16,581,418,4431,36,230,2174,5.2,2257,5.4,6.3,31,13.5,29,5.0,,
NWE,16,620,378,4153,25,197,2259,6.0,1894,5.0,7.4,24,15.8,34,5.5,,
NYG,16,607,376,4070,30,187,2260,6.0,1810,4.8,7.8,28,13.4,21,3.5,,
NYJ,16,521,323,3443,19,162,1697,5.3,1746,5.4,7.5,25,12.9,29,5.6,,
TEN,16,448,297,3956,29,177,2103,7.1,1853,6.2,8.4,26,11.4,19,4.2,,
PHI,16,613,391,4063,27,215,2254,5.8,1809,4.6,7.8,23,17.0,29,4.7,,
PIT,16,510,315,3214,18,147,1456,4.6,1758,5.6,7.6,23,13.7,32,6.3,,
LVR,16,523,367,4110,22,194,1965,5.4,2145,5.8,6.3,24,15.3,25,4.8,,
LAR,16,632,397,4669,22,222,2393,6.0,2276,5.7,7.6,33,12.0,27,4.3,,
BAL,16,440,289,3350,37,171,1903,6.6,1447,5.0,8.4,11,26.3,14,3.2,,
LAC,16,597,394,4648,24,220,2453,6.2,2195,5.6,8.4,33,11.9,26,4.4,,
SEA,16,517,341,4110,31,190,2399,7.0,1711,5.0,8.9,18,18.9,17,3.3,,
SFO,16,478,331,4029,28,195,1837,5.5,2192,6.6,6.4,23,14.4,28,5.9,,
TAM,16,630,382,5127,33,244,3243,8.5,1884,4.9,10.2,24,15.9,23,3.7,,
WAS,16,479,298,3205,18,154,1751,5.9,1454,4.9,7.4,18,16.6,26,5.4,,
