Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
203,Devine Ozigbo,Nebraska,Big Ten,10,129,493,3.8,3,49.3,16,123,7.7,0,12.3,145,616,4.2,3,,devine-ozigbo-1
204,Trey Woods*,Wyoming,MWC,12,142,493,3.5,2,41.1,4,74,18.5,0,6.2,146,567,3.9,2,,trey-woods-1
205,Brad Anderson*,Middle Tennessee State,CUSA,9,89,491,5.5,0,54.6,33,338,10.2,3,37.6,122,829,6.8,3,,brad-anderson-3
206,Trace McSorley*,Penn State,Big Ten,13,144,491,3.4,11,37.8,0,0,,0,0.0,144,491,3.4,11,,trace-mcsorley-1
207,Justin Rankin,Kent State,MAC,12,123,490,4.0,3,40.8,42,311,7.4,2,25.9,165,801,4.9,5,,justin-rankin-1
208,Moe Neal,Syracuse,ACC,12,92,488,5.3,1,40.7,12,170,14.2,1,14.2,104,658,6.3,2,,moe-neal-1
209,Dontae Strickland,Syracuse,ACC,10,128,482,3.8,4,48.2,18,142,7.9,2,14.2,146,624,4.3,6,,dontae-strickland-2
210,Damarea Crockett*,Missouri,SEC,7,80,481,6.0,2,68.7,4,35,8.8,1,5.0,84,516,6.1,3,,damarea-crockett-1
211,Kellen Overstreet*,Wyoming,MWC,13,109,481,4.4,3,37.0,3,39,13.0,0,3.0,112,520,4.6,3,,kellen-overstreet-1
212,Ronnie Rivers*,Fresno State,MWC,13,101,480,4.8,5,36.9,20,129,6.5,1,9.9,121,609,5.0,6,,ronnie-rivers-1
213,Napoleon Maxwell*,Florida International,CUSA,13,81,477,5.9,5,36.7,4,11,2.8,0,0.8,85,488,5.7,5,,napoleon-maxwell-1
214,Marcus Childers*,Northern Illinois,MAC,12,143,473,3.3,5,39.4,1,10,10.0,0,0.8,144,483,3.4,5,,marcus-childers-1
215,Richard McQuarley,New Mexico,MWC,10,92,473,5.1,6,47.3,3,5,1.7,0,0.5,95,478,5.0,6,,richard-mcquarley-1
