Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
390,Donny Navarro III*,Illinois,Big Ten,13,27,345,12.8,2,26.5,1,6,6.0,0,0.5,28,351,12.5,2,,donny-navarro-iii-1
391,Cade Otton*,Washington,Pac-12,13,32,344,10.8,2,26.5,0,0,,0,0.0,32,344,10.8,2,,cade-otton-1
392,Peter LeBlanc*,Louisiana,Sun Belt,14,28,344,12.3,4,24.6,0,0,,0,0.0,28,344,12.3,4,,peter-leblanc-1
393,Amad Anderson Jr.,Purdue,Big Ten,12,31,343,11.1,3,28.6,0,0,,0,0.0,31,343,11.1,3,,amad-anderson-jr-1
394,Jaylen Dixon*,Utah,Pac-12,14,24,343,14.3,1,24.5,18,111,6.2,2,7.9,42,454,10.8,3,,jaylen-dixon-1
395,John Raine*,Florida Atlantic,CUSA,14,38,343,9.0,6,24.5,0,0,,0,0.0,38,343,9.0,6,,john-raine-1
396,Quin Jernighan*,Western Kentucky,CUSA,13,32,341,10.7,2,26.2,0,0,,0,0.0,32,341,10.7,2,,quin-jernighan-1
397,Zay Flowers*,Boston College,ACC,13,22,341,15.5,3,26.2,27,195,7.2,1,15.0,49,536,10.9,4,,zay-flowers-1
398,Jackson Anthrop,Purdue,Big Ten,12,37,340,9.2,1,28.3,12,48,4.0,0,4.0,49,388,7.9,1,,jackson-anthrop-1
399,Jaylen Erwin,UCLA,Pac-12,12,32,339,10.6,2,28.3,0,0,,0,0.0,32,339,10.6,2,,jaylen-erwin-1
400,Noah Bean,Nevada-Las Vegas,MWC,11,22,336,15.3,2,30.5,1,4,4.0,0,0.4,23,340,14.8,2,,noah-bean-1
401,Artice Hobbs IV,Army,Ind,13,13,335,25.8,1,25.8,28,158,5.6,2,12.2,41,493,12.0,3,,artice-hobbs-iv-1
402,Dee Wiggins*,Miami (FL),ACC,12,20,335,16.8,4,27.9,3,30,10.0,0,2.5,23,365,15.9,4,,dee-wiggins-1
403,Joey Magnifico*,Memphis,American,13,20,335,16.8,2,25.8,0,0,,0,0.0,20,335,16.8,2,,joey-magnifico-1
404,Broc Thompson*,Marshall,CUSA,12,19,334,17.6,0,27.8,0,0,,0,0.0,19,334,17.6,0,,broc-thompson-1
405,Roger Carter*,Georgia State,Sun Belt,13,28,334,11.9,3,25.7,0,0,,0,0.0,28,334,11.9,3,,roger-carter-2
406,Thayer Thomas,North Carolina State,ACC,12,31,334,10.8,3,27.8,0,0,,0,0.0,31,334,10.8,3,,thayer-thomas-1
407,Tray Eafford,Troy,Sun Belt,10,23,334,14.5,3,33.4,0,0,,0,0.0,23,334,14.5,3,,tray-eafford-1
408,Antwan Dixon*,Kent State,MAC,13,34,333,9.8,1,25.6,5,-1,-0.2,0,-0.1,39,332,8.5,1,,antwan-dixon-2
409,Demetris Robertson*,Georgia,SEC,13,30,333,11.1,3,25.6,6,52,8.7,0,4.0,36,385,10.7,3,,demetris-robertson-1
410,Demetris Robertson*,Georgia,SEC,13,30,333,11.1,3,25.6,6,52,8.7,0,4.0,36,385,10.7,3,,demetris-robertson-2
411,Lee Morris*,Oklahoma,Big 12,14,18,330,18.3,1,23.6,0,0,,0,0.0,18,330,18.3,1,,lee-morris-2
412,Samson Nacua*,Utah,Pac-12,14,18,330,18.3,4,23.6,0,0,,0,0.0,18,330,18.3,4,,samson-nacua-1
413,Jonathan Ward*,Central Michigan,MAC,12,34,329,9.7,1,27.4,183,1108,6.1,15,92.3,217,1437,6.6,16,,jonathan-ward-3
414,Nate Craig-Myers,Colorado State,MWC,9,23,329,14.3,1,36.6,0,0,,0,0.0,23,329,14.3,1,,nate-craig-myers-1
415,Kam Scott,Missouri,SEC,11,17,328,19.3,0,29.8,0,0,,0,0.0,17,328,19.3,0,,kam-scott-1
416,Jerome Buckner*,Ohio,MAC,10,18,326,18.1,2,32.6,1,3,3.0,0,0.3,19,329,17.3,2,,jerome-buckner-1
417,Tre'von Bradley,Houston,American,12,16,326,20.4,1,27.2,0,0,,0,0.0,16,326,20.4,1,,trevon-bradley-1
418,Jack Freudenthal*,Wake Forest,ACC,13,32,325,10.2,5,25.0,0,0,,0,0.0,32,325,10.2,5,,jack-freudenthal-1
419,Jeremiah Haydel,Texas State,Sun Belt,11,32,324,10.1,0,29.5,0,0,,0,0.0,32,324,10.1,0,,jeremiah-haydel-1
420,Tarik Black*,Michigan,Big Ten,12,25,323,12.9,1,26.9,0,0,,0,0.0,25,323,12.9,1,,tarik-black-1
421,Dominic Christian*,Nevada,MWC,12,35,321,9.2,2,26.8,1,-9,-9.0,0,-0.8,36,312,8.7,2,,dominic-christian-1
422,Eli Stove*,Auburn,SEC,13,37,321,8.7,3,24.7,7,57,8.1,1,4.4,44,378,8.6,4,,eli-stove-1
423,Dustin Burkhart,Akron,MAC,4,15,320,21.3,1,80.0,1,1,1.0,0,0.3,16,321,20.1,1,,dustin-burkhart-1
424,Bret Clark,Troy,Sun Belt,11,29,319,11.0,3,29.0,0,0,,0,0.0,29,319,11.0,3,,bret-clark-2
425,Trestan Ebner*,Baylor,Big 12,14,24,317,13.2,2,22.6,53,250,4.7,3,17.9,77,567,7.4,5,,trestan-ebner-1
426,Akilian Butler*,Boise State,MWC,14,28,316,11.3,2,22.6,8,54,6.8,1,3.9,36,370,10.3,3,,akilian-butler-1
427,Cam Johnson,Vanderbilt,SEC,12,30,316,10.5,3,26.3,0,0,,0,0.0,30,316,10.5,3,,cam-johnson-2
428,Calvin Austin III*,Memphis,American,13,17,315,18.5,3,24.2,4,3,0.8,1,0.2,21,318,15.1,4,,calvin-austin-iii-1
429,Andre Baccellia*,Washington,Pac-12,12,29,314,10.8,4,26.2,4,35,8.8,1,2.9,33,349,10.6,5,,andre-baccellia-1
430,Austin Conway*,Wyoming,MWC,13,23,314,13.7,1,24.2,6,27,4.5,0,2.1,29,341,11.8,1,,austin-conway-1
431,Dimitri Stanley,Colorado,Pac-12,12,29,312,10.8,2,26.0,4,14,3.5,0,1.2,33,326,9.9,2,,dimitri-stanley-1
432,Donta Thompson,Texas Tech,Big 12,12,26,311,12.0,0,25.9,0,0,,0,0.0,26,311,12.0,0,,donta-thompson-1
433,Tanner Cowley*,Virginia,ACC,14,28,311,11.1,1,22.2,0,0,,0,0.0,28,311,11.1,1,,tanner-cowley-1
434,Dominick Blaylock*,Georgia,SEC,12,18,310,17.2,5,25.8,0,0,,0,0.0,18,310,17.2,5,,dominick-blaylock-1
435,Raheem Blackshear,Rutgers,Big Ten,4,29,310,10.7,2,77.5,29,88,3.0,0,22.0,58,398,6.9,2,,raheem-blackshear-1
436,Deondre Farrier,East Carolina,American,12,22,309,14.0,0,25.8,0,0,,0,0.0,22,309,14.0,0,,deondre-farrier-1
437,Te'Vailance Hunt,Texas Christian,Big 12,12,20,308,15.4,1,25.7,3,12,4.0,0,1.0,23,320,13.9,1,,tevailance-hunt-2
438,Jalen Knox,Missouri,SEC,10,19,307,16.2,1,30.7,0,0,,0,0.0,19,307,16.2,1,,jalen-knox-1
439,Jalen Knox,Missouri,SEC,12,19,307,16.2,1,25.6,0,0,,0,0.0,19,307,16.2,1,,jalen-knox-2
440,Jared Rice,Fresno State,MWC,12,32,307,9.6,4,25.6,0,0,,0,0.0,32,307,9.6,4,,jared-rice-1
441,Keric Wheatfall,Fresno State,MWC,10,17,307,18.1,1,30.7,0,0,,0,0.0,17,307,18.1,1,,keric-wheatfall-1
