Player,Position,Year,Team,SOS,Draft AV,Completions,Attempts,Passing Yards,Passing Touchdowns,Interceptions,Passer Rating,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Yards per Attempt,Receptions,Receiving Yards,Receiving Touchdowns,Yards per Reception
Ricky Pearsall,WR,2022,Florida,7.0,0.0,0,0,0,0,0,,8,113,1,14.1,33,661,5,20.0
Ricky Pearsall,WR,2023,Florida,4.31,0.0,0,0,0,0,0,,3,62,2,20.7,65,965,4,14.8
Xavier Legette,WR,2019,South Carolina,7.34,0.0,0,0,0,0,0,,0,0,0,,9,80,1,8.9
Xavier Legette,WR,2020,South Carolina,7.42,0.0,0,0,0,0,0,,0,0,0,,7,113,0,16.1
Xavier Legette,WR,2021,South Carolina,3.31,0.0,0,0,0,0,0,,0,0,0,,8,63,1,7.9
Xavier Legette,WR,2022,South Carolina,4.17,0.0,0,0,0,0,0,,7,21,0,3.0,18,167,3,9.3
Xavier Legette,WR,2023,South Carolina,4.33,0.0,0,0,0,0,0,,9,-9,0,-1.0,71,1255,7,17.7
Ladd McConkey,WR,2021,Georgia,5.62,0.0,0,0,0,0,0,,4,44,1,11.0,31,447,5,14.4
Ladd McConkey,WR,2022,Georgia,6.28,0.0,0,0,0,0,0,,7,134,2,19.1,58,762,7,13.1
Ladd McConkey,WR,2023,Georgia,3.21,0.0,0,0,0,0,0,,2,38,1,19.0,30,478,2,15.9
Cooper DeJean,DB,2023,Iowa,4.05,0.0,0,0,0,0,0,,1,8,0,8.0,0,0,0,
Jonathon Brooks,RB,2021,Texas,4.86,0.0,0,0,0,0,0,,21,143,1,6.8,1,12,0,12.0
Jonathon Brooks,RB,2022,Texas,8.16,0.0,0,0,0,0,0,,30,197,5,6.6,2,37,1,18.5
Jonathon Brooks,RB,2023,Texas,6.61,0.0,0,0,0,0,0,,187,1139,10,6.1,25,286,1,11.4
Ben Sinnott,TE,2021,Kansas State,2.43,0.0,0,0,0,0,0,,3,12,1,4.0,2,15,0,7.5
Ben Sinnott,TE,2022,Kansas State,7.95,0.0,0,0,0,0,0,,0,0,0,,31,447,4,14.4
Ben Sinnott,TE,2023,Kansas State,5.09,0.0,0,0,0,0,0,,0,0,0,,49,676,6,13.8
Malachi Corley,WR,2020,Western Kentucky,-6.07,0.0,0,0,0,0,0,,0,0,0,,6,65,0,10.8
Malachi Corley,WR,2021,Western Kentucky,-2.61,0.0,0,0,0,0,0,,1,-6,0,-6.0,73,691,7,9.5
Malachi Corley,WR,2022,Western Kentucky,-5.49,0.0,0,0,0,0,0,,11,87,0,7.9,101,1295,11,12.8
Malachi Corley,WR,2023,Western Kentucky,-3.29,0.0,0,0,0,0,0,,4,11,0,2.8,79,984,11,12.5
Tip Reiman,TE,2021,Illinois,4.61,0.0,0,0,0,0,0,,0,0,0,,3,43,1,14.3
Tip Reiman,TE,2022,Illinois,1.17,0.0,0,0,0,0,0,,0,0,0,,19,174,1,9.2
Tip Reiman,TE,2023,Illinois,3.84,0.0,0,0,0,0,0,,0,0,0,,19,203,3,10.7
Blake Corum,RB,2020,Michigan,3.25,0.0,0,0,0,0,0,,26,77,2,3.0,5,73,0,14.6
Blake Corum,RB,2021,Michigan,6.23,0.0,0,0,0,0,0,,143,952,11,6.7,24,141,1,5.9
Blake Corum,RB,2022,Michigan,2.73,0.0,0,0,0,0,0,,247,1463,18,5.9,11,80,1,7.3
Blake Corum,RB,2023,Michigan,5.61,0.0,0,0,0,0,0,,258,1245,27,4.8,16,117,1,7.3
Jalen McMillan,WR,2020,Washington,-5.89,0.0,0,0,0,0,0,,2,14,0,7.0,1,16,0,16.0
Jalen McMillan,WR,2021,Washington,-0.9,0.0,0,1,0,0,0,0.0,0,0,0,,39,470,3,12.1
Jalen McMillan,WR,2022,Washington,0.64,0.0,0,0,0,0,0,,1,2,0,2.0,79,1098,9,13.9
Jalen McMillan,WR,2023,Washington,7.83,0.0,1,2,9,0,0,87.8,3,30,1,10.0,45,559,5,12.4
Payton Wilson,LB,2019,North Carolina State,-0.91,0.0,0,0,0,0,0,,1,9,0,9.0,0,0,0,
Payton Wilson,LB,2023,North Carolina State,3.03,0.0,0,0,0,0,0,,1,3,0,3.0,0,0,0,
Caleb Williams,QB,2021,Oklahoma,2.68,0.0,136,211,1912,21,4,169.6,79,442,6,5.6,0,0,0,
Caleb Williams,QB,2022,USC,3.49,0.0,333,500,4537,42,5,168.5,113,382,10,3.4,0,0,0,
Caleb Williams,QB,2023,USC,5.51,0.0,266,388,3633,30,5,170.1,97,142,11,1.5,1,15,0,15.0
Jayden Daniels,QB,2019,Arizona State,2.34,0.0,205,338,2943,17,2,149.2,125,355,3,2.8,0,0,0,
Jayden Daniels,QB,2020,Arizona State,-4.0,0.0,49,84,701,5,1,145.7,33,223,4,6.8,0,0,0,
Jayden Daniels,QB,2021,Arizona State,-0.74,0.0,197,301,2380,10,10,136.2,138,710,6,5.1,0,0,0,
Jayden Daniels,QB,2022,LSU,6.14,0.0,266,388,2913,17,3,144.5,186,885,11,4.8,1,5,1,5.0
Jayden Daniels,QB,2023,LSU,4.59,0.0,236,327,3812,40,4,208.0,135,1134,10,8.4,0,0,0,
Drake Maye,QB,2021,North Carolina,2.15,0.0,7,10,89,1,0,177.8,6,62,0,10.3,0,0,0,
Drake Maye,QB,2022,North Carolina,1.95,0.0,342,517,4321,38,7,157.9,184,698,7,3.8,0,0,0,
Drake Maye,QB,2023,North Carolina,1.63,0.0,269,425,3608,24,9,149.0,112,449,9,4.0,0,0,0,
Malik Nabers,WR,2021,LSU,5.28,0.0,0,0,0,0,0,,4,23,0,5.8,28,417,4,14.9
Malik Nabers,WR,2022,LSU,6.14,0.0,2,2,50,1,0,475.0,1,5,0,5.0,72,1017,3,14.1
Malik Nabers,WR,2023,LSU,4.59,0.0,0,0,0,0,0,,1,1,0,1.0,89,1569,14,17.6
Anthony Gould,WR,2021,Oregon State,0.09,0.0,0,0,0,0,0,,5,50,1,10.0,13,185,1,14.2
Anthony Gould,WR,2022,Oregon State,2.33,0.0,0,0,0,0,0,,2,11,0,5.5,27,457,3,16.9
Anthony Gould,WR,2023,Oregon State,4.42,0.0,0,0,0,0,0,,4,22,0,5.5,44,718,2,16.3
Audric Estime,RB,2021,Notre Dame,3.85,0.0,0,0,0,0,0,,7,60,0,8.6,0,0,0,
Audric Estime,RB,2022,Notre Dame,3.8,0.0,0,0,0,0,0,,156,920,11,5.9,9,135,1,15.0
Audric Estime,RB,2023,Notre Dame,2.02,0.0,0,0,0,0,0,,210,1341,18,6.4,17,142,0,8.4
Spencer Rattler,QB,2019,Oklahoma,4.36,0.0,7,11,81,1,0,155.5,3,23,0,7.7,0,0,0,
Spencer Rattler,QB,2020,Oklahoma,3.71,0.0,214,317,3031,28,7,172.6,81,160,6,2.0,0,0,0,
Spencer Rattler,QB,2021,Oklahoma,2.68,0.0,140,187,1483,11,5,155.5,43,77,3,1.8,0,0,0,
Spencer Rattler,QB,2022,South Carolina,4.17,0.0,264,399,3026,18,12,138.7,73,46,3,0.6,1,15,0,15.0
Spencer Rattler,QB,2023,South Carolina,4.33,0.0,275,399,3186,19,8,147.7,97,104,4,1.1,0,0,0,
Ainias Smith,WR,2019,Texas A&M,5.09,0.0,0,0,0,0,0,,7,54,0,7.7,22,248,3,11.3
Ainias Smith,WR,2020,Texas A&M,6.44,0.0,0,0,0,0,0,,49,293,4,6.0,43,564,6,13.1
Ainias Smith,WR,2021,Texas A&M,1.27,0.0,0,0,0,0,0,,8,26,0,3.3,47,509,6,10.8
Ainias Smith,WR,2022,Texas A&M,3.13,0.0,0,0,0,0,0,,3,11,0,3.7,15,291,2,19.4
Ainias Smith,WR,2023,Texas A&M,2.67,0.0,0,0,0,0,0,,5,21,0,4.2,53,795,2,15.0
Jamari Thrash,WR,2019,Georgia State,-3.84,0.0,0,0,0,0,0,,0,0,0,,2,17,0,8.5
Jamari Thrash,WR,2020,Georgia State,-3.86,0.0,0,0,0,0,0,,0,0,0,,9,161,2,17.9
Jamari Thrash,WR,2021,Georgia State,-2.98,0.0,0,0,0,0,0,,1,5,0,5.0,32,452,3,14.1
Jamari Thrash,WR,2022,Georgia State,-1.88,0.0,0,0,0,0,0,,2,5,0,2.5,61,1122,7,18.4
Jamari Thrash,WR,2023,Louisville,3.64,0.0,0,0,0,0,0,,1,12,1,12.0,63,858,6,13.6
Rasheen Ali,RB,2020,Marshall,-6.6,0.0,0,0,0,0,0,,5,22,0,4.4,0,0,0,
Rasheen Ali,RB,2021,Marshall,-3.17,0.0,0,0,0,0,0,,250,1401,23,5.6,46,342,1,7.4
Rasheen Ali,RB,2022,Marshall,-3.95,0.0,0,0,0,0,0,,47,273,1,5.8,2,10,1,5.0
Rasheen Ali,RB,2023,Marshall,-1.06,0.0,0,0,0,0,0,,212,1135,15,5.4,28,213,1,7.6
Keilan Robinson,RB,2019,Alabama,2.81,0.0,0,0,0,0,0,,39,254,2,6.5,0,0,0,
Keilan Robinson,RB,2021,Texas,4.86,0.0,0,0,0,0,0,,45,322,3,7.2,7,57,0,8.1
Keilan Robinson,RB,2022,Texas,8.16,0.0,0,0,0,0,0,,25,86,0,3.4,20,219,3,11.0
Keilan Robinson,RB,2023,Texas,6.61,0.0,0,0,0,0,0,,12,134,3,11.2,8,56,0,7.0
Kimani Vidal,RB,2020,Troy,-4.33,0.0,0,0,0,0,0,,101,516,4,5.1,26,225,0,8.7
Kimani Vidal,RB,2021,Troy,-4.03,0.0,0,0,0,0,0,,152,701,5,4.6,22,134,0,6.1
Kimani Vidal,RB,2022,Troy,-2.51,0.0,0,0,0,0,0,,231,1132,10,4.9,26,140,0,5.4
Kimani Vidal,RB,2023,Troy,-1.14,0.0,0,0,0,0,0,,297,1661,14,5.6,18,201,1,11.2
Jha'Quan Jackson,WR,2019,Tulane,1.21,0.0,0,0,0,0,0,,0,0,0,,2,31,1,15.5
Jha'Quan Jackson,WR,2020,Tulane,-4.3,0.0,0,0,0,0,0,,2,31,1,15.5,31,425,8,13.7
Jha'Quan Jackson,WR,2021,Tulane,2.89,0.0,0,0,0,0,0,,4,26,0,6.5,17,294,1,17.3
Jha'Quan Jackson,WR,2022,Tulane,0.39,0.0,0,0,0,0,0,,1,8,0,8.0,33,554,3,16.8
Jha'Quan Jackson,WR,2023,Tulane,-2.51,0.0,0,0,0,0,0,,5,51,0,10.2,26,439,4,16.9
Malik Washington,WR,2019,Northwestern,3.46,0.0,0,0,0,0,0,,0,0,0,,6,25,0,4.2
Malik Washington,WR,2020,Northwestern,4.88,0.0,0,0,0,0,0,,1,8,0,8.0,5,51,0,10.2
Malik Washington,WR,2021,Northwestern,3.7,0.0,0,0,0,0,0,,5,-2,0,-0.4,44,578,2,13.1
Malik Washington,WR,2022,Northwestern,4.74,0.0,1,1,6,0,0,150.4,9,16,0,1.8,65,694,1,10.7
Malik Washington,WR,2023,Virginia,4.8,0.0,0,1,0,0,0,0.0,3,7,0,2.3,110,1426,9,13.0
Jase McClellan,RB,2020,Alabama,9.72,0.0,0,0,0,0,0,,23,245,2,10.7,1,1,0,1.0
Jase McClellan,RB,2021,Alabama,5.69,0.0,0,0,0,0,0,,40,191,1,4.8,10,97,3,9.7
Jase McClellan,RB,2022,Alabama,4.58,0.0,0,0,0,0,0,,112,655,7,5.8,14,174,3,12.4
Jase McClellan,RB,2023,Alabama,6.58,0.0,0,0,0,0,0,,180,890,8,4.9,15,137,0,9.1
Casey Washington,WR,2019,Illinois,0.61,0.0,0,1,0,0,0,0.0,0,0,0,,11,132,0,12.0
Casey Washington,WR,2020,Illinois,4.36,0.0,0,0,0,0,0,,0,0,0,,10,106,0,10.6
Casey Washington,WR,2021,Illinois,4.61,0.0,0,2,0,0,0,0.0,0,0,0,,21,294,0,14.0
Casey Washington,WR,2022,Illinois,1.17,0.0,0,0,0,0,0,,0,0,0,,31,306,0,9.9
Casey Washington,WR,2023,Illinois,3.84,0.0,0,0,0,0,0,,0,0,0,,49,670,4,13.7
Tejhaun Palmer,WR,2021,UAB,-2.09,0.0,0,0,0,0,0,,0,0,0,,6,72,0,12.0
Tejhaun Palmer,WR,2022,UAB,-5.13,0.0,0,0,0,0,0,,0,0,0,,30,479,2,16.0
Tejhaun Palmer,WR,2023,UAB,-2.75,0.0,0,0,0,0,0,,0,0,0,,47,858,7,18.3
Joe Milton,QB,2018,Michigan,5.47,0.0,3,4,58,0,1,146.8,7,31,1,4.4,0,0,0,
Joe Milton,QB,2019,Michigan,7.88,0.0,3,7,59,1,1,132.2,5,16,1,3.2,0,0,0,
Joe Milton,QB,2020,Michigan,3.25,0.0,80,141,1077,4,4,124.6,38,109,1,2.9,0,0,0,
Joe Milton,QB,2021,Tennessee,3.5,0.0,32,61,375,2,0,114.9,28,129,2,4.6,0,0,0,
Joe Milton,QB,2022,Tennessee,4.98,0.0,53,82,971,10,0,204.3,18,77,0,4.3,0,0,0,
Joe Milton,QB,2023,Tennessee,3.23,0.0,229,354,2813,20,5,147.3,78,299,7,3.8,1,6,0,6.0
Tanner McLachlan,TE,2022,Arizona,3.01,0.0,0,0,0,0,0,,0,0,0,,34,456,2,13.4
Tanner McLachlan,TE,2023,Arizona,2.42,0.0,0,0,0,0,0,,0,0,0,,45,528,4,11.7
Jawhar Jordan,RB,2019,Syracuse,-0.62,0.0,0,0,0,0,0,,15,105,1,7.0,2,87,0,43.5
Jawhar Jordan,RB,2020,Syracuse,1.53,0.0,0,0,0,0,0,,29,72,0,2.5,5,34,0,6.8
Jawhar Jordan,RB,2021,Louisville,2.88,0.0,0,0,0,0,0,,14,94,0,6.7,1,24,0,24.0
Jawhar Jordan,RB,2022,Louisville,4.59,0.0,0,0,0,0,0,,142,815,4,5.7,10,85,0,8.5
Jawhar Jordan,RB,2023,Louisville,3.64,0.0,0,0,0,0,0,,181,1128,13,6.2,21,246,1,11.7
Jordan Whittington,WR,2019,Texas,5.8,0.0,0,0,0,0,0,,0,0,0,,2,17,0,8.5
Jordan Whittington,WR,2020,Texas,3.75,0.0,0,0,0,0,0,,3,50,1,16.7,21,206,0,9.8
Jordan Whittington,WR,2021,Texas,4.86,0.0,0,0,0,0,0,,1,8,0,8.0,26,377,3,14.5
Jordan Whittington,WR,2022,Texas,8.16,0.0,0,0,0,0,0,,0,0,0,,50,652,1,13.0
Jordan Whittington,WR,2023,Texas,6.61,0.0,0,0,0,0,0,,3,18,0,6.0,42,505,1,12.0
Devin Leary,QB,2019,North Carolina State,-0.91,0.0,101,210,1219,8,5,104.7,40,46,0,1.2,0,0,0,
Devin Leary,QB,2020,North Carolina State,-1.57,0.0,66,110,890,8,2,148.3,19,7,0,0.4,0,0,0,
Devin Leary,QB,2021,North Carolina State,0.39,0.0,283,431,3433,35,5,157.0,54,-75,2,-1.4,0,0,0,
Devin Leary,QB,2022,North Carolina State,3.36,0.0,118,193,1265,11,4,130.9,23,1,3,0.0,0,0,0,
Devin Leary,QB,2023,Kentucky,2.5,0.0,209,371,2746,25,12,134.3,42,-60,1,-1.4,1,-4,0,-4.0
Brenden Rice,WR,2020,Colorado,-0.66,0.0,0,0,0,0,0,,0,0,0,,6,120,2,20.0
Brenden Rice,WR,2021,Colorado,1.65,0.0,0,0,0,0,0,,6,54,0,9.0,21,299,3,14.2
Brenden Rice,WR,2022,USC,3.49,0.0,0,0,0,0,0,,0,0,0,,39,611,4,15.7
Brenden Rice,WR,2023,USC,5.51,0.0,0,0,0,0,0,,0,0,0,,45,791,12,17.6
Jaheim Bell,TE,2020,South Carolina,7.42,0.0,0,0,0,0,0,,0,0,0,,1,29,0,29.0
Jaheim Bell,TE,2021,South Carolina,3.31,0.0,0,0,0,0,0,,7,40,0,5.7,30,497,5,16.6
Jaheim Bell,TE,2022,South Carolina,4.17,0.0,0,0,0,0,0,,73,261,3,3.6,25,231,2,9.2
Jaheim Bell,TE,2023,Florida State,2.94,0.0,0,0,0,0,0,,4,2,1,0.5,39,503,2,12.9
Luke McCaffrey,WR,2019,Nebraska,4.0,0.0,9,12,142,2,0,229.4,24,166,1,6.9,1,12,0,12.0
Luke McCaffrey,WR,2020,Nebraska,5.14,0.0,48,76,466,1,6,103.2,65,364,3,5.6,1,5,0,5.0
Luke McCaffrey,WR,2021,Rice,-1.52,0.0,31,62,313,2,4,90.1,41,132,2,3.2,0,0,0,
Luke McCaffrey,WR,2022,Rice,-3.75,0.0,0,0,0,0,0,,12,148,1,12.3,58,723,6,12.5
Luke McCaffrey,WR,2023,Rice,-3.02,0.0,0,2,0,0,0,0.0,15,117,0,7.8,71,992,13,14.0
Ja'Tavion Sanders,TE,2022,Texas,8.16,0.0,0,0,0,0,0,,0,0,0,,54,613,5,11.4
Ja'Tavion Sanders,TE,2023,Texas,6.61,0.0,0,0,0,0,0,,1,12,0,12.0,45,682,2,15.2
Troy Franklin,WR,2021,Oregon,1.93,0.0,0,0,0,0,0,,0,0,0,,18,209,2,11.6
Troy Franklin,WR,2022,Oregon,3.67,0.0,0,0,0,0,0,,0,0,0,,61,891,9,14.6
Troy Franklin,WR,2023,Oregon,3.3,0.0,0,0,0,0,0,,0,0,0,,81,1383,14,17.1
Theo Johnson,TE,2020,Penn State,3.99,0.0,0,0,0,0,0,,0,0,0,,4,56,0,14.0
Theo Johnson,TE,2021,Penn State,5.53,0.0,0,0,0,0,0,,0,0,0,,19,213,1,11.2
Theo Johnson,TE,2022,Penn State,4.02,0.0,0,0,0,0,0,,0,0,0,,20,328,4,16.4
Theo Johnson,TE,2023,Penn State,4.08,0.0,0,0,0,0,0,,0,0,0,,34,341,7,10.0
Javon Baker,WR,2020,Alabama,9.72,0.0,0,0,0,0,0,,0,0,0,,2,15,0,7.5
Javon Baker,WR,2021,Alabama,5.69,0.0,0,0,0,0,0,,0,0,0,,7,101,1,14.4
Javon Baker,WR,2022,UCF,0.74,0.0,0,0,0,0,0,,0,0,0,,56,796,5,14.2
Javon Baker,WR,2023,UCF,1.11,0.0,0,0,0,0,0,,0,0,0,,52,1139,7,21.9
Erick All,TE,2019,Michigan,7.88,0.0,0,0,0,0,0,,0,0,0,,1,10,0,10.0
Erick All,TE,2020,Michigan,3.25,0.0,0,0,0,0,0,,0,0,0,,12,82,0,6.8
Erick All,TE,2021,Michigan,6.23,0.0,0,0,0,0,0,,0,0,0,,38,437,2,11.5
Erick All,TE,2022,Michigan,2.73,0.0,0,0,0,0,0,,0,0,0,,3,36,0,12.0
Erick All,TE,2023,Iowa,4.05,0.0,0,0,0,0,0,,0,0,0,,21,299,3,14.2
Jaylen Wright,RB,2021,Tennessee,3.5,0.0,0,0,0,0,0,,85,409,4,4.8,6,22,0,3.7
Jaylen Wright,RB,2022,Tennessee,4.98,0.0,0,0,0,0,0,,146,875,10,6.0,2,8,0,4.0
Jaylen Wright,RB,2023,Tennessee,3.23,0.0,0,0,0,0,0,,137,1013,4,7.4,22,141,0,6.4
Will Shipley,RB,2021,Clemson,2.66,0.0,1,1,2,1,0,446.8,149,738,11,5.0,16,116,0,7.3
Will Shipley,RB,2022,Clemson,3.3,0.0,0,0,0,0,0,,210,1182,15,5.6,38,242,0,6.4
Will Shipley,RB,2023,Clemson,3.28,0.0,0,0,0,0,0,,167,827,5,5.0,31,244,2,7.9
Isaac Guerendo,RB,2019,Wisconsin,7.73,0.0,0,0,0,0,0,,1,1,0,1.0,1,3,0,3.0
Isaac Guerendo,RB,2020,Wisconsin,4.33,0.0,0,0,0,0,0,,11,36,0,3.3,0,0,0,
Isaac Guerendo,RB,2021,Wisconsin,6.8,0.0,0,0,0,0,0,,23,160,1,7.0,2,6,0,3.0
Isaac Guerendo,RB,2022,Wisconsin,2.29,0.0,0,0,0,0,0,,64,385,5,6.0,17,115,1,6.8
Isaac Guerendo,RB,2023,Louisville,3.64,0.0,0,0,0,0,0,,132,810,11,6.1,22,234,0,10.6
Jared Wiley,TE,2019,Texas,5.8,0.0,0,0,0,0,0,,0,0,0,,1,15,0,15.0
Jared Wiley,TE,2020,Texas,3.75,0.0,0,0,0,0,0,,0,0,0,,9,166,1,18.4
Jared Wiley,TE,2021,Texas,4.86,0.0,0,0,0,0,0,,0,0,0,,9,67,2,7.4
Jared Wiley,TE,2022,Texas Christian,7.45,0.0,0,0,0,0,0,,0,0,0,,24,245,4,10.2
Jared Wiley,TE,2023,Texas Christian,4.48,0.0,0,0,0,0,0,,0,0,0,,47,520,8,11.1
Sione Vaki,S,2023,Utah,4.43,0.0,0,0,0,0,0,,42,317,2,7.5,11,203,3,18.5
Braelon Allen,RB,2021,Wisconsin,6.8,0.0,0,0,0,0,0,,186,1268,12,6.8,8,39,0,4.9
Braelon Allen,RB,2022,Wisconsin,2.29,0.0,2,3,33,1,0,269.1,230,1242,11,5.4,13,104,0,8.0
Braelon Allen,RB,2023,Wisconsin,2.59,0.0,0,0,0,0,0,,181,984,12,5.4,28,132,0,4.7
Devaughn Vele,WR,2020,Utah,-2.93,0.0,0,0,0,0,0,,0,0,0,,2,12,0,6.0
Devaughn Vele,WR,2021,Utah,1.62,0.0,0,0,0,0,0,,0,0,0,,23,389,1,16.9
Devaughn Vele,WR,2022,Utah,3.09,0.0,1,1,9,0,0,175.6,2,-4,0,-2.0,55,695,5,12.6
Devaughn Vele,WR,2023,Utah,4.43,0.0,1,3,6,0,0,50.1,0,0,0,,43,593,3,13.8
Tahj Washington,WR,2019,Memphis,2.09,0.0,0,0,0,0,0,,0,0,0,,3,32,0,10.7
