,,,Overall,,,Conference,,,Points Per Game,,SRS,,Polls,,,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank▲,Notes
60,Utah State,MWC (Mountain),1,5,0.167,1,5,0.167,15.5,35.2,-19.38,-2.55,,,,
61,Colorado State,MWC (Mountain),1,3,0.25,1,3,0.25,22.3,35.8,-14.31,-2.56,,,,
62,New Mexico,MWC (Mountain),2,5,0.286,2,5,0.286,23.9,32.6,-11.71,-4.28,,,,
63,Wyoming,MWC (Mountain),2,4,0.333,2,4,0.333,26.5,21,-5.27,-7.94,,,,
64,Air Force,MWC (Mountain),3,3,0.5,2,2,0.5,24.3,15,0.85,-4.99,,,,
65,Boise State,MWC (Mountain),5,2,0.714,5,0,1,33.9,27.1,3.41,-3.02,,21,,
66,Northern Illinois,MAC (West),0,6,0,0,6,0,24.8,38.7,-1.53,12.14,,,,
67,Eastern Michigan,MAC (West),2,4,0.333,2,4,0.333,33.2,36,5.8,9.13,,,,
68,Central Michigan,MAC (West),3,3,0.5,3,3,0.5,31.3,30.2,8.26,8.26,,,,
69,Western Michigan,MAC (West),4,2,0.667,4,2,0.667,41.7,34.2,10.39,5.72,,,,
70,Toledo,MAC (West),4,2,0.667,4,2,0.667,35,24.3,12.44,3.94,,,,
71,Bowling Green,MAC (East),0,5,0,0,5,0,11.4,45,-17.51,6.49,,,,
72,Akron,MAC (East),1,5,0.167,1,5,0.167,17.2,41.3,-8.82,5.52,,,,
73,Ohio,MAC (East),2,1,0.667,2,1,0.667,34.3,16.7,4.28,-6.06,,,,
74,Miami (OH),MAC (East),2,1,0.667,2,1,0.667,28.7,26.7,11.41,9.08,,,,
75,Kent State,MAC (East),3,1,0.75,3,1,0.75,49.8,38,7.02,-0.74,,,,
76,Connecticut,Ind (East),0,0,,,,,,,,,,,,
77,Army,Ind,9,3,0.75,,,,26.8,14.8,0.67,-7.59,,22,,
78,Massachusetts,Ind,0,4,0,,,,3,40.3,-24.68,-1.18,,,,
79,New Mexico State,Ind,1,1,0.5,,,,26.5,36,-27.68,-19.18,,,,
80,UTEP,CUSA (West),3,5,0.375,0,4,0,23,31,-15.29,-11.41,,,,
81,Southern Mississippi,CUSA (West),3,7,0.3,2,4,0.333,25.3,32.3,-14.39,-7.79,,,,
82,Rice,CUSA (West),2,3,0.4,2,3,0.4,23.4,18.8,-3.97,-7.97,,,,
83,North Texas,CUSA (West),4,6,0.4,3,4,0.429,34.4,42.8,-14.8,-8.9,,,,
84,Louisiana Tech,CUSA (West),5,5,0.5,4,2,0.667,26.7,34.7,-8.34,-4.24,,,,
85,UTSA,CUSA (West),7,5,0.583,5,2,0.714,28.3,25.7,-3.8,-6.71,,,,
86,UAB,CUSA (West),6,3,0.667,3,1,0.75,28.4,21.4,1.28,-4.28,,,,
87,Old Dominion,CUSA (East),0,0,,,,,,,,,,,,
88,Florida International,CUSA (East),0,5,0,0,3,0,22.4,32.4,-22.18,-10.38,,,,
89,Middle Tennessee State,CUSA (East),3,6,0.333,2,4,0.333,22.9,35.4,-15.36,-6.25,,,,
90,Charlotte,CUSA (East),2,4,0.333,2,2,0.5,27,32.5,-14.41,-9.41,,,,
91,Florida Atlantic,CUSA (East),5,4,0.556,4,2,0.667,18.9,17.4,-7.91,-10.02,,,,
92,Marshall,CUSA (East),7,3,0.7,4,1,0.8,28.5,13,3.3,-6.6,,15,,
93,Western Kentucky,CUSA (East),5,7,0.417,4,3,0.571,19,25.3,-11.15,-6.07,,,,
94,Illinois,Big Ten (West),2,6,0.25,2,6,0.25,20.1,34.9,-6.39,4.36,,,,
95,Purdue,Big Ten (West),2,4,0.333,2,4,0.333,27.2,29.8,-0.18,2.66,,,,
96,Nebraska,Big Ten (West),3,5,0.375,3,5,0.375,23.1,29.4,0.14,5.14,,,,
97,Minnesota,Big Ten (West),3,4,0.429,3,4,0.429,27.3,30.1,-1.32,2.1,19,19,,
98,Wisconsin,Big Ten (West),4,3,0.571,3,3,0.5,25.1,17.4,8.62,4.33,12,9,,
99,Michigan State,Big Ten (East),2,5,0.286,2,5,0.286,18,35.1,-2.93,8.79,,,,
