Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
175,Jeff George Jr.,Illinois,Big Ten,5,38,94,40.4,470,4,4.3,5,5.3,5.0,3.46,12.4,94.0,85.8,,jeff-george-jr-1
176,Nic Shimonek,Texas Tech,Big 12,4,38,58,65.5,464,6,10.3,1,1.7,8.0,9.29,12.2,116.0,163.4,,nic-shimonek-1
177,Cole Garvin*,South Alabama,Sun Belt,6,35,64,54.7,463,4,6.3,1,1.6,7.2,7.78,13.2,77.2,133.0,,cole-garvin-1
178,Anu Solomon,Arizona,Pac-12,5,37,63,58.7,462,1,1.6,2,3.2,7.3,6.22,12.5,92.4,119.2,,anu-solomon-1
179,Drew Hare,Northern Illinois,MAC,6,37,59,62.7,425,3,5.1,0,0.0,7.2,8.22,11.5,70.8,140.0,,drew-hare-1
180,J'mar Smith*,Louisiana Tech,CUSA,8,30,43,69.8,412,2,4.7,1,2.3,9.6,9.47,13.7,51.5,160.9,,jmar-smith-1
181,George Bollas,Kent State,MAC,8,27,58,46.6,402,2,3.4,2,3.4,6.9,6.07,14.9,50.3,109.3,,george-bollas-1
182,Josh Love,San Jose State,MWC,12,31,60,51.7,392,2,3.3,5,8.3,6.5,3.45,12.6,32.7,100.9,,josh-love-1
183,Dillon Sterling-Cole,Arizona State,Pac-12,6,28,55,50.9,388,1,1.8,4,7.3,7.1,4.15,13.9,64.7,101.6,,dillon-sterling-cole-1
184,Brian Lewerke,Michigan State,Big Ten,4,31,57,54.4,381,2,3.5,1,1.8,6.7,6.60,12.3,95.3,118.6,,brian-lewerke-1
185,Ross Comis,Massachusetts,Ind,4,28,63,44.4,370,1,1.6,1,1.6,5.9,5.48,13.2,92.5,95.8,,ross-comis-1
186,Keon Howard*,Southern Mississippi,CUSA,4,22,50,44.0,365,1,2.0,4,8.0,7.3,4.10,16.6,91.3,95.9,,keon-howard-1
187,Chad Voytik*,Arkansas State,Sun Belt,11,32,57,56.1,363,1,1.8,1,1.8,6.4,5.93,11.3,33.0,111.9,,chad-voytik-1
188,Mylik Mitchell,Kent State,MAC,4,39,69,56.5,363,5,7.2,1,1.4,5.3,6.06,9.3,90.8,121.7,,mylik-mitchell-1
189,Daniel Santacaterina,Northern Illinois,MAC,3,18,38,47.4,361,1,2.6,2,5.3,9.5,7.66,20.1,120.3,125.3,,daniel-santacaterina-1
190,Seth Shuman,Georgia Southern,Sun Belt,5,34,72,47.2,357,1,1.4,3,4.2,5.0,3.36,10.5,71.4,85.1,,seth-shuman-1
191,Zach Abey*,Navy,American,5,20,35,57.1,352,1,2.9,4,11.4,10.1,5.49,17.6,70.4,128.2,,zach-abey-1
192,Drew Barker*,Kentucky,SEC,3,18,36,50.0,334,4,11.1,5,13.9,9.3,5.25,18.6,111.3,136.8,,drew-barker-1
193,Nick Schuessler*,Clemson,ACC,6,23,33,69.7,334,3,9.1,0,0.0,10.1,11.94,14.5,55.7,184.7,,nick-schuessler-1
194,Tyrrell Pigrome*,Maryland,Big Ten,11,37,71,52.1,322,2,2.8,2,2.8,4.5,3.83,8.7,29.3,93.9,,tyrrell-pigrome-1
195,Jackson Tyner,Rice,CUSA,5,32,67,47.8,318,2,3.0,1,1.5,4.7,4.67,9.9,63.6,94.5,,jackson-tyner-1
196,Matt Johns,Virginia,ACC,9,36,63,57.1,314,2,3.2,5,7.9,5.0,2.05,8.7,34.9,93.6,,matt-johns-1
197,Jeremy Johnson*,Auburn,SEC,5,27,47,57.4,312,1,2.1,2,4.3,6.6,5.15,11.6,62.4,111.7,,jeremy-johnson-5
198,Noah Wezensky*,Miami (OH),MAC,2,28,53,52.8,307,2,3.8,2,3.8,5.8,4.85,11.0,153.5,106.4,,noah-wezensky-1
199,Donovan Williams,Connecticut,American,3,36,76,47.4,300,1,1.3,5,6.6,3.9,1.25,8.3,100.0,71.7,,donovan-williams-1
200,Caleb Rowe*,Maryland,Big Ten,12,19,37,51.4,296,0,0.0,3,8.1,8.0,4.35,15.6,24.7,102.3,,caleb-rowe-1
201,Garet Morrell,Marshall,CUSA,5,33,67,49.3,290,4,6.0,3,4.5,4.3,3.51,8.8,58.0,96.4,,garet-morrell-1
202,Foster Sawyer*,Texas Christian,Big 12,9,26,55,47.3,278,1,1.8,1,1.8,5.1,4.60,10.7,30.9,92.1,,foster-sawyer-1
203,Joe Hubener*,Kansas State,Big 12,6,22,39,56.4,275,1,2.6,1,2.6,7.1,6.41,12.5,45.8,119.0,,joe-hubener-1
204,Damian Williams*,Mississippi State,SEC,5,31,47,66.0,272,2,4.3,0,0.0,5.8,6.64,8.8,54.4,128.6,,damian-williams-3
205,Aaron Winchester,Georgia State,Sun Belt,5,24,45,53.3,271,1,2.2,2,4.4,6.0,4.47,11.3,54.2,102.4,,aaron-winchester-2
206,Tyrell Goodman,Akron,MAC,11,16,36,44.4,270,1,2.8,3,8.3,7.5,4.31,16.9,24.5,99.9,,tyrell-goodman-1
207,Christian Alexander,Florida International,CUSA,5,24,39,61.5,266,4,10.3,0,0.0,6.8,8.87,11.1,53.2,152.7,,christian-alexander-1
208,Brady White,Arizona State,Pac-12,4,25,49,51.0,259,2,4.1,1,2.0,5.3,5.18,10.4,64.8,104.8,,brady-white-1
209,Damion Terry,Michigan State,Big Ten,7,22,46,47.8,253,1,2.2,1,2.2,5.5,4.96,11.5,36.1,96.9,,damion-terry-1
210,Chayce Crouch,Illinois,Big Ten,4,18,32,56.3,249,1,3.1,1,3.1,7.8,7.00,13.8,62.3,125.7,,chayce-crouch-1
211,Tyler Hilinski*,Washington State,Pac-12,4,24,30,80.0,245,2,6.7,1,3.3,8.2,8.00,10.2,61.3,163.9,,tyler-hilinski-1
212,Khalil Tate,Arizona,Pac-12,7,18,45,40.0,243,3,6.7,3,6.7,5.4,3.73,13.5,34.7,94.0,,khalil-tate-1
213,Tanner Mangum*,BYU,Ind,5,22,33,66.7,241,3,9.1,1,3.0,7.3,7.76,11.0,48.2,152.0,,tanner-mangum-1
214,Kyle Bolin*,Louisville,ACC,6,18,27,66.7,234,2,7.4,1,3.7,8.7,8.48,13.0,39.0,156.5,,kyle-bolin-1
215,Tyler Ferguson*,Western Kentucky,CUSA,9,19,41,46.3,234,3,7.3,0,0.0,5.7,7.17,12.3,26.0,118.4,,tyler-ferguson-1
