Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
62,Wisconsin,13,29.7,13.8,23.4,58.9,157.7,1.5,43.9,273.4,6.2,2.5,67.3,431.1,6.4,7.7,13.5,0.6,21.8,5.7,50.5,0.8,1.1,1.8
63,Baylor,13,29.5,22.8,37.3,61.0,290.0,1.7,38.6,169.1,4.4,1.9,75.9,459.1,6.0,12.0,11.2,2.2,25.5,7.8,74.1,0.5,1.0,1.5
64,Duke,13,29.4,21.4,36.6,58.4,246.1,2.4,36.9,159.6,4.3,1.5,73.5,405.7,5.5,10.5,8.7,1.3,20.5,4.2,34.8,0.8,0.8,1.5
65,Minnesota,13,28.9,14.6,26.6,54.9,208.8,1.5,40.2,171.2,4.3,1.8,66.8,380.0,5.7,9.2,9.3,2.2,20.7,3.9,39.1,0.8,1.1,1.9
66,Miami (FL),13,28.8,14.0,27.4,51.1,167.3,1.5,36.8,191.5,5.2,1.9,64.2,358.8,5.6,6.8,9.0,1.2,17.1,5.6,46.3,0.9,1.1,2.0
67,UNLV,12,28.8,14.8,29.0,50.9,166.8,2.0,45.3,224.7,5.0,1.9,74.3,391.5,5.3,7.4,11.3,1.8,20.5,5.4,45.7,0.6,1.0,1.6
68,Maryland,12,28.5,10.4,20.1,51.9,141.3,1.0,40.5,230.3,5.7,2.1,60.6,371.5,6.1,5.2,10.3,1.4,16.9,8.3,79.7,0.8,0.4,1.2
69,Mississippi State,13,28.5,12.7,24.8,51.1,173.8,1.7,39.5,223.6,5.7,2.0,64.4,397.4,6.2,6.7,11.8,1.2,19.6,6.4,57.5,0.2,0.8,1.0
70,South Florida,13,28.5,19.4,33.2,58.3,242.5,1.3,39.7,195.9,4.9,2.0,72.9,438.4,6.0,10.6,9.8,1.3,21.8,7.6,67.5,0.8,0.9,1.7
71,Vanderbilt,13,28.5,19.8,32.0,62.0,243.7,1.8,33.3,167.6,5.0,1.7,65.3,411.3,6.3,10.5,8.3,2.3,21.2,5.5,43.7,0.6,0.5,1.1
72,Virginia,13,28.5,17.5,27.5,63.7,211.6,2.0,38.4,172.9,4.5,1.5,65.9,384.5,5.8,9.5,10.5,1.2,21.2,4.5,40.6,0.8,0.7,1.5
73,Stanford,13,28.4,20.8,32.5,64.1,273.1,2.2,29.5,107.9,3.7,1.2,62.1,381.0,6.1,11.5,5.1,2.7,19.3,5.5,42.2,0.3,0.8,1.2
74,Marshall,13,28.2,18.5,33.3,55.4,228.1,1.5,36.5,165.5,4.5,1.7,69.8,393.6,5.6,9.9,8.8,1.3,20.0,6.5,60.5,0.9,1.0,1.9
75,Miami (OH),12,28.1,18.8,31.3,60.1,212.3,1.4,36.8,159.9,4.4,2.0,68.1,372.2,5.5,10.3,7.2,1.6,19.0,6.5,58.0,0.4,0.3,0.8
76,Utah,14,28.1,17.9,29.1,61.4,213.9,1.4,40.2,182.4,4.5,1.6,69.3,396.4,5.7,9.1,9.8,1.4,20.3,5.1,46.9,1.0,0.9,1.9
77,Middle Tennessee State,14,28.0,23.9,34.6,69.0,259.9,2.1,35.6,128.9,3.6,1.1,70.1,388.8,5.5,11.2,7.9,1.6,20.8,5.4,50.9,0.6,0.8,1.4
78,North Carolina,11,27.4,22.2,37.6,58.9,249.1,1.3,36.5,193.0,5.3,1.7,74.2,442.1,6.0,10.6,9.5,1.1,21.3,6.0,55.6,0.8,1.3,2.1
79,Brigham Young,13,27.2,18.2,28.6,63.4,211.8,1.4,37.0,153.5,4.1,2.1,65.6,365.2,5.6,9.3,8.3,1.5,19.2,5.7,48.7,0.8,0.5,1.3
80,Colorado,12,27.1,22.6,35.0,64.5,249.6,1.6,37.7,143.0,3.8,1.8,72.7,392.6,5.4,11.1,7.6,2.0,20.7,5.9,55.3,0.6,1.0,1.6
