Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,LSU,15,48.4,28.4,37.8,75.1,401.6,4.1,33.9,167.3,4.9,2.1,71.7,568.9,7.9,16.3,10.1,1.6,27.9,6.2,62.4,0.3,0.5,0.8
2,Alabama,13,47.2,22.1,31.2,70.7,342.2,3.8,33.5,168.7,5.0,2.1,64.7,510.9,7.9,13.0,9.7,1.8,24.5,7.3,65.8,0.3,0.5,0.8
3,Ohio State,14,46.9,19.4,28.9,66.9,263.1,3.4,47.1,267.3,5.7,2.8,76.1,530.4,7.0,12.3,13.7,2.4,28.4,5.8,55.0,0.9,0.2,1.1
4,Clemson,15,43.9,21.7,33.9,64.0,288.3,2.7,37.7,240.5,6.4,3.0,71.6,528.9,7.4,12.7,11.1,2.5,26.2,5.7,45.6,0.3,0.7,1.0
5,UCF,13,43.4,20.8,35.2,59.3,316.7,2.8,42.9,224.8,5.2,2.6,78.1,541.5,6.9,11.0,11.8,2.8,25.6,8.5,73.2,0.5,0.6,1.2
6,Oklahoma,14,42.1,18.7,27.2,68.8,297.4,2.6,40.3,240.4,6.0,2.7,67.5,537.8,8.0,12.3,11.6,1.1,24.9,7.2,74.8,0.7,0.6,1.4
7,SMU,13,41.8,24.1,38.6,62.4,309.0,2.6,41.1,180.8,4.4,2.7,79.7,489.8,6.1,12.5,9.2,3.2,24.8,6.4,57.2,0.5,0.8,1.3
8,Memphis,14,40.4,20.1,31.5,63.7,298.4,2.4,39.4,186.7,4.7,2.3,70.9,485.1,6.8,11.5,9.6,2.2,23.4,7.4,59.9,0.6,0.8,1.4
9,Appalachian State,14,38.8,16.5,26.4,62.4,201.7,2.1,42.6,232.0,5.4,2.5,69.1,433.7,6.3,8.9,10.8,1.4,21.1,6.8,63.9,0.2,0.4,0.6
10,Louisiana,14,37.9,19.1,29.4,65.0,236.7,1.9,40.9,257.4,6.3,3.0,70.4,494.1,7.0,10.9,12.8,1.4,25.1,7.0,58.4,0.7,0.3,1.0
