Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Brad Roberts,Air Force,MWC,13,345,1728,5.0,17,132.9,1,9,9.0,0,0.7,346,1737,5.0,17,,brad-roberts-1
2,DeWayne McBride,UAB,CUSA,11,233,1713,7.4,19,155.7,2,10,5.0,0,0.9,235,1723,7.3,19,,dewayne-mcbride-1
3,Mohamed Ibrahim,Minnesota,Big Ten,12,320,1665,5.2,20,138.8,7,50,7.1,0,4.2,327,1715,5.2,20,,mohamed-ibrahim-1
4,Chase Brown,Illinois,Big Ten,12,328,1643,5.0,10,136.9,27,240,8.9,3,20.0,355,1883,5.3,13,,chase-brown-3
5,Tyjae Spears,Tulane,American,14,229,1581,6.9,19,112.9,22,256,11.6,2,18.3,251,1837,7.3,21,,tyjae-spears-1
6,Bijan Robinson,Texas,Big 12,12,258,1580,6.1,18,131.7,19,314,16.5,2,26.2,277,1894,6.8,20,H-9AA,bijan-robinson-1
7,Quinshon Judkins,Ole Miss,SEC,13,274,1567,5.7,16,120.5,15,132,8.8,1,10.2,289,1699,5.9,17,,quinshon-judkins-1
8,Deuce Vaughn,Kansas State,Big 12,14,293,1558,5.3,9,111.3,42,378,9.0,3,27.0,335,1936,5.8,12,AA,deuce-vaughn-1
9,Carson Steele,Ball State,MAC,12,289,1556,5.4,14,129.7,29,166,5.7,1,13.8,318,1722,5.4,15,,carson-steele-1
10,Khalan Laborn,Marshall,Sun Belt,13,302,1513,5.0,16,116.4,16,116,7.3,0,8.9,318,1629,5.1,16,,khalan-laborn-2
11,Blake Corum,Michigan,Big Ten,12,247,1463,5.9,18,121.9,11,80,7.3,1,6.7,258,1543,6.0,19,H-7AA,blake-corum-1
12,Keaton Mitchell,East Carolina,American,12,201,1452,7.2,14,121.0,27,252,9.3,1,21.0,228,1704,7.5,15,,keaton-mitchell-1
13,Raheim Sanders,Arkansas,SEC,13,222,1443,6.5,10,111.0,28,271,9.7,2,20.8,250,1714,6.9,12,,raheim-sanders-1
14,Israel Abanikanda,Pitt,ACC,11,239,1431,6.0,20,130.1,12,146,12.2,1,13.3,251,1577,6.3,21,,israel-abanikanda-1
15,Kendre Miller,TCU,Big 12,14,224,1399,6.2,17,99.9,16,116,7.3,0,8.3,240,1515,6.3,17,,kendre-miller-1
16,Frank Gore Jr.,Southern Mississippi,Sun Belt,13,228,1382,6.1,9,106.3,19,219,11.5,0,16.8,247,1601,6.5,9,,frank-gore-jr-1
17,Jordan Mims,Fresno State,MWC,14,261,1372,5.3,18,98.0,21,126,6.0,1,9.0,282,1498,5.3,19,,jordan-mims-1
18,Eric Gray,Oklahoma,Big 12,12,213,1366,6.4,11,113.8,33,229,6.9,0,19.1,246,1595,6.5,11,,eric-gray-2
19,Zach Charbonnet,UCLA,Pac-12,10,195,1359,7.0,14,135.9,37,321,8.7,0,32.1,232,1680,7.2,14,,zach-charbonnet-1
