,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,-additional
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
356,Taj McGowan,UCF,American,8,85,262,3.1,1,32.8,2,13,6.5,0,1.6,87,275,3.2,1,,taj-mcgowan-1
357,Tom Flacco*,Western Michigan,MAC,7,29,262,9.0,2,37.4,0,0,,0,0.0,29,262,9.0,2,,tom-flacco-1
358,Trevorris Johnson*,Texas Christian,Big 12,11,43,262,6.1,0,23.8,0,0,,0,0.0,43,262,6.1,0,,trevorris-johnson-1
359,Raekwon James,Kent State,MAC,12,76,261,3.4,0,21.8,28,287,10.3,0,23.9,104,548,5.3,0,,raekwon-james-1
360,Roc Thomas*,Auburn,SEC,12,43,261,6.1,1,21.8,11,200,18.2,1,16.7,54,461,8.5,2,,roc-thomas-1
361,Braxton Miller*,Ohio State,Big Ten,13,42,260,6.2,1,20.0,26,341,13.1,3,26.2,68,601,8.8,4,,braxton-miller-1
362,Sam Rogers*,Virginia Tech,ACC,13,61,260,4.3,2,20.0,16,193,12.1,2,14.8,77,453,5.9,4,,sam-rogers-1
363,Garrett Brown*,Air Force,MWC,14,35,259,7.4,1,18.5,27,557,20.6,1,39.8,62,816,13.2,2,,garrett-brown-2
364,Myles Willis,Boston College,ACC,9,67,259,3.9,0,28.8,1,36,36.0,0,4.0,68,295,4.3,0,,myles-willis-1
365,Darrin Hall*,Pitt,ACC,10,64,257,4.0,2,25.7,5,30,6.0,0,3.0,69,287,4.2,2,,darrin-hall-1
366,Aaron Duckworth,Idaho,Sun Belt,11,72,256,3.6,3,23.3,3,19,6.3,0,1.7,75,275,3.7,3,,aaron-duckworth-1
367,Rawleigh Williams III*,Arkansas,SEC,7,56,254,4.5,1,36.3,5,26,5.2,0,3.7,61,280,4.6,1,,rawleigh-williams-iii-1
368,Chris James*,Pitt,ACC,10,56,253,4.5,0,25.3,7,48,6.9,0,4.8,63,301,4.8,0,,chris-james-9
369,Drew Hare*,Northern Illinois,MAC,9,104,252,2.4,1,28.0,0,0,,0,0.0,104,252,2.4,1,,drew-hare-1
370,John Trainor,Army,Ind,12,29,252,8.7,2,21.0,8,176,22.0,1,14.7,37,428,11.6,3,,john-trainor-1
371,Taz Bateman*,Georgia State,Sun Belt,7,49,251,5.1,1,35.9,11,118,10.7,1,16.9,60,369,6.2,2,,taz-bateman-1
372,Darrius Sims,Vanderbilt,SEC,12,43,250,5.8,1,20.8,10,110,11.0,0,9.2,53,360,6.8,1,,darrius-sims-1
373,Garrett Smith,Louisiana-Monroe,Sun Belt,10,108,250,2.3,2,25.0,0,0,,0,0.0,108,250,2.3,2,,garrett-smith-2
374,Ty Johnson,Maryland,Big Ten,12,35,250,7.1,3,20.8,2,30,15.0,0,2.5,37,280,7.6,3,,ty-johnson-1
375,Romello Ross*,Central Michigan,MAC,6,54,247,4.6,4,41.2,11,106,9.6,1,17.7,65,353,5.4,5,,romello-ross-1
376,Andre Flakes,Troy,Sun Belt,12,66,243,3.7,3,20.3,9,49,5.4,0,4.1,75,292,3.9,3,,andre-flakes-1
377,Anthony Jones,Florida International,CUSA,11,48,243,5.1,2,22.1,5,22,4.4,0,2.0,53,265,5.0,2,,anthony-jones-8
378,Nyheim Hines*,North Carolina State,ACC,13,48,243,5.1,1,18.7,20,256,12.8,1,19.7,68,499,7.3,2,,nyheim-hines-1
379,Daniel Hamm,Virginia,ACC,12,57,242,4.2,1,20.2,14,174,12.4,0,14.5,71,416,5.9,1,,daniel-hamm-1
380,Jalen Rhodes,UTSA,CUSA,12,60,242,4.0,3,20.2,5,47,9.4,0,3.9,65,289,4.4,3,,jalen-rhodes-1
381,Marcus Outlow,Boston College,ACC,10,53,241,4.5,1,24.1,4,53,13.3,0,5.3,57,294,5.2,1,,marcus-outlow-1
382,Matt Colburn,Wake Forest,ACC,10,66,239,3.6,1,23.9,0,0,,0,0.0,66,239,3.6,1,,matt-colburn-1
383,Paxton Lynch*,Memphis,American,13,87,239,2.7,2,18.4,0,0,,0,0.0,87,239,2.7,2,,paxton-lynch-1
384,Remound Wright*,Stanford,Pac-12,14,82,239,2.9,13,17.1,6,49,8.2,2,3.5,88,288,3.3,15,,remound-wright-1
385,Keith Harrington*,Washington State,Pac-12,13,37,238,6.4,2,18.3,43,312,7.3,3,24.0,80,550,6.9,5,,keith-harrington-1
386,Treon Harris*,Florida,SEC,12,96,238,2.5,0,19.8,2,-5,-2.5,1,-0.4,98,233,2.4,1,,treon-harris-1
387,C.J. Beathard*,Iowa,Big Ten,14,100,237,2.4,6,16.9,0,0,,0,0.0,100,237,2.4,6,,cj-beathard-1
388,Ervin Philips,Syracuse,ACC,10,41,234,5.7,3,23.4,29,286,9.9,5,28.6,70,520,7.4,8,,ervin-phillips-1
389,Matt Linehan,Idaho,Sun Belt,11,91,234,2.6,5,21.3,0,0,,0,0.0,91,234,2.6,5,,matt-linehan-1
390,Zac Brooks*,Clemson,ACC,14,41,234,5.7,3,16.7,9,113,12.6,2,8.1,50,347,6.9,5,,zac-brooks-1
391,Nathan Peterman*,Pitt,ACC,13,85,232,2.7,1,17.8,0,-2,,0,-0.2,85,230,2.7,1,,nathan-peterman-1
392,Rob Kelley,Tulane,American,12,65,232,3.6,1,19.3,6,33,5.5,1,2.8,71,265,3.7,2,,rob-kelley-1
393,Demond Brown*,Navy,American,13,32,231,7.2,5,17.8,3,41,13.7,0,3.2,35,272,7.8,5,,demond-brown-1
394,Taylor Cox,Kansas,Big 12,9,79,231,2.9,2,25.7,8,48,6.0,0,5.3,87,279,3.2,2,,taylor-cox-1
395,Jarred Craft*,Louisiana Tech,CUSA,10,58,230,4.0,1,23.0,9,60,6.7,1,6.0,67,290,4.3,2,,jarred-craft-1
396,Richard McQuarley*,New Mexico,MWC,12,52,230,4.4,7,19.2,0,0,,0,0.0,52,230,4.4,7,,richard-mcquarley-1
397,Ashton Shumpert*,Mississippi State,SEC,12,59,228,3.9,1,19.0,14,118,8.4,0,9.8,73,346,4.7,1,,ashton-shumpert-1
398,Ron Johnson*,Connecticut,American,12,89,228,2.6,5,19.0,4,29,7.3,0,2.4,93,257,2.8,5,,ron-johnson-8
399,Brandon Harris*,LSU,SEC,12,67,226,3.4,4,18.8,0,0,,0,0.0,67,226,3.4,4,,brandon-harris-4
400,Bryce Love*,Stanford,Pac-12,14,29,226,7.8,2,16.1,15,250,16.7,1,17.9,44,476,10.8,3,,bryce-love-1
401,J.D. Sprague*,Ohio,MAC,7,52,225,4.3,0,32.1,0,0,,0,0.0,52,225,4.3,0,,jd-sprague-1
402,Brenden Motley*,Virginia Tech,ACC,10,88,224,2.5,3,22.4,1,13,13.0,0,1.3,89,237,2.7,3,,brenden-motley-1
403,Eugene Brazley*,Ole Miss,SEC,6,22,222,10.1,3,37.0,0,0,,0,0.0,22,222,10.1,3,,eugene-brazley-1
404,Corey Clement*,Wisconsin,Big Ten,4,48,221,4.6,5,55.3,2,19,9.5,0,4.8,50,240,4.8,5,,corey-clement-1
405,Melvin Davis,Hawaii,MWC,8,59,218,3.7,6,27.3,3,52,17.3,0,6.5,62,270,4.4,6,,melvin-davis-2
406,Devine Ozigbo*,Nebraska,Big Ten,10,39,216,5.5,1,21.6,5,62,12.4,0,6.2,44,278,6.3,1,,devine-ozigbo-1
407,Jordan Asberry,Army,Ind,10,30,213,7.1,0,21.3,2,40,20.0,0,4.0,32,253,7.9,0,,jordan-asberry-1
408,Michael Adkins II,Colorado,Pac-12,3,42,212,5.0,3,70.7,3,7,2.3,0,2.3,45,219,4.9,3,,michael-adkins-ii-1
409,Kilton Anderson,Fresno State,MWC,8,51,211,4.1,5,26.4,0,0,,0,0.0,51,211,4.1,5,,kilton-anderson-1
410,J.C. Coleman*,Virginia Tech,ACC,12,48,210,4.4,1,17.5,2,21,10.5,0,1.8,50,231,4.6,1,,jc-coleman-1
411,Aaron Jones,UTEP,CUSA,2,32,209,6.5,1,104.5,9,106,11.8,1,53.0,41,315,7.7,2,,aaron-jones-6
412,Kavika Johnson,UTEP,CUSA,9,73,209,2.9,1,23.2,0,0,,0,0.0,73,209,2.9,1,,kavika-johnson-1
413,Kerryon Johnson*,Auburn,SEC,13,52,208,4.0,3,16.0,14,159,11.4,0,12.2,66,367,5.6,3,,kerryon-johnson-1
414,Orlando Bradford*,Arizona,Pac-12,10,47,208,4.4,3,20.8,0,0,,0,0.0,47,208,4.4,3,,orlando-bradford-1
415,Anthony Scott,East Carolina,American,10,49,207,4.2,1,20.7,4,23,5.8,0,2.3,53,230,4.3,1,,anthony-scott-2
416,Josh Rounds,Tulane,American,12,35,207,5.9,1,17.3,8,61,7.6,0,5.1,43,268,6.2,1,,josh-rounds-1
417,P.J. Walker*,Temple,American,14,81,207,2.6,2,14.8,1,25,25.0,0,1.8,82,232,2.8,2,,pj-walker-1
418,Aeris Williams*,Mississippi State,SEC,13,40,206,5.2,3,15.8,6,18,3.0,0,1.4,46,224,4.9,3,,aeris-williams-1
419,Maurice Thomas,Miami (OH),MAC,9,18,206,11.4,0,22.9,1,17,17.0,0,1.9,19,223,11.7,0,,maurice-thomas-2
420,Ty Isaac*,Michigan,Big Ten,8,30,205,6.8,1,25.6,2,12,6.0,0,1.5,32,217,6.8,1,,ty-isaac-1
421,Devontae McNeal,Louisiana-Monroe,Sun Belt,13,56,204,3.6,2,15.7,9,104,11.6,1,8.0,65,308,4.7,3,,devontae-mcneal-1
422,Dorian Brown*,Ohio,MAC,8,40,204,5.1,0,25.5,2,21,10.5,0,2.6,42,225,5.4,0,,dorian-brown-1
423,Justice Hayes*,Southern Mississippi,CUSA,9,52,204,3.9,2,22.7,4,49,12.3,0,5.4,56,253,4.5,2,,justice-hayes-1
424,Joe Walker,Army,Ind,10,27,203,7.5,1,20.3,3,85,28.3,2,8.5,30,288,9.6,3,,joe-walker-4
425,Logan Moragne*,Arkansas State,Sun Belt,10,20,203,10.2,1,20.3,0,0,,0,0.0,20,203,10.2,1,,logan-moragne-1
426,Shadrach Thornton*,North Carolina State,ACC,3,30,203,6.8,3,67.7,0,0,,0,0.0,30,203,6.8,3,,shadrach-thornton-1
427,Dakwa Nichols*,North Carolina State,ACC,13,43,201,4.7,1,15.5,1,4,4.0,0,0.3,44,205,4.7,1,,dakwa-nichols-1
428,Bolu Olorunfunmi*,UCLA,Pac-12,7,34,200,5.9,0,28.6,2,30,15.0,0,4.3,36,230,6.4,0,,bolu-olorunfunmi-1
429,Anu Solomon*,Arizona,Pac-12,11,67,198,3.0,3,18.0,0,4,,0,0.4,67,202,3.0,3,,anu-solomon-1
430,Jeremiah Bryson*,Middle Tennessee State,CUSA,7,46,198,4.3,3,28.3,3,1,0.3,0,0.1,49,199,4.1,3,,jeremiah-bryson-1
431,Jon Hilliman,Boston College,ACC,4,51,198,3.9,2,49.5,3,33,11.0,0,8.3,54,231,4.3,2,,jon-hilliman-1
432,Maleek Irons*,Ohio,MAC,7,33,198,6.0,4,28.3,3,33,11.0,0,4.7,36,231,6.4,4,,maleek-irons-1
433,Andrew Allen,New Mexico State,Sun Belt,8,75,197,2.6,0,24.6,0,0,,0,0.0,75,197,2.6,0,,andrew-allen-1
434,James White*,Texas A&M,SEC,9,55,196,3.6,1,21.8,2,6,3.0,0,0.7,57,202,3.5,1,,james-white-5
435,Tyrell Clay,UTSA,CUSA,11,42,196,4.7,3,17.8,2,10,5.0,0,0.9,44,206,4.7,3,,tyrell-clay-1
436,Kyle Postma*,Houston,American,9,27,194,7.2,1,21.6,6,145,24.2,1,16.1,33,339,10.3,2,,kyle-postma-1
437,Cardale Jones*,Ohio State,Big Ten,10,64,193,3.0,2,19.3,0,0,,0,0.0,64,193,3.0,2,,cardale-jones-1
438,Brice Dolezal*,Texas A&M,SEC,4,38,191,5.0,1,47.8,2,13,6.5,0,3.3,40,204,5.1,1,,brice-dolezal-1
439,Ryquell Armstead*,Temple,American,12,51,191,3.7,2,15.9,2,7,3.5,0,0.6,53,198,3.7,2,,ryquell-armstead-1
440,Toneo Gulley*,Navy,American,12,12,189,15.8,3,15.8,2,30,15.0,0,2.5,14,219,15.6,3,,toneo-gulley-1
441,Brandon Wilson*,Houston,American,14,37,188,5.1,2,13.4,6,49,8.2,0,3.5,43,237,5.5,2,,brandon-wilson-3
442,Dakota Gordon*,San Diego State,MWC,14,37,187,5.1,3,13.4,12,167,13.9,1,11.9,49,354,7.2,4,,dakota-gordon-1
443,Steven Lakalaka,Hawaii,MWC,7,48,187,3.9,0,26.7,4,14,3.5,0,2.0,52,201,3.9,0,,steven-lakalaka-1
444,Johnny McCrary,Vanderbilt,SEC,10,70,186,2.7,2,18.6,0,0,,0,0.0,70,186,2.7,2,,johnny-mccrary-1
445,Prescott Line,SMU,American,11,60,186,3.1,1,16.9,6,51,8.5,0,4.6,66,237,3.6,1,,prescott-line-1
446,Trey Edmunds*,Virginia Tech,ACC,13,47,185,3.9,3,14.2,1,8,8.0,0,0.6,48,193,4.0,3,,trey-edmunds-1
447,Tyler Hunt,Missouri,SEC,12,42,185,4.4,1,15.4,6,203,33.8,1,16.9,48,388,8.1,2,,tyler-hunt-2
448,Victor Bolden,Oregon State,Pac-12,12,36,185,5.1,0,15.4,46,461,10.0,3,38.4,82,646,7.9,3,,victor-bolden-1
449,Jager Gardner*,Temple,American,11,32,184,5.8,1,16.7,0,0,,0,0.0,32,184,5.8,1,,jager-gardner-1
450,Marcus Clark,Florida Atlantic,CUSA,12,37,184,5.0,1,15.3,9,121,13.4,1,10.1,46,305,6.6,2,,marcus-clark-1
451,Sione Houma*,Michigan,Big Ten,13,43,184,4.3,5,14.2,8,77,9.6,0,5.9,51,261,5.1,5,,sione-houma-1
452,Dallas Rivers,Vanderbilt,SEC,12,60,183,3.1,1,15.3,7,47,6.7,1,3.9,67,230,3.4,2,,dallas-rivers-1
453,Darrin Laufasa,UTEP,CUSA,12,33,183,5.5,1,15.3,10,91,9.1,0,7.6,43,274,6.4,1,,darrin-laufasa-1
454,Devon Spalding*,Central Michigan,MAC,5,52,182,3.5,1,36.4,14,125,8.9,0,25.0,66,307,4.7,1,,devon-spalding-1
455,Tyler Williams*,Air Force,MWC,12,31,182,5.9,1,15.2,2,10,5.0,0,0.8,33,192,5.8,1,,tyler-williams-5
456,Broderick Snoddy,Georgia Tech,ACC,8,20,181,9.1,1,22.6,1,15,15.0,0,1.9,21,196,9.3,1,,broderick-snoddy-1
457,Chuckie Keeton*,Utah State,MWC,7,50,181,3.6,1,25.9,0,5,,0,0.7,50,186,3.7,1,,chuckie-keeton-1
458,Jordan Scarlett*,Florida,SEC,9,34,181,5.3,1,20.1,1,1,1.0,0,0.1,35,182,5.2,1,,jordan-scarlett-1
459,Mike Majette*,Indiana,Big Ten,12,37,181,4.9,0,15.1,5,44,8.8,1,3.7,42,225,5.4,1,,mike-majette-1
460,Parker Boehme*,Duke,ACC,10,45,181,4.0,5,18.1,0,0,,0,0.0,45,181,4.0,5,,parker-boehme-1
461,David Hood*,Temple,American,9,45,180,4.0,1,20.0,9,73,8.1,1,8.1,54,253,4.7,2,,david-hood-2
462,L.J. Scott*,Louisville,ACC,12,39,180,4.6,2,15.0,7,95,13.6,0,7.9,46,275,6.0,2,,lj-scott-1
463,Brandon Dawkins*,Arizona,Pac-12,5,32,179,5.6,2,35.8,0,18,,0,3.6,32,197,6.2,2,,brandon-dawkins-2
464,Drue Harris,Army,Ind,11,43,179,4.2,2,16.3,0,0,,0,0.0,43,179,4.2,2,,drue-harris-1
465,Marc Remy*,Toledo,MAC,10,30,179,6.0,0,17.9,9,42,4.7,0,4.2,39,221,5.7,0,,marc-remy-1
466,Derrius Vick*,Ohio,MAC,10,93,177,1.9,1,17.7,0,0,,0,0.0,93,177,1.9,1,,derrius-vick-1
467,Chris Nutall,Texas State,Sun Belt,6,35,176,5.0,4,29.3,6,86,14.3,1,14.3,41,262,6.4,5,,chris-nutall-1
468,Lavon Coleman*,Washington,Pac-12,13,33,176,5.3,0,13.5,4,31,7.8,0,2.4,37,207,5.6,0,,lavon-coleman-1
469,Reggie Bonnafon*,Louisville,ACC,10,45,175,3.9,0,17.5,10,105,10.5,0,10.5,55,280,5.1,0,,reggie-bonnafon-1
470,Alex Ross*,Oklahoma,Big 12,13,32,172,5.4,1,13.2,1,1,1.0,0,0.1,33,173,5.2,1,,alex-ross-1
471,Paul Lucas,Oregon State,Pac-12,11,23,172,7.5,0,15.6,1,7,7.0,0,0.6,24,179,7.5,0,,paul-lucas-1
472,C.J. Fuller*,Clemson,ACC,14,42,171,4.1,1,12.2,4,44,11.0,0,3.1,46,215,4.7,1,,cj-fuller-1
473,Devan Demas*,Boise State,MWC,13,29,171,5.9,2,13.2,2,8,4.0,0,0.6,31,179,5.8,2,,devan-demas-1
474,Papi White*,Ohio,MAC,8,31,171,5.5,2,21.4,21,323,15.4,1,40.4,52,494,9.5,3,,papi-white-1
475,George Naufahu,Nevada-Las Vegas,MWC,8,28,170,6.1,3,21.3,5,32,6.4,0,4.0,33,202,6.1,3,,george-naufahu-1
476,Isiah Willis,Georgia Tech,ACC,12,32,169,5.3,1,14.1,6,101,16.8,0,8.4,38,270,7.1,1,,isiah-willis-1
477,Jake Rudock*,Michigan,Big Ten,13,58,166,2.9,4,12.8,1,-3,-3.0,0,-0.2,59,163,2.8,4,,jake-rudock-1
478,Marcus Allen,Georgia Tech,ACC,9,35,166,4.7,2,18.4,1,6,6.0,0,0.7,36,172,4.8,2,,marcus-allen-4
479,John Kelly*,Tennessee,SEC,10,40,165,4.1,1,16.5,0,0,,0,0.0,40,165,4.1,1,,john-kelly-6
480,Leonard Ross,Miami (OH),MAC,9,50,165,3.3,0,18.3,0,0,,0,0.0,50,165,3.3,0,,leonard-ross-1
481,Xavier Hall,New Mexico State,Sun Belt,9,48,165,3.4,1,18.3,8,53,6.6,0,5.9,56,218,3.9,1,,xavier-hall-1
482,Zach Pascal,Old Dominion,CUSA,12,15,165,11.0,1,13.8,68,970,14.3,8,80.8,83,1135,13.7,9,,zach-pascal-1
483,Antwan Dixon,Kent State,MAC,8,11,162,14.7,2,20.3,26,355,13.7,1,44.4,37,517,14.0,3,,antwan-dixon-1
484,Antwan Dixon,Kent State,MAC,9,11,162,14.7,2,18.0,26,355,13.7,1,39.4,37,517,14.0,3,,antwan-dixon-2
485,Derrick Mitchell Jr.*,Iowa,Big Ten,11,25,162,6.5,2,14.7,15,141,9.4,0,12.8,40,303,7.6,2,,derrick-mitchell-jr-1
486,Lazedrick Thompson,Tulane,American,8,45,162,3.6,1,20.3,0,0,,0,0.0,45,162,3.6,1,,lazedrick-thompson-1
487,Driphus Jackson,Rice,CUSA,12,109,161,1.5,3,13.4,0,0,,0,0.0,109,161,1.5,3,,driphus-jackson-1
488,Matthew Jordan,Georgia Tech,ACC,5,37,161,4.4,2,32.2,0,0,,0,0.0,37,161,4.4,2,,matthew-jordan-1
489,Brandon Polk*,Penn State,Big Ten,13,18,159,8.8,1,12.2,6,57,9.5,1,4.4,24,216,9.0,2,,brandon-polk-1
490,Matt Johnson*,Bowling Green,MAC,14,113,159,1.4,4,11.4,1,16,16.0,0,1.1,114,175,1.5,4,,matt-johnson-3
491,Solomon Vault*,Northwestern,Big Ten,13,56,159,2.8,0,12.2,11,95,8.6,0,7.3,67,254,3.8,0,,solomon-vault-1
492,Thomas Tucker*,San Jose State,MWC,6,40,159,4.0,2,26.5,11,168,15.3,0,28.0,51,327,6.4,2,,thomas-tucker-1
493,Kody Cook*,Kansas State,Big 12,13,67,158,2.4,2,12.2,27,412,15.3,3,31.7,94,570,6.1,5,,kody-cook-1
494,Ricardo Louis*,Auburn,SEC,13,29,158,5.4,1,12.2,46,716,15.6,3,55.1,75,874,11.7,4,,ricardo-louis-1
495,Ryan Wolpin*,Boise State,MWC,13,26,158,6.1,0,12.2,0,0,,0,0.0,26,158,6.1,0,,ryan-wolpin-1
496,Derrick Green*,Michigan,Big Ten,9,47,157,3.3,2,17.4,1,7,7.0,0,0.8,48,164,3.4,2,,derrick-green-1
497,Jordan Cronkrite*,Florida,SEC,13,44,157,3.6,3,12.1,6,89,14.8,1,6.8,50,246,4.9,4,,jordan-cronkrite-1
498,Nick Smith,Wyoming,MWC,5,45,157,3.5,2,31.4,0,0,,0,0.0,45,157,3.5,2,,nick-smith-4
499,Kamani Thomas*,Middle Tennessee State,CUSA,7,23,156,6.8,3,22.3,0,0,,0,0.0,23,156,6.8,3,,kamani-thomas-1
500,Kelly Bryant*,Clemson,ACC,8,23,156,6.8,2,19.5,0,0,,0,0.0,23,156,6.8,2,,kelly-bryant-1
501,Jehu Chesson*,Michigan,Big Ten,13,8,155,19.4,2,11.9,50,764,15.3,9,58.8,58,919,15.8,11,,jehu-chesson-1
502,Josh Boyd*,Appalachian State,Sun Belt,13,41,155,3.8,0,11.9,2,27,13.5,0,2.1,43,182,4.2,0,,josh-boyd-2
503,Chico McClatcher*,Washington,Pac-12,13,19,153,8.1,3,11.8,8,78,9.8,1,6.0,27,231,8.6,4,,chico-mcclatcher-1
504,Aregeros Turner*,Northern Illinois,MAC,14,24,152,6.3,1,10.9,39,343,8.8,1,24.5,63,495,7.9,2,,aregeros-turner-1
505,Kwame Etwi*,Texas A&M,SEC,6,20,151,7.6,0,25.2,0,0,,0,0.0,20,151,7.6,0,,kwame-etwi-1
506,Zack Mahoney,Syracuse,ACC,8,41,151,3.7,2,18.9,0,0,,0,0.0,41,151,3.7,2,,zack-mahoney-1
507,Daniel Brooks*,Oklahoma,Big 12,10,28,150,5.4,0,15.0,2,40,20.0,0,4.0,30,190,6.3,0,,daniel-brooks-1
508,Nate Carter*,BYU,Ind,9,37,148,4.0,2,16.4,2,11,5.5,0,1.2,39,159,4.1,2,,nate-carter-2
509,Caleb Rowe,Maryland,Big Ten,10,20,147,7.4,0,14.7,0,0,,0,0.0,20,147,7.4,0,,caleb-rowe-1
510,Demarcus Ayers*,Houston,American,14,25,147,5.9,1,10.5,98,1222,12.5,6,87.3,123,1369,11.1,7,,demarcus-ayers-1
511,Vernon Adams*,Oregon,Pac-12,10,83,147,1.8,2,14.7,0,0,,0,0.0,83,147,1.8,2,,vernon-adams-1
512,Richie James*,Middle Tennessee State,CUSA,13,12,146,12.2,1,11.2,108,1346,12.5,8,103.5,120,1492,12.4,9,,richie-james-1
513,Maty Mauk,Missouri,SEC,5,36,145,4.0,1,29.0,0,0,,0,0.0,36,145,4.0,1,,maty-mauk-1
514,Trayone Gray*,Miami (FL),ACC,5,23,145,6.3,2,29.0,1,11,11.0,0,2.2,24,156,6.5,2,,trayone-gray-1
515,Jeff Carr*,Oklahoma State,Big 12,13,36,142,3.9,1,10.9,11,24,2.2,2,1.8,47,166,3.5,3,,jeff-carr-2
516,Taylor Alie*,Oregon,Pac-12,12,10,142,14.2,3,11.8,0,0,,0,0.0,10,142,14.2,3,,taylor-alie-2
517,Chris Brown,Oregon State,Pac-12,7,32,141,4.4,1,20.1,2,6,3.0,0,0.9,34,147,4.3,1,,chris-brown-14
518,J.P. Caruso*,Appalachian State,Sun Belt,5,19,141,7.4,0,28.2,0,0,,0,0.0,19,141,7.4,0,,jp-caruso-1
519,Brendan Douglas*,Georgia,SEC,12,36,140,3.9,0,11.7,4,25,6.3,0,2.1,40,165,4.1,0,,brendan-douglas-1
520,Calvin Cass Jr.*,Navy,American,13,16,140,8.8,1,10.8,3,34,11.3,1,2.6,19,174,9.2,2,,calvin-cass-jr-1
521,Justin Holman,UCF,American,9,46,140,3.0,0,15.6,0,0,,0,0.0,46,140,3.0,0,,justin-holman-1
522,Mario Pender*,Florida State,ACC,3,30,140,4.7,1,46.7,3,34,11.3,0,11.3,33,174,5.3,1,,mario-pender-1
523,Christian Drake,Army,Ind,8,16,138,8.6,1,17.3,0,0,,0,0.0,16,138,8.6,1,,christian-drake-1
524,Deionte Gaines*,Colorado State,MWC,10,12,138,11.5,2,13.8,13,112,8.6,1,11.2,25,250,10.0,3,,deionte-gaines-1
525,Perry Orth,South Carolina,SEC,12,53,138,2.6,2,11.5,1,17,17.0,1,1.4,54,155,2.9,3,,perry-orth-1
526,Chaz Thornton*,Georgia Southern,Sun Belt,11,20,137,6.9,1,12.5,0,0,,0,0.0,20,137,6.9,1,,chaz-thornton-1
527,Dontavian Lee*,Mississippi State,SEC,10,22,137,6.2,0,13.7,2,15,7.5,0,1.5,24,152,6.3,0,,dontavian-lee-1
528,Jeremy Johnson*,Auburn,SEC,12,47,137,2.9,6,11.4,0,0,,0,0.0,47,137,2.9,6,,jeremy-johnson-5
529,Leon Allen*,Western Kentucky,CUSA,2,27,137,5.1,2,68.5,5,72,14.4,0,36.0,32,209,6.5,2,,leon-allen-1
530,Teddy Williamson,Ball State,MAC,12,40,136,3.4,0,11.3,2,3,1.5,0,0.3,42,139,3.3,0,,teddy-williamson-1
531,Warren Redix,UTEP,CUSA,11,23,136,5.9,0,12.4,29,202,7.0,1,18.4,52,338,6.5,1,,warren-redix-1
532,Zander Diamont*,Indiana,Big Ten,2,18,136,7.6,2,68.0,1,16,16.0,0,8.0,19,152,8.0,2,,zander-diamont-1
533,TK Powell,UTEP,CUSA,3,21,134,6.4,0,44.7,1,-1,-1.0,0,-0.3,22,133,6.0,0,,tk-powell-1
534,Nick Holley,Kent State,MAC,3,34,133,3.9,0,44.3,7,46,6.6,2,15.3,41,179,4.4,2,,nick-holley-1
535,Nick Scott*,Penn State,Big Ten,13,30,133,4.4,1,10.2,4,43,10.8,0,3.3,34,176,5.2,1,,nick-scott-1
536,Curtis Samuel*,Ohio State,Big Ten,13,17,132,7.8,1,10.2,22,289,13.1,2,22.2,39,421,10.8,3,,curtis-samuel-1
537,Tanner McEvoy*,Wisconsin,Big Ten,13,17,132,7.8,2,10.2,10,109,10.9,0,8.4,27,241,8.9,2,,tanner-mcevoy-1
538,Alec Ingold*,Wisconsin,Big Ten,10,49,131,2.7,6,13.1,0,0,,0,0.0,49,131,2.7,6,,alec-ingold-1
539,David Washington,Old Dominion,CUSA,10,40,131,3.3,0,13.1,8,67,8.4,1,6.7,48,198,4.1,1,,david-washington-4
540,Delaunte Thornton*,Southern Mississippi,CUSA,4,25,131,5.2,0,32.8,0,0,,0,0.0,25,131,5.2,0,,delaunte-thornton-1
541,Ryan Metz,UTEP,CUSA,8,32,130,4.1,1,16.3,0,0,,0,0.0,32,130,4.1,1,,ryan-metz-1
542,Chris Carter,Army,Ind,2,42,129,3.1,1,64.5,0,0,,0,0.0,42,129,3.1,1,,chris-carter-7
543,Daryl Chestnut*,New Mexico,MWC,13,16,129,8.1,2,9.9,2,32,16.0,0,2.5,18,161,8.9,2,,daryl-chestnut-1
544,Lynx Hawthorne*,Baylor,Big 12,13,17,129,7.6,2,9.9,10,95,9.5,1,7.3,27,224,8.3,3,,lynx-hawthorne-1
545,Blake Decker,Nevada-Las Vegas,MWC,9,47,127,2.7,1,14.1,0,0,,0,0.0,47,127,2.7,1,,blake-decker-1
546,Nick Fitzgerald*,Mississippi State,SEC,8,23,127,5.5,3,15.9,0,0,,0,0.0,23,127,5.5,3,,nick-fitzgerald-2
547,R.J. Shelton*,Michigan State,Big Ten,14,24,127,5.3,0,9.1,43,503,11.7,4,35.9,67,630,9.4,4,,rj-shelton-1
548,Sihiem King,Kentucky,SEC,12,11,127,11.5,1,10.6,4,6,1.5,0,0.5,15,133,8.9,1,,sihiem-king-1
549,Tago Smith*,Navy,American,8,27,126,4.7,1,15.8,0,0,,0,0.0,27,126,4.7,1,,tago-smith-1
