,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,-additional
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
242,D.J. Knox,Purdue,Big Ten,10,108,409,3.8,2,40.9,26,189,7.3,0,18.9,134,598,4.5,2,,dj-knox-1
243,Kenyan Drake*,Alabama,SEC,13,77,408,5.3,1,31.4,29,276,9.5,1,21.2,106,684,6.5,2,,kenyan-drake-1
244,Ryan Jackson*,Houston,American,10,84,407,4.8,4,40.7,12,111,9.3,0,11.1,96,518,5.4,4,,ryan-jackson-1
245,Jalen Nixon,Louisiana,Sun Belt,11,61,406,6.7,5,36.9,0,0,,0,0.0,61,406,6.7,5,,jalen-nixon-1
246,Baker Mayfield*,Oklahoma,Big 12,13,141,405,2.9,7,31.2,0,0,,0,0.0,141,405,2.9,7,H-4,baker-mayfield-1
247,Soso Jamabo*,UCLA,Pac-12,13,66,403,6.1,4,31.0,5,58,11.6,0,4.5,71,461,6.5,4,,soso-jamabo-1
248,Seth Russell*,Baylor,Big 12,7,49,402,8.2,6,57.4,0,0,,0,0.0,49,402,8.2,6,,seth-russell-1
249,Fredi Knighten*,Arkansas State,Sun Belt,10,139,401,2.9,5,40.1,1,9,9.0,0,0.9,140,410,2.9,5,,fredi-knighten-1
250,Torrey Pierce,Louisiana,Sun Belt,12,87,401,4.6,4,33.4,5,46,9.2,0,3.8,92,447,4.9,4,,torrey-pierce-1
251,T.J. Logan*,North Carolina,ACC,14,66,400,6.1,5,28.6,11,151,13.7,1,10.8,77,551,7.2,6,,tj-logan-1
252,Tommy Armstrong Jr.*,Nebraska,Big Ten,12,98,400,4.1,7,33.3,0,0,,0,0.0,98,400,4.1,7,,tommy-armstrong-jr-1
253,Riley Neal,Ball State,MAC,11,88,399,4.5,2,36.3,0,0,,0,0.0,88,399,4.5,2,,riley-neal-1
254,Remi Watson*,Marshall,CUSA,10,80,398,5.0,5,39.8,5,55,11.0,0,5.5,85,453,5.3,5,,remi-watson-1
255,Clayton Thorson*,Northwestern,Big Ten,13,100,397,4.0,5,30.5,1,0,0.0,0,0.0,101,397,3.9,5,,clayton-thorson-1
256,Kody Walker*,Arkansas,SEC,9,90,394,4.4,6,43.8,1,4,4.0,0,0.4,91,398,4.4,6,,kody-walker-1
257,Jamal Wilson,Massachusetts,MAC,12,88,390,4.4,6,32.5,24,182,7.6,1,15.2,112,572,5.1,7,,jamal-wilson-3
258,Kendall Hinton,Wake Forest,ACC,9,93,390,4.2,7,43.3,0,0,,0,0.0,93,390,4.2,7,,kendall-hinton-1
259,Jarvis Cooper*,Memphis,American,12,91,389,4.3,5,32.4,3,29,9.7,0,2.4,94,418,4.4,5,,jarvis-cooper-1
260,Samuel Stewart,Rice,CUSA,11,95,388,4.1,4,35.3,8,93,11.6,2,8.5,103,481,4.7,6,,samuel-stewart-1
261,De'Andre Mann,Kansas,Big 12,11,77,387,5.0,1,35.2,10,76,7.6,0,6.9,87,463,5.3,1,,deandre-mann-1
262,A.J. Schurr,Army,Ind,7,98,384,3.9,7,54.9,0,0,,0,0.0,98,384,3.9,7,,aj-schurr-1
263,Jeremiah Laufasa,UTEP,CUSA,12,102,381,3.7,1,31.8,14,130,9.3,0,10.8,116,511,4.4,1,,jeremiah-laufasa-1
264,Jordan Wilkins*,Ole Miss,SEC,13,72,379,5.3,4,29.2,5,75,15.0,0,5.8,77,454,5.9,4,,jordan-wilkins-1
265,Desmond Anderson*,Middle Tennessee State,CUSA,10,83,378,4.6,4,37.8,1,42,42.0,0,4.2,84,420,5.0,4,,desmond-anderson-1
266,Dishan Romine*,Navy,American,13,36,378,10.5,0,29.1,2,42,21.0,0,3.2,38,420,11.1,0,,dishan-romine-1
267,Patrick Skov,Georgia Tech,ACC,11,93,377,4.1,6,34.3,3,44,14.7,2,4.0,96,421,4.4,8,,patrick-skov-1
268,Lorenzo Nunez,South Carolina,SEC,8,59,375,6.4,2,46.9,0,0,,0,0.0,59,375,6.4,2,,lorenzo-nunez-1
269,Martez Walker*,Central Michigan,MAC,11,106,373,3.5,2,33.9,19,97,5.1,0,8.8,125,470,3.8,2,,martez-walker-1
270,Jacoby Brissett*,North Carolina State,ACC,13,139,370,2.7,6,28.5,0,0,,0,0.0,139,370,2.7,6,,jacoby-brissett-2
271,Jeremy Cox,Old Dominion,CUSA,10,72,369,5.1,1,36.9,20,99,5.0,0,9.9,92,468,5.1,1,,jeremy-cox-1
272,Jaylen Samuels*,North Carolina State,ACC,13,56,368,6.6,9,28.3,65,597,9.2,7,45.9,121,965,8.0,16,,jaylen-samuels-1
273,Rashaad Penny*,San Diego State,MWC,14,61,368,6.0,4,26.3,8,120,15.0,1,8.6,69,488,7.1,5,,rashaad-penny-1
274,Justin Stockton*,Texas Tech,Big 12,13,61,367,6.0,5,28.2,22,341,15.5,6,26.2,83,708,8.5,11,,justin-stockton-1
275,Kani Benoit*,Oregon,Pac-12,11,52,364,7.0,3,33.1,2,49,24.5,1,4.5,54,413,7.6,4,,kani-benoit-1
276,Bryan Driskell*,Air Force,MWC,14,50,363,7.3,0,25.9,2,11,5.5,0,0.8,52,374,7.2,0,,bryan-driskell-1
