Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
214,Travis Levy,Boston College,ACC,10,99,321,3.2,0,32.1,35,285,8.1,0,28.5,134,606,4.5,0,,travis-levy-1
215,Jakairi Moses,Western Kentucky,CUSA,11,60,319,5.3,0,29.0,9,38,4.2,0,3.5,69,357,5.2,0,,jakairi-moses-1
216,Kevin Perkins,Southern Mississippi,CUSA,9,67,317,4.7,7,35.2,6,26,4.3,0,2.9,73,343,4.7,7,,kevin-perkins-1
217,T.K. Wilkerson,Tulsa,American,7,80,317,4.0,4,45.3,2,4,2.0,0,0.6,82,321,3.9,4,,tk-wilkerson-1
218,Kairee Robinson,San Jose State,MWC,8,82,313,3.8,2,39.1,19,156,8.2,0,19.5,101,469,4.6,2,,kairee-robinson-1
219,Jo'quavious Marks,Mississippi State,SEC,11,70,312,4.5,3,28.4,60,268,4.5,0,24.4,130,580,4.5,3,,joquavious-marks-1
220,Zac Thomas,Appalachian State,Sun Belt,12,90,312,3.5,2,26.0,0,0,,0,0.0,90,312,3.5,2,,zac-thomas-2
221,Malik Davis,Florida,SEC,12,66,310,4.7,0,25.8,31,377,12.2,0,31.4,97,687,7.1,0,,malik-davis-1
222,Tyler Lavine,SMU,American,10,61,310,5.1,5,31.0,8,93,11.6,0,9.3,69,403,5.8,5,,tyler-lavine-1
223,Rakeem Boyd,Arkansas,SEC,7,82,309,3.8,3,44.1,10,33,3.3,0,4.7,92,342,3.7,3,,rakeem-boyd-2
224,Re'Mahn Davis,Temple,American,4,78,308,3.9,1,77.0,12,62,5.2,0,15.5,90,370,4.1,1,,remahn-davis-1
225,Dorian Thompson-Robinson,UCLA,Pac-12,5,55,306,5.6,3,61.2,0,0,,0,0.0,55,306,5.6,3,,dorian-thompson-robinson-1
226,Tayvon Ruley,Temple,American,7,73,306,4.2,1,43.7,4,30,7.5,0,4.3,77,336,4.4,1,,tayvon-ruley-1
227,James Cook,Georgia,SEC,8,45,303,6.7,3,37.9,16,225,14.1,2,28.1,61,528,8.7,5,,james-cook-2
228,Anthony Adkins,Army,Ind,10,51,302,5.9,4,30.2,0,0,,0,0.0,51,302,5.9,4,,anthony-adkins-1
229,Cornelious Brown,Georgia State,Sun Belt,10,98,301,3.1,7,30.1,0,0,,0,0.0,98,301,3.1,7,,cornelious-brown-1
230,Jalen Berger,Wisconsin,Big Ten,4,60,301,5.0,2,75.3,2,13,6.5,0,3.3,62,314,5.1,2,,jalen-berger-1
231,Garrett Groshek,Wisconsin,Big Ten,6,67,300,4.5,2,50.0,22,119,5.4,0,19.8,89,419,4.7,2,,garrett-groshek-1
232,C'Bo Flemister,Notre Dame,ACC,9,58,299,5.2,5,33.2,2,36,18.0,0,4.0,60,335,5.6,5,,cbo-flemister-1
233,Malcolm Davidson,Florida Atlantic,CUSA,6,42,298,7.1,2,49.7,6,96,16.0,0,16.0,48,394,8.2,2,,malcolm-davidson-1
234,Deshaun Fenwick,South Carolina,SEC,8,54,297,5.5,1,37.1,14,108,7.7,0,13.5,68,405,6.0,1,,deshaun-fenwick-1
235,Haaziq Daniels,Air Force,MWC,6,55,297,5.4,3,49.5,0,0,,0,0.0,55,297,5.4,3,,haaziq-daniels-1
236,TJ McDaniel,SMU,American,4,60,297,5.0,1,74.3,4,11,2.8,0,2.8,64,308,4.8,1,,tj-mcdaniel-1
237,Dontae Smith,Georgia Tech,ACC,10,43,296,6.9,3,29.6,6,52,8.7,0,5.2,49,348,7.1,3,,dontae-smith-1
238,Terion Stewart,Bowling Green,MAC,4,37,295,8.0,4,73.8,2,10,5.0,0,2.5,39,305,7.8,4,,terion-stewart-1
239,Kellen Mond,Texas A&M,SEC,10,74,294,4.0,4,29.4,0,0,,0,0.0,74,294,4.0,4,,kellen-mond-1
240,Ainias Smith,Texas A&M,SEC,10,49,293,6.0,4,29.3,43,564,13.1,6,56.4,92,857,9.3,10,,ainias-smith-1
241,Deamonte Trayanum,Arizona State,Pac-12,4,49,290,5.9,4,72.5,1,5,5.0,0,1.3,50,295,5.9,4,,deamonte-trayanum-1
242,CJ Verdell,Oregon,Pac-12,5,65,285,4.4,3,57.0,9,96,10.7,0,19.2,74,381,5.1,3,,cj-verdell-1
243,Johnny Ford,South Florida,American,7,55,285,5.2,3,40.7,15,125,8.3,1,17.9,70,410,5.9,4,,johnny-ford-1
244,Marquez Cooper,Kent State,MAC,4,56,282,5.0,5,70.5,1,14,14.0,0,3.5,57,296,5.2,5,,marquez-cooper-1
245,Shane Simpson,Virginia,ACC,10,54,278,5.1,2,27.8,13,133,10.2,1,13.3,67,411,6.1,3,,shane-simpson-1
246,B.J. Smith,Troy,Sun Belt,10,73,277,3.8,3,27.7,26,227,8.7,0,22.7,99,504,5.1,3,,bj-smith-1
247,Shaun Shivers,Auburn,SEC,8,62,276,4.5,1,34.5,10,55,5.5,0,6.9,72,331,4.6,1,,shaun-shivers-1
248,Will Jones,Ball State,MAC,6,69,276,4.0,2,46.0,2,11,5.5,0,1.8,71,287,4.0,2,,will-jones-3
249,Devyn Ford,Penn State,Big Ten,6,67,274,4.1,3,45.7,7,24,3.4,0,4.0,74,298,4.0,3,,devyn-ford-1
250,Tyjae Spears,Tulane,American,3,37,274,7.4,2,91.3,2,30,15.0,0,10.0,39,304,7.8,2,,tyjae-spears-1
251,Chance Bell,San Diego State,MWC,7,56,273,4.9,3,39.0,3,26,8.7,0,3.7,59,299,5.1,3,,chance-bell-1
252,Tyler Shough,Oregon,Pac-12,7,66,271,4.1,2,38.7,0,18,,0,2.6,66,289,4.4,2,,tyler-shough-1
253,Spencer Sanders,Oklahoma State,Big 12,9,101,269,2.7,2,29.9,1,1,1.0,0,0.1,102,270,2.6,2,,spencer-sanders-1
254,Sandon McCoy,Army,Ind,11,86,268,3.1,10,24.4,1,-4,-4.0,0,-0.4,87,264,3.0,10,,sandon-mccoy-1
255,A.J. Davis,Pitt,ACC,9,61,266,4.4,1,29.6,10,45,4.5,0,5.0,71,311,4.4,1,,aj-davis-4
