Age,School,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,BMI,Position,Drafted,Round,Pick
22,Cincinnati,1.8034,87.99691978,4.5,80.01,17,276.86,7.27,4.35,27.0572304,CB,Yes,5,143
21,Virginia,1.9558,113.8516849,4.78,85.09,20,284.48,6.84,4.27,29.76395083,TE,Yes,6,208
20,Texas Tech,1.8796,118.3876086,4.78,83.82,NA,284.48,7.23,4.49,33.5100731,DE,Yes,4,120
21,TCU,1.8288,106.1406146,4.59,88.9,22,292.1,7.21,4.34,31.73577964,OLB,Yes,6,197
21,Oregon St.,1.8796,112.4909078,4.72,83.82,24,287.02,7.21,4.4,31.840989,OLB,Yes,4,110
22,USC,1.8796,102.965468,4.57,NA,25,NA,NA,NA,29.14477622,K,Yes,5,172
22,Oklahoma,1.8034,85.72895793,4.5,NA,NA,NA,NA,NA,26.3598791,WR,Yes,7,229
23,Texas A&M,1.905,102.0582833,4.61,83.82,NA,284.48,7.34,4.49,28.12278319,QB,Yes,4,101
23,Clemson,1.8796,97.06876718,4.57,95.25,17,297.18,7.14,4.42,27.47569212,SS,Yes,5,166
21,Cincinnati,1.8034,83.46099608,4.53,NA,NA,NA,NA,NA,25.6625278,CB,Yes,7,227
21,Georgia,1.8034,98.42954429,4.5,90.17,25,292.1,6.84,4.27,30.26504638,RB,Yes,1,12
22,North Carolina,1.9304,119.7483857,4.88,82.55,24,302.26,7.5,4.62,32.13475918,TE,Yes,2,64
24,Fresno St.,1.9558,99.7903214,4.87,72.39,NA,269.24,6.93,4.37,26.08792503,QB,Yes,6,174
23,Texas Tech,1.8288,89.81128926,4.53,96.52,14,302.26,6.8,4.16,26.853352,FS,Yes,2,48
22,South Carolina,1.8288,85.72895793,4.37,93.98,NA,287.02,6.96,4.1,25.63274509,WR,Yes,5,141
23,Wake Forest,1.7526,87.54332741,4.47,86.36,13,317.5,7.09,4.38,28.50082522,CB,Yes,2,37
23,Iowa,1.9558,138.7992652,5.23,62.23,23,228.6,7.59,4.7,36.28593209,OG,Yes,4,132
23,Tennessee,1.905,123.3771246,4.77,74.93,18,259.08,7.56,4.51,33.99732012,DE,Yes,1,18
21,Notre Dame,1.8796,99.33672903,4.4,105.41,19,335.28,6.6,4.28,28.11764754,FS,Yes,4,114
21,Georgia,1.8796,102.0582833,4.81,77.47,NA,271.78,7.06,4.47,28.88799405,QB,Yes,1,1
22,Penn St.,1.8034,87.99691978,4.47,83.82,15,NA,NA,NA,27.0572304,WR,Yes,3,82
21,Wisconsin,1.8796,107.0477993,4.56,NA,19,302.26,NA,NA,30.30029598,OLB,Yes,3,76
24,Maryland,1.9558,115.6660544,4.79,83.82,26,309.88,6.92,4.26,30.23827674,TE,Yes,7,255
21,West. Michigan,1.8034,91.62565874,4.52,93.98,12,320.04,6.67,4.17,28.17299248,FS,Yes,2,33
21,California,1.8796,107.0477993,4.69,93.98,NA,297.18,7.31,NA,30.30029598,OLB,Yes,7,235
24,Oklahoma St.,1.9558,119.2947933,4.8,83.82,22,299.72,7.12,4.37,31.18692856,TE,Yes,1,20
23,Nebraska,2.0066,138.7992652,4.82,88.9,25,279.4,7.06,4.34,34.47192619,OT,Yes,7,228
22,Georgia,1.905,124.7379018,4.94,80.01,19,271.78,7.4,4.58,34.37229056,DE,Yes,6,182
22,Cincinnati,1.8542,89.81128926,4.48,92.71,16,317.5,7,4.2,26.12268282,FS,Yes,6,187
22,Boston Col.,1.8542,152.8606287,5.12,81.28,33,261.62,7.9,4.69,44.4613339,DT,Yes,1,9
22,South Carolina,1.9558,137.8920805,4.99,71.12,31,266.7,8.01,4.82,36.04876914,OT,Yes,5,162
22,USC,1.905,108.8621688,4.58,90.17,23,307.34,6.9,4.18,29.9976354,OLB,Yes,1,26
22,LSU,1.8542,111.583723,4.72,81.28,16,292.1,NA,NA,32.45545442,FB,Yes,5,145
22,USC,1.905,110.2229459,4.64,88.9,30,304.8,6.84,4.22,30.37260584,OLB,Yes,1,15
24,North Carolina St.,1.9558,118.8412009,4.84,77.47,21,271.78,7.31,4.56,31.06834709,TE,Yes,4,122
23,New Mexico,1.8034,92.53284348,4.5,96.52,22,302.26,7.39,4.43,28.451933,FS,Yes,4,112
22,Alabama,1.905,140.1600423,5.24,71.12,23,281.94,7.96,5.04,38.62195558,C,Yes,3,77
22,Arizona St.,1.8288,93.44002822,4.58,80.01,12,297.18,7.06,4.3,27.93833592,FS,Yes,7,223
22,Cincinnati,1.9304,116.1196467,4.47,102.87,21,325.12,6.87,4.18,31.1609786,OLB,Yes,2,46
24,Rice,1.905,111.583723,4.69,91.44,28,281.94,7,4.48,30.74757628,FB,Yes,5,152
21,Connecticut,1.778,95.2543977,4.46,105.41,NA,317.5,6.93,4.1,30.13155341,RB,Yes,1,27
NA,Michigan,1.8288,138.7992652,5.08,76.2,37,264.16,7.78,5.06,41.50063491,DT,Yes,4,136
23,BYU,1.8542,90.718474,4.53,86.36,17,304.8,6.78,4.24,26.38654831,WR,Yes,4,127
