Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
423,Emanuel Thompson,Troy,Sun Belt,12,28,299,10.7,3,24.9,0,0,,0,0.0,28,299,10.7,3,,emanuel-thompson-1
424,Juwan Brescacin*,Northern Illinois,MAC,13,24,298,12.4,1,22.9,0,0,,0,0.0,24,298,12.4,1,,juwan-brescacin-1
425,Keith Heitzman*,Ohio,MAC,13,22,297,13.5,3,22.8,0,0,,0,0.0,22,297,13.5,3,,keith-heitzman-1
426,Eric Judge*,San Diego State,MWC,14,15,296,19.7,2,21.1,0,0,,0,0.0,15,296,19.7,2,,eric-judge-1
427,Sean Price*,South Florida,American,13,19,296,15.6,5,22.8,0,0,,0,0.0,19,296,15.6,5,,sean-price-1
428,Todd Boyd*,Georgia State,Sun Belt,13,25,296,11.8,2,22.8,1,9,9.0,0,0.7,26,305,11.7,2,,todd-boyd-1
429,Bryan Holmes,Troy,Sun Belt,10,19,295,15.5,3,29.5,0,0,,0,0.0,19,295,15.5,3,,bryan-holmes-1
430,Justin Hunt*,Marshall,CUSA,13,20,295,14.8,4,22.7,0,0,,0,0.0,20,295,14.8,4,,justin-hunt-2
431,Jamal Morrow*,Washington State,Pac-12,12,33,294,8.9,4,24.5,53,347,6.5,0,28.9,86,641,7.5,4,,jamal-morrow-1
432,Quinton Pedroza,Hawaii,MWC,6,23,294,12.8,1,49.0,3,19,6.3,0,3.2,26,313,12.0,1,,quinton-pedroza-2
433,Brisly Estime,Syracuse,ACC,11,17,293,17.2,2,26.6,6,17,2.8,0,1.5,23,310,13.5,2,,brisly-estime-1
434,Elijah McGuire,Louisiana,Sun Belt,12,33,293,8.9,3,24.4,210,1058,5.0,13,88.2,243,1351,5.6,16,,elijah-mcguire-1
435,Mark Walton*,Miami (FL),ACC,13,22,293,13.3,1,22.5,129,450,3.5,9,34.6,151,743,4.9,10,,mark-walton-1
436,Alvin Kamara*,Tennessee,SEC,13,34,291,8.6,3,22.4,107,698,6.5,7,53.7,141,989,7.0,10,,alvin-kamara-1
437,David Grinnage*,North Carolina State,ACC,13,25,290,11.6,3,22.3,0,0,,0,0.0,25,290,11.6,3,,david-grinnage-1
438,George Kittle*,Iowa,Big Ten,14,20,290,14.5,6,20.7,0,0,,0,0.0,20,290,14.5,6,,george-kittle-1
439,Curtis Samuel*,Ohio State,Big Ten,13,22,289,13.1,2,22.2,17,132,7.8,1,10.2,39,421,10.8,3,,curtis-samuel-1
440,Darreus Rogers*,USC,Pac-12,12,28,289,10.3,3,24.1,1,1,1.0,0,0.1,29,290,10.0,3,,darreus-rogers-1
