Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank▲,Notes
1,Michigan,Big Ten,15,0,1,9,0,1,35.9,10.4,25.01,5.61,2,1,1,
2,Washington,Pac-12,14,1,0.933,9,0,1,36,24.8,17.89,7.83,10,2,2,
3,Texas,Big 12,12,2,0.857,8,1,0.889,35.8,18.9,20.32,6.61,11,3,3,
4,Georgia,SEC,13,1,0.929,8,0,1,40.1,15.6,20,3.21,1,1,4,
5,Alabama,SEC,12,2,0.857,8,0,1,34,19,18.16,6.58,4,3,5,
6,Oregon,Pac-12,12,2,0.857,8,1,0.889,44.2,16.5,19.94,3.3,15,5,6,
7,Florida State,ACC,13,1,0.929,8,0,1,34.6,19.3,16.51,2.94,8,3,6,
8,Missouri,SEC,11,2,0.846,6,2,0.75,32.5,20.8,16.36,4.97,,8,8,
9,Ole Miss,SEC,11,2,0.846,6,2,0.75,35.1,22.5,13.49,3.8,22,9,9,
10,Ohio State,Big Ten,11,2,0.846,8,1,0.889,30.5,11.2,20.26,5.64,3,2,10,
11,Arizona,Pac-12,10,3,0.769,7,2,0.778,34.6,21.1,13.8,2.42,,11,11,
12,LSU,SEC,10,3,0.769,6,2,0.75,45.5,28,14.66,4.59,5,5,12,
13,Penn State,Big Ten,10,3,0.769,7,2,0.778,36.2,13.5,18.23,4.08,7,6,13,
14,Notre Dame,Ind,10,3,0.769,,,,39.2,15.9,16.79,2.02,13,9,14,
15,Oklahoma,Big 12,10,3,0.769,7,2,0.778,41.7,23.5,15.86,4.78,20,5,15,
16,Oklahoma State,Big 12,10,4,0.714,7,2,0.778,29.6,28.6,6.45,3.95,,15,16,
17,Tennessee,SEC,9,4,0.692,4,4,0.5,31.8,20.3,10.69,3.23,12,9,17,
18,Kansas State,Big 12,9,4,0.692,6,3,0.667,37.1,21,15.63,5.09,16,15,18,
19,Louisville,ACC,10,4,0.714,7,1,0.875,30.7,21.3,10.42,3.64,,9,19,
20,Clemson,ACC,9,4,0.692,4,4,0.5,29.8,21.1,9.82,3.28,9,9,20,
21,North Carolina State,ACC,9,4,0.692,6,2,0.75,26.2,20.8,7.41,3.03,,19,21,
22,SMU,American,11,3,0.786,8,0,1,38.7,17.8,7.41,-4.45,,17,22,
23,Kansas,Big 12,9,4,0.692,5,4,0.556,34.8,26.5,9.06,2.67,,19,23,
24,Iowa,Big Ten,10,4,0.714,7,2,0.778,15.4,14.8,6.26,4.05,25,18,24,
25,Liberty,CUSA,13,1,0.929,8,0,1,38.3,24.3,9.18,-4.75,,18,25,
26,Louisiana-Monroe,Sun Belt,2,10,0.167,0,8,0,17.3,34.9,-13.3,-0.46,,,,
27,Southern Mississippi,Sun Belt,3,9,0.25,2,6,0.25,23.2,35.8,-8.56,-0.65,,,,
28,Louisiana,Sun Belt,6,7,0.462,3,5,0.375,32.2,28.6,-2.49,-4.72,,,,
29,Arkansas State,Sun Belt,6,7,0.462,4,4,0.5,27.1,30.4,-2.74,-2.66,,,,
30,South Alabama,Sun Belt,7,6,0.538,4,4,0.5,33.1,21,1.57,-3.9,,,,
31,Texas State,Sun Belt,8,5,0.615,4,4,0.5,36.7,32.8,-0.35,-4.66,,,,
32,Troy,Sun Belt,11,3,0.786,7,1,0.875,29.6,17.1,10.29,-1.14,,,,
33,Marshall,Sun Belt,6,7,0.462,3,5,0.375,22.8,28.7,-5.91,-1.06,,,,
34,Georgia Southern,Sun Belt,6,7,0.462,3,5,0.375,30.2,30.5,-5.71,-3.79,,,,
35,Georgia State,Sun Belt,7,6,0.538,3,5,0.375,27.2,30.1,-3.24,-2.24,,,,
36,Old Dominion,Sun Belt,6,7,0.462,5,3,0.625,23.8,27.2,-4.37,-1.6,,,,
37,Coastal Carolina,Sun Belt,8,5,0.615,5,3,0.625,27.7,23.8,0.8,-1.97,,,,
38,Appalachian State,Sun Belt,9,5,0.643,6,2,0.75,33.2,27,3.14,-2.93,,,,
39,James Madison,Sun Belt,11,2,0.846,7,1,0.875,34.1,19.5,8.53,-3.01,,18,,
40,Arkansas,SEC,4,8,0.333,1,7,0.125,26.6,27.9,0.2,1.7,,,,
41,Mississippi State,SEC,5,7,0.417,1,7,0.125,21.8,26.6,-0.78,3.48,,,,
42,Auburn,SEC,6,7,0.462,3,5,0.375,26.2,22.6,4.01,3.39,,,,
43,Texas A&M,SEC,7,6,0.538,4,4,0.5,33.3,22.1,8.98,2.67,23,23,,
44,Vanderbilt,SEC,2,10,0.167,0,8,0,22.8,36.2,-9.2,3.71,,,,
45,South Carolina,SEC,5,7,0.417,3,5,0.375,26,26.3,2.33,4.33,,,,
46,Florida,SEC,5,7,0.417,3,5,0.375,28.4,27.6,3.31,4.31,,22,,
47,Kentucky,SEC,7,6,0.538,3,5,0.375,29.1,25.8,5.35,2.5,,20,,
