Rk,Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards,-9999
1,Shaquille Leonard,23,IND,LLB,15,15,2,96,76,79.2,686,9.0,7.1,2,94.7,3.6,243,443,28,1,1,0,7.0,9,163,12,6.9,AP-1AP DRoY-1,LeonDa00
2,Blake Martinez,24,GNB,LILB,16,16,0,61,45,73.8,410,9.1,6.7,5,118.9,3.6,138,272,61,5,1,0,5.0,11,144,12,7.7,,MartBl01
3,Leighton Vander Esch,21,DAL,RLB,16,11,2,90,72,80.0,602,8.4,6.7,3,96.4,4.0,233,369,15,1,1,0,0.0,2,140,10,6.7,PBAP-2,VandLe00
4,Bobby Wagner,28,SEA,MLB,15,15,1,69,46,66.7,475,10.3,6.9,0,80.3,6.1,182,293,41,1,4,0,1.0,6,138,1,0.7,PBAP-1,WagnBo00
5,Anthony Hitchens,26,KAN,LILB,15,15,0,69,59,85.5,573,9.7,8.3,4,120.6,3.3,194,379,36,4,1,0,0.0,5,135,8,5.6,,HitcAn00
6,Telvin Smith,27,JAX,LLB,16,16,2,77,59,76.6,524,8.9,6.8,4,100.8,5.0,160,364,33,3,1,0,1.0,5,134,23,14.6,,SmitTe01
7,Mason Foster,29,WAS,RILB,16,16,2,77,59,76.6,502,8.5,6.5,1,86.6,3.6,96,406,77,5,0,0,1.0,5,131,12,8.4,,FostMa00
8,Luke Kuechly,27,CAR,MLB,16,16,1,54,36,66.7,239,6.6,4.4,2,80.7,2.4,32,207,55,4,3,0,2.0,9,130,10,7.1,PBAP-1,KuecLu00
9,Tahir Whitehead,28,OAK,RLB,16,16,1,71,53,74.6,716,13.5,10.1,4,119.2,6.9,269,447,31,2,1,0,0.0,3,126,11,8.0,,WhitTa00
10,Kiko Alonso,28,MIA,LLB,15,15,3,69,45,65.2,518,11.5,7.5,5,93.7,6.0,241,277,50,1,3,0,0.0,4,125,12,8.8,,AlonKi00
11,Cory Littleton,25,LAR,LILB,16,16,3,64,47,73.4,536,11.4,8.4,3,94.3,7.1,255,281,58,4,0,0,4.0,8,125,10,7.4,PBAP-2,LittCo01
12,Fred Warner,22,SFO,MLB,16,16,0,75,45,60.0,475,10.6,6.3,3,91.8,5.1,171,304,51,2,2,0,0.0,4,124,13,9.5,,WarnFr00
13,Antoine Bethea,34,ARI,FS,16,16,0,56,37,66.1,347,9.4,6.2,2,94.9,8.2,206,141,30,4,3,0,3.0,10,121,19,13.6,,BethAn20
14,Tremaine Edmunds,20,BUF,MLB,15,15,2,93,73,78.5,634,8.7,6.8,2,93.3,3.9,222,412,37,4,5,0,2.0,11,121,24,16.6,,EdmuTr01
15,Jaylon Smith,23,DAL,MLB,16,16,0,58,46,79.3,413,9.0,7.1,2,107.8,5.3,196,217,68,7,2,0,4.0,13,121,12,9.0,,SmitJa05
16,Roquan Smith,21,CHI,RILB,16,14,1,82,60,73.2,587,9.8,7.2,2,95.9,4.3,233,354,36,4,0,0,5.0,9,121,13,9.7,,SmitRo07
17,Lavonte David,28,TAM,RLB,14,14,0,77,62,80.5,569,9.2,7.4,4,114.8,3.9,201,368,54,0,2,0,3.5,6,120,9,7.0,,DaviLa00
18,Avery Williamson,26,NYJ,RILB,16,16,1,67,48,71.6,513,10.7,7.7,3,102.4,5.3,242,271,71,5,0,0,3.0,8,120,5,4.0,,WillAv00
19,John Johnson,23,LAR,SS,16,16,4,56,38,67.9,391,10.3,7.0,4,81.8,8.6,243,148,15,0,2,0,0.0,2,119,8,6.3,,JohnJo10
20,Jamal Adams,23,NYJ,SS,16,16,1,60,33,55.0,405,12.3,6.8,1,74.7,9.8,235,170,69,2,4,0,3.5,10,115,12,9.4,PBAP-2,AdamJa00
21,Todd Davis,26,DEN,LILB,16,16,1,57,46,80.7,436,9.5,7.6,2,102.9,3.3,118,318,42,2,4,0,0.5,7,114,15,11.6,,DaviTo01
22,Wesley Woodyard,32,TEN,LILB,14,14,0,45,30,66.7,331,11.0,7.4,1,95.7,4.5,162,169,40,2,1,0,4.5,8,113,11,8.9,,WoodWe20
23,Jessie Bates III,21,CIN,FS,16,16,3,49,31,63.3,489,15.8,10.0,1,77.7,13.3,288,201,0,0,0,0,0.0,0,111,10,8.3,,BateJe00
24,Demario Davis,29,NOR,LLB,16,16,0,67,53,79.1,482,9.1,7.2,3,111.6,2.7,134,348,84,4,6,0,5.0,15,110,14,11.3,,DaviDe00
