Rk,Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards,-9999
1,Bobby Wagner,29,SEA,LB,16,16,1,72,58,80.6,657,11.3,9.1,2,108.2,3.9,229,428,71,1,2,1,3.0,6,159,10,5.9,PBAP-1,WagnBo00
2,Blake Martinez,25,GNB,LB,16,16,1,74,62,83.8,570,9.2,7.7,2,102.1,4.1,231,339,24,2,0,0,3.0,5,155,18,10.4,,MartBl01
3,Jordan Hicks,27,ARI,LB,16,16,3,69,54,78.3,612,11.3,8.9,3,100.0,5.6,297,315,86,1,4,1,1.5,7,150,18,10.7,,HickJo00
4,Budda Baker,23,ARI,S,16,16,0,55,40,72.7,506,12.7,9.2,4,125.3,8.1,298,208,44,3,1,0,0.5,5,147,11,7.0,PB,BakeBu00
5,Luke Kuechly,28,CAR,LB,16,16,2,68,46,67.6,395,8.6,5.8,1,75.3,5.9,201,194,25,2,3,0,0.0,5,144,10,6.5,PBAP-2,KuecLu00
6,Zach Cunningham,25,HOU,LB,16,16,0,49,38,77.6,319,8.4,6.5,2,107.4,3.0,26,293,52,2,0,0,2.0,5,142,11,7.2,,CunnZa00
7,Jaylon Smith,24,DAL,LB,16,16,1,70,54,77.1,460,8.5,6.6,3,102.1,4.7,214,246,46,1,0,1,2.5,4,142,12,7.8,PB,SmitJa05
8,Todd Davis,27,DEN,LB,14,14,0,79,61,77.2,526,8.6,6.7,3,106.8,3.4,220,306,24,2,1,0,0.0,3,134,6,4.3,,DaviTo01
9,Cory Littleton,26,LAR,LB,16,16,2,85,61,71.8,535,8.8,6.3,4,94.0,4.0,242,293,64,2,1,1,3.5,7,134,5,3.6,,LittCo01
10,Joe Schobert,26,CLE,LB,16,16,4,55,38,69.1,357,9.4,6.5,3,74.6,7.1,208,149,74,1,2,0,2.0,5,133,16,10.7,,SchoJo00
11,K.J. Wright,30,SEA,LB,16,16,3,90,64,71.1,625,9.8,6.9,3,87.5,4.4,201,424,40,1,0,0,0.0,1,132,11,7.7,,WrigK.00
12,Eric Reid,28,CAR,S,16,16,0,70,54,77.1,750,13.9,10.7,8,149.1,8.9,423,327,43,3,1,0,4.0,8,130,9,6.5,,ReidEr00
13,De'Vondre Campbell,26,ATL,LB,16,15,2,61,50,82.0,462,9.2,7.6,3,101.0,6.2,239,223,65,2,0,1,2.0,4,129,7,5.1,,CampDe00
14,Jerome Baker,23,MIA,LB,16,15,1,49,37,75.5,402,10.9,8.2,1,97.5,6.1,173,229,75,3,3,0,1.5,8,126,6,4.5,,BakeJe00
15,Anthony Walker,24,IND,LB,16,16,1,61,49,80.3,369,7.5,6.0,3,101.4,3.6,130,239,31,0,1,0,2.5,4,124,11,8.1,,WalkAn01
16,Lavonte David,29,TAM,LB,16,16,1,90,57,63.3,491,8.6,5.5,0,73.0,4.0,260,231,70,4,6,2,1.0,12,123,10,7.5,,DaviLa00
17,Shaquille Leonard,24,IND,LB,13,13,5,62,45,72.6,424,9.4,6.8,1,62.8,4.2,152,272,53,5,0,2,5.0,11,121,5,4.0,PBAP-2,LeonDa00
