Rk,Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards,-9999
1,Foyesade Oluokun,26,ATL,LB,17,17,3,63,51,81.0,492,9.6,7.8,2,89.9,5.9,267,225,53,2,5,0,2.0,9,192,11,5.4,,OluoFo00
2,Jordyn Brooks,24,SEA,LB,17,17,0,96,77,80.2,865,11.2,9.0,4,118.1,5.0,314,551,46,3,2,0,1.0,6,184,9,4.7,,BrooJo01
3,Bobby Wagner,31,SEA,LB,16,16,1,87,71,81.6,593,8.4,6.8,2,97.9,3.9,246,347,41,3,2,0,1.0,6,170,12,6.6,PBAP-2,WagnBo00
4,C.J. Mosley,29,NYJ,LB,16,16,0,68,58,85.3,525,9.1,7.7,3,113.5,3.6,220,305,50,0,1,0,2.0,3,168,18,9.7,,MoslC.00
5,Roquan Smith,24,CHI,LB,17,17,1,66,47,71.2,343,7.3,5.2,0,76.8,2.5,68,275,44,5,0,0,3.0,8,163,6,3.6,AP-2,SmitRo07
6,Denzel Perryman,29,LVR,LB,15,15,0,80,63,78.8,511,8.1,6.4,5,114.1,5.4,316,195,14,0,3,0,0.0,3,154,15,8.9,PB,PerrDe00
7,De'Vondre Campbell,28,GNB,LB,16,16,2,73,52,71.2,356,6.8,4.9,1,74.9,3.3,153,203,43,1,4,1,2.0,7,146,4,2.7,AP-1,CampDe00
8,Kyzir White,25,LAC,LB,17,17,2,59,45,76.3,358,8.0,6.1,2,88.1,2.7,111,247,31,2,3,0,1.0,6,144,8,5.3,,WhitKy00
9,Eric Kendricks,29,MIN,LB,15,15,2,58,43,74.1,485,11.3,8.4,3,101.6,5.9,214,271,67,2,0,0,5.0,7,143,15,9.5,,KendEr00
10,Cole Holcomb,25,WAS,LB,16,16,2,81,60,74.1,579,9.7,7.1,3,95.7,5.7,262,317,52,4,1,0,1.0,6,142,12,7.8,,HolcCo00
11,Deion Jones,27,ATL,LB,16,16,0,84,66,78.6,584,8.8,7.0,5,115.5,2.6,162,422,39,3,1,0,2.0,6,137,17,11.0,,JoneDe01
12,Alex Singleton,28,PHI,LB,16,8,1,74,63,85.1,494,7.8,6.7,5,111.4,2.1,112,382,19,1,2,0,0.0,3,137,20,12.7,,SingAl00
13,Fred Warner,25,SFO,LB,16,16,0,62,49,79.0,428,8.7,6.9,3,111.6,3.1,135,293,28,1,2,0,0.5,4,137,11,7.4,,WarnFr00
14,Bobby Okereke,25,IND,LB,17,17,2,73,54,74.0,427,7.9,5.8,4,94.9,3.6,150,277,38,1,1,0,1.0,3,132,11,7.7,,OkerBo00
15,Tae Crowder,24,NYG,LB,17,17,2,74,59,79.7,525,8.9,7.1,4,103.0,4.4,217,308,37,4,1,0,0.0,5,130,8,5.8,,CrowTa00
16,T.J. Edwards,25,PHI,LB,16,14,1,52,41,78.8,351,8.6,6.8,2,99.6,4.3,146,205,12,0,1,0,1.0,2,130,9,6.5,,EdwaTJ02
17,Devin White,23,TAM,LB,17,17,0,78,64,82.1,544,8.5,7.0,0,95.7,3.1,208,336,133,15,12,0,3.5,31,128,15,10.5,PB,WhitDe02
18,Minkah Fitzpatrick,25,PIT,S,16,16,2,56,35,62.5,429,12.3,7.7,2,83.1,10.8,272,157,3,0,0,0,0.0,0,124,13,9.5,,FitzMi00
19,Shaquille Leonard,26,IND,LB,16,16,4,61,43,70.5,435,10.1,7.1,3,79.6,4.6,163,272,42,2,3,0,0.0,5,122,6,4.7,PBAP-1,LeonDa00
