Rk,Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards,-9999
1,Foyesade Oluokun,27,JAX,LILB,17,17,0,90,71,78.9,561,7.9,6.2,1,96.3,3.4,187,374,39,0,7,0,2.0,9,184,10,5.2,,OluoFo00
2,Nick Bolton,22,KAN,LLB,17,17,2,74,61,82.4,580,9.5,7.8,1,92.6,3.7,214,366,37,1,4,1,2.0,7,180,7,3.7,,BoltNi00
3,Roquan Smith,25,2TM,MLB,17,17,3,69,49,71.0,419,8.6,6.1,2,78.1,4.4,153,266,32,5,0,0,4.5,10,169,8,4.5,PBAP-1,SmitRo07
3,Roquan Smith,25,CHI,MLB,8,8,2,33,24,72.7,203,8.5,6.2,1,73.2,6.3,99,104,13,2,0,0,2.5,5,83,4,4.6,,SmitRo07
3,Roquan Smith,25,BAL,MLB,9,9,1,36,25,69.4,216,8.6,6.0,1,82.6,2.6,54,162,19,3,0,0,2.0,5,86,4,4.4,,SmitRo07
4,Zaire Franklin,26,IND,RLB/MLB,17,17,0,73,55,75.3,459,8.3,6.3,0,91.1,2.9,102,357,28,0,2,0,3.0,6,167,17,9.2,,FranZa00
5,Alex Singleton,29,DEN,RILB,17,12,0,77,59,76.6,425,7.2,5.5,2,97.6,3.3,124,301,42,5,3,2,0.0,8,163,7,4.1,,SingAl00
6,Jordyn Brooks,25,SEA,LILB,16,16,0,75,54,72.0,689,12.8,9.2,5,122.6,5.0,194,495,17,3,2,0,1.0,6,161,11,6.4,,BrooJo01
7,T.J. Edwards,26,PHI,RLB,17,17,0,76,53,69.7,400,7.5,5.3,0,82.1,2.6,79,321,23,4,3,0,2.0,9,159,11,6.5,,EdwaTJ02
8,Rashaan Evans,27,ATL,LLB,17,17,0,58,45,77.6,480,10.7,8.3,2,112.6,6.5,276,204,31,1,1,1,2.0,4,159,3,1.9,,EvanRa01
9,C.J. Mosley,30,NYJ,RILB,17,17,1,87,57,65.5,643,11.3,7.4,3,94.2,5.7,278,365,13,1,2,0,1.0,4,158,7,4.2,PBAP-2,MoslC.00
10,Bobby Okereke,26,IND,LLB,17,16,0,82,58,70.7,515,8.9,6.3,1,91.3,4.0,130,385,21,1,0,0,0.0,1,151,11,6.8,,OkerBo00
11,Jalen Pitre,23,HOU,SS,17,17,5,63,41,65.1,662,16.1,10.5,4,88.2,13.3,477,185,7,1,0,0,1.0,2,147,19,11.4,AP DRoY-5,PitrJa00
12,Drue Tranquill,27,LAC,LLB,17,16,1,43,37,86.0,376,10.2,8.7,1,101.2,5.5,163,213,36,1,3,0,5.0,9,146,9,5.8,,TranDr00
13,Bobby Wagner,32,LAR,RILB,17,17,2,48,33,68.8,359,10.9,7.5,2,87.1,1.4,56,303,49,2,2,1,6.0,10,140,2,1.4,AP-2,WagnBo00
14,Eric Kendricks,30,MIN,RILB,17,17,0,85,63,74.1,583,9.3,6.9,2,100.3,3.5,202,381,32,3,1,1,1.0,5,137,12,8.1,,KendEr00
15,Cody Barton,26,SEA,RILB,17,11,2,51,44,86.3,382,8.7,7.5,2,94.6,3.4,133,249,12,0,0,0,2.0,2,136,1,0.7,,BartCo00
