Rk,Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards,-9999
349,Bryce Hall,23,NYJ,CB,8,7,1,52,37,71.2,393,10.6,7.6,2,97.7,8.1,244,149,0,0,0,0,0.0,0,36,2,5.3,,HallBr02
350,C.J. Henderson,22,JAX,CB,8,8,1,51,33,64.7,443,13.4,8.7,4,110.2,10.9,279,164,1,0,0,0,0.0,0,36,5,12.2,,HendCJ00
351,Jalyn Holmes,24,MIN,DE,14,9,0,0,0,,0,,,0,,,0,0,1,8,4,1,0.0,12,36,3,7.7,,HolmJa01
352,Chris Jones,26,KAN,DT,15,14,0,0,0,,0,,,0,,,0,0,0,16,20,2,7.5,44,36,9,20.0,PBAP-2,JoneCh09
353,Carl Lawson,25,CIN,DE,16,11,0,3,3,100.0,28,9.3,9.3,0,105.6,3.3,10,18,5,11,26,0,5.5,44,36,2,5.3,,LawsCa00
354,Dean Lowry,26,GNB,DE,16,16,0,1,1,100.0,-1,-1.0,-1.0,0,79.2,-2.0,-2,1,0,7,1,1,3.0,10,36,0,0.0,,LowrDe00
355,Bradley McDougald,30,NYJ,S,7,7,0,18,12,66.7,193,16.1,10.7,0,102.3,15.8,138,55,4,0,0,0,0.0,0,36,5,12.2,,McDoBr01
356,Brent Urban,29,CHI,DT,16,8,0,0,0,,0,,,0,,,0,0,0,4,1,1,2.5,8,36,1,2.7,,UrbaBr00
357,Olivier Vernon,30,CLE,DE,14,13,0,5,3,60.0,28,9.3,5.6,0,75.4,1.0,5,23,7,12,7,2,9.0,28,36,6,14.3,,VernOl00
358,Azeez Al-Shaair,23,SFO,LB,16,5,1,23,16,69.6,154,9.6,6.7,0,69.8,2.2,21,133,23,1,1,1,0.0,2,35,3,7.9,,AlShAz00
359,Zach Allen,23,ARI,DT,13,7,0,0,0,,0,,,0,,,0,0,0,2,4,1,2.0,8,35,2,5.4,,AlleZa01
360,Troy Apke,25,WAS,S,16,7,0,24,12,50.0,225,18.8,9.4,2,110.6,21.6,170,55,4,0,0,0,0.0,0,35,4,10.3,,ApkeTr00
361,Cody Barton,24,SEA,LB,16,2,0,4,4,100.0,54,13.5,13.5,0,118.7,3.3,13,41,0,1,0,0,0.0,1,35,1,2.8,,BartCo00
362,Todd Davis,28,MIN,LB,11,6,0,22,17,77.3,214,12.6,9.7,1,122.2,4.6,74,140,16,0,0,0,1.0,1,35,5,12.5,,DaviTo01
363,Rashad Fenton,23,KAN,CB,16,3,1,58,36,62.1,478,13.3,8.2,2,92.5,11.4,321,157,10,0,0,0,0.0,0,35,2,5.4,,FentRa00
364,Rashan Gary,23,GNB,DE,15,4,0,0,0,,0,,,0,,,0,0,23,8,5,1,5.0,19,35,1,2.8,,GaryRa00
365,Will Harris,25,DET,S,16,5,0,20,13,65.0,100,7.7,5.0,2,110.4,7.6,29,71,5,0,0,0,0.0,0,35,3,7.9,,HarrWi02
366,Kevin Johnson,28,CLE,CB,13,6,0,44,27,61.4,330,12.2,7.5,1,92.0,7.3,174,156,23,0,2,0,0.5,3,35,5,12.5,,JohnKe04
367,Barkevious Mingo,30,CHI,LB,16,3,0,6,2,33.3,22,11.0,3.7,0,45.1,1.0,0,22,27,0,2,0,2.5,5,35,4,10.3,,MingBa00
368,A.J. Moore,25,HOU,CB,11,5,0,15,10,66.7,176,17.6,11.7,2,146.1,13.7,132,44,20,1,1,0,1.0,3,35,3,7.9,,MoorA.00
369,Ifeadi Odenigbo,26,MIN,DE,15,15,0,1,1,100.0,41,41.0,41.0,1,158.3,2.0,2,39,1,12,11,0,3.5,26,35,4,10.3,,OdenIf00
370,John Penisini,23,DET,DT,16,12,0,0,0,,0,,,0,,,0,0,0,0,0,0,1.0,1,35,3,7.9,,PeniJo00
371,Derek Barnett,24,PHI,DE,13,10,0,3,2,66.7,3,1.5,1.0,0,70.1,-5.0,-9,12,1,5,10,0,5.5,21,34,3,8.1,,BarnDe01
372,Tyus Bowser,25,BAL,LB,16,2,3,15,10,66.7,84,8.4,5.6,0,41.4,2.6,26,58,83,8,12,0,2.0,22,34,11,24.4,,BowsTy00
373,Kris Boyd,24,MIN,CB,10,5,0,39,28,71.8,397,14.2,10.2,2,121.4,10.3,249,148,0,0,0,0,0.0,0,34,6,15.0,,BoydKr00
