Rank,Name,Position,School
153,Simeon Barrow Jr.,DI,MIAMI FL
154,Trevor Etienne,HB,GEORGIA
155,Quincy Riley,CB,LOUISVILLE
156,Kyle Williams,WR,WASH STATE
157,Kyle McCord,QB,SYRACUSE
158,R.J. Oben,ED,NOTRE DAME
159,Kobe King,LB,PENN STATE
160,CJ West,DI,INDIANA
161,Jackson Hawes,TE,GA TECH
162,Upton Stout,S,W KENTUCKY
163,Seth McLaughlin,C,OHIO STATE
164,Nick Nash,WR,S JOSE ST
165,O'Donnell Fortune,CB,S CAROLINA
166,Connor Colby,G,IOWA
167,Thomas Fidone II,TE,NEBRASKA
168,Tyler Cooper,G,MINNESOTA
169,Jah Joyner,ED,MINNESOTA
170,Cody Simon,LB,OHIO STATE
171,Kyle Monangai,HB,RUTGERS
172,Cody Lindenberg,LB,MINNESOTA
173,Denzel Burke,CB,OHIO STATE
174,Danny Stutsman,LB,OKLAHOMA
175,Marcus Yarns,HB,DELAWARE
176,Jonah Monheim,C,USC
177,Emery Jones Jr.,T,LSU
178,Kurtis Rourke,QB,INDIANA
179,John Williams,T,CINCINNATI
180,Bhayshul Tuten,HB,VA TECH
181,Caden Prieskorn,TE,OLE MISS
182,Tim Smith,DI,ALABAMA
183,Jack Nelson,T,WISCONSIN
184,Robert Longerbeam,CB,RUTGERS
185,Max Brosmer,QB,MINNESOTA
186,Antwane Wells Jr.,WR,OLE MISS
187,Jalin Conyers,TE,TEXAS TECH
188,Jordan James,HB,OREGON
189,Junior Tafuna,DI,UTAH
190,Tahj Brooks,HB,TEXAS TECH
191,Zeek Biggers,DI,GA TECH
192,Akili Arnold,S,USC
193,Ajani Cornelius,T,OREGON
194,Ollie Gordon II,HB,OKLA STATE
195,Jaylin Smith,CB,USC
196,LeQuint Allen,HB,SYRACUSE
197,Jake Majors,C,TEXAS
198,Kaden Prather,WR,MARYLAND
199,Jay Higgins,LB,IOWA
200,Chimere Dike,WR,FLORIDA
201,Dean Clark,S,FRESNO ST
