Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,James Washington,Oklahoma State,Big 12,13,74,1549,20.9,13,119.2,3,12,4.0,1,0.9,77,1561,20.3,14,AA,james-washington-5
2,Cedrick Wilson Jr.,Boise State,MWC,14,83,1511,18.2,7,107.9,9,13,1.4,0,0.9,92,1524,16.6,7,,cedrick-wilson-2
3,Anthony Miller,Memphis,American,13,96,1462,15.2,18,112.5,10,25,2.5,0,1.9,106,1487,14.0,18,AA,anthony-miller-6
4,Keke Coutee,Texas Tech,Big 12,13,93,1429,15.4,10,109.9,5,15,3.0,0,1.2,98,1444,14.7,10,,keke-coutee-1
5,Michael Gallup,Colorado State,MWC,13,100,1413,14.1,7,108.7,0,0,,0,0.0,100,1413,14.1,7,AA,michael-gallup-1
6,Anthony Johnson,Buffalo,MAC,12,76,1356,17.8,14,113.0,4,-5,-1.3,0,-0.4,80,1351,16.9,14,,anthony-johnson-13
7,Steve Ishmael,Syracuse,ACC,12,105,1347,12.8,7,112.3,0,0,,0,0.0,105,1347,12.8,7,,steve-ishmael-1
8,Diontae Johnson,Toledo,MAC,14,74,1278,17.3,13,91.3,2,9,4.5,0,0.6,76,1287,16.9,13,,diontae-johnson-1
9,Jordan Lasley,UCLA,Pac-12,9,69,1264,18.3,9,140.4,4,-6,-1.5,0,-0.7,73,1258,17.2,9,,jordan-lasley-1
10,A.J. Brown,Ole Miss,SEC,12,75,1252,16.7,11,104.3,0,0,,0,0.0,75,1252,16.7,11,,aj-brown-3
11,Trey Quinn,SMU,American,13,114,1236,10.8,13,95.1,1,0,0.0,0,0.0,115,1236,10.7,13,,trey-quinn-1
12,Tre'Quan Smith,UCF,American,13,59,1171,19.8,13,90.1,5,23,4.6,1,1.8,64,1194,18.7,14,,trequan-smith-1
13,Marcell Ateman,Oklahoma State,Big 12,13,59,1156,19.6,8,88.9,0,0,,0,0.0,59,1156,19.6,8,,marcell-ateman-1
14,N'Keal Harry,Arizona State,Pac-12,13,82,1142,13.9,8,87.8,13,65,5.0,0,5.0,95,1207,12.7,8,,nkeal-harry-1
15,Penny Hart,Georgia State,Sun Belt,12,74,1121,15.1,8,93.4,6,27,4.5,0,2.3,80,1148,14.4,8,,penny-hart-1
16,Deontay Burnett,USC,Pac-12,14,86,1114,13.0,9,79.6,2,-2,-1.0,0,-0.1,88,1112,12.6,9,,deontay-burnett-1
17,Korey Robertson,Southern Mississippi,CUSA,13,76,1106,14.6,12,85.1,0,0,,0,0.0,76,1106,14.6,12,,korey-robertson-1
18,Gary Jennings,West Virginia,Big 12,13,97,1096,11.3,1,84.3,0,0,,0,0.0,97,1096,11.3,1,,gary-jennings-1
19,Marquise Brown,Oklahoma,Big 12,13,57,1095,19.2,7,84.2,1,0,0.0,0,0.0,58,1095,18.9,7,,marquise-brown-1
20,Denzel Mims,Baylor,Big 12,12,61,1087,17.8,8,90.6,1,-6,-6.0,0,-0.5,62,1081,17.4,8,,denzel-mims-1
21,Courtland Sutton,SMU,American,13,68,1085,16.0,12,83.5,1,2,2.0,1,0.2,69,1087,15.8,13,,courtland-sutton-1
22,J'Mon Moore,Missouri,SEC,13,65,1082,16.6,10,83.2,0,0,,0,0.0,65,1082,16.6,10,,jmon-moore-2
23,Jaleel Scott,New Mexico State,Sun Belt,13,76,1079,14.2,9,83.0,0,0,,0,0.0,76,1079,14.2,9,,jaleel-scott-1
24,Steven Dunbar,Houston,American,12,76,1070,14.1,3,89.2,0,0,,0,0.0,76,1070,14.1,3,,steven-dunbar-1
25,Trevon Brown,East Carolina,American,12,60,1069,17.8,7,89.1,2,16,8.0,0,1.3,62,1085,17.5,7,,trevon-brown-1
26,D.J. Moore,Maryland,Big Ten,12,80,1033,12.9,8,86.1,5,61,12.2,1,5.1,85,1094,12.9,9,,dj-moore-3
27,Andy Isabella,Massachusetts,Ind,12,65,1020,15.7,10,85.0,14,135,9.6,1,11.3,79,1155,14.6,11,,andy-isabella-1
28,Kelvin Harmon,North Carolina State,ACC,13,69,1017,14.7,4,78.2,0,0,,0,0.0,69,1017,14.7,4,,kelvin-harmon-1
29,KeeSean Johnson,Fresno State,MWC,14,77,1013,13.2,8,72.4,1,0,0.0,0,0.0,78,1013,13.0,8,,keesean-johnson-1
30,Ka'Raun White,West Virginia,Big 12,13,61,1004,16.5,12,77.2,0,0,,0,0.0,61,1004,16.5,12,,karaun-white-1
31,Stanley Morgan Jr.,Nebraska,Big Ten,11,61,986,16.2,10,89.6,1,2,2.0,0,0.2,62,988,15.9,10,,stanley-morgan-jr-1
32,Darren Carrington,Utah,Pac-12,12,70,980,14.0,6,81.7,0,0,,0,0.0,70,980,14.0,6,,darren-carrington-1
33,David Sills,West Virginia,Big 12,13,60,980,16.3,18,75.4,0,0,,0,0.0,60,980,16.3,18,,david-sills-1
34,Jaylen Smith,Louisville,ACC,10,60,980,16.3,7,98.0,0,0,,0,0.0,60,980,16.3,7,,jaylen-smith-1
35,Calvin Ridley,Alabama,SEC,14,63,967,15.3,5,69.1,2,17,8.5,0,1.2,65,984,15.1,5,,calvin-ridley-1
36,Cam Phillips,Virginia Tech,ACC,12,71,964,13.6,7,80.3,1,10,10.0,0,0.8,72,974,13.5,7,,cam-phillips-1
37,Mark Andrews,Oklahoma,Big 12,14,62,958,15.5,8,68.4,0,0,,0,0.0,62,958,15.5,8,AA,mark-andrews-1
