Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1541,Marshall Few,Miami (FL),ACC,10,2,12,6.0,0,1.2,0,0,,0,0.0,2,12,6.0,0,,marshall-few-1
1542,Pailate Makakona,Utah State,MWC,6,2,12,6.0,0,2.0,10,47,4.7,0,7.8,12,59,4.9,0,,pailate-makakona-1
1543,Xavier Restrepo,Miami (FL),ACC,7,1,12,12.0,0,1.7,0,0,,0,0.0,1,12,12.0,0,,xavier-restrepo-1
1544,Xavier Williams,Alabama,SEC,5,2,12,6.0,0,2.4,0,0,,0,0.0,2,12,6.0,0,,xavier-williams-5
1545,Aaron Jarman,Temple,American,3,1,11,11.0,1,3.7,0,0,,0,0.0,1,11,11.0,1,,aaron-jarman-1
1546,Aaron Jarman,Temple,American,7,1,11,11.0,1,1.6,0,0,,0,0.0,1,11,11.0,1,,aaron-jarman-2
1547,Artice Hobbs IV,Army,Ind,9,2,11,5.5,0,1.2,17,106,6.2,0,11.8,19,117,6.2,0,,artice-hobbs-iv-1
1548,Brayden Liebrock,Texas,Big 12,5,2,11,5.5,0,2.2,0,0,,0,0.0,2,11,5.5,0,,brayden-liebrock-1
1549,Cameron Jones,Cincinnati,American,9,1,11,11.0,0,1.2,0,0,,0,0.0,1,11,11.0,0,,cameron-jones-4
1550,Daevon Vigilant,New Mexico,MWC,4,5,11,2.2,0,2.8,15,65,4.3,0,16.3,20,76,3.8,0,,daevon-vigilant-1
1551,Deneric Prince,Tulsa,American,8,1,11,11.0,0,1.4,88,470,5.3,4,58.8,89,481,5.4,4,,deneric-prince-1
1552,Devonta'e Henry-Cole,Utah State,MWC,5,3,11,3.7,0,2.2,41,180,4.4,0,36.0,44,191,4.3,0,,devontae-henry-cole-1
1553,DeWayne Carter,Duke,ACC,11,1,11,11.0,0,1.0,0,0,,0,0.0,1,11,11.0,0,,dewayne-carter-2
1554,Isaac Martin,Louisville,ACC,10,2,11,5.5,0,1.1,0,0,,0,0.0,2,11,5.5,0,,isaac-martin-1
1555,Israel Abanikanda,Pitt,ACC,7,2,11,5.5,1,1.6,28,95,3.4,1,13.6,30,106,3.5,2,,israel-abanikanda-1
1556,Josh Farr,UTEP,CUSA,1,2,11,5.5,0,11.0,0,0,,0,0.0,2,11,5.5,0,,josh-farr-2
1557,Justin Dunn,North Carolina State,ACC,9,1,11,11.0,0,1.2,0,0,,0,0.0,1,11,11.0,0,,justin-dunn-3
1558,Kamareon Williams,Florida International,CUSA,5,2,11,5.5,0,2.2,0,0,,0,0.0,2,11,5.5,0,,kamareon-williams-1
1559,Luke Deal,Auburn,SEC,10,2,11,5.5,0,1.1,0,0,,0,0.0,2,11,5.5,0,,luke-deal-1
1560,Matt Bjorson,Indiana,Big Ten,7,1,11,11.0,0,1.6,0,0,,0,0.0,1,11,11.0,0,,matt-bjorson-1
