Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Andy Isabella,Massachusetts,Ind,12,102,1698,16.6,13,141.5,11,79,7.2,1,6.6,113,1777,15.7,14,AA,andy-isabella-1
2,Tylan Wallace,Oklahoma State,Big 12,13,86,1491,17.3,12,114.7,1,6,6.0,1,0.5,87,1497,17.2,13,,tylan-wallace-1
3,Antoine Wesley,Texas Tech,Big 12,12,88,1410,16.0,9,117.5,1,-2,-2.0,0,-0.2,89,1408,15.8,9,,antoine-wesley-1
4,Preston Williams,Colorado State,MWC,12,96,1345,14.0,14,112.1,4,13,3.3,0,1.1,100,1358,13.6,14,,preston-williams-4
5,John Ursua,Hawaii,MWC,13,89,1343,15.1,16,103.3,2,4,2.0,1,0.3,91,1347,14.8,17,,john-ursua-1
6,KeeSean Johnson,Fresno State,MWC,14,95,1340,14.1,8,95.7,4,14,3.5,0,1.0,99,1354,13.7,8,,keesean-johnson-1
7,A.J. Brown,Ole Miss,SEC,12,85,1320,15.5,6,110.0,0,0,,0,0.0,85,1320,15.5,6,,aj-brown-3
8,Hakeem Butler,Iowa State,Big 12,13,60,1318,22.0,9,101.4,0,0,,0,0.0,60,1318,22.0,9,,hakeem-butler-1
9,Marquise Brown,Oklahoma,Big 12,14,75,1318,17.6,10,94.1,2,0,0.0,0,0.0,77,1318,17.1,10,,marquise-brown-1
10,Jerry Jeudy,Alabama,SEC,15,68,1315,19.3,14,87.7,0,0,,0,0.0,68,1315,19.3,14,AA,jerry-jeudy-1
11,Rondale Moore,Purdue,Big Ten,13,114,1258,11.0,12,96.8,21,213,10.1,2,16.4,135,1471,10.9,14,AA,rondale-moore-1
12,James Proche,SMU,American,12,93,1199,12.9,12,99.9,2,17,8.5,0,1.4,95,1216,12.8,12,,james-proche-1
13,Kelvin Harmon,North Carolina State,ACC,12,81,1186,14.6,7,98.8,0,0,,0,0.0,81,1186,14.6,7,,kelvin-harmon-1
14,Dillon Mitchell,Oregon,Pac-12,13,75,1184,15.8,10,91.1,1,5,5.0,0,0.4,76,1189,15.6,10,,dillon-mitchell-1
15,Lil'Jordan Humphrey,Texas,Big 12,14,86,1176,13.7,9,84.0,6,25,4.2,1,1.8,92,1201,13.1,10,,liljordan-humphrey-1
