Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
65,New Mexico,12,27.3,16.5,29.4,56.1,217.9,1.4,36.7,192.7,5.3,2.2,66.1,410.6,6.2,10.3,10.2,2.8,23.3,9.9,89.7,0.4,0.8,1.3
66,Georgia State,13,27.2,19.2,28.2,67.8,205.2,1.5,39.5,188.1,4.8,1.9,67.7,393.3,5.8,8.2,9.7,1.7,19.5,6.4,57.5,0.6,0.5,1.2
67,Arkansas State,13,27.1,16.0,28.5,56.2,226.0,1.3,35.3,147.6,4.2,1.5,63.8,373.6,5.9,10.0,7.8,2.0,19.8,6.2,60.9,0.3,0.7,1.0
68,Duke,13,26.9,15.4,27.5,56.0,180.8,1.1,34.5,167.2,4.9,2.0,61.9,348.1,5.6,9.0,7.5,2.2,18.8,5.6,44.8,0.5,0.6,1.2
69,Arkansas,12,26.6,17.3,26.9,64.1,187.5,1.8,39.3,139.0,3.5,0.8,66.3,326.5,4.9,8.1,7.9,1.3,17.3,6.3,55.4,0.8,0.7,1.5
70,UCLA,13,26.5,18.3,31.5,58.0,229.2,1.8,40.5,197.9,4.9,1.6,72.1,427.1,5.9,10.2,10.0,1.3,21.5,7.1,58.1,0.6,1.1,1.7
71,Tulane,14,26.4,16.4,26.3,62.2,215.0,1.8,37.6,155.1,4.1,1.1,63.9,370.1,5.8,9.3,8.4,0.9,18.6,4.8,42.9,0.9,0.5,1.4
72,Auburn,13,26.2,14.5,24.4,59.6,162.2,1.4,39.5,189.0,4.8,1.7,63.8,351.2,5.5,6.8,10.1,1.7,18.5,5.5,43.8,0.5,1.0,1.5
73,Bowling Green,13,26.2,16.4,27.5,59.7,188.8,1.3,33.0,137.5,4.2,1.7,60.5,326.3,5.4,7.7,7.8,1.2,16.7,6.9,60.9,0.4,1.1,1.5
74,Iowa State,13,26.2,18.5,29.3,63.3,245.0,1.8,29.4,119.9,4.1,1.2,58.7,364.9,6.2,10.2,5.2,0.9,16.3,4.8,43.8,0.2,0.6,0.8
75,North Carolina State,13,26.2,17.2,29.2,59.1,193.9,1.5,36.8,156.5,4.3,1.5,65.9,350.4,5.3,8.9,7.9,1.7,18.5,5.8,46.3,0.2,0.9,1.2
76,Colorado State,12,26.1,25.9,41.8,62.1,306.5,2.0,27.7,92.2,3.3,0.8,69.4,398.7,5.7,13.8,5.3,1.7,20.7,7.7,69.8,0.6,1.5,2.1
77,South Carolina,12,26.0,23.6,34.3,68.7,278.0,1.8,30.8,85.1,2.8,1.4,65.1,363.1,5.6,11.6,5.2,1.3,18.1,7.2,55.5,0.4,0.7,1.1
78,Louisiana Tech,12,25.9,22.4,35.3,63.6,260.9,1.3,31.8,123.8,3.9,1.7,67.0,384.7,5.7,11.0,6.9,2.3,20.3,6.8,62.3,0.6,0.9,1.5
79,Miami (OH),14,25.6,11.8,20.9,56.3,165.4,1.1,35.9,158.1,4.4,1.6,56.9,323.5,5.7,6.8,6.9,1.6,15.4,4.7,39.1,0.7,0.5,1.2
80,Wyoming,13,25.3,14.5,23.4,62.2,168.5,1.5,36.0,158.5,4.4,1.5,59.4,327.0,5.5,7.9,8.8,1.8,18.6,3.9,33.4,0.4,0.5,0.8
81,Northern Illinois,13,24.9,16.2,28.2,57.7,189.8,1.2,35.9,179.6,5.0,1.8,64.1,369.4,5.8,8.8,8.2,1.9,18.8,4.5,39.8,0.7,0.7,1.4
82,Boston College,13,24.8,15.7,27.8,56.5,182.5,1.2,42.1,198.8,4.7,1.9,69.8,381.2,5.5,7.5,12.4,1.6,21.5,6.5,55.2,0.4,1.1,1.5
83,Illinois,12,24.5,21.8,34.6,62.9,264.6,1.9,33.0,126.4,3.8,1.0,67.6,391.0,5.8,12.3,6.4,1.7,20.4,6.6,62.4,0.8,1.1,1.9
84,Middle Tennessee State,12,24.3,24.6,36.5,67.4,266.0,1.9,32.0,125.1,3.9,1.1,68.5,391.1,5.7,10.5,6.8,2.0,19.3,6.8,56.3,0.7,1.1,1.8
85,Ohio,13,24.3,18.4,29.5,62.4,203.6,1.2,37.3,144.4,3.9,1.4,66.8,348.0,5.2,9.8,8.8,2.4,20.9,5.6,51.8,0.3,0.7,1.0
86,Cincinnati,12,24.1,18.2,30.0,60.6,209.0,1.8,43.1,217.1,5.0,1.2,73.1,426.1,5.8,9.8,11.5,0.9,22.3,5.7,52.6,0.5,0.9,1.4
87,Purdue,12,23.9,19.5,32.7,59.7,211.2,1.3,38.5,169.1,4.4,1.7,71.2,380.3,5.3,9.8,8.9,1.8,20.5,6.0,56.3,0.7,0.8,1.5
88,Florida Atlantic,12,23.8,22.1,34.3,64.3,215.5,1.6,30.8,115.3,3.7,1.3,65.1,330.8,5.1,9.7,6.3,2.0,18.0,3.4,33.3,0.2,1.3,1.4
