Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
11,Cincinnati,14,36.9,18.4,28.6,64.3,241.2,2.1,32.9,172.9,5.3,2.4,61.4,414.1,6.7,10.1,8.7,1.0,19.8,7.3,54.2,0.7,0.6,1.4
12,UTSA,14,36.9,20.6,31.8,64.9,255.5,2.2,39.2,185.4,4.7,1.9,71.0,440.9,6.2,11.0,9.6,2.2,22.9,5.1,50.9,0.5,0.4,0.9
13,UCLA,12,36.5,17.3,27.8,62.0,226.2,1.9,42.2,220.1,5.2,2.6,70.0,446.3,6.4,9.8,12.2,1.6,23.5,7.2,68.3,0.4,0.7,1.1
14,Utah,14,36.1,18.1,28.6,63.3,214.3,1.7,38.7,217.1,5.6,2.6,67.4,431.4,6.4,10.5,11.1,2.6,24.2,4.8,44.5,0.5,0.6,1.1
15,Houston,14,35.9,21.9,32.7,67.0,271.4,2.3,36.5,143.4,3.9,1.9,69.2,414.9,6.0,13.1,7.1,1.6,21.8,6.4,61.1,0.1,0.9,1.0
16,Michigan,14,35.8,17.7,28.2,62.8,228.7,1.5,41.1,214.4,5.2,2.8,69.3,443.1,6.4,8.6,11.7,1.5,21.9,4.9,41.5,0.4,0.6,1.0
17,Nevada,13,35.7,30.3,43.8,69.1,346.2,2.9,25.8,77.5,3.0,1.0,69.7,423.6,6.1,15.0,5.2,2.1,22.3,6.5,55.1,0.2,0.7,0.8
18,Texas,12,35.3,18.1,28.8,62.7,225.4,2.4,37.8,199.4,5.3,2.1,66.7,424.8,6.4,9.5,9.8,1.1,20.3,5.8,48.3,0.6,0.8,1.4
19,North Carolina,13,35.2,18.2,29.2,62.4,255.7,2.0,39.5,212.7,5.4,2.3,68.7,468.4,6.8,10.1,11.6,2.2,23.9,7.3,69.2,0.4,0.7,1.1
20,Notre Dame,13,35.2,22.2,34.7,64.1,282.5,2.3,34.5,144.2,4.2,1.8,69.2,426.7,6.2,12.9,7.1,2.5,22.5,5.7,49.0,0.5,0.8,1.2
21,Virginia,12,34.6,29.2,46.1,63.3,392.6,2.6,28.2,123.3,4.4,1.8,74.3,515.9,6.9,17.8,6.9,1.9,26.6,6.4,56.8,0.5,1.0,1.5
22,Appalachian State,14,34.5,18.2,29.5,61.7,249.1,2.1,40.2,192.6,4.8,1.9,69.7,441.6,6.3,10.8,10.3,1.6,22.7,6.1,53.2,1.0,0.9,1.9
23,Miami (FL),12,34.1,24.6,38.7,63.6,321.2,2.5,34.3,128.8,3.8,1.7,72.9,449.9,6.2,13.1,7.9,3.5,24.5,7.3,63.6,0.6,0.8,1.4
24,Ole Miss,13,33.7,22.0,33.0,66.7,274.8,1.6,45.2,218.0,4.8,2.5,78.2,492.8,6.3,12.0,12.5,1.6,26.1,9.1,75.6,0.3,0.5,0.8
25,Liberty,13,33.6,17.4,29.3,59.3,255.0,2.5,39.0,181.3,4.6,1.9,68.3,436.3,6.4,10.2,10.3,2.1,22.6,7.1,66.5,0.5,1.2,1.7
26,Fresno State,13,33.4,26.3,39.5,66.7,326.7,2.7,33.5,137.4,4.1,1.3,73.0,464.1,6.4,14.2,7.9,2.2,24.3,7.6,71.2,0.9,0.8,1.7
27,Toledo,13,33.4,17.4,30.0,57.9,239.1,1.7,36.3,196.5,5.4,2.2,66.3,435.5,6.6,8.8,10.1,1.9,20.8,10.0,90.2,0.3,0.2,0.5
28,Brigham Young,13,33.1,19.5,30.0,65.1,264.1,2.0,36.9,188.1,5.1,2.3,66.9,452.2,6.8,10.9,10.8,1.4,23.2,5.1,41.5,0.5,0.4,0.9
29,North Carolina State,12,33.1,24.0,36.9,65.0,288.4,2.9,30.9,126.6,4.1,0.9,67.8,415.0,6.1,12.9,6.6,1.9,21.4,7.4,64.5,0.3,0.5,0.8
30,Kent State,14,33.0,18.6,28.9,64.4,246.0,1.5,46.2,248.6,5.4,2.6,75.1,494.6,6.6,9.6,14.1,2.2,25.9,7.8,70.9,0.4,0.4,0.9
31,Marshall,13,33.0,24.9,37.7,66.1,294.6,1.4,34.5,162.3,4.7,2.9,72.2,456.9,6.3,12.2,10.0,1.2,23.4,6.5,56.9,0.8,1.2,1.9
32,Army,13,32.8,4.6,8.5,54.5,94.8,0.8,58.3,280.6,4.8,3.5,66.8,375.5,5.6,3.2,15.7,1.2,20.0,3.8,36.8,0.4,0.2,0.6
33,Utah State,14,32.6,21.6,35.9,60.2,303.0,2.9,40.1,145.6,3.6,0.9,76.0,448.6,5.9,12.9,8.1,2.9,23.9,6.1,54.5,0.5,1.1,1.6
34,Western Michigan,13,32.5,17.9,28.3,63.3,253.6,1.8,45.4,213.5,4.7,2.4,73.7,467.2,6.3,10.9,11.7,2.2,24.8,6.8,58.9,0.8,0.5,1.2
35,Central Michigan,13,32.3,21.0,34.5,60.9,265.4,2.4,39.7,180.0,4.5,1.4,74.2,445.4,6.0,11.6,10.2,1.3,23.1,6.1,53.9,0.3,0.8,1.1
36,Kentucky,13,32.3,18.6,28.2,66.1,225.6,1.8,37.8,199.8,5.3,2.1,65.9,425.4,6.5,10.5,10.8,1.5,22.8,4.8,42.2,0.8,1.0,1.8
37,Northern Illinois,14,32.2,14.6,25.4,57.7,187.4,1.1,46.1,241.9,5.2,2.6,71.5,429.2,6.0,8.2,12.9,1.9,22.9,5.0,45.3,0.7,0.6,1.3
38,UCF,13,31.9,19.4,30.0,64.6,206.2,2.2,36.4,196.8,5.4,2.1,66.4,402.9,6.1,9.4,9.2,1.4,19.9,6.2,52.8,0.4,0.7,1.1
39,Michigan State,13,31.8,18.7,30.8,60.8,253.1,2.1,36.7,176.5,4.8,1.8,67.5,429.6,6.4,10.5,8.5,1.8,20.8,6.9,63.9,0.5,0.8,1.3
40,Baylor,14,31.6,16.9,26.1,64.9,203.1,1.7,40.1,220.4,5.5,2.1,66.2,423.5,6.4,8.6,11.1,1.0,20.7,5.4,48.4,0.6,0.5,1.1
41,Louisville,13,31.6,17.0,27.9,60.9,236.5,1.6,38.8,210.2,5.4,2.2,66.7,446.7,6.7,10.3,9.2,1.5,21.1,6.2,55.3,0.5,0.5,1.0
42,Oregon,14,31.4,18.5,29.3,63.2,221.3,1.5,38.2,202.4,5.3,2.5,67.5,423.6,6.3,9.6,11.6,1.6,22.9,7.4,64.6,0.4,0.6,1.0
43,Iowa State,13,31.3,24.1,34.3,70.2,263.8,1.7,31.5,160.8,5.1,1.9,65.8,424.7,6.5,12.6,7.2,1.7,21.5,4.8,38.6,0.4,0.7,1.1
44,Oregon State,13,31.2,16.8,26.7,62.8,216.9,1.5,40.1,214.3,5.3,2.5,66.8,431.2,6.5,9.0,12.7,1.5,23.2,6.8,63.1,0.5,0.9,1.4
45,Louisiana,14,31.1,17.6,28.9,60.7,218.6,1.6,40.1,194.2,4.8,2.4,69.1,412.8,6.0,9.5,10.7,1.2,21.4,5.3,49.0,0.2,0.3,0.5
46,Oklahoma State,14,31.1,19.6,32.0,61.2,231.9,1.6,44.2,185.9,4.2,1.9,76.2,417.7,5.5,11.2,10.1,2.5,23.8,6.0,55.8,0.6,0.9,1.5
47,Air Force,13,31.0,4.2,8.7,48.7,95.5,0.6,64.0,328.4,5.1,3.4,72.7,423.9,5.8,3.6,17.3,0.9,21.8,4.2,38.8,0.4,0.3,0.7
48,Arkansas,13,30.9,15.8,24.2,65.3,213.9,1.7,44.7,229.4,5.1,2.0,68.8,443.3,6.4,8.0,12.5,1.4,21.8,8.0,63.5,0.4,0.4,0.8
49,Florida,13,30.7,20.4,32.0,63.7,254.2,2.0,37.8,209.9,5.5,1.9,69.8,464.1,6.6,11.4,9.6,1.2,22.2,8.1,71.0,0.2,1.4,1.6
50,Texas Tech,13,30.3,18.9,29.9,63.2,257.2,1.4,33.5,159.2,4.8,2.3,63.4,416.5,6.6,10.0,8.2,1.4,19.6,5.2,44.6,0.7,0.8,1.5
51,Eastern Michigan,13,30.2,23.8,35.0,67.9,262.8,1.5,34.8,118.8,3.4,2.0,69.8,381.6,5.5,13.0,7.1,2.2,22.3,3.8,34.2,0.4,0.7,1.1
52,Memphis,12,30.1,22.3,37.1,60.2,298.8,2.2,34.2,139.6,4.1,1.5,71.3,438.3,6.2,12.5,7.4,2.6,22.5,4.8,39.6,0.7,0.9,1.6
