Rk,Coach,School,Conf,W,L,Pct,Notes
1,Jim Harbaugh,Michigan,Big Ten,15,0,1.000,
2,Kalen DeBoer,Washington,Pac-12,14,1,.933,
3,Jamey Chadwell,Liberty,CUSA,13,1,.929,
4,Mike Norvell,Florida State,ACC,13,1,.929,
5,Kirby Smart,Georgia,SEC,13,1,.929,
6,Dan Lanning,Oregon,Pac-12,12,2,.857,
7,Nick Saban,Alabama,SEC,12,2,.857,
8,Steve Sarkisian,Texas,Big 12,12,2,.857,
9,Curt Cignetti,James Madison,Sun Belt,11,1,.917,
10,Ryan Day,Ohio State,Big Ten,11,2,.846,
11,Eli Drinkwitz,Missouri,SEC,11,2,.846,
12,Willie Fritz,Tulane,American,11,2,.846,
13,Lane Kiffin,Ole Miss,SEC,11,2,.846,
14,Jon Sumrall,Troy,Sun Belt,11,2,.846,
15,Jason Candle,Toledo,MAC,11,3,.786,
16,Rhett Lashlee,SMU,American,11,3,.786,
17,Chuck Martin,Miami (OH),MAC,11,3,.786,
18,Tim Albin,Ohio,MAC,10,3,.769,
19,Jedd Fisch,Arizona,Pac-12,10,3,.769,
20,James Franklin,Penn State,Big Ten,10,3,.769,
21,Marcus Freeman,Notre Dame,Ind,10,3,.769,
22,Brian Kelly,LSU,SEC,10,3,.769,
23,Ryan Silverfield,Memphis,American,10,3,.769,
24,Brent Venables,Oklahoma,Big 12,10,3,.769,
25,Jeff Brohm,Louisville,ACC,10,4,.714,
26,Kirk Ferentz,Iowa,Big Ten,10,4,.714,
27,Mike Gundy,Oklahoma State,Big 12,10,4,.714,
28,Jerry Kill,New Mexico State,CUSA,10,5,.667,
29,Craig Bohl,Wyoming,MWC,9,4,.692,
30,Neal Brown,West Virginia,Big 12,9,4,.692,
31,Troy Calhoun,Air Force,MWC,9,4,.692,
32,Dave Doeren,North Carolina State,ACC,9,4,.692,
33,Josh Heupel,Tennessee,SEC,9,4,.692,
34,Chris Klieman,Kansas State,Big 12,9,4,.692,
35,Lance Leipold,Kansas,Big 12,9,4,.692,
36,Rich Rodriguez,Jacksonville State,CUSA,9,4,.692,
37,Dabo Swinney,Clemson,ACC,9,4,.692,
38,Jeff Traylor,UTSA,American,9,4,.692,
39,Shawn Clark,Appalachian State,Sun Belt,9,5,.643,
40,Barry Odom,UNLV,MWC,9,5,.643,
41,Jonathan Smith,Oregon State,Pac-12,8,4,.667,
42,Jeff Tedford,Fresno State,MWC,8,4,.667,
43,Tim Beck,Coastal Carolina,Sun Belt,8,5,.615,
44,David Braun,Northwestern,Big Ten,8,5,.615,
45,Mack Brown,North Carolina,ACC,8,5,.615,
46,Tyson Helton,Western Kentucky,CUSA,8,5,.615,
47,Chip Kelly,UCLA,Pac-12,8,5,.615,
48,G.J. Kinne,Texas State,Sun Belt,8,5,.615,
49,Mike Locksley,Maryland,Big Ten,8,5,.615,
50,Lincoln Riley,USC,Pac-12,8,5,.615,
51,Kyle Whittingham,Utah,Pac-12,8,5,.615,
52,Mike Elko,Duke,ACC,7,5,.583,
53,Brent Brennan,San Jose State,MWC,7,6,.538,
54,Matt Campbell,Iowa State,Big 12,7,6,.538,
55,Mario Cristobal,Miami (FL),ACC,7,6,.538,
56,Shawn Elliott,Georgia State,Sun Belt,7,6,.538,
57,Luke Fickell,Wisconsin,Big Ten,7,6,.538,
58,Alex Golesh,South Florida,American,7,6,.538,
59,Jeff Hafley,Boston College,ACC,7,6,.538,
60,Thomas Hammock,Northern Illinois,MAC,7,6,.538,
61,Brent Key,Georgia Tech,ACC,7,6,.538,
62,Scot Loeffler,Bowling Green,MAC,7,6,.538,
63,Joey McGuire,Texas Tech,Big 12,7,6,.538,
64,Brent Pry,Virginia Tech,ACC,7,6,.538,
65,Greg Schiano,Rutgers,Big Ten,7,6,.538,
66,Mark Stoops,Kentucky,SEC,7,6,.538,
67,Kane Wommack,South Alabama,Sun Belt,7,6,.538,
68,Jimbo Fisher,Texas A&M,SEC,6,4,.600,
69,Jeff Monken,Army,Ind,6,6,.500,
70,Blake Anderson,Utah State,MWC,6,7,.462,
71,Mike Bloomgren,Rice,American,6,7,.462,
72,Chris Creighton,Eastern Michigan,MAC,6,7,.462,
73,Michael Desormeaux,Louisiana,Sun Belt,6,7,.462,
74,P.J. Fleck,Minnesota,Big Ten,6,7,.462,
75,Hugh Freeze,Auburn,SEC,6,7,.462,
76,Clay Helton,Georgia Southern,Sun Belt,6,7,.462,
77,Charles Huff,Marshall,Sun Belt,6,7,.462,
78,Butch Jones,Arkansas State,Sun Belt,6,7,.462,
79,Gus Malzahn,UCF,Big 12,6,7,.462,
80,Ricky Rahne,Old Dominion,Sun Belt,6,7,.462,
81,Justin Wilcox,California,Pac-12,6,7,.462,
82,Andy Avalos,Boise State,MWC,5,5,.500,
83,Dino Babers,Syracuse,ACC,5,6,.455,
84,Shane Beamer,South Carolina,SEC,5,7,.417,
85,Bret Bielema,Illinois,Big Ten,5,7,.417,
86,Jake Dickert,Washington State,Pac-12,5,7,.417,
87,Sonny Dykes,TCU,Big 12,5,7,.417,
88,Jim McElwain,Central Michigan,MAC,5,7,.417,
89,Eric Morris,North Texas,American,5,7,.417,
90,Billy Napier,Florida,SEC,5,7,.417,
91,Brian Newberry,Navy,American,5,7,.417,
92,Jay Norvell,Colorado State,MWC,5,7,.417,
93,Matt Rhule,Nebraska,Big Ten,5,7,.417,
94,Kalani Sitake,BYU,Big 12,5,7,.417,
95,Timmy Chang,Hawaii,MWC,5,8,.385,
96,Zach Arnett,Mississippi State,SEC,4,6,.400,
97,Dave Clawson,Wake Forest,ACC,4,8,.333,
98,Trent Dilfer,UAB,American,4,8,.333,
99,Danny Gonzales,New Mexico,MWC,4,8,.333,
100,Tom Herman,Florida Atlantic,American,4,8,.333,
101,Brady Hoke,San Diego State,MWC,4,8,.333,
102,Dana Holgorsen,Houston,Big 12,4,8,.333,
103,Mike MacIntyre,Florida International,CUSA,4,8,.333,
104,Mike Neu,Ball State,MAC,4,8,.333,
105,Sam Pittman,Arkansas,SEC,4,8,.333,
106,Deion Sanders,Colorado,Pac-12,4,8,.333,
107,Rick Stockstill,Middle Tennessee State,CUSA,4,8,.333,
108,Lance Taylor,Western Michigan,MAC,4,8,.333,
109,Ryan Walters,Purdue,Big Ten,4,8,.333,
110,Kevin Wilson,Tulsa,American,4,8,.333,
111,Spencer Danielson,Boise State,MWC,3,1,.750,
112,Tom Allen,Indiana,Big Ten,3,9,.250,
113,Dave Aranda,Baylor,Big 12,3,9,.250,
114,Don Brown,Massachusetts,Ind,3,9,.250,
115,Sonny Cumbie,Louisiana Tech,CUSA,3,9,.250,
116,Kenny Dillingham,Arizona State,Pac-12,3,9,.250,
117,Dana Dimel,UTEP,CUSA,3,9,.250,
118,Stan Drayton,Temple,American,3,9,.250,
119,Tony Elliott,Virginia,ACC,3,9,.250,
