Rk,Coach,School,Conf,W,L,Pct,Notes
1,Scott Frost,UCF,American,13,0,1.000,
2,Paul Chryst,Wisconsin,Big Ten,13,1,.929,
3,Nick Saban,Alabama,SEC,13,1,.929,
4,Kirby Smart,Georgia,SEC,13,2,.867,
5,Urban Meyer,Ohio State,Big Ten,12,2,.857,
6,Lincoln Riley,Oklahoma,Big 12,12,2,.857,
7,Dabo Swinney,Clemson,ACC,12,2,.857,
8,Neal Brown,Troy,Sun Belt,11,2,.846,
9,James Franklin,Penn State,Big Ten,11,2,.846,
10,Jason Candle,Toledo,MAC,11,3,.786,
11,Bryan Harsin,Boise State,MWC,11,3,.786,
12,Clay Helton,USC,Pac-12,11,3,.786,
13,Lane Kiffin,Florida Atlantic,CUSA,11,3,.786,
14,Gary Patterson,TCU,Big 12,11,3,.786,
15,Charlie Strong,South Florida,American,10,2,.833,
16,Mark Dantonio,Michigan State,Big Ten,10,3,.769,
17,Pat Fitzgerald,Northwestern,Big Ten,10,3,.769,
18,Mike Gundy,Oklahoma State,Big 12,10,3,.769,
19,Brian Kelly,Notre Dame,Ind,10,3,.769,
20,Rocky Long,San Diego State,MWC,10,3,.769,
21,Jeff Monken,Army,Ind,10,3,.769,
22,Mike Norvell,Memphis,American,10,3,.769,
23,Chris Petersen,Washington,Pac-12,10,3,.769,
24,Mark Richt,Miami (FL),ACC,10,3,.769,
25,Gus Malzahn,Auburn,SEC,10,4,.714,
26,Jeff Tedford,Fresno State,MWC,10,4,.714,
27,Dave Doeren,North Carolina State,ACC,9,4,.692,
28,Justin Fuente,Virginia Tech,ACC,9,4,.692,
29,Mike Leach,Washington State,Pac-12,9,4,.692,
30,Will Muschamp,South Carolina,SEC,9,4,.692,
31,Ed Orgeron,LSU,SEC,9,4,.692,
32,Scott Satterfield,Appalachian State,Sun Belt,9,4,.692,
33,Frank Solich,Ohio,MAC,9,4,.692,
34,Seth Littrell,North Texas,CUSA,9,5,.643,
35,David Shaw,Stanford,Pac-12,9,5,.643,
36,Dan Mullen,Mississippi State,SEC,8,4,.667,
37,Craig Bohl,Wyoming,MWC,8,5,.615,
38,John Bonamego,Central Michigan,MAC,8,5,.615,
39,Matt Campbell,Iowa State,Big 12,8,5,.615,
40,Rod Carey,Northern Illinois,MAC,8,5,.615,
41,Bill Clark,UAB,CUSA,8,5,.615,
42,Dave Clawson,Wake Forest,ACC,8,5,.615,
43,Butch Davis,Florida International,CUSA,8,5,.615,
44,Kirk Ferentz,Iowa,Big Ten,8,5,.615,
45,Jim Harbaugh,Michigan,Big Ten,8,5,.615,
46,Doc Holliday,Marshall,CUSA,8,5,.615,
47,Jay Hopson,Southern Mississippi,CUSA,8,5,.615,
48,Bobby Petrino,Louisville,ACC,8,5,.615,
49,Bill Snyder,Kansas State,Big 12,8,5,.615,
50,Blake Anderson,Arkansas State,Sun Belt,7,5,.583,
51,Major Applewhite,Houston,American,7,5,.583,
52,Shawn Elliott,Georgia State,Sun Belt,7,5,.583,
53,Chad Morris,SMU,American,7,5,.583,
54,Kevin Sumlin,Texas A&M,SEC,7,5,.583,
55,Willie Taggart,Oregon,Pac-12,7,5,.583,
56,Steve Addazio,Boston College,ACC,7,6,.538,
57,Mike Bobo,Colorado State,MWC,7,6,.538,
58,Jeff Brohm,Purdue,Big Ten,7,6,.538,
59,Geoff Collins,Temple,American,7,6,.538,
60,David Cutcliffe,Duke,ACC,7,6,.538,
61,Todd Graham,Arizona State,Pac-12,7,6,.538,
62,Tom Herman,Texas,Big 12,7,6,.538,
63,Dana Holgorsen,West Virginia,Big 12,7,6,.538,
64,Skip Holtz,Louisiana Tech,CUSA,7,6,.538,
65,Doug Martin,New Mexico State,Sun Belt,7,6,.538,
66,Ken Niumatalolo,Navy,American,7,6,.538,
67,Barry Odom,Missouri,SEC,7,6,.538,
68,Rich Rodriguez,Arizona,Pac-12,7,6,.538,
69,Rick Stockstill,Middle Tennessee State,CUSA,7,6,.538,
70,Mark Stoops,Kentucky,SEC,7,6,.538,
71,Kyle Whittingham,Utah,Pac-12,7,6,.538,
72,Terry Bowden,Akron,MAC,7,7,.500,
73,Frank Wilson,UTSA,CUSA,6,5,.545,
74,Lance Leipold,Buffalo,MAC,6,6,.500,
75,Tim Lester,Western Michigan,MAC,6,6,.500,
76,Matt Luke,Ole Miss,SEC,6,6,.500,
77,Kliff Kingsbury,Texas Tech,Big 12,6,7,.462,
78,Bronco Mendenhall,Virginia,ACC,6,7,.462,
79,Mike Sanford Jr.,Western Kentucky,CUSA,6,7,.462,
80,Matt Wells,Utah State,MWC,6,7,.462,
81,Jimbo Fisher,Florida State,ACC,5,6,.455,
82,Paul Johnson,Georgia Tech,ACC,5,6,.455,
83,Jim Mora,UCLA,Pac-12,5,6,.455,
84,Tom Allen,Indiana,Big Ten,5,7,.417,
85,Troy Calhoun,Air Force,MWC,5,7,.417,
86,Chris Creighton,Eastern Michigan,MAC,5,7,.417,
87,P.J. Fleck,Minnesota,Big Ten,5,7,.417,
88,Willie Fritz,Tulane,American,5,7,.417,
89,Mark Hudspeth,Louisiana,Sun Belt,5,7,.417,
90,Mike MacIntyre,Colorado,Pac-12,5,7,.417,
91,Chuck Martin,Miami (OH),MAC,5,7,.417,
92,Derek Mason,Vanderbilt,SEC,5,7,.417,
93,Pat Narduzzi,Pitt,ACC,5,7,.417,
94,Tony Sanchez,UNLV,MWC,5,7,.417,
95,Justin Wilcox,California,Pac-12,5,7,.417,
96,Bobby Wilder,Old Dominion,CUSA,5,7,.417,
97,Butch Jones,Tennessee,SEC,4,6,.400,
98,Chris Ash,Rutgers,Big Ten,4,8,.333,
99,Dino Babers,Syracuse,ACC,4,8,.333,
100,Bret Bielema,Arkansas,SEC,4,8,.333,
101,D.J. Durkin,Maryland,Big Ten,4,8,.333,
102,Luke Fickell,Cincinnati,American,4,8,.333,
103,Joey Jones,South Alabama,Sun Belt,4,8,.333,
104,Paul Petrino,Idaho,Sun Belt,4,8,.333,
105,Mike Riley,Nebraska,Big Ten,4,8,.333,
106,Matt Viator,Louisiana-Monroe,Sun Belt,4,8,.333,
107,Mark Whipple,Massachusetts,Ind,4,8,.333,
108,Kalani Sitake,BYU,Ind,4,9,.308,
109,Jim McElwain,Florida,SEC,3,4,.429,
110,Jamey Chadwell,Coastal Carolina,Sun Belt,3,9,.250,
111,Bob Davie,New Mexico,MWC,3,9,.250,
112,Randy Edsall,Connecticut,American,3,9,.250,
113,Larry Fedora,North Carolina,ACC,3,9,.250,
114,Scottie Montgomery,East Carolina,American,3,9,.250,
115,Jay Norvell,Nevada,MWC,3,9,.250,
116,Nick Rolovich,Hawaii,MWC,3,9,.250,
117,Odell Haggins,Florida State,ACC,2,0,1.000,
118,Chad Lunsford,Georgia Southern,Sun Belt,2,4,.333,
119,Paul Haynes,Kent State,MAC,2,10,.167,
120,Mike Jinks,Bowling Green,MAC,2,10,.167,
121,Philip Montgomery,Tulsa,American,2,10,.167,
122,Mike Neu,Ball State,MAC,2,10,.167,
123,Lovie Smith,Illinois,Big Ten,2,10,.167,
124,Everett Withers,Texas State,Sun Belt,2,10,.167,
125,Brent Brennan,San Jose State,MWC,2,11,.154,
126,Greg Knox,Mississippi State,SEC,1,0,1.000,
127,Jedd Fisch,UCLA,Pac-12,1,1,.500,
128,Randy Shannon,Florida,SEC,1,3,.250,
129,Gary Andersen,Oregon State,Pac-12,1,5,.167,
130,David Bailiff,Rice,CUSA,1,11,.083,
131,David Beaty,Kansas,Big 12,1,11,.083,
132,Brad Lambert,Charlotte,CUSA,1,11,.083,
133,Matt Rhule,Baylor,Big 12,1,11,.083,
134,Jeff Banks,Texas A&M,SEC,0,1,.000,
135,Mario Cristobal,Oregon,Pac-12,0,1,.000,
136,Sonny Dykes,SMU,American,0,1,.000,
137,Cory Hall,Oregon State,Pac-12,0,6,.000,
138,Brady Hoke,Tennessee,SEC,0,2,.000,
139,Sean Kugler,UTEP,CUSA,0,5,.000,
140,Mike Price,UTEP,CUSA,0,7,.000,
141,Tyson Summers,Georgia Southern,Sun Belt,0,6,.000,
