Rk,Coach,School,Conf,W,L,Pct,Notes
1,Nick Saban,Alabama,SEC,14,1,.933,
2,Dabo Swinney,Clemson,ACC,14,1,.933,
3,P.J. Fleck,Western Michigan,MAC,13,1,.929,
4,Chris Petersen,Washington,Pac-12,12,2,.857,
5,Urban Meyer,Ohio State,Big Ten,11,2,.846,
6,Bob Stoops,Oklahoma,Big 12,11,2,.846,
7,Paul Chryst,Wisconsin,Big Ten,11,3,.786,
8,James Franklin,Penn State,Big Ten,11,3,.786,
9,Rocky Long,San Diego State,MWC,11,3,.786,
10,Willie Taggart,South Florida,American,10,2,.833,
11,Jeff Brohm,Western Kentucky,CUSA,10,3,.769,
12,Neal Brown,Troy,Sun Belt,10,3,.769,
13,Troy Calhoun,Air Force,MWC,10,3,.769,
14,Jimbo Fisher,Florida State,ACC,10,3,.769,
15,Mike Gundy,Oklahoma State,Big 12,10,3,.769,
16,Jim Harbaugh,Michigan,Big Ten,10,3,.769,
17,Bryan Harsin,Boise State,MWC,10,3,.769,
18,Clay Helton,USC,Pac-12,10,3,.769,
19,Dana Holgorsen,West Virginia,Big 12,10,3,.769,
20,Philip Montgomery,Tulsa,American,10,3,.769,
21,Matt Rhule,Temple,American,10,3,.769,
22,Scott Satterfield,Appalachian State,Sun Belt,10,3,.769,
23,David Shaw,Stanford,Pac-12,10,3,.769,
24,Bobby Wilder,Old Dominion,CUSA,10,3,.769,
25,Justin Fuente,Virginia Tech,ACC,10,4,.714,
26,Mike MacIntyre,Colorado,Pac-12,10,4,.714,
27,Tom Herman,Houston,American,9,3,.750,
28,Jason Candle,Toledo,MAC,9,4,.692,
29,Tracy Claeys,Minnesota,Big Ten,9,4,.692,
30,Bob Davie,New Mexico,MWC,9,4,.692,
31,Paul Johnson,Georgia Tech,ACC,9,4,.692,
32,Butch Jones,Tennessee,SEC,9,4,.692,
33,Jim McElwain,Florida,SEC,9,4,.692,
34,Bobby Petrino,Louisville,ACC,9,4,.692,
35,Paul Petrino,Idaho,Sun Belt,9,4,.692,
36,Mark Richt,Miami (FL),ACC,9,4,.692,
37,Mike Riley,Nebraska,Big Ten,9,4,.692,
38,Kalani Sitake,BYU,Ind,9,4,.692,
39,Bill Snyder,Kansas State,Big 12,9,4,.692,
40,Kyle Whittingham,Utah,Pac-12,9,4,.692,
41,Skip Holtz,Louisiana Tech,CUSA,9,5,.643,
42,Ken Niumatalolo,Navy,American,9,5,.643,
43,Blake Anderson,Arkansas State,Sun Belt,8,5,.615,
44,Larry Fedora,North Carolina,ACC,8,5,.615,
45,Kirk Ferentz,Iowa,Big Ten,8,5,.615,
46,Mike Leach,Washington State,Pac-12,8,5,.615,
47,Gus Malzahn,Auburn,SEC,8,5,.615,
48,Jeff Monken,Army,Ind,8,5,.615,
49,Pat Narduzzi,Pitt,ACC,8,5,.615,
50,Mike Norvell,Memphis,American,8,5,.615,
51,Kirby Smart,Georgia,SEC,8,5,.615,
52,Rick Stockstill,Middle Tennessee State,CUSA,8,5,.615,
53,Kevin Sumlin,Texas A&M,SEC,8,5,.615,
54,Craig Bohl,Wyoming,MWC,8,6,.571,
55,Frank Solich,Ohio,MAC,8,6,.571,
56,Steve Addazio,Boston College,ACC,7,6,.538,
57,Bret Bielema,Arkansas,SEC,7,6,.538,
