Rk,Coach,School,Conf,W,L,Pct,Notes
1,Kirby Smart,Georgia,SEC,14,1,.933,
2,Luke Fickell,Cincinnati,American,13,1,.929,
3,Nick Saban,Alabama,SEC,13,2,.867,
4,Billy Napier,Louisiana,Sun Belt,12,1,.923,
5,Dave Aranda,Baylor,Big 12,12,2,.857,
6,Mike Gundy,Oklahoma State,Big 12,12,2,.857,
7,Jim Harbaugh,Michigan,Big Ten,12,2,.857,
8,Brady Hoke,San Diego State,MWC,12,2,.857,
9,Dana Holgorsen,Houston,American,12,2,.857,
10,Jeff Traylor,UTSA,CUSA,12,2,.857,
11,Brian Kelly,Notre Dame,Ind,11,1,.917,
12,Jamey Chadwell,Coastal Carolina,Sun Belt,11,2,.846,
13,Ryan Day,Ohio State,Big Ten,11,2,.846,
14,Mel Tucker II,Michigan State,Big Ten,11,2,.846,
15,Blake Anderson,Utah State,MWC,11,3,.786,
16,Dave Clawson,Wake Forest,ACC,11,3,.786,
17,Pat Narduzzi,Pitt,ACC,11,3,.786,
18,Lincoln Riley,Oklahoma,Big 12,10,2,.833,
19,Troy Calhoun,Air Force,MWC,10,3,.769,
20,Mario Cristobal,Oregon,Pac-12,10,3,.769,
21,Lane Kiffin,Ole Miss,SEC,10,3,.769,
22,Kalani Sitake,BYU,Ind,10,3,.769,
23,Mark Stoops,Kentucky,SEC,10,3,.769,
24,Dabo Swinney,Clemson,ACC,10,3,.769,
25,Shawn Clark,Appalachian State,Sun Belt,10,4,.714,
26,Kirk Ferentz,Iowa,Big Ten,10,4,.714,
27,Kyle Whittingham,Utah,Pac-12,10,4,.714,
28,Kalen DeBoer,Fresno State,MWC,9,3,.750,
29,Dave Doeren,North Carolina State,ACC,9,3,.750,
30,Jeff Brohm,Purdue,Big Ten,9,4,.692,
31,Paul Chryst,Wisconsin,Big Ten,9,4,.692,
32,Bill Clark,UAB,CUSA,9,4,.692,
33,P.J. Fleck,Minnesota,Big Ten,9,4,.692,
34,Gus Malzahn,UCF,American,9,4,.692,
35,Jim McElwain,Central Michigan,MAC,9,4,.692,
36,Jeff Monken,Army,Ind,9,4,.692,
37,Sam Pittman,Arkansas,SEC,9,4,.692,
38,Thomas Hammock,Northern Illinois,MAC,9,5,.643,
39,Tyson Helton,Western Kentucky,CUSA,9,5,.643,
40,Sonny Dykes,SMU,American,8,4,.667,
41,Jimbo Fisher,Texas A&M,SEC,8,4,.667,
42,Chip Kelly,UCLA,Pac-12,8,4,.667,
43,Jay Norvell,Nevada,MWC,8,4,.667,
44,Herm Edwards,Arizona State,Pac-12,8,5,.615,
