Rk,Coach,School,Conf,W,L,Pct,Notes
111,Doug Martin,New Mexico State,,1,1,.500,
112,Frank Maile,Utah State,MWC,1,2,.333,
113,Steve Addazio,Colorado State,MWC,1,3,.250,
114,Nick Rolovich,Washington State,Pac-12,1,3,.250,
115,Scotty Walden,Southern Mississippi,CUSA,1,3,.250,
116,Justin Wilcox,California,Pac-12,1,3,.250,
117,Tom Arth,Akron,MAC,1,5,.167,
118,Rod Carey,Temple,American,1,6,.143,
119,Jeff Scott,South Florida,American,1,8,.111,
120,Dino Babers,Syracuse,ACC,1,10,.091,
121,Gary Andersen,Utah State,MWC,0,3,.000,
122,Marcus Arroyo,UNLV,MWC,0,6,.000,
123,Walt Bell,Massachusetts,Ind,0,4,.000,
124,Mike Bobo,South Carolina,SEC,0,3,.000,
125,Butch Davis,Florida International,CUSA,0,5,.000,
126,Todd Fitch,Vanderbilt,SEC,0,1,.000,
127,Thomas Hammock,Northern Illinois,MAC,0,6,.000,
128,Jay Hopson,Southern Mississippi,CUSA,0,1,.000,
129,Scot Loeffler,Bowling Green,MAC,0,5,.000,
130,Derek Mason,Vanderbilt,SEC,0,8,.000,
131,Les Miles,Kansas,Big 12,0,9,.000,
132,Rod Smith,Illinois,Big Ten,0,1,.000,
133,Kevin Steele,Auburn,SEC,0,1,.000,
134,Kevin Sumlin,Arizona,Pac-12,0,5,.000,
135,Matt Viator,Louisiana-Monroe,Sun Belt,0,10,.000,
136,Randy Edsall,Connecticut,American,,,,
137,Ricky Rahne,Old Dominion,CUSA,,,,
