Rk,Coach,School,Conf,W,L,Pct,Notes
1,Kirby Smart,Georgia,SEC,15,0,1.000,
2,Jim Harbaugh,Michigan,Big Ten,13,1,.929,
3,Sonny Dykes,TCU,Big 12,13,2,.867,
4,Willie Fritz,Tulane,American,12,2,.857,
5,Jon Sumrall,Troy,Sun Belt,12,2,.857,
6,Ryan Day,Ohio State,Big Ten,11,2,.846,
7,Kalen DeBoer,Washington,Pac-12,11,2,.846,
8,James Franklin,Penn State,Big Ten,11,2,.846,
9,Josh Heupel,Tennessee,SEC,11,2,.846,
10,Nick Saban,Alabama,SEC,11,2,.846,
11,Lincoln Riley,USC,Pac-12,11,3,.786,
12,Dabo Swinney,Clemson,ACC,11,3,.786,
13,Jeff Traylor,UTSA,CUSA,11,3,.786,
14,Troy Calhoun,Air Force,MWC,10,3,.769,
15,Dan Lanning,Oregon,Pac-12,10,3,.769,
16,Mike Norvell,Florida State,ACC,10,3,.769,
17,Jonathan Smith,Oregon State,Pac-12,10,3,.769,
18,Kane Wommack,South Alabama,Sun Belt,10,3,.769,
19,Tim Albin,Ohio,MAC,10,4,.714,
20,Andy Avalos,Boise State,MWC,10,4,.714,
21,Brian Kelly,LSU,SEC,10,4,.714,
22,Chris Klieman,Kansas State,Big 12,10,4,.714,
23,Jeff Tedford,Fresno State,MWC,10,4,.714,
24,Kyle Whittingham,Utah,Pac-12,10,4,.714,
25,Jamey Chadwell,Coastal Carolina,Sun Belt,9,3,.750,
26,Luke Fickell,Cincinnati,American,9,3,.750,
27,Chris Creighton,Eastern Michigan,MAC,9,4,.692,
28,Mike Elko,Duke,ACC,9,4,.692,
29,P.J. Fleck,Minnesota,Big Ten,9,4,.692,
30,Marcus Freeman,Notre Dame,Ind,9,4,.692,
31,Charles Huff,Marshall,Sun Belt,9,4,.692,
32,Chip Kelly,UCLA,Pac-12,9,4,.692,
33,Pat Narduzzi,Pitt,ACC,9,4,.692,
34,Mack Brown,North Carolina,ACC,9,5,.643,
35,Jason Candle,Toledo,MAC,9,5,.643,
36,Tyson Helton,Western Kentucky,CUSA,9,5,.643,
37,Gus Malzahn,UCF,American,9,5,.643,
38,Curt Cignetti,James Madison,Sun Belt,8,3,.727,
39,Hugh Freeze,Liberty,Ind,8,4,.667,
40,Mike Leach,Mississippi State,SEC,8,4,.667,
41,Shane Beamer,South Carolina,SEC,8,5,.615,
42,Bret Bielema,Illinois,Big Ten,8,5,.615,
43,Jeff Brohm,Purdue,Big Ten,8,5,.615,
44,Dave Clawson,Wake Forest,ACC,8,5,.615,
45,Dave Doeren,North Carolina State,ACC,8,5,.615,
46,Kirk Ferentz,Iowa,Big Ten,8,5,.615,
47,Dana Holgorsen,Houston,American,8,5,.615,
48,Mike Houston,East Carolina,American,8,5,.615,
49,Lane Kiffin,Ole Miss,SEC,8,5,.615,
50,Mike Locksley,Maryland,Big Ten,8,5,.615,
51,Joey McGuire,Texas Tech,Big 12,8,5,.615,
52,Steve Sarkisian,Texas,Big 12,8,5,.615,
53,Kalani Sitake,Brigham Young,Ind,8,5,.615,
54,Rick Stockstill,Middle Tennessee State,CUSA,8,5,.615,
55,Brent Brennan,San Jose State,MWC,7,5,.583,
56,Scott Satterfield,Louisville,ACC,7,5,.583,
57,Dino Babers,Syracuse,ACC,7,6,.538,
58,Craig Bohl,Wyoming,MWC,7,6,.538,
59,Jake Dickert,Washington State,Pac-12,7,6,.538,
60,Mike Gundy,Oklahoma State,Big 12,7,6,.538,
61,Will Hall,Southern Mississippi,Sun Belt,7,6,.538,
62,Brady Hoke,San Diego State,MWC,7,6,.538,
63,Jerry Kill,New Mexico State,Ind,7,6,.538,
64,Rhett Lashlee,SMU,American,7,6,.538,
65,Maurice Linguist,Buffalo,MAC,7,6,.538,
66,Seth Littrell,North Texas,CUSA,7,6,.538,
67,Sam Pittman,Arkansas,SEC,7,6,.538,
68,Ryan Silverfield,Memphis,American,7,6,.538,
69,Mark Stoops,Kentucky,SEC,7,6,.538,
70,Bryant Vincent,UAB,CUSA,7,6,.538,
71,Shawn Clark,Appalachian State,Sun Belt,6,6,.500,
72,Jeff Monken,Army,Ind,6,6,.500,
73,Blake Anderson,Utah State,MWC,6,7,.462,
74,Dave Aranda,Baylor,Big 12,6,7,.462,
75,Michael Desormeaux,Louisiana,Sun Belt,6,7,.462,
76,Eli Drinkwitz,Missouri,SEC,6,7,.462,
77,Clay Helton,Georgia Southern,Sun Belt,6,7,.462,
78,Lance Leipold,Kansas,Big 12,6,7,.462,
79,Scot Loeffler,Bowling Green State,MAC,6,7,.462,
80,Chuck Martin,Miami (OH),MAC,6,7,.462,
81,Jim Mora,Connecticut,Ind,6,7,.462,
82,Billy Napier,Florida,SEC,6,7,.462,
83,Brent Venables,Oklahoma,Big 12,6,7,.462,
84,Marcus Arroyo,UNLV,MWC,5,7,.417,
85,Neal Brown,West Virginia,Big 12,5,7,.417,
86,Mario Cristobal,Miami (FL),ACC,5,7,.417,
87,Dana Dimel,UTEP,CUSA,5,7,.417,
88,Jedd Fisch,Arizona,Pac-12,5,7,.417,
89,Jimbo Fisher,Texas A&M,SEC,5,7,.417,
90,Clark Lea,Vanderbilt,SEC,5,7,.417,
91,Tim Lester,Western Michigan,MAC,5,7,.417,
92,Sean Lewis,Kent State,MAC,5,7,.417,
93,Philip Montgomery,Tulsa,American,5,7,.417,
94,Mike Neu,Ball State,MAC,5,7,.417,
95,Willie Taggart,Florida Atlantic,CUSA,5,7,.417,
96,Mel Tucker II,Michigan State,Big Ten,5,7,.417,
97,Mike Bloomgren,Rice,CUSA,5,8,.385,
98,Jim Leonhard,Wisconsin,Big Ten,4,3,.571,
99,Brent Key,Georgia Tech,ACC,4,4,.500,
100,Tom Allen,Indiana,Big Ten,4,8,.333,
101,Terry Bowden,Louisiana-Monroe,Sun Belt,4,8,.333,
102,Matt Campbell,Iowa State,Big 12,4,8,.333,
