Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,-9999
1,Damon Harrison,30,2TM,DT,17,16,0,0,0,0,1,2,0,1,0,0,3.5,81,52,29,9,8,0,,HarrDa03
1,Damon Harrison,30,NYG,DT,7,7,0,0,0,0,0,1,0,0,0,0,0.0,31,15,16,4,1,0,,HarrDa03
1,Damon Harrison,30,DET,DT,10,9,0,0,0,0,1,1,0,1,0,0,3.5,50,37,13,5,7,0,,HarrDa03
2,Jamal Adams,23,NYJ,S,16,16,1,38,0,38,12,3,0,1,5,0,3.5,115,86,29,9,8,0,PBAP-2,AdamJa00
3,Mike Adams,37,CAR,S,16,16,3,11,0,18,6,0,0,0,0,0,0.0,75,47,28,3,1,0,,AdamMi21
4,Jahleel Addae,28,LAC,S,16,16,1,19,0,19,3,0,1,1,0,0,1.0,75,52,23,1,1,0,,AddaJa00
5,Mario Addison,31,CAR,DE,16,16,0,0,0,0,0,2,0,0,0,0,9.0,35,20,15,11,12,0,,AddiMa00
6,Nelson Agholor,25,PHI,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,AghoNe00
7,Jonathan Allen,23,WAS,DE,16,16,0,0,0,0,0,0,0,0,0,0,8.0,61,35,26,11,15,0,,AlleJo01
8,Adrian Amos,25,CHI,S,16,16,2,27,0,26,9,0,0,1,15,0,1.0,73,59,14,2,1,0,,AmosAd00
9,David Andrews,26,NWE,C,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,,AndrDa00
10,Arik Armstead,25,SFO,DE,16,16,0,0,0,0,0,0,0,0,0,0,3.0,48,33,15,6,12,0,,ArmsAr01
11,Geno Atkins,30,CIN,DT,16,16,0,0,0,0,0,0,0,0,0,0,10.0,45,24,21,13,19,0,PB,AtkiGe99
12,Peyton Barber,24,TAM,RB,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,BarbPe01
13,Jessie Bates III,21,CIN,S,16,16,3,42,1,21,7,0,0,0,0,0,0.0,111,73,38,0,0,0,,BateJe00
14,Antoine Bethea,34,ARI,S,16,16,0,0,0,0,4,1,0,0,0,0,3.0,121,100,21,5,6,0,,BethAn20
15,Andrew Billings,23,CIN,DT,16,16,0,0,0,0,0,0,0,0,0,0,2.5,32,22,10,8,7,0,,BillAn00
16,Joel Bitonio,27,CLE,LG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,PBAP-2,BitoJo00
17,Austin Blythe,26,LAR,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,BlytAu00
18,James Bradberry,25,CAR,CB,16,16,1,29,0,29,15,1,0,0,0,0,1.0,70,58,12,1,1,0,,BradJa00
19,Tom Brady,41,NWE,QB,16,16,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,PB,BradTo00
20,Michael Brockers,28,LAR,DE,16,16,0,0,0,0,0,0,0,0,0,0,1.0,54,33,21,4,4,0,,BrocMi00
21,DeForest Buckner,24,SFO,DT,16,16,0,0,0,0,3,0,0,1,0,0,12.0,67,44,23,17,20,0,PB,BuckDe00
22,Trey Burton,27,CHI,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,BurtTr01
23,Kevin Byard,25,TEN,S,16,16,4,1,0,1,8,0,0,0,0,0,2.0,90,62,28,3,5,0,,ByarKe01
24,Calais Campbell,32,JAX,DE,16,16,0,0,0,0,2,1,0,1,0,0,10.5,72,53,19,20,22,0,PB,CampCa99
25,Brandon Carr,32,BAL,CB,16,16,2,26,0,32,11,0,0,0,0,0,0.0,45,39,6,0,1,0,,CarrBr99
26,Derek Carr,27,LVR,QB,16,16,0,0,0,0,0,0,12,2,-6,0,0.0,0,0,0,0,0,0,,CarrDe02
27,Bradley Chubb,22,DEN,LB,16,16,0,0,0,0,1,2,0,1,4,0,12.0,60,41,19,14,21,0,AP DRoY-3,ChubBr00
28,Frank Clark,25,SEA,DE,16,16,1,26,0,26,2,3,0,2,0,0,13.0,41,33,8,10,27,0,,ClarFr01
29,Mason Cole,22,ARI,C,16,16,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,,ColeMa02
30,Jamie Collins,29,CLE,LB,16,16,1,0,0,0,4,1,0,1,0,0,4.0,104,73,31,13,7,0,,CollJa00
31,La'el Collins,25,DAL,RT,16,16,0,0,0,0,0,0,0,1,2,0,0.0,0,0,0,0,0,0,,CollLa01
32,Brandin Cooks,25,LAR,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,CookBr00
33,Kirk Cousins,30,MIN,QB,16,16,0,0,0,0,0,0,9,3,-31,0,0.0,0,0,0,0,0,0,,CousKi00
34,Fletcher Cox,28,PHI,DT,16,16,0,0,0,0,1,1,0,1,3,0,10.5,46,33,13,12,34,0,PBAP-1,CoxxFl00
35,Corey Davis,23,TEN,WR,16,16,0,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0,,DaviCo03
36,Demario Davis,29,NOR,LB,16,16,0,0,0,0,4,2,0,1,0,0,5.0,110,74,36,11,11,0,,DaviDe00
37,Jarrad Davis,24,DET,LB,16,16,0,0,0,0,5,1,0,1,20,0,6.0,100,73,27,10,10,0,,DaviJa01
38,Jesse Davis,27,MIA,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,DaviJe00
39,Todd Davis,26,DEN,LB,16,16,1,20,1,20,7,0,0,0,0,0,0.5,114,80,34,6,5,0,,DaviTo01
40,Dion Dawkins,24,BUF,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,DawkDi00
41,Quandre Diggs,25,DET,S,16,16,3,41,1,37,8,0,0,0,0,0,0.0,78,64,14,3,1,0,,DiggQu00
42,Aaron Donald,27,LAR,DT,16,16,0,0,0,0,1,4,0,2,0,0,20.5,59,41,18,25,41,0,PBAP-1AP DPoY-1,DonaAa00
43,Carlos Dunlap,29,CIN,DE,16,16,0,0,0,0,8,2,0,1,0,0,8.0,47,31,16,8,21,0,,DunlCa99
44,Zach Ertz,28,PHI,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,PB,ErtzZa00
45,Mike Evans,25,TAM,WR,16,16,0,0,0,0,0,0,2,2,-3,1,0.0,0,0,0,0,0,0,PB,EvanMi00
46,Eric Fisher,27,KAN,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,PB,FishEr00
47,Leonard Floyd,26,CHI,LB,16,16,1,19,1,19,4,0,0,1,0,0,4.0,47,34,13,9,11,0,,FloyLe00
48,Dee Ford,27,KAN,LB,16,16,0,0,0,0,0,7,0,0,0,0,13.0,55,42,13,13,29,0,PB,FordDe00
49,Mason Foster,29,WAS,LB,16,16,2,4,0,4,4,0,0,1,0,0,1.0,131,81,50,4,1,0,,FostMa00
50,Kyle Fuller,26,CHI,CB,16,16,7,52,0,35,21,0,0,0,0,0,0.0,55,45,10,0,0,0,PBAP-1,FullKy00
51,Myles Garrett,23,CLE,DE,16,16,0,0,0,0,3,3,0,0,0,0,13.5,44,35,9,12,29,0,PBAP-2,GarrMy00
52,Marcus Gilchrist,30,LVR,S,16,16,3,2,0,2,6,0,0,0,0,0,0.0,58,40,18,0,0,0,,GilcMa00
53,Stephon Gilmore,28,NWE,CB,16,16,2,0,0,0,20,2,0,1,0,0,1.0,45,40,5,1,1,0,PBAP-1,GilmSt00
54,Tashaun Gipson,28,JAX,S,16,16,1,8,0,8,7,0,0,0,0,0,0.0,54,44,10,1,1,0,,GipsTa00
55,Davon Godchaux,24,MIA,DT,16,16,0,0,0,0,0,0,0,0,0,0,1.0,48,31,17,6,4,0,,GodcDa00
56,Jared Goff,24,LAR,QB,16,16,0,0,0,0,0,0,12,3,-5,0,0.0,0,0,0,0,0,0,PB,GoffJa00
57,Eddie Goldman,24,CHI,DT,16,16,0,0,0,0,0,0,0,1,0,0,3.0,40,27,13,5,3,1,,GoldEd00
58,Brandon Graham,30,PHI,DE,16,16,0,0,0,0,2,1,0,1,0,0,4.0,39,31,8,9,11,0,,GrahBr99
59,Shaquill Griffin,23,SEA,CB,16,16,2,8,0,8,8,0,0,0,0,0,0.0,62,55,7,3,0,0,,GrifSh00
60,Rob Havenstein,26,LAR,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,HaveRo00
61,Casey Hayward,29,LAC,CB,16,16,0,0,0,0,8,0,0,0,0,0,0.0,46,41,5,1,0,0,,HaywCa00
62,Jeff Heath,27,DAL,S,16,16,1,49,0,49,5,1,0,0,0,0,0.0,85,63,22,6,0,0,,HeatJe00
63,Cameron Heyward,29,PIT,DT,16,16,0,0,0,0,3,1,0,1,0,0,8.0,51,29,22,10,18,0,PB,HeywCa01
64,Akiem Hicks,29,CHI,DE,16,16,0,0,0,0,5,3,0,0,0,0,7.5,55,41,14,12,16,0,PB,HickAk00
65,Tyler Higbee,25,LAR,TE,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,HigbTy00
