Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,-9999
46,Larry Fitzgerald,36,ARI,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,FitzLa00
47,Ereck Flowers,25,WAS,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,FlowEr00
48,Leonard Floyd,27,CHI,LB,16,16,0,0,0,0,1,0,0,0,0,0,3.0,40,27,13,3,12,0,,FloyLe00
49,Travis Frederick,28,DAL,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,PBAP CPoY-4,FredTr00
50,Kyle Fuller,27,CHI,CB,16,16,3,37,0,29,12,0,0,0,0,0,0.0,82,72,10,1,0,0,PB,FullKy00
51,Jimmy Garoppolo,28,SFO,QB,16,16,0,0,0,0,0,0,10,3,-21,0,0.0,0,0,0,0,0,0,AP CPoY-2,GaroJi00
52,Stephon Gilmore,29,NWE,CB,16,16,6,126,2,64,20,0,0,1,0,0,0.0,53,44,9,0,0,0,PBAP-1AP DPoY-1,GilmSt00
53,Mark Glowinski,27,IND,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,GlowMa00
54,Davon Godchaux,25,MIA,DT,16,16,0,0,0,0,1,0,0,0,0,0,2.0,75,33,42,4,7,0,,GodcDa00
55,Jared Goff,25,LAR,QB,16,16,0,0,0,0,0,0,10,0,-19,0,0.0,0,0,0,0,0,0,,GoffJa00
56,Markus Golden,28,NYG,LB,16,16,0,0,0,0,0,0,0,1,42,1,10.0,72,37,35,13,27,0,,GoldMa00
57,Kenny Golladay,26,DET,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,PB,GollKe00
58,Brandon Graham,31,PHI,DE,16,16,0,0,0,0,0,1,0,2,4,0,8.5,50,35,15,15,17,0,,GrahBr99
59,Lawrence Guy,29,NWE,DE,16,16,1,5,0,5,1,0,0,2,0,0,3.0,61,35,26,5,5,0,,GuyxLa00
60,Joe Haden,30,PIT,CB,16,16,5,20,0,16,17,1,0,1,3,0,0.0,65,59,6,3,0,0,PB,HadeJo99
61,Johnathan Hankins,27,LVR,DT,16,16,0,0,0,0,1,0,0,0,0,0,1.5,50,28,22,7,6,0,,HankJo00
62,Chris Harris Jr.,30,DEN,CB,16,16,1,11,0,11,6,1,0,0,0,0,0.0,56,44,12,1,0,0,,HarrCh01
63,Shelby Harris,28,DEN,DE,16,16,0,0,0,0,9,1,0,0,0,0,6.0,49,28,21,8,6,0,,HarrSh00
64,Casey Hayward,30,LAC,CB,16,16,2,37,0,37,8,0,0,0,0,0,0.0,32,28,4,0,0,0,,HaywCa00
65,Cameron Heyward,30,PIT,DT,16,16,0,0,0,0,6,1,0,1,0,0,9.0,83,51,32,11,23,0,PBAP-1,HeywCa01
66,Jordan Hicks,27,ARI,LB,16,16,3,64,0,48,6,2,0,1,0,0,1.5,150,93,57,11,7,0,,HickJo00
67,Trey Hopkins,27,CIN,C,16,16,0,0,0,0,0,0,2,0,-8,0,0.0,0,0,0,0,0,0,,HopkTr01
68,Justin Houston,30,IND,DE,16,16,0,0,0,0,0,2,0,3,0,0,11.0,44,33,11,13,18,1,,HousJu00
