Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,-9999
1,Paulson Adebo,22,NOR,CB,17,17,3,50,0,33,8,0,0,0,0,0,0.0,66,55,11,4,0,0,,AdebPa00
2,Jonathan Allen,26,WAS,DT,17,17,0,0,0,0,0,0,0,0,0,0,9.0,62,31,31,10,30,0,PB,AlleJo01
3,Josh Allen,25,BUF,QB,17,17,0,0,0,0,0,0,8,2,-4,0,0.0,1,1,0,0,0,0,,AlleJo02
4,Adrian Amos,28,GNB,S,17,17,2,0,0,0,8,0,0,0,0,0,0.0,93,75,18,0,0,0,,AmosAd00
5,David Andrews,29,NWE,C,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,AndrDa00
6,Arik Armstead,28,SFO,DE,17,17,0,0,0,0,0,0,0,0,0,0,6.0,63,29,34,7,11,0,,ArmsAr01
7,Budda Baker,25,ARI,S,17,17,3,101,0,77,7,0,0,1,0,0,2.0,98,63,35,6,3,0,PBAP-2,BakeBu00
8,Tyler Biadasz,24,DAL,C,17,17,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,,BiadTy00
9,Nick Bosa,24,SFO,DE,17,17,0,0,0,0,1,4,0,0,0,0,15.5,52,40,12,21,32,0,PB,BosaNi00
10,Tyus Bowser,26,BAL,LB,17,17,0,0,0,0,4,2,0,0,0,0,7.0,59,33,26,8,15,0,,BowsTy00
11,Tom Brady,44,TAM,QB,17,17,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,PBAP-2AP MVP-2AP OPoY-3,BradTo00
12,Jordyn Brooks,24,SEA,LB,17,17,0,0,0,0,5,0,0,1,5,0,1.0,184,109,75,10,3,0,,BrooJo01
13,Malcom Brown,27,JAX,DT,17,17,0,0,0,0,1,0,0,0,0,0,2.0,57,30,27,4,3,0,,BrowMa01
14,Daniel Brunskill,27,SFO,RG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,BrunDa00
15,Kevin Byard,28,TEN,S,17,17,5,66,1,24,13,2,0,1,30,1,1.0,88,57,31,1,4,0,PBAP-1,ByarKe01
16,Derek Carr,30,LVR,QB,17,17,0,0,0,0,0,0,13,5,-15,0,0.0,0,0,0,0,0,0,,CarrDe02
17,Jermaine Carter Jr.,26,CAR,LB,17,17,0,0,0,0,1,0,0,1,0,0,0.0,88,38,50,3,3,0,,CartJe00
18,Ja'Marr Chase,21,CIN,WR,17,17,0,0,0,0,0,0,2,0,0,0,0.0,2,2,0,0,0,0,PBAP-2AP ORoY-1,ChasJa00
19,Ezra Cleveland,23,MIN,LG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,ClevEz00
20,Austin Corbett,26,LAR,RG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,,CorbAu00
21,Maxx Crosby,24,LVR,DE,17,17,0,0,0,0,7,0,0,0,0,0,8.0,56,36,20,13,30,0,PBAP-2,CrosMa00
22,Tae Crowder,24,NYG,LB,17,17,2,26,0,17,6,1,1,0,0,0,0.0,130,64,66,3,1,0,,CrowTa00
23,James Daniels,24,CHI,RG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,DaniJa01
24,Quandre Diggs,28,SEA,S,17,17,5,68,0,29,7,0,0,0,0,0,0.0,94,66,28,1,0,0,PB,DiggQu00
25,Stefon Diggs,28,BUF,WR,17,17,0,0,0,0,0,0,1,0,0,0,0.0,2,2,0,0,0,0,PB,DiggSt00
26,Aaron Donald,30,LAR,DT,17,17,0,0,0,0,4,4,0,0,0,0,12.5,84,38,46,19,25,0,PBAP-1AP DPoY-3,DonaAa00
