Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,-9999
1,Nick Allegretti,28,WAS,G,17,17,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,,AlleNi00
2,Josh Allen,28,BUF,QB,17,17,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0,0,0,PBAP-2,AlleJo02
3,Budda Baker,28,ARI,S,17,17,0,0,0,0,5,1,0,0,0,0,2.0,164,95,69,10,3,0,PBAP-2,BakeBu00
4,Jessie Bates III,27,ATL,S,17,17,4,55,1,55,10,4,0,1,0,0,1.0,102,62,40,2,1,0,,BateJe00
5,Matthew Bergeron,24,ATL,OL,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,BergMa00
6,Joel Bitonio,33,CLE,G,17,17,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,PB,BitoJo00
7,Bradley Bozeman,30,LAC,C,17,17,0,0,0,0,0,0,1,0,-3,0,0.0,0,0,0,0,0,0,,BozeBr00
8,Jake Brendel,32,SFO,OL,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,BrenJa01
9,Aaron Brewer,27,MIA,OL,17,17,0,0,0,0,0,0,1,1,-22,0,0.0,0,0,0,0,0,0,,BrewAa01
10,Jordyn Brooks,27,MIA,LB,17,17,0,0,0,0,6,0,0,2,23,0,3.0,143,86,57,11,6,0,,BrooJo01
11,Jonathan Bullard,31,MIN,DE,17,17,0,0,0,0,3,0,0,0,0,0,1.0,41,21,20,7,3,0,,BullJo00
12,Brian Burns,26,NYG,LB,17,17,0,0,0,0,8,2,0,0,0,0,8.5,71,42,29,17,18,0,,BurnBr00
13,Joe Burrow,28,CIN,QB,17,17,0,0,0,0,0,0,11,2,-3,0,0.0,0,0,0,0,0,0,PB,BurrJo01
14,Kevin Byard,31,CHI,CB,17,17,1,0,0,0,7,1,0,2,0,0,2.0,130,80,50,5,2,0,,ByarKe01
15,Camryn Bynum,26,MIN,S,17,17,3,3,0,3,10,0,0,2,0,0,0.0,96,54,42,2,0,0,,BynuCa00
16,Calais Campbell,38,MIA,DT,17,17,0,0,0,0,5,1,0,0,0,0,5.0,52,35,17,12,12,0,,CampCa99
17,Jack Campbell,24,DET,LB,17,17,0,0,0,0,5,1,0,0,0,0,1.5,131,69,62,5,5,0,,CampJa04
18,Jeremy Chinn,26,WAS,S,17,17,1,0,0,0,5,1,0,2,0,0,2.0,117,73,44,7,3,0,,ChinJe00
19,Kenny Clark,29,GNB,DE,17,17,0,0,0,0,2,0,0,2,0,0,1.0,37,20,17,4,5,0,,ClarKe01
20,Micheal Clemons,27,NYJ,DE,17,17,0,0,0,0,0,1,0,0,0,0,4.5,34,18,16,4,8,0,,ClemMi03
21,Maliek Collins,29,SFO,DE,17,17,0,0,0,0,0,0,0,2,0,0,5.0,33,20,13,5,12,0,,CollMa00
22,Zaven Collins,25,ARI,LB,17,17,0,0,0,0,1,2,0,0,0,0,5.0,57,33,24,7,7,0,,CollZa00
23,Bryan Cook,25,KAN,S,17,17,2,0,0,0,5,0,0,0,0,0,0.0,78,55,23,1,0,0,,CookBr02
24,Jonathon Cooper,26,DEN,LB,17,17,0,0,0,0,1,1,0,0,0,0,10.5,58,33,25,11,20,0,,CoopJo02
25,Nick Cross,23,IND,S,17,17,3,25,0,20,5,1,0,0,0,0,1.0,146,87,59,6,1,0,,CrosNi00
26,Jayden Daniels,24,WAS,QB,17,17,0,0,0,0,0,0,5,0,-11,0,0.0,0,0,0,0,0,0,PB,DaniJa02
27,Sam Darnold,27,MIN,QB,17,17,0,0,0,0,0,0,8,2,-27,0,0.0,0,0,0,0,0,0,PB,DarnSa00
28,Lavonte David,34,TAM,LB,17,17,1,7,0,7,6,3,0,1,0,0,5.5,122,76,46,9,6,0,,DaviLa00
29,Jordan Davis,24,PHI,DT,17,17,0,0,0,0,2,0,0,1,0,0,1.0,27,15,12,3,1,0,,DaviJo03
30,YaYa Diaby,25,TAM,LB,17,17,0,0,0,0,0,1,0,1,0,0,4.5,54,39,15,13,20,0,,DiabYa00
31,Tremaine Edmunds,26,CHI,LB,17,17,1,0,0,0,8,1,0,0,0,0,1.0,110,60,50,3,3,0,,EdmuTr01
32,T.J. Edwards,28,CHI,LB,17,17,1,0,0,0,3,1,0,2,0,0,4.0,129,79,50,12,6,0,,EdwaTJ02
33,Kaden Elliss,29,ATL,LB,17,17,1,12,0,12,3,1,0,1,0,0,5.0,151,85,66,8,16,0,,ElliKa00
34,Zach Ertz,34,WAS,TE,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,ErtzZa00
