Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,-9999
1,Jonathan Allen,25,WAS,DT,16,16,0,0,0,0,0,0,0,1,0,0,2.0,63,36,27,3,14,1,,AlleJo01
2,Josh Allen,24,BUF,QB,16,16,0,0,0,0,0,0,9,1,-2,0,0.0,0,0,0,0,0,0,PBAP-2AP MVP-2AP OPoY-4,AlleJo02
3,Adrian Amos,27,GNB,S,16,16,2,47,0,24,9,0,0,0,0,0,2.0,83,65,18,4,3,0,,AmosAd00
4,Arik Armstead,27,SFO,DE,16,16,0,0,0,0,3,0,0,0,0,0,3.5,49,29,20,6,13,0,,ArmsAr01
5,Jessie Bates III,23,CIN,S,16,16,3,12,0,12,15,1,0,0,0,0,0.0,109,78,31,2,1,0,AP-2,BateJe00
6,Kelvin Beachum,31,ARI,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,BeacKe00
7,Vonn Bell,26,CIN,S,16,16,0,0,0,0,5,3,0,2,65,0,0.0,114,67,47,3,4,0,,BellVo00
8,Joel Bitonio,29,CLE,LG,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,PBAP-2,BitoJo00
9,Tre Boston,28,CAR,S,16,16,1,0,0,0,4,1,0,2,0,0,1.0,95,61,34,3,2,0,,BostTr00
10,Bradley Bozeman,26,BAL,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,BozeBr00
11,Garrett Bradbury,25,MIN,C,16,16,0,0,0,0,0,0,1,2,-12,0,0.0,0,0,0,0,0,0,,BradGa00
12,Tom Brady,43,TAM,QB,16,16,0,0,0,0,0,0,4,3,-6,0,0.0,0,0,0,0,0,0,,BradTo00
13,Malcolm Butler,30,TEN,CB,16,16,4,111,0,68,14,0,0,0,0,0,0.0,100,86,14,1,0,0,,ButlMa01
14,Kevin Byard,27,TEN,S,16,16,1,0,0,0,7,1,0,0,0,0,0.0,111,79,32,1,1,0,,ByarKe01
15,Josh Bynes,31,CIN,LB,16,16,0,0,0,0,2,0,0,1,0,0,1.0,99,53,46,5,2,0,,ByneJo00
16,De'Vondre Campbell,27,ARI,LB,16,16,0,0,0,0,3,1,0,0,0,0,2.0,99,69,30,7,2,0,,CampDe00
17,Derek Carr,29,LVR,QB,16,16,0,0,0,0,0,0,11,0,-6,0,0.0,0,0,0,0,0,0,,CarrDe02
18,Robbie Chosen,27,CAR,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,AndeRo04
19,Chuck Clark,25,BAL,S,16,16,1,0,0,0,4,2,1,3,66,1,1.5,96,57,39,3,4,0,,ClarCh00
20,L.J. Collier,25,SEA,DE,16,16,0,0,0,0,2,0,0,0,0,0,3.0,22,16,6,4,7,0,,CollLJ00
21,Austin Corbett,25,LAR,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,CorbAu00
22,Kirk Cousins,32,MIN,QB,16,16,0,0,0,0,0,0,9,1,-1,0,0.0,0,0,0,0,0,0,,CousKi00
23,Maxx Crosby,23,LVR,DE,16,16,0,0,0,0,1,0,0,1,0,0,7.0,39,20,19,14,13,0,,CrosMa00
24,Zach Cunningham,26,HOU,LB,16,16,0,0,0,0,2,1,0,0,0,0,3.0,164,106,58,7,4,0,,CunnZa00
25,Lloyd Cushenberry III,23,DEN,C,16,16,0,0,0,0,0,0,2,1,-7,0,0.0,0,0,0,0,0,0,,CushLl00
26,Ronald Darby,26,WAS,CB,16,16,0,0,0,0,16,0,0,1,0,0,0.0,55,43,12,1,0,0,,DarbRo00
27,Lavonte David,30,TAM,LB,16,16,1,-5,0,-5,6,3,0,2,0,0,1.5,117,82,35,12,3,0,AP-2,DaviLa00
28,Demario Davis,31,NOR,LB,16,16,0,0,0,0,5,0,0,0,0,0,4.0,119,73,46,10,12,0,AP-2,DaviDe00
29,Dion Dawkins,26,BUF,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,DawkDi00
30,Quandre Diggs,27,SEA,S,16,16,5,57,0,32,10,0,0,0,0,0,0.0,64,42,22,0,0,0,PB,DiggQu00
31,Aaron Donald,29,LAR,DT,16,16,0,0,0,0,1,4,0,1,0,0,13.5,45,27,18,14,28,0,PBAP-1AP DPoY-1,DonaAa00
32,DeShon Elliott,23,BAL,S,16,16,0,0,0,0,4,2,0,0,0,0,2.5,80,51,29,3,5,0,,ElliDe02
33,Rashaan Evans,25,TEN,LB,16,16,0,0,0,0,5,0,0,1,25,0,0.5,96,59,37,1,4,0,,EvanRa01
34,Minkah Fitzpatrick,24,PIT,S,16,16,4,77,1,37,11,1,0,1,-1,0,0.0,79,60,19,1,0,0,PBAP-1,FitzMi00
35,Leonard Floyd,28,LAR,LB,16,16,0,0,0,0,1,1,0,2,0,0,10.5,55,31,24,11,19,0,,FloyLe00
36,Poona Ford,25,SEA,DT,16,16,0,0,0,0,0,1,0,0,0,0,2.0,40,25,15,8,9,0,,FordPo00
37,Kyle Fuller,28,CHI,CB,16,16,1,5,0,5,8,1,0,0,0,0,0.0,65,52,13,0,0,0,,FullKy00
38,Tashaun Gipson,30,CHI,S,16,16,2,10,0,9,7,0,0,1,0,0,0.0,66,48,18,0,0,0,,GipsTa00
39,Brandon Graham,32,PHI,DE,16,16,0,0,0,0,0,2,0,1,0,0,8.0,46,35,11,13,16,0,PB,GrahBr99
40,Rob Gronkowski,31,TAM,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,GronRo00
41,Johnathan Hankins,28,LVR,DT,16,16,0,0,0,0,0,0,0,1,0,0,1.0,48,27,21,1,4,0,,HankJo00
42,Vernon Hargreaves III,25,HOU,CB,16,16,1,0,0,0,7,0,0,0,0,0,0.0,72,61,11,1,0,0,,HargVe00
43,Duron Harmon,29,DET,S,16,16,2,22,0,21,5,0,0,0,0,0,0.0,73,54,19,0,1,0,,HarmDu00
44,Anthony Harris,29,MIN,S,16,16,0,0,0,0,7,0,0,0,0,0,0.0,104,58,46,2,0,0,,HarrAn01
45,Rob Havenstein,28,LAR,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,HaveRo00
46,Derrick Henry,26,TEN,RB,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,PBAP-1AP OPoY-1,HenrDe00
47,Neville Hewitt,27,NYJ,LB,16,16,0,0,0,0,4,1,0,1,17,0,2.0,134,91,43,6,4,0,,HewiNe00
48,Jordan Hicks,28,ARI,LB,16,16,1,6,0,6,4,0,0,0,0,0,0.0,118,78,40,11,1,0,,HickJo00
49,Troy Hill,29,LAR,CB,16,16,3,119,2,84,10,1,0,2,20,1,0.0,77,55,22,1,0,0,,HillTr01
50,T.J. Hockenson,23,DET,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,PB,HockTJ00
51,DeAndre Hopkins,28,ARI,WR,16,16,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,PBAP-2,HopkDe00
52,Justin Houston,31,IND,DE,16,16,0,0,0,0,0,1,0,2,0,0,8.0,25,19,6,8,12,2,,HousJu00
53,Xavien Howard,27,MIA,CB,16,16,10,77,0,29,20,1,0,0,0,0,0.0,51,40,11,1,0,0,PBAP-1AP DPoY-3,HowaXa00
54,Rodney Hudson,31,LVR,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,HudsRo00
55,Eddie Jackson,27,CHI,S,16,16,0,0,0,0,5,3,0,1,8,1,0.0,82,63,19,1,0,0,,JackEd01
