Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,-9999
1,Davante Adams,30,LVR,WR,17,17,0,0,0,0,0,0,1,1,0,0,0.0,2,1,1,0,0,0,PBAP-1,AdamDa01
2,Brandon Aiyuk,24,SFO,WR,17,17,0,0,0,0,0,0,1,0,0,0,0.0,3,3,0,0,0,0,,AiyuBr00
3,Adrian Amos,29,GNB,SS,17,17,1,26,0,26,5,0,0,1,-1,0,1.0,102,73,29,7,2,0,,AmosAd00
4,Alex Anzalone,28,DET,MLB,17,17,1,4,0,4,6,1,0,1,0,0,1.5,125,77,48,7,7,0,,AnzaAl00
5,Jerome Baker,26,MIA,RILB,17,17,0,0,0,0,4,1,0,0,0,0,4.0,100,66,34,6,7,0,,BakeJe00
6,Kelvin Beachum,33,ARI,RT,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,BeacKe00
7,Ja'Whaun Bentley,26,NWE,LILB,17,17,1,7,0,7,2,0,0,1,0,0,3.0,125,62,63,5,6,0,,BentJa00
8,Joel Bitonio,31,CLE,LG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,PBAP-1,BitoJo00
9,Austin Blythe,30,SEA,C,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,BlytAu00
10,Nick Bolton,22,KAN,LLB,17,17,2,15,0,15,3,1,0,0,0,0,2.0,180,108,72,9,6,0,,BoltNi00
11,James Bradberry,29,PHI,LCB,17,17,3,54,1,27,17,0,0,0,0,0,0.0,44,39,5,2,0,0,AP-2,BradJa00
12,Tom Brady,45,TAM,QB,17,17,0,0,0,0,0,0,5,1,7,0,0.0,1,1,0,0,0,0,,BradTo00
13,Jake Brendel,30,SFO,C,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,BrenJa01
14,Aaron Brewer,25,TEN,LG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,BrewAa01
15,Derrick Brown,24,CAR,LDT,17,17,1,0,0,0,7,0,0,0,0,0,1.0,67,30,37,5,12,0,,BrowDe05
16,Kevin Byard,29,TEN,SS,17,17,4,57,0,28,6,0,0,0,0,0,0.0,108,69,39,0,1,0,,ByarKe01
17,Camryn Bynum,24,MIN,FS,17,17,2,17,0,12,6,0,0,2,55,0,0.0,81,49,32,0,0,0,,BynuCa00
18,Tyson Campbell,22,JAX,RCB,17,17,3,32,0,29,15,1,0,2,12,1,0.0,70,55,15,2,0,0,,CampTy01
19,Lorenzo Carter,27,ATL,RLB,17,17,1,28,1,28,2,0,0,1,0,0,4.0,58,29,29,6,12,0,,CartLo01
20,Nick Chubb,27,CLE,RB,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,PBAP-2,ChubNi00
21,Chuck Clark,27,BAL,SS,17,17,0,0,0,0,4,1,0,1,-5,0,0.0,101,61,40,0,0,0,,ClarCh00
22,Kenny Clark,27,GNB,NT,17,17,0,0,0,0,0,1,0,1,0,0,4.0,53,27,26,5,10,0,,ClarKe01
23,Ezra Cleveland,24,MIN,LG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,,ClevEz00
24,Mason Cole,26,PIT,C,17,17,0,0,0,0,0,0,1,0,-13,0,0.0,0,0,0,0,0,0,,ColeMa02
25,Dalvin Cook,27,MIN,RB,17,17,0,0,0,0,0,0,4,3,14,0,0.0,2,2,0,0,0,0,PB,CookDa01
26,Amari Cooper,28,CLE,WR,17,17,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,CoopAm00
27,Kirk Cousins,34,MIN,QB,17,17,0,0,0,0,0,0,7,0,-5,0,0.0,1,0,1,0,0,0,PB,CousKi00
28,Fletcher Cox,32,PHI,RDE/LDE,17,17,0,0,0,0,0,1,0,1,0,0,7.0,43,23,20,7,14,0,,CoxxFl00
29,Maxx Crosby,25,LVR,RDE,17,17,0,0,0,0,4,3,0,1,-3,0,12.5,89,58,31,22,36,0,PBAP DPoY-6,CrosMa00
30,Charles Cross,22,SEA,LT,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,CrosCh00
31,Drew Dalman,24,ATL,C,17,17,0,0,0,0,0,0,1,0,-3,0,0.0,1,1,0,0,0,0,,DalmDr00
32,Lavonte David,32,TAM,RILB,17,17,0,0,0,0,5,1,0,1,0,0,3.0,124,80,44,10,3,0,,DaviLa00
33,Demario Davis,33,NOR,MLB,17,17,1,4,0,4,6,0,0,1,0,0,6.5,109,54,55,10,8,0,PBAP-2,DaviDe00
34,Landon Dickerson,24,PHI,LG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,PB,DickLa00
35,Quandre Diggs,29,SEA,FS,17,17,4,70,0,27,7,1,0,0,0,0,0.0,71,50,21,1,1,0,PB,DiggQu00
36,Trevon Diggs,24,DAL,RCB,17,17,3,10,0,7,14,0,0,1,17,0,0.0,59,50,9,0,0,0,PB,DiggTr00
37,Kevin Dotson,26,PIT,LG,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,DotsKe00
38,T.J. Edwards,26,PHI,RLB,17,17,0,0,0,0,7,0,0,1,0,0,2.0,159,99,60,10,5,0,,EdwaTJ02
39,Austin Ekeler,27,LAC,RB,17,17,0,0,0,0,0,0,5,1,0,0,0.0,4,4,0,0,0,0,AP OPoY-9,EkelAu00
40,Ikem Ekwonu,22,CAR,LT,17,17,0,0,0,0,0,0,0,1,-1,0,0.0,1,0,1,0,0,0,,EkwoIk00
41,Jordan Elliott,25,CLE,LDT,17,17,0,0,0,0,2,0,0,0,0,0,2.0,36,19,17,5,3,0,,ElliJo02
42,Marcus Epps,26,PHI,SS,17,17,0,0,0,0,6,1,0,0,0,0,0.0,94,70,24,4,0,0,,EppsMa00
