,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,-additional
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
258,Karan Higdon*,Michigan,Big Ten,12,72,425,5.9,6,35.4,0,0,,0,0.0,72,425,5.9,6,,karan-higdon-1
259,Zamore Zigler,San Jose State,MWC,8,79,423,5.4,3,52.9,10,79,7.9,1,9.9,89,502,5.6,4,,zamore-zigler-1
260,Jordan Asberry*,Army,Ind,13,57,421,7.4,5,32.4,5,100,20.0,1,7.7,62,521,8.4,6,,jordan-asberry-1
261,Lamical Perine*,Florida,SEC,13,91,421,4.6,1,32.4,9,161,17.9,1,12.4,100,582,5.8,2,,lamical-perine-1
262,Breck Turner*,Eastern Michigan,MAC,10,77,417,5.4,4,41.7,8,67,8.4,0,6.7,85,484,5.7,4,,breck-turner-1
263,Manny Morgan,Akron,MAC,11,81,417,5.1,0,37.9,2,8,4.0,0,0.7,83,425,5.1,0,,manny-morgan-1
264,Ty Isaac*,Michigan,Big Ten,12,74,417,5.6,5,34.8,2,42,21.0,0,3.5,76,459,6.0,5,,ty-isaac-1
265,Steven Lakalaka*,Hawaii,MWC,14,102,416,4.1,13,29.7,3,14,4.7,0,1.0,105,430,4.1,13,,steven-lakalaka-1
266,Clinton Lynch*,Georgia Tech,ACC,13,37,415,11.2,2,31.9,16,490,30.6,6,37.7,53,905,17.1,8,,clinton-lynch-2
267,Devine Ozigbo*,Nebraska,Big Ten,10,97,412,4.2,5,41.2,5,100,20.0,0,10.0,102,512,5.0,5,,devine-ozigbo-1
268,Greg Windham*,Ohio,MAC,11,95,406,4.3,3,36.9,0,0,,0,0.0,95,406,4.3,3,,greg-windham-1
269,Dontravious Wilson*,UCF,American,12,102,401,3.9,4,33.4,12,107,8.9,1,8.9,114,508,4.5,5,,dontravious-wilson-1
270,Tyree Jackson,Buffalo,MAC,10,99,399,4.0,5,39.9,0,0,,0,0.0,99,399,4.0,5,,tyree-jackson-1
271,Aca'Cedric Ware*,USC,Pac-12,11,78,397,5.1,2,36.1,4,29,7.3,0,2.6,82,426,5.2,2,,acacedric-ware-1
272,Xavier Hall,New Mexico State,Sun Belt,12,80,396,5.0,1,33.0,11,136,12.4,0,11.3,91,532,5.8,1,,xavier-hall-1
273,Mike Boone,Cincinnati,American,9,105,388,3.7,2,43.1,20,249,12.5,0,27.7,125,637,5.1,2,,mike-boone-2
274,Anthony Scott,East Carolina,American,8,79,384,4.9,2,48.0,23,164,7.1,3,20.5,102,548,5.4,5,,anthony-scott-2
275,Zach Abey*,Navy,American,5,70,384,5.5,6,76.8,0,0,,0,0.0,70,384,5.5,6,,zach-abey-1
276,Jeremy Smith*,Louisville,ACC,13,57,382,6.7,8,29.4,18,227,12.6,1,17.5,75,609,8.1,9,,jeremy-smith-4
277,Zack Moss*,Utah,Pac-12,10,84,382,4.5,2,38.2,1,4,4.0,0,0.4,85,386,4.5,2,,zack-moss-1
278,Kell Walker*,Army,Ind,13,58,378,6.5,2,29.1,2,30,15.0,0,2.3,60,408,6.8,2,,kell-walker-1
279,Dami Ayoola*,South Alabama,Sun Belt,13,88,377,4.3,6,29.0,10,32,3.2,0,2.5,98,409,4.2,6,,dami-ayoola-1
280,Armand Shyne*,Utah,Pac-12,5,78,373,4.8,4,74.6,2,6,3.0,0,1.2,80,379,4.7,4,,armand-shyne-1
281,Zach Green,Arizona,Pac-12,11,77,372,4.8,3,33.8,2,5,2.5,0,0.5,79,377,4.8,3,,zach-green-2
