,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,-additional
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
359,Chris Carter*,Army,Ind,9,43,263,6.1,2,29.2,0,0,,0,0.0,43,263,6.1,2,,chris-carter-7
360,Eugene Brazley,Ole Miss,SEC,12,61,261,4.3,2,21.8,14,114,8.1,1,9.5,75,375,5.0,3,,eugene-brazley-1
361,J.J. Taylor,Arizona,Pac-12,4,38,261,6.9,2,65.3,2,16,8.0,0,4.0,40,277,6.9,2,,jj-taylor-1
362,Jomon Dotson*,Washington,Pac-12,14,57,260,4.6,1,18.6,3,67,22.3,1,4.8,60,327,5.5,2,,jomon-dotson-1
363,Martell Pettaway*,West Virginia,Big 12,3,49,260,5.3,1,86.7,2,21,10.5,0,7.0,51,281,5.5,1,,martell-pettaway-1
364,Patrick Mahomes,Texas Tech,Big 12,12,131,260,2.0,12,21.7,0,0,,0,0.0,131,260,2.0,12,,patrick-mahomes-1
365,Devante Mays,Utah State,MWC,6,37,259,7.0,3,43.2,1,8,8.0,0,1.3,38,267,7.0,3,,devante-mays-1
366,Darius Anderson,East Carolina,American,11,57,258,4.5,2,23.5,9,62,6.9,1,5.6,66,320,4.8,3,,devin-anderson-2
367,Maurice Thomas*,Miami (OH),MAC,11,37,258,7.0,0,23.5,11,105,9.5,0,9.5,48,363,7.6,0,,maurice-thomas-2
368,Ashton Shumpert*,Mississippi State,SEC,13,55,257,4.7,1,19.8,3,28,9.3,0,2.2,58,285,4.9,1,,ashton-shumpert-1
369,Daryl Chestnut*,New Mexico,MWC,13,57,255,4.5,2,19.6,1,14,14.0,0,1.1,58,269,4.6,2,,daryl-chestnut-1
370,Cole Macek*,Army,Ind,8,35,254,7.3,3,31.8,0,0,,0,0.0,35,254,7.3,3,,cole-macek-1
371,Tyrrell Pigrome*,Maryland,Big Ten,11,62,254,4.1,4,23.1,0,0,,0,0.0,62,254,4.1,4,,tyrrell-pigrome-1
372,Sam Darnold*,USC,Pac-12,13,62,250,4.0,2,19.2,0,0,,0,0.0,62,250,4.0,2,,sam-darnold-1
373,Zach Terrell*,Western Michigan,MAC,14,80,249,3.1,7,17.8,0,0,,0,0.0,80,249,3.1,7,,zach-terrell-1
374,Detrich Clark*,Colorado State,MWC,13,36,247,6.9,3,19.0,9,90,10.0,1,6.9,45,337,7.5,4,,detrich-clark-1
375,Manny Wilkins,Arizona State,Pac-12,10,128,246,1.9,5,24.6,0,0,,0,0.0,128,246,1.9,5,,manny-wilkins-1
376,Dallas Davis*,South Alabama,Sun Belt,11,91,245,2.7,3,22.3,0,0,,0,0.0,91,245,2.7,3,,dallas-davis-2
377,Marshawn Williams*,Virginia Tech,ACC,9,59,244,4.1,2,27.1,1,2,2.0,0,0.2,60,246,4.1,2,,marshawn-williams-1
378,Zander Diamont*,Indiana,Big Ten,8,39,244,6.3,4,30.5,0,0,,0,0.0,39,244,6.3,4,,zander-diamont-1
379,Matthew Jordan*,Georgia Tech,ACC,9,65,243,3.7,6,27.0,0,0,,0,0.0,65,243,3.7,6,,matthew-jordan-1
380,Jason Driskel,Florida Atlantic,CUSA,12,80,242,3.0,4,20.2,0,0,,0,0.0,80,242,3.0,4,,jason-driskel-1
381,Kobe McCrary*,Minnesota,Big Ten,12,39,242,6.2,3,20.2,2,17,8.5,0,1.4,41,259,6.3,3,,kobe-mccrary-1
382,Ron Johnson,Connecticut,American,12,72,242,3.4,4,20.2,8,47,5.9,0,3.9,80,289,3.6,4,,ron-johnson-8
383,Kenneth Goins Jr.*,Maryland,Big Ten,13,41,241,5.9,4,18.5,2,4,2.0,0,0.3,43,245,5.7,4,,kenneth-goins-jr-1
384,Brent Stockstill*,Middle Tennessee State,CUSA,10,45,240,5.3,0,24.0,1,-3,-3.0,0,-0.3,46,237,5.2,0,,brent-stockstill-1
385,David Williams*,South Carolina,SEC,13,56,239,4.3,3,18.4,9,72,8.0,0,5.5,65,311,4.8,3,,david-williams-5
386,Khalil Tate,Arizona,Pac-12,7,49,237,4.8,1,33.9,0,0,,0,0.0,49,237,4.8,1,,khalil-tate-1
387,Rennie Childs*,Oklahoma State,Big 12,12,52,237,4.6,7,19.8,5,29,5.8,0,2.4,57,266,4.7,7,,rennie-childs-1
388,Tyler Natee*,Indiana,Big Ten,10,61,237,3.9,2,23.7,1,4,4.0,0,0.4,62,241,3.9,2,,tyler-natee-1
389,Art Thompkins*,Toledo,MAC,12,29,235,8.1,3,19.6,3,29,9.7,0,2.4,32,264,8.3,3,,art-thompkins-1
390,Troy Williams*,Utah,Pac-12,13,111,235,2.1,5,18.1,0,0,,0,0.0,111,235,2.1,5,,troy-williams-2
391,Reggie Gallaspy II*,North Carolina State,ACC,12,49,234,4.8,2,19.5,5,9,1.8,0,0.8,54,243,4.5,2,,reggie-gallaspy-ii-1
392,Darrel Williams*,LSU,SEC,11,52,233,4.5,3,21.2,5,37,7.4,0,3.4,57,270,4.7,3,,darrel-williams-1
393,Xzaviar Campbell,Nevada-Las Vegas,MWC,10,49,233,4.8,1,23.3,4,16,4.0,1,1.6,53,249,4.7,2,,xzaviar-campbell-1
394,Diquon Woodhouse*,New Mexico,MWC,12,27,232,8.6,2,19.3,0,0,,0,0.0,27,232,8.6,2,,diquon-woodhouse-1
395,Isaiah Wright*,Temple,American,12,42,232,5.5,1,19.3,8,74,9.3,0,6.2,50,306,6.1,1,,isaiah-wright-1
396,Johnny Stanton,Nevada-Las Vegas,MWC,5,40,231,5.8,1,46.2,0,0,,0,0.0,40,231,5.8,1,,johnny-stanton-1
397,Rodney Adams*,South Florida,American,13,23,231,10.0,5,17.8,67,822,12.3,5,63.2,90,1053,11.7,10,,rodney-adams-1
398,Steven Montez*,Colorado,Pac-12,11,52,231,4.4,1,21.0,0,0,,0,0.0,52,231,4.4,1,,steven-montez-1
399,Darius Anderson*,Texas Christian,Big 12,11,27,229,8.5,1,20.8,5,20,4.0,0,1.8,32,249,7.8,1,,darius-anderson-1
400,Fabian Johnson*,Western Michigan,MAC,13,31,229,7.4,4,17.6,2,10,5.0,0,0.8,33,239,7.2,4,,fabian-johnson-1
401,Chawntez Moss*,Pitt,ACC,10,42,227,5.4,1,22.7,2,18,9.0,0,1.8,44,245,5.6,1,,chawntez-moss-1
402,Darryl Bonner*,Navy,American,12,29,227,7.8,2,18.9,10,278,27.8,3,23.2,39,505,12.9,5,,darryl-bonner-1
403,Denzal Brantley*,Idaho,Sun Belt,12,49,227,4.6,3,18.9,4,37,9.3,0,3.1,53,264,5.0,3,,denzal-brantley-1
404,Bo Hardy*,Ohio,MAC,14,49,226,4.6,1,16.1,3,12,4.0,0,0.9,52,238,4.6,1,,bo-hardy-1
405,Brandon Holloway*,Mississippi State,SEC,9,50,226,4.5,1,25.1,15,91,6.1,0,10.1,65,317,4.9,1,,brandon-holloway-1
406,Trevorris Johnson*,Texas Christian,Big 12,13,41,225,5.5,4,17.3,2,10,5.0,0,0.8,43,235,5.5,4,,trevorris-johnson-1
407,Brogan Roback*,Eastern Michigan,MAC,10,63,223,3.5,2,22.3,0,0,,0,0.0,63,223,3.5,2,,brogan-roback-1
408,Tyler Siudzinski,Texas State,Sun Belt,10,57,223,3.9,2,22.3,11,77,7.0,0,7.7,68,300,4.4,2,,tyler-siudzinski-1
409,Nicholas Norris*,Western Kentucky,CUSA,14,13,222,17.1,1,15.9,76,1318,17.3,14,94.1,89,1540,17.3,15,,nicholas-norris-1
410,Tavien Feaster*,Clemson,ACC,13,37,221,6.0,2,17.0,0,0,,0,0.0,37,221,6.0,2,,tavien-feaster-1
411,David Greene,Nevada-Las Vegas,MWC,12,50,218,4.4,8,18.2,5,44,8.8,0,3.7,55,262,4.8,8,,david-greene-3
412,Darrynton Evans*,Appalachian State,Sun Belt,12,48,217,4.5,0,18.1,6,34,5.7,0,2.8,54,251,4.6,0,,darrynton-evans-1
413,Ty Gangi,Nevada,MWC,10,49,217,4.4,3,21.7,0,0,,0,0.0,49,217,4.4,3,,ty-gangi-1
414,Glen Cuiellette,Tulane,American,12,120,216,1.8,1,18.0,0,0,,0,0.0,120,216,1.8,1,,glen-cuiellette-1
415,C.J. Fuller*,Clemson,ACC,14,47,211,4.5,0,15.1,7,62,8.9,2,4.4,54,273,5.1,2,,cj-fuller-1
416,Dalvin Warmack*,Kansas State,Big 12,11,41,211,5.1,0,19.2,2,16,8.0,0,1.5,43,227,5.3,0,,dalvin-warmack-1
417,Raymond Taylor*,Tulsa,American,12,46,211,4.6,2,17.6,0,0,,0,0.0,46,211,4.6,2,,raymond-taylor-1
418,Davon Tucker*,Western Michigan,MAC,10,44,210,4.8,4,21.0,0,0,,0,0.0,44,210,4.8,4,,davon-tucker-1
419,David Washington*,Old Dominion,CUSA,13,67,207,3.1,1,15.9,0,0,,0,0.0,67,207,3.1,1,,david-washington-4
420,Kyle Porter,Texas,Big 12,11,46,206,4.5,0,18.7,2,10,5.0,0,0.9,48,216,4.5,0,,kyle-porter-1
421,Mulbah Car*,Houston,American,9,49,206,4.2,2,22.9,4,37,9.3,0,4.1,53,243,4.6,2,,mulbah-car-1
422,Papi White*,Ohio,MAC,12,47,206,4.4,3,17.2,41,672,16.4,6,56.0,88,878,10.0,9,,papi-white-1
423,Aaron Winchester,Georgia State,Sun Belt,5,49,204,4.2,1,40.8,0,0,,0,0.0,49,204,4.2,1,,aaron-winchester-2
424,Gus Ragland*,Miami (OH),MAC,7,84,202,2.4,2,28.9,0,0,,0,0.0,84,202,2.4,2,,gus-ragland-1
425,Johnathan Brantley,Tulane,American,8,46,202,4.4,0,25.3,0,0,,0,0.0,46,202,4.4,0,,johnathan-brantley-1
426,Dexter Williams,Notre Dame,Ind,11,39,200,5.1,3,18.2,4,16,4.0,0,1.5,43,216,5.0,3,,dexter-williams-1
427,Jonathan Ward*,Central Michigan,MAC,8,36,200,5.6,2,25.0,8,69,8.6,0,8.6,44,269,6.1,2,,jonathan-ward-3
428,Jeff Smith*,Boston College,ACC,13,35,199,5.7,1,15.3,27,395,14.6,3,30.4,62,594,9.6,4,,jeff-smith-10
429,Deondre Francois*,Florida State,ACC,13,108,198,1.8,5,15.2,0,0,,0,0.0,108,198,1.8,5,,deondre-francois-1
430,Marvin Zanders,Missouri,SEC,8,35,198,5.7,2,24.8,0,0,,0,0.0,35,198,5.7,2,,marvin-zanders-1
431,Tommy Stevens*,Penn State,Big Ten,7,21,198,9.4,2,28.3,0,0,,0,0.0,21,198,9.4,2,,tommy-stevens-1
432,Tra'Von Chapman,Akron,MAC,10,48,195,4.1,4,19.5,0,0,,0,0.0,48,195,4.1,4,,travon-chapman-1
433,Troy McCormick*,Utah,Pac-12,9,39,194,5.0,2,21.6,9,91,10.1,0,10.1,48,285,5.9,2,,troy-mccormick-1
434,D.J. Jones,Akron,MAC,12,41,193,4.7,0,16.1,1,18,18.0,0,1.5,42,211,5.0,0,,dj-jones-3
435,Quinton Maxwell*,Ohio,MAC,11,69,193,2.8,1,17.5,0,0,,0,0.0,69,193,2.8,1,,quinton-maxwell-1
436,Jordan Wright*,Louisiana,Sun Belt,12,62,192,3.1,1,16.0,2,9,4.5,0,0.8,64,201,3.1,1,,jordan-wright-1
437,Kenny Golladay,Northern Illinois,MAC,12,20,192,9.6,2,16.0,87,1156,13.3,8,96.3,107,1348,12.6,10,,kenny-golladay-1
438,Jaylen Samuels*,North Carolina State,ACC,13,33,189,5.7,6,14.5,55,565,10.3,7,43.5,88,754,8.6,13,,jaylen-samuels-1
439,Khalil Herbert,Kansas,Big 12,8,44,189,4.3,3,23.6,5,38,7.6,0,4.8,49,227,4.6,3,,khalil-herbert-1
440,Ryan Graham,Northern Illinois,MAC,9,44,187,4.3,0,20.8,0,0,,0,0.0,44,187,4.3,0,,ryan-graham-1
441,Stanton Truitt*,Auburn,SEC,11,31,187,6.0,2,17.0,7,100,14.3,1,9.1,38,287,7.6,3,,stanton-truitt-1
442,Conner Cramer,New Mexico State,Sun Belt,8,22,184,8.4,1,23.0,1,-5,-5.0,0,-0.6,23,179,7.8,1,,conner-cramer-1
443,KJ Hall*,BYU,Ind,5,35,184,5.3,2,36.8,5,78,15.6,0,15.6,40,262,6.6,2,,kj-hall-1
444,Miles Sanders*,Penn State,Big Ten,13,25,184,7.4,1,14.2,2,24,12.0,1,1.8,27,208,7.7,2,,miles-sanders-1
445,Taj Griffin,Oregon,Pac-12,7,37,183,4.9,3,26.1,7,89,12.7,1,12.7,44,272,6.2,4,,taj-griffin-1
446,Austin Apodaca*,New Mexico,MWC,10,31,181,5.8,2,18.1,0,0,,0,0.0,31,181,5.8,2,,austin-apodaca-1
447,Teddy Williamson,Ball State,MAC,11,40,181,4.5,2,16.5,6,40,6.7,0,3.6,46,221,4.8,2,,teddy-williamson-1
448,Warren Ball,Akron,MAC,2,25,181,7.2,1,90.5,2,13,6.5,0,6.5,27,194,7.2,1,,warren-ball-1
449,Mike Majette*,Indiana,Big Ten,8,39,180,4.6,0,22.5,7,87,12.4,0,10.9,46,267,5.8,0,,mike-majette-1
450,Baker Mayfield*,Oklahoma,Big 12,13,78,177,2.3,6,13.6,0,0,,0,0.0,78,177,2.3,6,H-3,baker-mayfield-1
451,Chayce Crouch,Illinois,Big Ten,4,29,176,6.1,2,44.0,0,0,,0,0.0,29,176,6.1,2,,chayce-crouch-1
452,Ben LeMay,Charlotte,CUSA,10,34,175,5.1,0,17.5,5,28,5.6,0,2.8,39,203,5.2,0,,ben-lemay-1
453,Darell Garretson,Oregon State,Pac-12,6,41,174,4.2,3,29.0,0,0,,0,0.0,41,174,4.2,3,,darell-garretson-1
454,Tyrone Swoopes,Texas,Big 12,11,54,174,3.2,7,15.8,0,0,,0,0.0,54,174,3.2,7,,tyrone-swoopes-1
455,B.J. Emmons*,Alabama,SEC,7,35,173,4.9,1,24.7,2,20,10.0,0,2.9,37,193,5.2,1,,bj-emmons-1
456,Todd Porter*,Eastern Michigan,MAC,5,41,173,4.2,1,34.6,0,0,,0,0.0,41,173,4.2,1,,todd-porter-1
457,Kendall Bussey*,Texas A&M,SEC,5,20,172,8.6,0,34.4,1,5,5.0,0,1.0,21,177,8.4,0,,kendall-bussey-3
458,Tre Bryant*,Nebraska,Big Ten,12,43,172,4.0,1,14.3,8,56,7.0,1,4.7,51,228,4.5,2,,tre-bryant-1
459,Dakota Prukop,Oregon,Pac-12,6,54,171,3.2,2,28.5,0,0,,0,0.0,54,171,3.2,2,,dakota-prukop-1
460,Calvin Cass Jr.*,Navy,American,13,31,169,5.5,2,13.0,10,197,19.7,0,15.2,41,366,8.9,2,,calvin-cass-jr-1
461,Darius Tice*,South Florida,American,4,30,169,5.6,1,42.3,2,54,27.0,1,13.5,32,223,7.0,2,,darius-tice-1
462,Shea Patterson,Ole Miss,SEC,3,41,169,4.1,0,56.3,0,0,,0,0.0,41,169,4.1,0,,shea-patterson-1
463,Sherman Badie,Tulane,American,8,43,169,3.9,1,21.1,2,13,6.5,0,1.6,45,182,4.0,1,,sherman-badie-1
464,Quadraiz Wadley,UTEP,CUSA,10,47,168,3.6,0,16.8,0,0,,0,0.0,47,168,3.6,0,,quadraiz-wadley-1
465,Terell West*,Middle Tennessee State,CUSA,11,40,168,4.2,1,15.3,4,14,3.5,0,1.3,44,182,4.1,1,,terell-west-1
466,Aregeros Turner,Northern Illinois,MAC,12,25,167,6.7,2,13.9,40,415,10.4,3,34.6,65,582,9.0,5,,aregeros-turner-1
467,Devonte Williams*,Indiana,Big Ten,11,48,167,3.5,0,15.2,7,50,7.1,0,4.5,55,217,3.9,0,,devonte-williams-1
468,Jabrill Peppers*,Michigan,Big Ten,12,27,167,6.2,3,13.9,2,3,1.5,0,0.3,29,170,5.9,3,H-5AA,jabrill-peppers-1
469,Jason Huntley,New Mexico State,Sun Belt,11,40,167,4.2,1,15.2,8,35,4.4,0,3.2,48,202,4.2,1,,jason-huntley-1
470,Matt Linehan*,Idaho,Sun Belt,13,88,167,1.9,4,12.8,0,0,,0,0.0,88,167,1.9,4,,matt-linehan-1
471,Shaq Vann*,Eastern Michigan,MAC,2,21,166,7.9,2,83.0,0,0,,0,0.0,21,166,7.9,2,,shaq-vann-1
472,Chad Voytik*,Arkansas State,Sun Belt,11,79,164,2.1,4,14.9,0,0,,0,0.0,79,164,2.1,4,,chad-voytik-1
473,Taiwan Deal*,Wisconsin,Big Ten,7,32,164,5.1,0,23.4,0,0,,0,0.0,32,164,5.1,0,,taiwan-deal-1
474,Caleb Evans,Louisiana-Monroe,Sun Belt,7,51,163,3.2,1,23.3,0,0,,0,0.0,51,163,3.2,1,,caleb-evans-2
475,Cory Butler*,Utah,Pac-12,8,20,163,8.2,1,20.4,29,372,12.8,0,46.5,49,535,10.9,1,,cory-butler-1
476,Sean White*,Auburn,SEC,11,55,163,3.0,2,14.8,0,0,,0,0.0,55,163,3.0,2,,sean-white-3
477,B.J. Smith*,Troy,Sun Belt,13,29,161,5.6,0,12.4,4,39,9.8,0,3.0,33,200,6.1,0,,bj-smith-1
478,Joseph Ajeigbe,Duke,ACC,11,42,161,3.8,1,14.6,6,42,7.0,0,3.8,48,203,4.2,1,,joseph-ajeigbe-1
479,Justin Herbert,Oregon,Pac-12,9,58,161,2.8,2,17.9,0,0,,0,0.0,58,161,2.8,2,,justin-herbert-1
480,Darrin Hall*,Pitt,ACC,12,36,160,4.4,0,13.3,2,14,7.0,0,1.2,38,174,4.6,0,,darrin-hall-1
481,Eddie McDoom*,Michigan,Big Ten,13,16,160,10.0,0,12.3,5,59,11.8,0,4.5,21,219,10.4,0,,eddie-mcdoom-1
482,Rona Cleveland*,Air Force,MWC,13,22,160,7.3,2,12.3,4,162,40.5,3,12.5,26,322,12.4,5,,rona-cleveland-1
483,Keller Chryst*,Stanford,Pac-12,12,41,159,3.9,2,13.3,0,0,,0,0.0,41,159,3.9,2,,keller-chryst-1
484,Tony Pollard*,Memphis,American,13,31,159,5.1,1,12.2,29,298,10.3,2,22.9,60,457,7.6,3,,tony-pollard-1
485,Adam Choice*,Clemson,ACC,11,45,158,3.5,0,14.4,4,38,9.5,0,3.5,49,196,4.0,0,,adam-choice-1
486,McKenzie Milton*,UCF,American,10,100,158,1.6,3,15.8,1,-1,-1.0,0,-0.1,101,157,1.6,3,,mckenzie-milton-1
487,Trey Edmunds*,Maryland,Big Ten,5,26,158,6.1,1,31.6,1,14,14.0,0,2.8,27,172,6.4,1,,trey-edmunds-1
488,Josh Hicks,Rutgers,Big Ten,10,45,157,3.5,0,15.7,1,-4,-4.0,0,-0.4,46,153,3.3,0,,josh-hicks-1
489,Sekai Lindsay,Massachusetts,Ind,12,33,156,4.7,1,13.0,5,23,4.6,0,1.9,38,179,4.7,1,,sekai-lindsay-1
490,Taj McGowan*,UCF,American,13,35,156,4.5,2,12.0,6,48,8.0,0,3.7,41,204,5.0,2,,taj-mcgowan-1
491,Tez Parks*,Southern Mississippi,CUSA,12,34,155,4.6,0,12.9,1,9,9.0,0,0.8,35,164,4.7,0,,tez-parks-1
492,J.J. Green*,Georgia Tech,ACC,11,25,154,6.2,1,14.0,3,40,13.3,0,3.6,28,194,6.9,1,,jj-green-1
493,Justin Stockton,Texas Tech,Big 12,11,53,154,2.9,1,14.0,21,220,10.5,2,20.0,74,374,5.1,3,,justin-stockton-1
494,Andrew Tucker*,North Texas,CUSA,11,20,153,7.7,2,13.9,1,-6,-6.0,0,-0.5,21,147,7.0,2,,andrew-tucker-1
495,Malik Dunner,Ball State,MAC,10,24,152,6.3,1,15.2,3,38,12.7,0,3.8,27,190,7.0,1,,malik-dunner-1
496,Shane Buechele,Texas,Big 12,12,97,151,1.6,2,12.6,0,0,,0,0.0,97,151,1.6,2,,shane-buechele-1
497,Glenn Smith,Georgia State,Sun Belt,12,41,150,3.7,2,12.5,40,547,13.7,3,45.6,81,697,8.6,5,,glenn-smith-2
498,Keon Howard*,Southern Mississippi,CUSA,4,44,150,3.4,2,37.5,1,2,2.0,0,0.5,45,152,3.4,2,,keon-howard-1
499,Brian Lewerke,Michigan State,Big Ten,4,21,149,7.1,0,37.3,0,0,,0,0.0,21,149,7.1,0,,brian-lewerke-1
500,Kevrin Justice*,Houston,American,11,34,149,4.4,2,13.5,0,0,,0,0.0,34,149,4.4,2,,kevrin-justice-1
501,Jalan McClendon*,North Carolina State,ACC,10,35,145,4.1,2,14.5,0,0,,0,0.0,35,145,4.1,2,,jalan-mcclendon-1
502,Jordan Cronkrite*,Florida,SEC,11,31,145,4.7,1,13.2,20,120,6.0,1,10.9,51,265,5.2,2,,jordan-cronkrite-1
503,Kerrith Whyte,Florida Atlantic,CUSA,11,43,145,3.4,1,13.2,5,21,4.2,0,1.9,48,166,3.5,1,,kerrith-whyte-1
504,Malik Williams*,Louisville,ACC,12,19,145,7.6,1,12.1,1,7,7.0,0,0.6,20,152,7.6,1,,malik-williams-1
505,Matt Johnson,Charlotte,CUSA,11,37,145,3.9,0,13.2,0,0,,0,0.0,37,145,3.9,0,,matt-johnson-10
506,Nick Brossette*,LSU,SEC,12,15,145,9.7,0,12.1,0,0,,0,0.0,15,145,9.7,0,,nick-brossette-1
507,Tyrell Johnson,Arizona,Pac-12,7,28,145,5.2,1,20.7,5,46,9.2,0,6.6,33,191,5.8,1,,tyrell-johnson-2
508,Zach Pascal*,Old Dominion,CUSA,13,23,145,6.3,0,11.2,65,946,14.6,9,72.8,88,1091,12.4,9,,zach-pascal-1
509,Darius Stubbs,Georgia State,Sun Belt,11,39,144,3.7,1,13.1,2,15,7.5,0,1.4,41,159,3.9,1,,darius-stubbs-1
510,Tylin Oden,Rutgers,Big Ten,6,37,144,3.9,0,24.0,0,0,,0,0.0,37,144,3.9,0,,tylin-oden-1
511,Spencer McInnis*,Miami (OH),MAC,11,45,143,3.2,1,13.0,2,21,10.5,0,1.9,47,164,3.5,1,,spencer-mcinnis-1
512,Andre Robinson*,Penn State,Big Ten,12,29,141,4.9,5,11.8,2,42,21.0,1,3.5,31,183,5.9,6,,andre-robinson-2
513,Derrick Green*,Texas Christian,Big 12,10,38,141,3.7,2,14.1,0,0,,0,0.0,38,141,3.7,2,,derrick-green-1
514,Cam Phillips*,Virginia Tech,ACC,14,30,140,4.7,0,10.0,76,983,12.9,5,70.2,106,1123,10.6,5,,cam-phillips-1
515,Lajuan Hunt,Utah State,MWC,11,42,140,3.3,1,12.7,6,53,8.8,0,4.8,48,193,4.0,1,,lajuan-hunt-1
516,Xavier Jones,SMU,American,2,15,140,9.3,1,70.0,0,0,,0,0.0,15,140,9.3,1,,xavier-jones-2
517,Jabir Frye*,Troy,Sun Belt,10,20,139,7.0,1,13.9,6,33,5.5,0,3.3,26,172,6.6,1,,jabir-frye-1
518,Jordan Fredericks,Syracuse,ACC,10,28,139,5.0,0,13.9,2,19,9.5,0,1.9,30,158,5.3,0,,jordan-fredericks-1
519,Nick Ralston,Arizona State,Pac-12,12,32,139,4.3,2,11.6,2,10,5.0,0,0.8,34,149,4.4,2,,nick-ralston-1
520,Janarion Grant,Rutgers,Big Ten,4,16,138,8.6,3,34.5,20,210,10.5,0,52.5,36,348,9.7,3,,janarion-grant-1
521,Will Matthews,Kent State,MAC,9,31,138,4.5,0,15.3,3,91,30.3,0,10.1,34,229,6.7,0,,will-mathews-1
522,Nate Strong,Missouri,SEC,7,32,137,4.3,2,19.6,1,7,7.0,0,1.0,33,144,4.4,2,,nate-strong-1
523,Tim Cook,Oregon State,Pac-12,12,30,137,4.6,1,11.4,2,28,14.0,1,2.3,32,165,5.2,2,,tim-cook-1
524,Jake Funk*,Maryland,Big Ten,13,29,136,4.7,1,10.5,7,42,6.0,1,3.2,36,178,4.9,2,,jake-funk-1
525,Kyle Postma*,Houston,American,10,16,136,8.5,4,13.6,0,0,,0,0.0,16,136,8.5,4,,kyle-postma-1
526,Richard Wilson*,Boston College,ACC,8,40,136,3.4,2,17.0,0,0,,0,0.0,40,136,3.4,2,,richard-wilson-4
527,Isaiah McKenzie*,Georgia,SEC,13,19,134,7.1,2,10.3,44,633,14.4,7,48.7,63,767,12.2,9,,isaiah-mckenzie-1
528,Zach Kline,Fresno State,MWC,7,48,134,2.8,1,19.1,1,4,4.0,0,0.6,49,138,2.8,1,,zach-kline-1
529,Carlos Henderson*,Louisiana Tech,CUSA,13,14,133,9.5,2,10.2,82,1535,18.7,19,118.1,96,1668,17.4,21,,carlos-henderson-1
530,Kene Nwangwu,Iowa State,Big 12,12,27,133,4.9,0,11.1,1,16,16.0,0,1.3,28,149,5.3,0,,kene-nwangwu-1
531,LeVante Bellamy*,Western Michigan,MAC,3,20,133,6.7,1,44.3,1,4,4.0,0,1.3,21,137,6.5,1,,levante-bellamy-1
532,Richie Worship,Purdue,Big Ten,8,35,133,3.8,2,16.6,8,49,6.1,0,6.1,43,182,4.2,2,,richie-worship-1
533,Dominic Davis*,USC,Pac-12,9,23,132,5.7,0,14.7,4,19,4.8,0,2.1,27,151,5.6,0,,dominic-davis-1
534,Chico McClatcher*,Washington,Pac-12,13,18,131,7.3,1,10.1,31,574,18.5,5,44.2,49,705,14.4,6,,chico-mcclatcher-1
535,Eli Stove*,Auburn,SEC,12,11,131,11.9,1,10.9,23,224,9.7,0,18.7,34,355,10.4,1,,eli-stove-1
536,Justice Hansen*,Arkansas State,Sun Belt,13,79,131,1.7,1,10.1,0,0,,0,0.0,79,131,1.7,1,,justice-hansen-1
537,Josh Hokit,Fresno State,MWC,12,27,130,4.8,0,10.8,0,0,,0,0.0,27,130,4.8,0,,josh-hokit-1
538,Brandon Silvers*,Troy,Sun Belt,13,48,128,2.7,4,9.8,0,0,,0,0.0,48,128,2.7,4,,brandon-silvers-2
539,Kavious Price,Kent State,MAC,10,20,128,6.4,0,12.8,12,86,7.2,0,8.6,32,214,6.7,0,,kavious-price-1
540,Malik McGue*,Army,Ind,11,20,128,6.4,1,11.6,0,0,,0,0.0,20,128,6.4,1,,malik-mcgue-1
541,Brandon McIlwain*,South Carolina,SEC,8,63,127,2.0,2,15.9,0,0,,0,0.0,63,127,2.0,2,,brandon-mcilwain-1
542,Qadree Ollison*,Pitt,ACC,13,33,127,3.8,2,9.8,2,38,19.0,0,2.9,35,165,4.7,2,,oadree-ollison-1
543,Justin Holman*,UCF,American,7,37,125,3.4,2,17.9,1,24,24.0,0,3.4,38,149,3.9,2,,justin-holman-1
544,Kendall Hinton*,Wake Forest,ACC,3,25,125,5.0,2,41.7,0,0,,0,0.0,25,125,5.0,2,,kendall-hinton-1
545,Brenden Motley*,Virginia Tech,ACC,8,20,124,6.2,2,15.5,0,0,,0,0.0,20,124,6.2,2,,brenden-motley-1
546,Carter Stanley,Kansas,Big 12,9,32,124,3.9,0,13.8,0,0,,0,0.0,32,124,3.9,0,,carter-stanley-1
547,Demarcus Godfrey,Georgia Southern,Sun Belt,9,14,124,8.9,0,13.8,0,0,,0,0.0,14,124,8.9,0,,demarcus-godfrey-1
548,Faton Bauta*,Colorado State,MWC,9,19,124,6.5,0,13.8,0,0,,0,0.0,19,124,6.5,0,,faton-bauta-1
549,Malik Dear*,Mississippi State,SEC,12,17,124,7.3,1,10.3,23,264,11.5,2,22.0,40,388,9.7,3,,malik-dear-1
550,Drew Lock,Missouri,SEC,12,52,123,2.4,1,10.3,1,21,21.0,1,1.8,53,144,2.7,2,,drew-lock-1
551,Chason Virgil,Fresno State,MWC,10,77,122,1.6,2,12.2,1,9,9.0,0,0.9,78,131,1.7,2,,chason-virgil-1
552,D.J. Chark*,LSU,SEC,12,12,122,10.2,2,10.2,26,466,17.9,3,38.8,38,588,15.5,5,,dj-chark-1
