Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
Cameron Erving,Texans,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Jack Anderson,Cowboys,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Calvin Throckmorton,Broncos,2024,1,,"$386,022 ","$386,022 ",$0 ,,0.20%,,"$411,868 ","$411,868 ",$0 
Calvin Throckmorton,Broncos,2024,1,,"$427,833 ","$427,833 ",$0 ,,0.20%,,"$456,478 ","$456,478 ",$0 
Haggai Chisom Ndubuisi,Commanders,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Kyle Hergel,Saints,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Mason Brooks,CAR/WAS,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Henry Byrd,Vikings,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Ryan Johnson,Buccaneers,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Chuck Filiaga,Vikings,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Tashawn Manning,Ravens,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Matthew Gotel,Seahawks,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Lorenz Metz,Buccaneers,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Haggai Chisom Ndubuisi,Commanders,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Jaxson Kirkland,Bengals,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Nathan Gilliam,Bengals,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Tyler Beach,Steelers,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Jake Burton,Lions,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Vitaliy Gurman,Jets,2024,2,,"$1,755,000 ","$877,500 ",$0 ,,0.30%,,"$1,872,504 ","$936,252 ",$0 
Silas Dzansi,Buccaneers,2024,2,,"$1,755,000 ","$877,500 ",$0 ,,0.30%,,"$1,872,504 ","$936,252 ",$0 
Kevin Jarvis,Bills,2024,2,,"$1,764,000 ","$882,000 ","$9,000 ",,0.30%,,"$1,882,106 ","$941,053 ","$9,603 "
Lecitus Smith,Packers,2024,1,,"$915,000 ","$915,000 ",$0 ,,0.40%,,"$976,263 ","$976,263 ",$0 
Carter O'Donnell,Cardinals,2024,1,,"$915,000 ","$915,000 ",$0 ,,0.40%,,"$976,263 ","$976,263 ",$0 
Kohl Levao,Jets,2024,3,,"$2,830,000 ","$943,333 ",$0 ,,0.40%,,"$3,019,479 ","$1,006,493 ",$0 
Oliver Jervis,Broncos,2024,3,,"$2,830,000 ","$943,333 ",$0 ,,0.40%,,"$3,019,479 ","$1,006,493 ",$0 
Ryan Johnson,Patriots,2024,3,,"$2,830,000 ","$943,333 ",$0 ,,0.40%,,"$3,019,479 ","$1,006,493 ",$0 
McKade Mettauer,Chiefs,2024,3,,"$2,831,000 ","$943,667 ","$1,000 ",,0.40%,,"$3,020,546 ","$1,006,849 ","$1,067 "
Darrian Dalcourt,Ravens,2024,3,,"$2,834,000 ","$944,667 ","$4,000 ",,0.40%,,"$3,023,747 ","$1,007,916 ","$4,268 "
Nouri Nouili,Saints,2024,3,,"$2,835,000 ","$945,000 ","$5,000 ",,0.40%,,"$3,024,814 ","$1,008,271 ","$5,335 "
Steven Jones,Jaguars,2024,3,,"$2,837,500 ","$945,833 ","$57,500 ",,0.40%,,"$3,027,481 ","$1,009,160 ","$61,350 "
