Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
Isaiah Prince,Titans,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Jack Driscoll,Eagles,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Isaiah Prince,Titans,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Blake Hance,Jaguars,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Charlie Heck,Cardinals,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Joshua Miles,Giants,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Charlie Heck,Cardinals,2024,1,,"$331,300 ","$331,300 ",$0 ,,0.10%,,"$353,482 ","$353,482 ",$0 
Jack Driscoll,Eagles,2024,1,,"$348,100 ","$348,100 ",$0 ,,0.10%,,"$371,407 ","$371,407 ",$0 
Charlie Heck,Cardinals,2024,1,,"$377,000 ","$377,000 ",$0 ,,0.10%,,"$402,242 ","$402,242 ",$0 
Cameron Erving,Texans,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Charlie Heck,Cardinals,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Germain Ifedi,Browns,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Jake Curhan,Bears,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Chris Hubbard,49ers,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Lucas Niang,Chiefs,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Jack Driscoll,Eagles,2024,1,,"$393,800 ","$393,800 ",$0 ,,0.20%,,"$420,166 ","$420,166 ",$0 
Jake Curhan,Bears,2024,1,,"$420,711 ","$420,711 ",$0 ,,0.20%,,"$448,879 ","$448,879 ",$0 
Charlie Heck,Cardinals,2024,1,,"$422,700 ","$422,700 ",$0 ,,0.20%,,"$451,001 ","$451,001 ",$0 
Germain Ifedi,Browns,2024,1,,"$429,322 ","$429,322 ",$0 ,,0.20%,,"$458,067 ","$458,067 ",$0 
Jake Curhan,Bears,2024,1,,"$458,022 ","$458,022 ",$0 ,,0.20%,,"$488,688 ","$488,688 ",$0 
Germain Ifedi,Browns,2024,1,,"$475,244 ","$475,244 ",$0 ,,0.20%,,"$507,063 ","$507,063 ",$0 
Jalen McKenzie,Raiders,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Max Pircher,Seahawks,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Demontrey Jacobs,Patriots,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Andrew Stueber,Patriots,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Demontrey Jacobs,Broncos,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Chim Okorafor,Browns,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Roy Mbaeteka,Browns,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Chukwuebuka Godrick,Chiefs,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Corey Luciano,49ers,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Chim Okorafor,Browns,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Badara Traore,Panthers,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Ryan Swoboda,Falcons,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Roy Mbaeteka,Bears,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Austen Pleasants,ARI/SF,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Andrew Stueber,Falcons,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Corey Luciano,Raiders,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Andrew Stueber,Bengals,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
Jaylon Thomas,Texans,2024,2,,"$1,755,000 ","$877,500 ",$0 ,,0.30%,,"$1,872,504 ","$936,252 ",$0 
Andrew Stueber,Bengals,2024,2,,"$1,755,000 ","$877,500 ",$0 ,,0.30%,,"$1,872,504 ","$936,252 ",$0 
