Rk,Player,Age,Team,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards,-9999
33,Ryan Fitzpatrick,38,MIA,QB,9,7,183,267,2072,7.8,1236,6.8,4.6,855,4.7,5,2,1,10,3.8,37,14.0,211,79.9,2.2,99,22,31,67,22.6,15,8.0,16,109,14,109,1,0,41,341,,FitzRy00
34,Alex Smith,36,WAS,QB,8,6,168,252,1286,5.1,629,3.7,2.5,953,5.7,4,12,0,8,3.3,42,17.5,183,76.3,2.3,63,37,27,86,31.0,3,3.0,22,122,22,122,0,0,48,365,AP CPoY-1,SmitAl03
35,Dwayne Haskins,23,WAS,QB,7,6,148,241,1622,6.7,572,3.9,2.4,867,5.9,5,4,0,12,5.1,53,22.4,165,69.6,2.3,66,17,24,61,22.8,7,8.3,40,231,35,224,3,7,36,160,,HaskDw00
36,Dak Prescott,27,DAL,QB,5,5,151,222,1762,7.9,1046,6.9,4.7,810,5.4,1,3,1,13,6.0,33,15.1,168,77.1,2.5,66,23,19,52,21.7,8,8.0,34,263,32,261,1,2,58,582,,PresDa01
37,Mike Glennon,31,JAX,QB,5,5,111,179,1424,8.0,667,6.0,3.7,405,3.6,3,5,3,7,4.1,25,14.6,123,71.9,2.3,32,10,12,31,16.1,4,3.3,3,6,2,6,0,0,26,267,,GlenMi00
38,Jalen Hurts,22,PHI,QB,15,4,77,148,1350,9.1,593,7.7,4.0,468,6.1,5,12,1,4,3.0,36,26.7,82,60.7,2.3,55,16,12,41,22.2,24,6.9,40,338,15,198,22,140,19,236,,HurtJa00
39,Brandon Allen,28,CIN,QB,5,5,90,142,940,6.6,368,4.1,2.6,557,6.2,1,3,0,8,5.8,23,16.5,109,78.4,2.3,37,4,16,27,17.5,5,2.8,20,183,18,180,1,3,35,236,,AlleBr00
40,Jimmy Garoppolo,29,SFO,QB,6,6,94,140,879,6.3,382,4.1,2.7,714,7.6,1,0,0,9,6.4,24,17.1,109,77.9,2.3,50,8,14,33,21.3,4,5.3,10,57,8,57,0,0,40,385,,GaroJi00
41,Joe Flacco,35,NYJ,QB,5,4,74,134,1422,10.6,519,7.0,3.9,345,4.7,1,10,0,5,4.0,29,23.4,88,71.0,2.3,56,16,20,43,29.5,5,4.4,4,9,4,9,0,0,28,213,,FlacJo00
42,Taysom Hill,30,NOR,QB/WR,16,8,88,121,843,7.0,556,6.3,4.6,372,4.2,1,3,0,6,5.1,16,13.6,94,79.7,2.7,41,10,13,37,24.3,17,9.4,11,75,4,44,7,31,26,253,,HillTa00
43,Jake Luton,24,JAX,QB,3,3,60,110,865,7.9,338,5.6,3.1,286,4.8,3,6,0,5,4.8,30,28.8,68,65.4,2.3,44,10,8,25,21.2,1,13.0,4,25,4,25,0,0,18,108,,LutoJa00
44,C.J. Beathard,27,SFO,QB,6,2,66,104,838,8.1,443,6.7,4.3,344,5.2,1,5,1,8,8.2,17,17.3,76,77.6,2.6,27,4,13,26,22.8,1,7.0,6,34,4,15,2,19,16,96,,BeatC.00
45,Kyle Allen,24,WAS,QB,4,4,60,87,523,6.0,286,4.8,3.3,324,5.4,1,8,0,2,2.5,8,10.1,64,81.0,2.5,31,9,9,25,25.5,4,7.0,11,77,8,75,1,2,29,234,,AlleKy00
46,Colt McCoy,34,NYG,QB,4,2,40,66,590,8.9,248,6.2,3.8,127,3.2,0,0,0,5,7.6,14,21.2,50,75.8,2.4,21,6,8,19,25.3,4,3.3,3,3,3,3,0,0,14,85,,McCoCo00
47,Jeff Driskel,27,DEN,QB,3,1,35,64,638,10.0,301,8.6,4.7,131,3.7,2,1,0,5,7.9,15,23.8,43,68.3,2.5,47,8,14,33,42.3,3,5.0,3,38,3,38,0,0,6,55,,DrisJe00
48,P.J. Walker,25,CAR,QB,4,1,32,56,583,10.4,227,7.1,4.1,141,4.4,2,0,0,6,10.7,13,23.2,37,66.1,2.3,23,4,4,12,20.0,0,,3,20,2,20,0,0,8,21,,WalkPh00
49,Jarrett Stidham,24,NWE,QB,5,0,22,44,268,6.1,76,3.5,1.7,180,8.2,1,6,0,3,7.9,9,23.7,26,68.4,2.7,18,5,8,17,34.0,2,3.5,3,24,2,23,1,1,10,56,,StidJa00
50,Chase Daniel,34,DET,QB,4,0,29,43,275,6.4,145,5.0,3.4,119,4.1,1,1,1,3,7.3,5,12.2,33,80.5,2.3,14,3,4,10,20.8,2,8.0,1,21,1,21,0,0,5,78,,DaniCh00
51,Ben DiNucci,24,DAL,QB,3,1,23,43,349,8.1,85,3.7,2.0,134,5.8,0,1,1,2,4.9,13,31.7,26,63.4,2.5,14,8,3,18,35.3,1,9.0,4,2,2,0,2,2,6,14,,DiNuBe00
52,Mason Rudolph,25,PIT,QB,5,1,25,43,432,10.0,222,8.9,5.2,102,4.1,0,1,0,4,9.5,9,21.4,32,76.2,2.2,12,12,3,16,35.6,1,1.0,1,7,1,7,0,0,2,0,,RudoMa00
53,Brett Rypien,24,DEN,QB,3,1,27,40,346,8.7,213,7.9,5.3,82,3.0,1,4,0,1,2.8,2,5.6,28,77.8,2.4,17,4,6,11,26.8,0,,1,0,1,0,0,0,5,54,,RypiBr00
54,Garrett Gilbert,29,DAL,QB,1,1,21,38,348,9.2,191,9.1,5.0,52,2.5,3,0,1,0,0.0,11,29.7,21,56.8,2.3,17,10,6,18,42.9,2,13.0,1,0,1,0,0,0,2,16,,GilbGa01
55,Chad Henne,35,KAN,QB,3,1,28,38,158,4.2,48,1.7,1.3,200,7.1,0,1,0,1,2.7,6,16.2,31,83.8,1.9,8,2,4,8,20.0,0,,3,-1,1,-2,1,1,9,30,,HennCh01
56,John Wolford,25,LAR,QB,1,1,22,38,358,9.4,138,6.3,3.6,93,4.2,1,1,0,1,2.7,10,27.0,25,67.6,2.1,18,3,4,9,21.4,2,12.0,8,67,5,35,3,32,7,35,,WolfJo00
57,Ryan Finley,26,CIN,QB,5,1,17,32,335,10.5,93,5.5,2.9,71,4.2,0,0,0,1,3.1,7,21.9,24,75.0,2.3,18,3,8,20,46.5,2,11.5,5,36,0,0,5,36,1,0,,FinlRy00
58,Tyrod Taylor,31,LAC,QB,2,1,16,30,335,11.2,128,8.0,4.3,80,5.0,0,2,0,1,3.6,6,21.4,20,71.4,2.5,9,5,2,9,26.5,2,3.5,5,24,3,23,2,1,7,46,,TaylTy00
59,Marcus Mariota,27,LVR,QB,1,0,17,28,273,9.8,150,8.8,5.4,76,4.5,0,1,1,1,3.8,6,23.1,19,73.1,2.4,4,3,2,5,15.6,4,4.5,3,56,0,0,3,56,5,34,,MariMa01
60,Brian Hoyer,35,NWE,QB,1,1,15,24,196,8.2,74,4.9,3.1,56,3.7,0,1,0,1,4.3,4,17.4,19,82.6,2.2,11,0,1,3,11.1,1,8.0,3,59,3,59,0,0,9,83,,HoyeBr00
61,Matt Barkley,30,BUF,QB,5,0,11,21,251,12.0,142,12.9,6.8,55,5.0,1,0,0,2,9.5,5,23.8,13,61.9,2.6,10,1,1,3,13.6,0,,2,10,2,10,0,0,7,66,,BarkMa00
62,Taylor Heinicke,27,WAS,QB,1,0,12,19,255,13.4,88,7.3,4.6,49,4.1,0,0,0,1,5.3,4,21.1,13,68.4,3.0,3,1,1,3,13.0,3,7.3,0,0,0,0,0,0,0,0,,HeinTa00
63,Blaine Gabbert,31,TAM,QB,4,0,9,16,108,6.8,63,7.0,3.9,80,8.9,0,0,0,1,6.3,5,31.3,11,68.8,1.6,8,1,0,2,10.5,2,9.0,0,0,0,0,0,0,2,30,,GabbBl00
64,Chris Streveler,25,ARI,QB,5,0,11,16,106,6.6,7,0.6,0.4,98,8.9,0,0,0,0,0.0,2,12.5,14,87.5,1.8,4,0,1,3,16.7,0,,3,24,3,24,0,0,5,37,,StreCh00
65,Robert Griffin III,30,BAL,QB,4,1,8,14,123,8.8,8,1.0,0.6,34,4.3,0,0,0,0,0.0,4,28.6,8,57.1,2.1,7,0,3,6,35.3,0,,4,48,0,0,4,48,4,8,,GrifRo01
66,Nate Sudfeld,27,PHI,QB,1,0,5,12,118,9.8,14,2.8,1.2,18,3.6,0,2,0,1,10.0,3,30.0,6,60.0,2.3,7,2,3,7,46.7,1,12.0,1,0,1,0,0,0,2,0,,SudfNa00
67,Jameis Winston,26,NOR,QB,4,0,7,11,51,4.6,14,2.0,1.3,61,8.7,0,0,0,0,0.0,3,27.3,7,63.6,2.2,5,1,1,4,28.6,1,3.0,0,0,0,0,0,0,3,31,,WinsJa00
68,David Blough,25,DET,QB,1,0,6,10,82,8.2,22,3.7,2.2,27,4.5,1,0,0,0,0.0,2,20.0,6,60.0,2.9,1,0,6,7,58.3,1,18.0,0,0,0,0,0,0,1,20,,BlouDa00
69,Case Keenum,32,CLE,QB,2,0,5,10,27,2.7,18,3.6,1.8,28,5.6,0,0,0,0,0.0,3,30.0,5,50.0,2.2,2,0,2,2,20.0,0,,0,0,0,0,0,0,1,13,,KeenCa00
70,Trace McSorley,25,BAL,QB,2,0,3,10,89,8.9,37,12.3,3.7,53,17.7,1,1,0,1,11.1,3,33.3,4,44.4,2.3,2,2,0,2,18.2,1,9.0,5,2,2,0,3,2,2,0,,McSoTr00
71,Kendall Hinton,23,DEN,WR,1,0,1,9,134,14.9,-3,-3.0,-0.3,16,16.0,0,1,0,0,0.0,4,50.0,1,12.5,2.9,5,1,4,6,54.5,1,5.0,4,5,3,0,1,5,4,0,,HintKe00
72,Jacoby Brissett,28,IND,QB,11,0,2,8,65,8.1,-1,-0.5,-0.1,18,9.0,0,1,0,1,14.3,3,42.9,4,57.1,2.8,3,3,0,5,45.5,1,2.0,4,8,0,0,3,8,2,4,,BrisJa00
73,Tyler Bray,29,CHI,QB,1,0,1,5,43,8.6,5,5.0,1.0,13,13.0,0,0,1,0,0.0,3,75.0,1,25.0,2.1,0,0,1,1,20.0,0,,0,0,0,0,0,0,0,0,,BrayTy00
74,Joshua Dobbs,25,PIT,QB,1,0,4,5,0,0.0,-11,-2.8,-2.2,13,3.3,0,1,0,0,0.0,0,0.0,4,100.0,1.5,0,0,1,1,20.0,0,,0,0,0,0,0,0,0,0,,DobbJo00
75,Tyler Huntley,22,BAL,QB,2,0,3,5,62,12.4,5,1.7,1.0,10,3.3,0,0,0,0,0.0,2,40.0,3,60.0,2.1,2,0,1,1,20.0,0,,6,23,1,-1,5,24,1,-1,,HuntTy01
76,Nathan Peterman,26,LVR,QB,1,0,3,5,9,1.8,4,1.3,0.8,21,7.0,0,0,0,0,0.0,1,20.0,3,60.0,2.6,1,0,0,2,25.0,1,9.0,0,0,0,0,0,0,1,4,,PeteNa00
77,Geno Smith,30,SEA,QB,1,0,4,5,25,5.0,19,4.8,3.8,14,3.5,0,0,0,0,0.0,1,20.0,4,80.0,2.1,4,0,1,2,33.3,0,,3,12,1,14,2,-2,1,14,,SmitGe00
78,Jarvis Landry,28,CLE,WR,15,14,4,4,58,14.5,58,14.5,14.5,16,4.0,0,0,0,0,0.0,0,0.0,4,100.0,3.3,2,0,3,3,75.0,0,,0,0,0,0,0,0,1,6,,LandJa00
79,Logan Woodside,25,TEN,QB,6,0,1,3,17,5.7,7,7.0,2.3,0,0.0,0,0,0,0,0.0,1,33.3,0,0.0,1.4,0,1,0,1,33.3,0,,0,0,0,0,0,0,0,0,,WoodLo00
80,Lynn Bowden Jr.,23,MIA,WR,10,4,1,2,17,8.5,-2,-2.0,-1.0,34,34.0,0,0,0,0,0.0,1,50.0,1,50.0,5.1,2,0,1,1,25.0,2,5.5,1,8,0,0,1,8,1,32,,BowdLy00
81,Tyler Boyd,26,CIN,WR,15,8,1,2,2,1.0,-6,-6.0,-3.0,22,22.0,0,0,0,0,0.0,1,50.0,1,50.0,2.7,1,0,0,0,0.0,0,,1,0,1,0,0,0,1,0,,BoydTy00
82,Julian Edelman,34,NWE,WR,6,1,2,2,-2,-1.0,-2,-1.0,-1.0,40,20.0,0,0,0,0,0.0,0,0.0,2,100.0,1.5,1,0,0,0,0.0,0,,0,0,0,0,0,0,1,22,,EdelJu00
83,Russell Gage,24,ATL,WR,16,8,1,2,75,37.5,37,37.0,18.5,2,2.0,0,0,0,1,50.0,0,0.0,2,100.0,2.6,2,0,1,1,50.0,0,,0,0,0,0,0,0,0,0,,GageRu00
84,Travis Kelce,31,KAN,TE,15,15,1,2,-2,-1.0,-3,-3.0,-1.5,7,7.0,0,0,0,0,0.0,0,0.0,2,100.0,3.2,0,0,0,0,0.0,0,,1,0,1,0,0,0,0,0,PBAP-1AP OPoY-4,KelcTr00
85,Jakobi Meyers,24,NWE,WR,14,9,2,2,37,18.5,37,18.5,18.5,6,3.0,0,0,0,0,0.0,0,0.0,2,100.0,2.4,1,0,1,1,50.0,0,,0,0,0,0,0,0,0,0,,MeyeJa01
86,Golden Tate,32,NYG,WR,12,4,1,2,-9,-4.5,-5,-5.0,-2.5,23,23.0,0,1,0,0,0.0,0,0.0,1,100.0,4.8,1,0,1,1,50.0,0,,0,0,0,0,0,0,0,0,,TateGo00
87,Cedrick Wilson Jr.,25,DAL,WR,16,0,2,2,2,1.0,2,1.0,1.0,21,10.5,0,0,0,0,0.0,0,0.0,2,100.0,3.7,1,0,0,0,0.0,0,,1,12,1,12,0,0,0,0,,WilsCe01
88,Jamal Agnew,25,DET,WR,14,2,0,1,15,15.0,0,,0.0,0,,0,0,0,0,0.0,0,0.0,1,100.0,4.5,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,AgneJa00
89,Keenan Allen,28,LAC,WR,14,13,0,1,15,15.0,0,,0.0,0,,0,0,0,0,0.0,1,100.0,0,0.0,3.2,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,PB,AlleKe00
90,Cole Beasley,31,BUF,WR,15,10,1,1,20,20.0,20,20.0,20.0,0,0.0,0,0,0,0,0.0,0,0.0,1,100.0,3.0,0,0,0,0,0.0,0,,1,20,1,20,0,0,0,0,AP-2,BeasCo00
91,Odell Beckham Jr.,28,CLE,WR,7,7,1,1,17,17.0,17,17.0,17.0,1,1.0,0,0,0,0,0.0,0,0.0,1,100.0,1.7,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,BeckOd00
92,Joseph Charlton,23,CAR,P,16,0,1,1,18,18.0,18,18.0,18.0,10,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,1,50.0,0,,0,0,0,0,0,0,0,0,,CharJo01
93,Randall Cobb,30,HOU,WR,10,2,0,1,7,7.0,0,,0.0,0,,0,0,0,0,0.0,1,100.0,0,0.0,3.1,1,0,0,0,0.0,0,,1,0,1,0,0,0,1,0,,CobbRa00
94,Jamison Crowder,27,NYJ,WR,12,7,1,1,27,27.0,27,27.0,27.0,16,16.0,0,0,0,0,0.0,0,0.0,1,100.0,1.8,1,0,0,0,0.0,0,,0,0,0,0,0,0,1,43,,CrowJa00
95,Riley Dixon,27,NYG,P,16,0,0,1,8,8.0,0,,0.0,0,,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,DixoRi00
96,Alex Erickson,28,CIN,WR,16,2,0,1,21,21.0,0,,0.0,0,,0,0,0,0,0.0,1,100.0,0,0.0,4.6,1,0,1,1,100.0,0,,0,0,0,0,0,0,0,0,,EricAl01
97,Jaquan Johnson,25,BUF,CB,14,0,1,1,10,10.0,10,10.0,10.0,3,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,JohnJa11
98,Chris Jones,31,DAL,P,8,0,0,1,9,9.0,0,,0.0,0,,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,JoneCh02
99,Zay Jones,25,LVR,WR,16,2,1,1,26,26.0,26,26.0,26.0,3,3.0,0,0,0,0,0.0,0,0.0,1,100.0,3.1,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,JoneZa00
100,Brett Kern,34,TEN,P,13,0,0,1,18,18.0,0,,0.0,0,,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,KernBr20
101,Sam Koch,38,BAL,P,15,0,1,1,9,9.0,9,9.0,9.0,6,6.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,KochSa20
102,Andy Lee,38,ARI,P,16,0,1,1,14,14.0,14,14.0,14.0,12,12.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,LeexAn20
103,A.J. McCarron,30,HOU,QB,2,0,1,1,18,18.0,18,18.0,18.0,2,2.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,1,0,0,1,50.0,0,,0,0,0,0,0,0,0,0,,McCaA.00
104,Isaiah McKenzie,25,BUF,WR,16,7,1,1,-5,-5.0,-5,-5.0,-5.0,17,17.0,0,0,0,0,0.0,0,0.0,1,100.0,2.9,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,McKeIs00
105,D.J. Moore,23,CAR,WR,15,14,0,1,6,6.0,0,,0.0,0,,0,0,0,0,0.0,1,100.0,0,0.0,4.1,1,0,0,0,0.0,0,,1,0,1,0,0,0,1,0,,MoorD.00
106,Zach Pascal,26,IND,WR,16,14,0,1,13,13.0,0,,0.0,0,,0,0,0,0,0.0,1,100.0,0,0.0,3.1,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,PascZa00
107,Easton Stick,25,LAC,QB,1,0,1,1,0,0.0,0,0.0,0.0,4,4.0,0,0,0,0,0.0,0,0.0,1,100.0,2.3,1,0,0,0,0.0,0,,0,0,0,0,0,0,1,4,,SticEa00
108,Logan Thomas,29,WAS,TE,16,15,1,1,28,28.0,28,28.0,28.0,0,0.0,0,0,0,0,0.0,0,0.0,1,100.0,4.5,0,0,0,0,0.0,0,,0,0,0,0,0,0,1,28,,ThomLo00
109,Tommy Townsend,24,KAN,P,16,0,1,1,6,6.0,6,6.0,6.0,7,7.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,TownTo01
110,Greg Ward,25,PHI,WR,16,10,1,1,15,15.0,15,15.0,15.0,0,0.0,0,0,0,0,0.0,0,0.0,1,100.0,5.2,1,0,1,1,50.0,1,2.0,0,0,0,0,0,0,0,0,,WardGr02
111,Sammy Watkins,27,KAN,WR,10,9,0,1,24,24.0,0,,0.0,0,,0,0,0,0,0.0,0,0.0,0,0.0,4.6,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,WatkSa00
112,Isaiah Wright,23,WAS,WR,14,6,0,1,-3,-3.0,0,,0.0,0,,0,1,0,0,,0,,0,,6.4,0,0,1,1,100.0,0,,1,6,0,0,1,6,0,0,,WrigIs01
