Rk,Player,Age,Team,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards,-9999
1,Matt Ryan,35,ATL,QB,16,16,407,626,5337,8.5,2939,7.2,4.7,1642,4.0,6,18,1,33,5.4,89,14.7,458,75.5,2.6,204,55,70,166,24.3,16,6.5,18,166,16,166,0,0,152,1432,,RyanMa00
2,Tom Brady,43,TAM,QB,16,16,401,610,5531,9.1,2833,7.1,4.6,1800,4.5,4,13,4,31,5.2,122,20.6,438,73.9,2.4,161,34,58,113,17.8,4,2.0,15,110,14,110,1,0,110,1119,,BradTo00
3,Ben Roethlisberger,38,PIT,QB,15,15,399,608,4220,6.9,1850,4.6,3.0,1953,4.9,13,2,0,39,6.4,91,15.0,463,76.4,2.1,175,42,51,106,17.0,3,7.0,26,85,25,85,1,0,48,234,AP CPoY-2,RoetBe00
4,Justin Herbert,22,LAC,QB,15,15,396,595,4378,7.4,2121,5.4,3.6,2215,5.6,7,7,4,23,3.9,105,18.0,447,76.5,2.4,170,85,70,187,28.7,25,5.6,32,196,20,115,10,81,127,1140,AP ORoY-1,HerbJu00
5,Patrick Mahomes,25,KAN,QB,15,15,390,588,4910,8.4,2473,6.3,4.2,2267,5.8,8,20,1,28,4.9,100,17.6,436,76.9,2.6,141,62,59,143,22.0,40,7.3,100,770,94,756,4,14,144,1068,PBAP-2AP MVP-3AP OPoY-2,MahoPa00
6,Josh Allen,24,BUF,QB,16,16,396,572,4857,8.5,2692,6.8,4.7,1852,4.7,4,22,0,25,4.5,88,16.0,435,79.1,2.6,244,64,47,137,21.9,29,7.9,82,617,62,547,18,70,160,1501,PBAP-2AP MVP-2AP OPoY-4,AlleJo02
7,Kyler Murray,23,ARI,QB,16,16,375,558,4340,7.8,2213,5.9,4.0,1758,4.7,14,25,8,13,2.5,88,16.8,405,77.1,2.4,156,55,24,106,16.7,51,8.4,171,1395,121,1107,43,288,107,877,PB,MurrKy00
8,Russell Wilson,32,SEA,QB,16,16,384,558,4809,8.6,2385,6.2,4.3,1827,4.8,4,24,1,27,5.1,84,15.8,424,79.5,2.6,206,65,67,179,27.2,53,8.7,42,284,33,238,8,46,124,1047,PB,WilsRu00
9,Jared Goff,26,LAR,QB,15,15,370,552,3579,6.5,1800,4.9,3.3,2152,5.8,6,24,2,27,5.1,84,16.0,413,78.5,2.5,185,42,54,119,19.9,22,4.5,2,11,0,0,2,11,172,1384,,GoffJa00
10,Deshaun Watson,25,HOU,QB,16,16,382,544,4840,8.9,2847,7.5,5.2,1976,5.2,5,19,2,19,3.6,79,15.1,420,80.3,2.5,168,75,47,171,26.1,62,6.4,73,598,56,519,13,79,81,834,PB,WatsDe00
11,Philip Rivers,39,IND,QB,16,16,369,543,3893,7.2,1948,5.3,3.6,2221,6.0,11,14,3,17,3.2,84,16.0,406,77.2,2.3,124,37,37,93,16.5,1,3.0,44,370,44,370,0,0,86,719,,RivePh00
12,Matthew Stafford,32,DET,QB,16,16,339,528,4609,8.7,2343,6.9,4.4,1741,5.1,7,7,7,33,6.4,94,18.3,399,77.6,2.4,179,45,39,122,21.0,16,7.3,27,273,27,273,0,0,105,959,,StafMa00
13,Aaron Rodgers,37,GNB,QB,16,16,372,526,4135,7.9,2051,5.5,3.9,2248,6.0,3,23,3,27,5.4,69,13.8,406,81.2,2.5,168,33,28,81,14.2,24,6.2,42,335,39,323,3,12,145,1210,PBAP-1AP MVP-1AP OPoY-2,RodgAa00
14,Derek Carr,29,LVR,QB,16,16,348,517,4184,8.1,2147,6.2,4.2,1956,5.6,5,20,4,20,4.1,79,16.0,389,78.9,2.5,173,56,30,112,19.8,23,5.4,27,163,22,130,4,33,91,614,,CarrDe02
15,Kirk Cousins,32,MIN,QB,16,16,349,516,4103,8.0,2329,6.7,4.5,1936,5.5,11,27,3,18,3.7,67,13.8,395,81.3,2.6,181,56,78,173,30.2,17,8.1,3,12,2,10,1,2,127,1286,,CousKi00
16,Teddy Bridgewater,28,CAR,QB,15,15,340,492,3511,7.1,1853,5.5,3.8,1880,5.5,5,19,2,20,4.2,61,13.0,379,80.5,2.3,154,42,38,111,19.8,37,7.4,22,114,20,107,2,7,91,637,,BridTe00
17,Baker Mayfield,25,CLE,QB,16,16,305,486,4124,8.5,2203,7.2,4.5,1360,4.5,8,28,5,21,4.6,85,18.8,339,74.8,2.7,179,49,26,101,18.8,25,6.1,7,63,5,60,2,3,121,1141,,MayfBa00
18,Ryan Tannehill,32,TEN,QB,16,16,315,481,4029,8.4,2295,7.3,4.8,1524,4.8,8,19,0,20,4.3,63,13.6,357,77.3,2.5,161,36,61,121,23.0,20,7.4,17,153,9,54,8,99,158,1541,,TannRy00
19,Daniel Jones,23,NYG,QB,14,14,280,448,3395,7.6,1827,6.5,4.1,1116,4.0,8,14,2,23,5.3,76,17.6,325,75.2,2.5,200,56,55,156,30.3,22,7.9,46,367,28,208,17,159,101,717,,JoneDa05
20,Drew Lock,24,DEN,QB,13,13,254,443,3883,8.8,1530,6.0,3.5,1403,5.5,5,13,2,25,5.8,98,22.9,295,68.9,2.6,148,53,46,118,24.4,22,6.0,25,147,21,117,4,30,92,774,,LockDr00
21,Carson Wentz,28,PHI,QB,12,12,251,437,3836,8.8,1605,6.4,3.7,1015,4.0,6,21,1,23,5.5,90,21.7,292,70.4,2.6,167,35,64,149,29.3,22,8.4,64,253,51,210,8,43,103,583,,WentCa00
22,Joe Burrow,24,CIN,QB,10,10,264,404,3438,8.5,1550,5.9,3.8,1138,4.3,4,8,3,19,4.8,58,14.8,296,75.3,2.3,138,30,47,109,24.1,16,5.2,38,185,34,170,2,15,78,503,,BurrJo01
23,Drew Brees,41,NOR,QB,12,12,275,390,2361,6.1,1464,5.3,3.8,1478,5.4,3,7,2,21,5.5,51,13.4,308,80.8,2.4,92,13,33,59,14.6,2,1.5,5,34,5,34,0,0,55,430,,BreeDr00
24,Lamar Jackson,23,BAL,QB,15,15,242,376,3241,8.6,1588,6.6,4.2,1169,4.8,6,9,3,20,5.5,64,17.6,274,75.3,2.5,104,49,24,102,22.5,49,7.2,157,1301,75,742,76,559,87,767,,JackLa00
25,Cam Newton,31,NWE,QB,15,15,242,368,2496,6.8,1393,5.8,3.8,1264,5.2,9,11,2,15,4.2,70,19.7,265,74.6,2.6,178,48,30,109,26.0,20,9.3,36,145,13,61,23,84,99,863,,NewtCa00
26,Sam Darnold,23,NYJ,QB,12,12,217,364,2794,7.7,1053,4.9,2.9,1155,5.3,7,21,3,14,4.1,62,18.2,244,71.8,2.4,143,43,38,116,27.3,26,8.0,8,48,5,37,3,11,63,542,,DarnSa00
27,Andy Dalton,33,DAL,QB,11,9,216,333,2278,6.8,1127,5.2,3.4,1043,4.8,5,14,0,21,6.6,48,15.0,250,78.4,2.3,119,15,25,64,17.2,15,5.7,21,177,17,154,3,23,61,414,,DaltAn00
28,Gardner Minshew II,24,JAX,QB,9,8,216,327,2558,7.8,1243,5.8,3.8,1016,4.7,4,15,1,10,3.2,58,18.6,238,76.5,2.4,90,38,20,85,22.5,24,6.6,18,131,14,127,3,4,47,363,,MinsGa00
29,Nick Mullens,25,SFO,QB,10,8,211,326,2053,6.3,1198,5.7,3.7,1239,5.9,7,6,0,17,5.3,48,15.0,241,75.3,2.4,116,33,56,108,31.1,2,5.0,13,74,12,74,0,0,86,863,,MullNi00
30,Nick Foles,31,CHI,QB,9,7,202,312,2502,8.0,1151,5.7,3.7,701,3.5,5,11,1,9,3.0,48,16.0,229,76.3,2.2,99,15,41,74,22.2,3,3.7,32,238,30,238,0,0,59,468,,FoleNi00
31,Mitchell Trubisky,26,CHI,QB,10,9,199,297,2329,7.8,1052,5.3,3.5,1003,5.0,1,4,0,9,3.1,53,18.1,222,75.8,2.3,80,25,21,64,19.3,17,9.8,31,213,25,200,6,13,96,798,,TrubMi00
32,Tua Tagovailoa,22,MIA,QB,10,9,186,290,2175,7.5,1048,5.6,3.6,766,4.1,2,5,3,12,4.3,53,18.8,209,74.1,2.3,115,14,14,48,14.7,16,5.8,32,208,28,195,4,13,78,466,,TagoTu00
