Rk,Player,Age,Team,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards,-9999
1,Sam Howell,23,WAS,QB,17,17,388,612,4603,7.5,1927,5.0,3.1,2019,5.2,20,32,1,25,4.3,88,15.2,427,73.7,2.4,181,39,57,161,22.7,33,7.4,77,369,66,345,4,24,67,370,,HoweSa00
2,Jared Goff,29,DET,QB,17,17,407,605,4064,6.7,2428,6.0,4.0,2147,5.3,14,27,4,35,6.1,87,15.2,461,80.3,2.3,212,42,69,141,22.0,7,4.4,23,189,22,186,1,3,151,1415,,GoffJa00
3,Patrick Mahomes,28,KAN,QB,16,16,401,597,3876,6.5,1631,4.1,2.7,2552,6.4,6,29,2,39,6.9,75,13.3,457,80.7,2.5,133,60,65,152,22.6,50,8.1,56,337,51,325,3,12,79,794,PBAP MVP-7,MahoPa00
4,Dak Prescott,30,DAL,QB,17,17,410,590,4585,7.8,2553,6.2,4.3,1963,4.8,10,10,0,38,6.6,68,11.7,479,82.6,2.4,163,26,47,112,17.0,28,6.9,89,696,80,671,5,25,100,613,PBAP-2AP MVP-2AP OPoY-5,PresDa01
5,Josh Allen,27,BUF,QB,17,17,385,579,5032,8.7,2337,6.1,4.0,1969,5.1,7,28,2,31,5.6,78,14.2,427,77.8,2.3,181,51,51,126,19.3,50,7.6,83,675,70,637,9,38,92,929,AP MVP-5AP OPoY-6,AlleJo02
6,Jordan Love,25,GNB,QB,17,17,372,579,4902,8.5,2242,6.0,3.9,1917,5.2,8,18,2,29,5.2,98,17.5,428,76.6,2.5,215,47,42,119,18.8,24,8.5,75,535,63,495,9,40,113,1105,,LoveJo03
7,Baker Mayfield,28,TAM,QB,17,17,364,566,4831,8.5,2103,5.8,3.7,1941,5.3,20,17,0,24,4.4,81,14.8,411,74.9,2.4,141,37,35,112,17.6,29,5.9,59,296,51,284,5,12,95,728,PBAP CPoY-3,MayfBa00
8,Trevor Lawrence,24,JAX,QB,16,16,370,564,4633,8.2,2244,6.1,4.0,1772,4.8,16,12,0,24,4.3,104,18.8,410,74.3,2.2,158,39,42,116,18.1,42,7.9,77,510,65,449,10,61,85,875,,LawrTr00
9,Tua Tagovailoa,25,MIA,QB,17,17,388,560,4290,7.7,2447,6.3,4.4,2177,5.6,9,14,2,24,4.4,78,14.3,430,79.0,2.1,116,39,27,95,15.7,15,5.3,111,1073,105,1069,1,4,126,1145,PBAP CPoY-5,TagoTu00
10,Derek Carr,32,NOR,QB,17,17,375,548,4280,7.8,2182,5.8,4.0,1696,4.5,5,25,0,20,3.8,80,15.3,417,79.7,2.3,172,24,35,90,15.3,9,5.7,23,114,23,114,0,0,87,813,,CarrDe02
11,Jalen Hurts,25,PHI,QB,17,17,352,538,4656,8.7,2161,6.1,4.0,1697,4.8,14,35,0,19,3.8,72,14.3,397,78.9,2.6,185,59,29,124,20.0,47,6.8,116,582,89,498,20,84,81,646,PB,HurtJa00
12,Bryce Young,22,CAR,QB,16,16,315,527,3980,7.6,1572,5.0,3.0,1305,4.1,6,46,1,23,4.8,103,21.5,352,73.3,2.5,166,38,50,150,24.2,31,8.4,31,149,26,145,1,4,81,589,,YounBr01
13,Matthew Stafford,35,LAR,QB,15,15,326,521,4033,7.7,2075,6.4,4.0,1890,5.8,8,22,3,33,6.7,94,19.0,372,75.0,2.5,172,27,43,100,17.7,13,5.5,20,157,19,157,0,0,97,1013,PBAP MVP-8AP CPoY-4,StafMa00
14,Geno Smith,33,SEA,QB,15,15,323,499,3500,7.0,1910,5.9,3.8,1714,5.3,18,21,4,24,5.1,69,14.6,358,75.5,2.4,145,63,46,140,25.5,20,7.9,49,493,45,483,3,10,113,1115,PB,SmitGe00
15,C.J. Stroud,22,HOU,QB,15,15,319,499,4484,9.0,2346,7.4,4.7,1762,5.5,9,16,6,18,3.8,95,19.9,357,74.8,2.5,126,47,38,123,22.0,23,6.4,34,344,31,343,1,1,94,1036,PBAP MVP-8AP ORoY-1,StroCJ00
16,Gardner Minshew II,27,IND,QB,17,13,305,490,3580,7.3,1739,5.7,3.5,1566,5.1,16,25,0,26,5.6,70,15.1,345,74.2,2.4,169,32,30,96,17.6,20,5.5,99,641,89,610,4,31,61,466,PB,MinsGa00
17,Lamar Jackson,26,BAL,QB,16,16,307,457,3831,8.4,1926,6.3,4.2,1752,5.7,9,15,1,22,5.0,73,16.6,326,73.9,2.7,169,22,29,88,15.7,65,6.4,115,1046,86,893,25,153,58,525,PBAP-1AP MVP-1AP OPoY-4AP CPoY-9,JackLa00
18,Justin Herbert,25,LAC,QB,13,13,297,456,3479,7.6,1571,5.3,3.4,1563,5.3,11,11,0,22,4.9,71,16.0,339,76.2,2.4,158,36,42,107,20.9,27,8.4,68,435,60,402,7,33,80,517,,HerbJu00
19,Russell Wilson,35,DEN,QB,15,15,297,447,3193,7.1,1335,4.5,3.0,1735,5.8,11,26,4,17,4.1,55,13.2,325,77.9,2.7,144,42,48,135,25.5,38,7.3,30,296,22,235,8,61,94,673,,WilsRu00
20,Brock Purdy,24,SFO,QB,16,16,308,444,3623,8.2,2226,7.2,5.0,2054,6.7,13,12,3,9,2.1,70,16.3,324,75.5,2.6,142,28,42,98,20.1,16,7.8,24,236,20,227,1,9,93,969,PBAP MVP-4AP OPoY-6AP CPoY-6,PurdBr00
21,Desmond Ridder,24,ATL,QB,15,13,249,388,3183,8.2,1614,6.5,4.2,1222,4.9,12,11,2,17,4.5,55,14.7,283,75.5,2.3,90,26,28,85,19.4,19,6.8,65,472,53,427,11,45,100,775,,RiddDe00
22,Justin Fields,24,CHI,QB,13,13,227,370,2966,8.0,1338,5.9,3.6,1224,5.4,11,25,0,13,3.8,58,16.8,252,73.0,2.8,143,44,33,121,26.5,43,8.4,60,480,39,397,16,83,73,534,,FielJu00
23,Zach Wilson,24,NYJ,QB,12,11,221,368,2672,7.3,1158,5.2,3.1,1113,5.0,8,20,3,22,6.4,54,15.7,267,77.4,2.5,113,47,41,134,30.5,25,8.6,15,69,14,69,0,0,74,635,,WilsZa00
24,Joe Burrow,27,CIN,QB,10,10,244,365,2315,6.3,1070,4.4,2.9,1239,5.1,10,11,1,21,5.9,52,14.7,267,75.6,2.2,83,13,37,74,18.4,14,6.5,55,263,54,262,1,1,35,361,,BurrJo01
25,Mac Jones,25,NWE,QB,11,11,224,345,2390,6.9,905,4.0,2.6,1215,5.4,8,6,0,16,4.7,54,15.9,254,74.9,2.2,92,30,24,76,20.1,11,7.3,28,143,27,138,1,5,51,393,,JoneMa05
26,Aidan O'Connell,25,LVR,QB,11,10,213,343,2567,7.5,1155,5.4,3.4,1063,5.0,7,19,1,15,4.6,56,17.3,235,72.8,2.4,101,7,22,53,14.4,0,,13,119,13,119,0,0,73,544,,OConAi00
27,Kenny Pickett,25,PIT,QB,12,12,201,324,2284,7.0,1020,5.1,3.1,1050,5.2,9,13,1,11,3.5,57,18.4,222,71.6,2.4,81,33,37,93,25.8,14,5.1,18,148,18,148,0,0,46,352,,PickKe00
28,Kirk Cousins,35,MIN,QB,8,8,216,311,2256,7.3,1340,6.2,4.3,991,4.6,3,5,2,16,5.3,39,12.8,250,82.2,2.5,106,21,45,83,25.1,3,7.0,15,39,13,39,0,0,85,616,,CousKi00
29,Kyler Murray,26,ARI,QB,8,8,176,268,1955,7.3,822,4.7,3.1,977,5.6,10,5,1,10,3.8,35,13.4,196,74.8,2.4,73,20,19,57,18.8,18,9.6,32,148,22,128,7,20,44,467,AP CPoY-9,MurrKy00
30,Joshua Dobbs,28,2TM,QB,13,12,262,417,3307,7.9,1452,5.5,3.5,1012,3.9,9,13,0,15,3.7,67,16.6,283,70.0,2.6,121,23,58,111,23.0,36,9.2,40,355,32,284,7,71,86,485,,DobbJo00
30,Joshua Dobbs,28,ARI,QB,8,8,167,266,2185,8.2,911,5.5,3.4,658,3.9,7,6,0,8,3.1,49,18.8,174,66.9,2.5,72,10,35,62,20.9,14,13.1,34,327,27,258,6,69,45,283,,DobbJo00
30,Joshua Dobbs,28,MIN,QB,5,4,95,151,1122,7.4,541,5.7,3.6,354,3.7,2,7,0,7,4.9,18,12.5,109,75.7,2.7,49,13,23,49,26.3,22,6.8,6,28,5,26,1,2,41,202,,DobbJo00
