 
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
303,Edward Saydee,Temple,American,11,87,321,3.7,3,29.2,14,135,9.6,0,12.3,101,456,4.5,3,,edward-saydee-1
304,Alexander Horvath*,Purdue,Big Ten,8,91,320,3.5,3,40.0,17,108,6.4,0,13.5,108,428,4.0,3,,alexander-horvath-1
305,Corey Kiner*,LSU,SEC,11,79,320,4.1,2,29.1,2,10,5.0,0,0.9,81,330,4.1,2,,corey-kiner-1
306,O'Shaan Allison,Ohio,MAC,10,82,317,3.9,0,31.7,20,157,7.9,1,15.7,102,474,4.6,1,,oshaan-allison-1
307,Calvin Turner,Hawaii,MWC,13,73,316,4.3,8,24.3,73,876,12.0,4,67.4,146,1192,8.2,12,,calvin-turner-2
308,Samson Evans*,Eastern Michigan,MAC,12,83,316,3.8,13,26.3,19,107,5.6,0,8.9,102,423,4.1,13,,samson-evans-1
309,Kevin Mensah,Connecticut,Ind,12,104,314,3.0,0,26.2,12,55,4.6,0,4.6,116,369,3.2,0,,kevin-mensah-1
310,Micah Kelly*,Toledo,MAC,13,59,314,5.3,3,24.2,5,44,8.8,0,3.4,64,358,5.6,3,,micah-kelly-1
311,Trey Sanders*,Alabama,SEC,13,72,314,4.4,2,24.2,6,55,9.2,0,4.2,78,369,4.7,2,,trey-sanders-2
312,Will Jones*,Ball State,MAC,13,88,314,3.6,3,24.2,16,131,8.2,0,10.1,104,445,4.3,3,,will-jones-3
313,Ryan Montgomery*,Cincinnati,American,14,46,312,6.8,3,22.3,6,42,7.0,1,3.0,52,354,6.8,4,,ryan-montgomery-1
314,Tony Mathis*,West Virginia,Big 12,11,72,312,4.3,0,28.4,7,29,4.1,0,2.6,79,341,4.3,0,,tony-mathis-2
315,Xavier White*,Texas Tech,Big 12,13,68,310,4.6,3,23.8,18,133,7.4,1,10.2,86,443,5.2,4,,xavier-white-1
316,Daniyel Ngata*,Arizona State,Pac-12,11,56,309,5.5,4,28.1,4,29,7.3,0,2.6,60,338,5.6,4,,daniyel-ngata-1
317,Mark-Antony Richards*,UCF,American,12,48,309,6.4,5,25.8,8,76,9.5,0,6.3,56,385,6.9,5,,mark-antony-richards-1
318,Brenden Brady*,UTSA,CUSA,8,65,308,4.7,4,38.5,4,37,9.3,0,4.6,69,345,5.0,4,,brenden-brady-1
319,Cameron Davis,Washington,Pac-12,12,85,308,3.6,2,25.7,14,115,8.2,0,9.6,99,423,4.3,2,,cameron-davis-3
320,D.J. Uiagalelei*,Clemson,ACC,13,105,308,2.9,4,23.7,0,0,,0,0.0,105,308,2.9,4,,dj-uiagalelei-1
321,Kamari Pleasant,Washington,Pac-12,11,57,308,5.4,2,28.0,15,113,7.5,0,10.3,72,421,5.8,2,,kamari-pleasant-1
322,Jaren Hall*,BYU,Ind,10,62,307,5.0,3,30.7,2,13,6.5,0,1.3,64,320,5.0,3,,jaren-hall-1
323,Garrett Greene*,West Virginia,Big 12,11,47,306,6.5,4,27.8,0,0,,0,0.0,47,306,6.5,4,,garrett-greene-1
324,Gavin Williams*,Iowa,Big Ten,14,65,305,4.7,0,21.8,9,47,5.2,0,3.4,74,352,4.8,0,,gavin-williams-1
325,Kenny Tracy*,Miami (OH),MAC,12,55,305,5.5,3,25.4,17,155,9.1,1,12.9,72,460,6.4,4,,kenny-tracy-1
326,Frank Peasant*,Middle Tennessee State,CUSA,12,79,304,3.8,3,25.3,6,26,4.3,0,2.2,85,330,3.9,3,,frank-peasant-1
327,Sheldon Evans*,Marshall,CUSA,13,69,303,4.4,5,23.3,11,114,10.4,0,8.8,80,417,5.2,5,,sheldon-evans-1
328,Michael Wiley,Arizona,Pac-12,11,91,302,3.3,2,27.5,33,297,9.0,4,27.0,124,599,4.8,6,,michael-wiley-3
329,Bryan Bradford*,Kent State,MAC,11,49,298,6.1,3,27.1,1,-5,-5.0,0,-0.5,50,293,5.9,3,,bryan-bradford-1
330,Noah Vedral*,Rutgers,Big Ten,13,102,297,2.9,2,22.8,0,0,,0,0.0,102,297,2.9,2,,noah-vedral-1
331,Demarcus Irons Jr.,Akron,MAC,8,91,296,3.3,2,37.0,0,0,,0,0.0,91,296,3.3,2,,demarcus-irons-jr-1
332,British Brooks*,North Carolina,ACC,11,31,295,9.5,4,26.8,0,0,,0,0.0,31,295,9.5,4,,british-brooks-1
333,Brock Sturges,Texas State,Sun Belt,8,69,295,4.3,4,36.9,3,21,7.0,0,2.6,72,316,4.4,4,,brock-sturges-1
334,Justin Lynch,Temple,American,11,75,295,3.9,1,26.8,0,0,,0,0.0,75,295,3.9,1,,justin-lynch-1
335,Kareem Walker,South Alabama,Sun Belt,8,86,295,3.4,4,36.9,12,43,3.6,1,5.4,98,338,3.4,5,,kareem-walker-1
336,Jaquez Yant,Nebraska,Big Ten,7,47,294,6.3,1,42.0,1,5,5.0,0,0.7,48,299,6.2,1,,jaquez-yant-1
337,Phil Mafah*,Clemson,ACC,9,68,292,4.3,3,32.4,7,50,7.1,0,5.6,75,342,4.6,3,,phil-mafah-1
338,Grayson McCall*,Coastal Carolina,Sun Belt,11,93,290,3.1,4,26.4,0,0,,0,0.0,93,290,3.1,4,,grayson-mccall-1
339,Darwin Barlow,USC,Pac-12,11,62,289,4.7,2,26.3,4,22,5.5,0,2.0,66,311,4.7,2,,darwin-barlow-1
340,Chance Nolan*,Oregon State,Pac-12,13,70,286,4.1,3,22.0,0,0,,0,0.0,70,286,4.1,3,,chance-nolan-1
341,Roydell Williams*,Alabama,SEC,10,48,284,5.9,1,28.4,5,57,11.4,1,5.7,53,341,6.4,2,,roydell-williams-2
342,Kairee Robinson,San Jose State,MWC,12,64,280,4.4,1,23.3,21,159,7.6,1,13.3,85,439,5.2,2,,kairee-robinson-1
343,Jordon Simmons*,Michigan State,Big Ten,13,70,278,4.0,0,21.4,6,22,3.7,1,1.7,76,300,3.9,1,,jordon-simmons-1
344,Blake Hester,Akron,MAC,12,65,274,4.2,2,22.8,9,36,4.0,0,3.0,74,310,4.2,2,,blake-hester-1
345,Malcolm Davidson,Florida Atlantic,CUSA,10,62,274,4.4,1,27.4,2,10,5.0,0,1.0,64,284,4.4,1,,malcolm-davidson-1
346,Ryan O'Keefe*,UCF,American,13,16,274,17.1,1,21.1,84,812,9.7,7,62.5,100,1086,10.9,8,,ryan-okeefe-1
