Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Ollie Gordon*,Oklahoma State,Big 12,14,285,1732,6.1,21,123.7,39,330,8.5,1,23.6,324,2062,6.4,22,H-7AA,ollie-gordon-1
2,Kimani Vidal*,Troy,Sun Belt,14,297,1661,5.6,14,118.6,18,201,11.2,1,14.4,315,1862,5.9,15,,kimani-vidal-1
3,Cody Schrader*,Missouri,SEC,13,276,1627,5.9,14,125.2,22,191,8.7,0,14.7,298,1818,6.1,14,H-8AA,cody-schrader-1
4,Tahj Brooks*,Texas Tech,Big 12,13,290,1538,5.3,10,118.3,29,72,2.5,0,5.5,319,1610,5.0,10,,tahj-brooks-1
5,Omarion Hampton*,North Carolina,ACC,13,253,1504,5.9,15,115.7,29,222,7.7,1,17.1,282,1726,6.1,16,,omarion-hampton-1
6,R.J. Harvey*,UCF,Big 12,13,226,1416,6.3,16,108.9,19,238,12.5,1,18.3,245,1654,6.8,17,,rj-harvey-1
7,Quinton Cooley*,Liberty,CUSA,14,221,1401,6.3,16,100.1,6,43,7.2,0,3.1,227,1444,6.4,16,,quinton-cooley-1
8,Peny Boone*,Toledo,MAC,13,194,1400,7.2,15,107.7,15,219,14.6,1,16.8,209,1619,7.7,16,,peny-boone-1
9,Makhi Hughes*,Tulane,American,14,258,1378,5.3,7,98.4,11,67,6.1,0,4.8,269,1445,5.4,7,,makhi-hughes-1
10,Marcus Carroll*,Georgia State,Sun Belt,12,274,1350,4.9,13,112.5,23,234,10.2,0,19.5,297,1584,5.3,13,,marcus-carroll-1
11,Ashton Jeanty*,Boise State,MWC,12,220,1347,6.1,14,112.3,43,569,13.2,5,47.4,263,1916,7.3,19,,ashton-jeanty-1
12,Audric Estime*,Notre Dame,Ind,12,210,1341,6.4,18,111.8,17,142,8.4,0,11.8,227,1483,6.5,18,,audric-estime-1
13,Ismail Mahdi*,Texas State,Sun Belt,13,223,1331,6.0,10,102.4,20,275,13.8,1,21.2,243,1606,6.6,11,,ismail-mahdi-1
14,Jaydn Ott*,California,Pac-12,12,246,1315,5.3,12,109.6,25,169,6.8,2,14.1,271,1484,5.5,14,,jaydn-ott-1
15,Antario Brown*,Northern Illinois,MAC,13,212,1296,6.1,10,99.7,12,52,4.3,1,4.0,224,1348,6.0,11,,antario-brown-1
16,Devin Neal*,Kansas,Big 12,13,203,1280,6.3,16,98.5,25,217,8.7,1,16.7,228,1497,6.6,17,,devin-neal-3
17,Kyle Monangai*,Rutgers,Big Ten,13,242,1262,5.2,8,97.1,8,78,9.8,0,6.0,250,1340,5.4,8,,kyle-monangai-1
18,Blake Corum*,Michigan,Big Ten,15,258,1245,4.8,27,83.0,16,117,7.3,1,7.8,274,1362,5.0,28,H-9,blake-corum-1
19,DJ Giddens*,Kansas State,Big 12,13,223,1226,5.5,10,94.3,29,323,11.1,3,24.8,252,1549,6.1,13,,dj-giddens-1
