Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Jerreth Sterns*,Western Kentucky,CUSA,14,150,1902,12.7,17,135.9,5,17,3.4,0,1.2,155,1919,12.4,17,,jerreth-sterns-1
2,Deven Thompkins*,Utah State,MWC,14,102,1704,16.7,10,121.7,5,27,5.4,0,1.9,107,1731,16.2,10,,deven-thompkins-1
3,Jaxon Smith-Njigba*,Ohio State,Big Ten,13,95,1606,16.9,9,123.5,0,0,,0,0.0,95,1606,16.9,9,,jaxon-smith-njigba-1
4,Jordan Addison*,Pitt,ACC,14,100,1593,15.9,17,113.8,7,56,8.0,1,4.0,107,1649,15.4,18,AA,jordan-addison-1
5,Jameson Williams*,Alabama,SEC,15,79,1572,19.9,15,104.8,3,23,7.7,0,1.5,82,1595,19.5,15,,jameson-williams-1
6,Jalen Tolbert,South Alabama,Sun Belt,12,82,1474,18.0,8,122.8,0,0,,0,0.0,82,1474,18.0,8,,jalen-tolbert-1
7,Jack Sorenson*,Miami (OH),MAC,13,76,1406,18.5,10,108.2,0,0,,0,0.0,76,1406,18.5,10,,jack-sorenson-1
8,Mitchell Tinsley*,Western Kentucky,CUSA,14,87,1402,16.1,14,100.1,0,0,,0,0.0,87,1402,16.1,14,,mitchell-tinsley-1
9,Jacob Cowing*,UTEP,CUSA,13,69,1354,19.6,7,104.2,4,75,18.8,1,5.8,73,1429,19.6,8,,jacob-cowing-1
10,Josh Downs*,North Carolina,ACC,13,101,1335,13.2,8,102.7,0,0,,0,0.0,101,1335,13.2,8,,josh-downs-2
11,Wan'Dale Robinson*,Kentucky,SEC,13,104,1334,12.8,7,102.6,7,111,15.9,0,8.5,111,1445,13.0,7,,wandale-robinson-1
12,Nathaniel Dell*,Houston,American,14,90,1329,14.8,12,94.9,1,5,5.0,0,0.4,91,1334,14.7,12,,nathaniel-dell-1
13,A.T. Perry*,Wake Forest,ACC,14,71,1293,18.2,15,92.4,0,0,,0,0.0,71,1293,18.2,15,,at-perry-1
14,Skyy Moore*,Western Michigan,MAC,12,95,1292,13.6,9,107.7,1,10,10.0,0,0.8,96,1302,13.6,9,,skyy-moore-1
15,David Bell*,Purdue,Big Ten,11,93,1286,13.8,6,116.9,3,39,13.0,0,3.5,96,1325,13.8,6,AA,david-bell-6
16,Dante Cephas*,Kent State,MAC,14,82,1240,15.1,9,88.6,0,0,,0,0.0,82,1240,15.1,9,,dante-cephas-1
17,Dontayvion Wicks,Virginia,ACC,12,57,1203,21.1,9,100.3,0,0,,0,0.0,57,1203,21.1,9,,dontayvion-wicks-1
18,Jahan Dotson*,Penn State,Big Ten,12,91,1182,13.0,12,98.5,6,18,3.0,1,1.5,97,1200,12.4,13,,jahan-dotson-1
19,Charleston Rambo,Miami (FL),ACC,12,79,1172,14.8,7,97.7,0,0,,0,0.0,79,1172,14.8,7,,charleston-rambo-1
20,Calvin Austin III,Memphis,American,12,74,1149,15.5,8,95.8,1,69,69.0,1,5.8,75,1218,16.2,9,,calvin-austin-iii-1
21,John Metchie*,Alabama,SEC,13,96,1142,11.9,8,87.8,1,8,8.0,0,0.6,97,1150,11.9,8,,john-metchie-1
22,Jaivon Heiligh*,Coastal Carolina,Sun Belt,13,66,1128,17.1,7,86.8,0,0,,0,0.0,66,1128,17.1,7,,jaivon-heiligh-1
23,Trey McBride,Colorado State,MWC,12,90,1121,12.5,1,93.4,1,69,69.0,1,5.8,91,1190,13.1,2,AA,trey-mcbride-1
24,Khalil Shakir,Boise State,MWC,12,77,1117,14.5,7,93.1,21,130,6.2,0,10.8,98,1247,12.7,7,,khalil-shakir-1
25,Josh Johnson*,Tulsa,American,13,83,1114,13.4,6,85.7,3,-2,-0.7,0,-0.2,86,1112,12.9,6,,josh-johnson-9
26,Romeo Doubs*,Nevada,MWC,11,80,1109,13.9,11,100.8,1,4,4.0,0,0.4,81,1113,13.7,11,,romeo-doubs-1
27,Treylon Burks*,Arkansas,SEC,12,66,1104,16.7,11,92.0,14,112,8.0,1,9.3,80,1216,15.2,12,,treylon-burks-1
28,Drake London,USC,Pac-12,8,88,1084,12.3,7,135.5,1,2,2.0,0,0.3,89,1086,12.2,7,,drake-london-1
29,Cedric Tillman*,Tennessee,SEC,13,64,1081,16.9,12,83.2,0,0,,0,0.0,64,1081,16.9,12,,cedric-tillman-1
30,Jaquarii Roberson*,Wake Forest,ACC,13,71,1078,15.2,8,82.9,2,8,4.0,0,0.6,73,1086,14.9,8,,jaquarii-roberson-1
31,Tyrese Chambers,Florida International,CUSA,12,45,1074,23.9,9,89.5,0,0,,0,0.0,45,1074,23.9,9,,tyrese-chambers-1
32,Ali Jennings*,Old Dominion,CUSA,13,62,1066,17.2,5,82.0,0,3,,0,0.2,62,1069,17.2,5,,ali-jennings-1
33,Garrett Wilson*,Ohio State,Big Ten,11,70,1058,15.1,12,96.2,4,76,19.0,1,6.9,74,1134,15.3,13,,garrett-wilson-2
34,Makai Polk*,Mississippi State,SEC,13,105,1046,10.0,9,80.5,0,0,,0,0.0,105,1046,10.0,9,,makai-polk-1
35,Tay Martin*,Oklahoma State,Big 12,13,80,1046,13.1,10,80.5,2,13,6.5,1,1.0,82,1059,12.9,11,,tay-martin-1
36,Dontario Drummond*,Ole Miss,SEC,12,76,1028,13.5,8,85.7,6,40,6.7,1,3.3,82,1068,13.0,9,,dontario-drummond-1
37,Zakhari Franklin*,UTSA,CUSA,13,81,1027,12.7,12,79.0,0,0,,0,0.0,81,1027,12.7,12,,zakhari-franklin-1
38,Jayden Reed*,Michigan State,Big Ten,13,59,1026,17.4,10,78.9,7,34,4.9,1,2.6,66,1060,16.1,11,,jayden-reed-1
39,Hassan Beydoun*,Eastern Michigan,MAC,13,97,1015,10.5,4,78.1,2,2,1.0,0,0.2,99,1017,10.3,4,,hassan-beydoun-1
40,Keytaon Thompson,Virginia,ACC,12,78,990,12.7,1,82.5,39,247,6.3,4,20.6,117,1237,10.6,5,,keytaon-thompson-1
41,Calvin Jackson Jr.*,Washington State,Pac-12,13,66,987,15.0,7,75.9,1,3,3.0,0,0.2,67,990,14.8,7,,calvin-jackson-jr-1
42,Xavier Hutchinson*,Iowa State,Big 12,13,83,987,11.9,5,75.9,2,18,9.0,0,1.4,85,1005,11.8,5,,xavier-hutchinson-1
43,Xavier Worthy,Texas,Big 12,12,62,981,15.8,12,81.8,1,7,7.0,0,0.6,63,988,15.7,12,,xavier-worthy-1
44,Kalil Pimpleton*,Central Michigan,MAC,13,62,960,15.5,4,73.8,16,84,5.3,2,6.5,78,1044,13.4,6,,kalil-pimpleton-1
45,Tyquan Thornton*,Baylor,Big 12,14,62,948,15.3,10,67.7,1,-11,-11.0,0,-0.8,63,937,14.9,10,,tyquan-thornton-1
46,Chris Olave*,Ohio State,Big Ten,12,65,936,14.4,13,78.0,0,0,,0,0.0,65,936,14.4,13,,chris-olave-1
47,Nick Mardner,Hawaii,MWC,13,46,913,19.8,5,70.2,0,0,,0,0.0,46,913,19.8,5,,nick-mardner-1
48,Isaiah Likely*,Coastal Carolina,Sun Belt,13,59,912,15.5,12,70.2,3,10,3.3,0,0.8,62,922,14.9,12,,isaiah-likely-1
49,Corey Sutton*,Appalachian State,Sun Belt,13,61,904,14.8,7,69.5,0,0,,0,0.0,61,904,14.8,7,,corey-sutton-2
50,Jalen Cropper*,Fresno State,MWC,13,85,899,10.6,11,69.2,19,76,4.0,2,5.8,104,975,9.4,13,,jalen-cropper-1
51,Samori Toure,Nebraska,Big Ten,12,46,898,19.5,5,74.8,8,63,7.9,1,5.3,54,961,17.8,6,,samori-toure-1
52,Grant Dubose,Charlotte,CUSA,12,62,892,14.4,6,74.3,3,18,6.0,0,1.5,65,910,14.0,6,,grant-dubose-1
53,Trayvon Rudolph*,Northern Illinois,MAC,14,51,892,17.5,7,63.7,8,113,14.1,1,8.1,59,1005,17.0,8,,trayvon-rudolph-1
54,Kevin Austin*,Notre Dame,Ind,13,48,888,18.5,7,68.3,1,8,8.0,0,0.6,49,896,18.3,7,,kevin-austin-2
55,Alec Pierce*,Cincinnati,American,14,52,884,17.0,7,63.1,0,0,,0,0.0,52,884,17.0,7,,alec-pierce-2
56,Brock Bowers*,Georgia,SEC,15,56,882,15.8,13,58.8,4,56,14.0,1,3.7,60,938,15.6,14,,brock-bowers-1
57,Corey Gammage*,Marshall,CUSA,13,78,878,11.3,2,67.5,0,0,,0,0.0,78,878,11.3,2,,corey-gammage-1
58,Isaiah Neyor*,Wyoming,MWC,13,44,878,20.0,12,67.5,12,23,1.9,1,1.8,56,901,16.1,13,,isaiah-neyor-1
59,Calvin Turner,Hawaii,MWC,13,73,876,12.0,4,67.4,73,316,4.3,8,24.3,146,1192,8.2,12,,calvin-turner-2
60,Tyler Snead,East Carolina,American,12,67,855,12.8,4,71.3,5,-1,-0.2,0,-0.1,72,854,11.9,4,,tyler-snead-1
61,Bryce Singleton,Florida International,CUSA,11,46,840,18.3,3,76.4,0,0,,0,0.0,46,840,18.3,3,,bryce-singleton-1
62,Michael Mayer*,Notre Dame,Ind,12,71,840,11.8,7,70.0,0,0,,0,0.0,71,840,11.8,7,,michael-mayer-1
63,Brandon Bowling*,Utah State,MWC,14,56,835,14.9,10,59.6,0,0,,0,0.0,56,835,14.9,10,,brandon-bowling-1
64,Jayson Jackson*,Ball State,MAC,13,69,829,12.0,5,63.8,10,33,3.3,0,2.5,79,862,10.9,5,,jayson-jackson-1
65,Rakim Jarrett*,Maryland,Big Ten,13,62,829,13.4,5,63.8,4,2,0.5,0,0.2,66,831,12.6,5,,rakim-jarrett-1
66,Corey Rucker,Arkansas State,Sun Belt,12,59,826,14.0,9,68.8,2,20,10.0,1,1.7,61,846,13.9,10,,corey-rucker-1
67,Thomas Hennigan*,Appalachian State,Sun Belt,14,60,823,13.7,6,58.8,0,0,,0,0.0,60,823,13.7,6,,thomas-hennigan-1
68,Parker Washington*,Penn State,Big Ten,13,64,820,12.8,4,63.1,2,12,6.0,0,0.9,66,832,12.6,4,,parker-washington-1
69,Quian Williams,Buffalo,MAC,12,63,820,13.0,2,68.3,0,0,,0,0.0,63,820,13.0,2,,quian-williams-1
70,Malik Williams*,Appalachian State,Sun Belt,14,52,819,15.8,7,58.5,2,13,6.5,0,0.9,54,832,15.4,7,,malik-williams-2
71,Travell Harris*,Washington State,Pac-12,13,76,814,10.7,9,62.6,2,2,1.0,1,0.2,78,816,10.5,10,,travell-harris-1
72,Ryan O'Keefe*,UCF,American,13,84,812,9.7,7,62.5,16,274,17.1,1,21.1,100,1086,10.9,8,,ryan-okeefe-1
73,Velus Jones Jr.*,Tennessee,SEC,13,62,807,13.0,7,62.1,1,15,15.0,0,1.2,63,822,13.0,7,,velus-jones-jr-1
74,Puka Nacua*,BYU,Ind,12,43,805,18.7,6,67.1,14,148,10.6,0,12.3,57,953,16.7,6,,puka-nacua-1
75,Danny Gray,SMU,American,10,49,803,16.4,9,80.3,3,40,13.3,0,4.0,52,843,16.2,9,,danny-gray-1
76,Joshua Cephus*,UTSA,CUSA,14,71,803,11.3,6,57.4,2,11,5.5,0,0.8,73,814,11.2,6,,joshua-cephus-1
77,Emeka Emezie,North Carolina State,ACC,12,60,802,13.4,6,66.8,0,0,,0,0.0,60,802,13.4,6,,emeka-emezie-1
78,Roderic Burns*,North Texas,CUSA,13,58,802,13.8,4,61.7,2,18,9.0,0,1.4,60,820,13.7,4,,roderic-burns-1
79,Jake Bobo,Duke,ACC,12,74,794,10.7,1,66.2,0,0,,0,0.0,74,794,10.7,1,,jake-bobo-1
80,Derek Wright*,Utah State,MWC,14,48,789,16.4,11,56.4,0,0,,0,0.0,48,789,16.4,11,,derek-wright-2
81,Mac Hippenhammer*,Miami (OH),MAC,12,48,786,16.4,5,65.5,0,0,,0,0.0,48,786,16.4,5,,mac-hippenhammer-1
82,Josh Kelly*,Fresno State,MWC,13,52,778,15.0,3,59.8,3,20,6.7,0,1.5,55,798,14.5,3,,josh-kelly-2
83,Corey Crooms*,Western Michigan,MAC,13,44,768,17.5,6,59.1,1,6,6.0,0,0.5,45,774,17.2,6,,corey-crooms-1
84,Daewood Davis*,Western Kentucky,CUSA,14,43,763,17.7,8,54.5,1,-8,-8.0,0,-0.6,44,755,17.2,8,,daewood-davis-1
85,Charlie Kolar*,Iowa State,Big 12,12,62,756,12.2,6,63.0,0,0,,0,0.0,62,756,12.2,6,,charlie-kolar-1
86,Smoke Harris,Louisiana Tech,CUSA,12,71,756,10.6,6,63.0,2,4,2.0,0,0.3,73,760,10.4,6,,smoke-harris-1
