Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Trent Taylor*,Louisiana Tech,CUSA,14,136,1803,13.3,12,128.8,0,0,,0,0.0,136,1803,13.3,12,,trent-taylor-2
2,Zay Jones,East Carolina,American,12,158,1746,11.1,8,145.5,4,24,6.0,0,2.0,162,1770,10.9,8,,isaiah-jones-2
3,Taywan Taylor*,Western Kentucky,CUSA,14,98,1730,17.7,17,123.6,6,36,6.0,0,2.6,104,1766,17.0,17,,taywan-taylor-1
4,Richie James*,Middle Tennessee State,CUSA,13,105,1625,15.5,12,125.0,38,339,8.9,4,26.1,143,1964,13.7,16,,richie-james-1
5,Carlos Henderson*,Louisiana Tech,CUSA,13,82,1535,18.7,19,118.1,14,133,9.5,2,10.2,96,1668,17.4,21,,carlos-henderson-1
6,Dede Westbrook*,Oklahoma,Big 12,13,80,1524,19.1,17,117.2,10,101,10.1,0,7.8,90,1625,18.1,17,H-4AA,dede-westbrook-1
7,Corey Davis*,Western Michigan,MAC,14,97,1500,15.5,19,107.1,1,0,0.0,0,0.0,98,1500,15.3,19,AA,corey-davis-3
8,Amba Etta-Tawo,Syracuse,ACC,12,94,1482,15.8,14,123.5,0,0,,0,0.0,94,1482,15.8,14,,amba-etta-tawo-1
9,Anthony Miller*,Memphis,American,13,95,1434,15.1,14,110.3,12,69,5.8,1,5.3,107,1503,14.0,15,,anthony-miller-6
10,James Washington*,Oklahoma State,Big 12,13,71,1380,19.4,10,106.2,4,28,7.0,0,2.2,75,1408,18.8,10,,james-washington-5
11,Mike Williams*,Clemson,ACC,15,98,1361,13.9,11,90.7,0,0,,0,0.0,98,1361,13.9,11,,mike-williams-17
12,Tanner Gentry*,Wyoming,MWC,14,72,1326,18.4,14,94.7,6,30,5.0,0,2.1,78,1356,17.4,14,,tanner-gentry-1
13,Nicholas Norris*,Western Kentucky,CUSA,14,76,1318,17.3,14,94.1,13,222,17.1,1,15.9,89,1540,17.3,15,,nicholas-norris-1
14,Michael Gallup*,Colorado State,MWC,13,76,1272,16.7,14,97.8,4,15,3.8,0,1.2,80,1287,16.1,14,,michael-gallup-1
15,Thomas Sperbeck*,Boise State,MWC,13,80,1272,15.9,9,97.8,11,53,4.8,0,4.1,91,1325,14.6,9,,thomas-sperbeck-1
16,Cody Thompson*,Toledo,MAC,13,64,1269,19.8,11,97.6,0,0,,0,0.0,64,1269,19.8,11,,cody-thompson-1
17,Chad Hansen,California,Pac-12,10,92,1249,13.6,11,124.9,0,0,,0,0.0,92,1249,13.6,11,,chad-hansen-1
18,Austin Carr*,Northwestern,Big Ten,13,90,1247,13.9,12,95.9,0,0,,0,0.0,90,1247,13.9,12,,austin-carr-1
19,Courtland Sutton,SMU,American,12,76,1246,16.4,10,103.8,0,0,,0,0.0,76,1246,16.4,10,,courtland-sutton-1
20,K.D. Cannon*,Baylor,Big 12,12,87,1215,14.0,13,101.3,0,0,,0,0.0,87,1215,14.0,13,,kd-cannon-1
21,Keevan Lucas*,Tulsa,American,13,81,1180,14.6,15,90.8,6,37,6.2,0,2.8,87,1217,14.0,15,,keevan-lucas-1
22,Noel Thomas,Connecticut,American,12,100,1179,11.8,3,98.3,13,60,4.6,0,5.0,113,1239,11.0,3,,noel-thomas-1
23,Allen Staggers*,Southern Mississippi,CUSA,13,63,1165,18.5,7,89.6,3,39,13.0,0,3.0,66,1204,18.2,7,,allen-staggers-1
24,Jonathan Giles,Texas Tech,Big 12,12,69,1158,16.8,13,96.5,0,0,,0,0.0,69,1158,16.8,13,,jonathan-giles-1
25,Kenny Golladay,Northern Illinois,MAC,12,87,1156,13.3,8,96.3,20,192,9.6,2,16.0,107,1348,12.6,10,,kenny-golladay-1
26,John Ross*,Washington,Pac-12,14,81,1150,14.2,17,82.1,8,102,12.8,1,7.3,89,1252,14.1,18,,john-ross-1
27,Cedrick Wilson Jr.*,Boise State,MWC,13,56,1129,20.2,11,86.8,3,7,2.3,0,0.5,59,1136,19.3,11,,cedrick-wilson-2
28,Linell Bonner*,Houston,American,12,98,1118,11.4,3,93.2,5,6,1.2,0,0.5,103,1124,10.9,3,,linell-bonner-1
29,Ryan Switzer*,North Carolina,ACC,13,96,1112,11.6,6,85.5,3,14,4.7,0,1.1,99,1126,11.4,6,,ryan-switzer-1
30,Marcus Kemp*,Hawaii,MWC,14,73,1100,15.1,8,78.6,0,0,,0,0.0,73,1100,15.1,8,,marcus-kemp-1
31,Isaiah Ford*,Virginia Tech,ACC,14,79,1094,13.8,7,78.1,6,33,5.5,0,2.4,85,1127,13.3,7,,isaiah-ford-1
32,Corey Willis*,Central Michigan,MAC,13,71,1087,15.3,9,83.6,2,4,2.0,0,0.3,73,1091,14.9,9,,corey-willis-1
33,Joshua Atkinson*,Tulsa,American,13,78,1058,13.6,8,81.4,0,0,,0,0.0,78,1058,13.6,8,,joshua-atkinson-1
34,Josh Reynolds*,Texas A&M,SEC,13,61,1039,17.0,12,79.9,0,0,,0,0.0,61,1039,17.0,12,,josh-reynolds-1
35,Jerome Lane,Akron,MAC,12,62,1018,16.4,6,84.8,0,0,,0,0.0,62,1018,16.4,6,,jerome-lane-1
36,J'Mon Moore,Missouri,SEC,12,62,1012,16.3,8,84.3,0,0,,1,0.0,62,1012,16.3,9,,jmon-moore-2
37,Nick Westbrook*,Indiana,Big Ten,13,54,995,18.4,6,76.5,1,3,3.0,1,0.2,55,998,18.1,7,,nick-westbrook-1
38,Cam Phillips*,Virginia Tech,ACC,14,76,983,12.9,5,70.2,30,140,4.7,0,10.0,106,1123,10.6,5,,cam-phillips-1
39,Chris Godwin*,Penn State,Big Ten,14,59,982,16.6,11,70.1,1,13,13.0,0,0.9,60,995,16.6,11,,chris-godwin-1
40,Josh Malone*,Tennessee,SEC,13,50,972,19.4,11,74.8,0,0,,0,0.0,50,972,19.4,11,,josh-malone-1
41,Kevonn Mabon,Ball State,MAC,12,85,972,11.4,3,81.0,12,64,5.3,1,5.3,97,1036,10.7,4,,kevonn-mabon-1
42,Robert Davis,Georgia State,Sun Belt,12,67,968,14.4,5,80.7,0,0,,0,0.0,67,968,14.4,5,,robert-davis-10
43,Scott Miller,Bowling Green,MAC,12,74,968,13.1,10,80.7,0,0,,0,0.0,74,968,13.1,10,,scott-miller-3
44,Equanimeous St. Brown,Notre Dame,Ind,12,58,961,16.6,9,80.1,0,0,,0,0.0,58,961,16.6,9,,equanimeous-st-brown-1
45,Jalen Robinette*,Air Force,MWC,13,35,959,27.4,6,73.8,0,0,,0,0.0,35,959,27.4,6,,jalen-robinette-1
46,Deangelo Yancey,Purdue,Big Ten,12,49,951,19.4,10,79.3,0,0,,0,0.0,49,951,19.4,10,,deangelo-yancey-1
47,Shelton Gibson*,West Virginia,Big 12,13,43,951,22.1,8,73.2,2,29,14.5,0,2.2,45,980,21.8,8,,shelton-gibson-1
48,Zach Pascal*,Old Dominion,CUSA,13,65,946,14.6,9,72.8,23,145,6.3,0,11.2,88,1091,12.4,9,,zach-pascal-1
49,Ahmmon Richards*,Miami (FL),ACC,13,49,934,19.1,3,71.8,2,8,4.0,0,0.6,51,942,18.5,3,,ahmmon-richards-1
50,Kalib Woods,Florida Atlantic,CUSA,12,68,934,13.7,1,77.8,0,0,,0,0.0,68,934,13.7,1,,kalib-woods-1
51,Christian Kirk*,Texas A&M,SEC,13,83,928,11.2,9,71.4,8,35,4.4,0,2.7,91,963,10.6,9,,christian-kirk-1
52,Evan Engram,Ole Miss,SEC,11,65,926,14.2,8,84.2,0,0,,0,0.0,65,926,14.2,8,,evan-engram-1
53,Fred Ross*,Mississippi State,SEC,13,72,917,12.7,12,70.5,2,39,19.5,0,3.0,74,956,12.9,12,,fred-ross-1
54,JuJu Smith-Schuster*,USC,Pac-12,13,70,914,13.1,10,70.3,5,27,5.4,0,2.1,75,941,12.5,10,,juju-smith-1
55,Sebastian Smith*,Ohio,MAC,13,55,900,16.4,4,69.2,1,5,5.0,0,0.4,56,905,16.2,4,,sebastian-smith-1
56,Ventell Bryant*,Temple,American,11,54,895,16.6,4,81.4,0,0,,0,0.0,54,895,16.6,4,,ventell-bryant-1
57,Daikiel Shorts*,West Virginia,Big 12,13,63,894,14.2,5,68.8,0,0,,0,0.0,63,894,14.2,5,,daikiel-shorts-1
58,Gabe Marks*,Washington State,Pac-12,13,89,894,10.0,13,68.8,2,6,3.0,0,0.5,91,900,9.9,13,,gabe-marks-1
59,Keke Coutee,Texas Tech,Big 12,12,55,890,16.2,7,74.2,3,2,0.7,1,0.2,58,892,15.4,8,,keke-coutee-1
60,Shay Fields*,Colorado,Pac-12,14,56,883,15.8,9,63.1,1,12,12.0,0,0.9,57,895,15.7,9,,shay-fields-1
61,Jester Weah*,Pitt,ACC,13,36,870,24.2,10,66.9,0,0,,0,0.0,36,870,24.2,10,,jester-weah-1
62,Sergio Bailey*,Eastern Michigan,MAC,13,60,868,14.5,7,66.8,3,22,7.3,0,1.7,63,890,14.1,7,,sergio-bailey-1
63,Curtis Samuel*,Ohio State,Big Ten,13,74,865,11.7,7,66.5,97,771,7.9,8,59.3,171,1636,9.6,15,,curtis-samuel-1
64,Ardarius Stewart*,Alabama,SEC,12,54,864,16.0,8,72.0,8,68,8.5,0,5.7,62,932,15.0,8,,ardarius-stewart-1
65,Amara Darboh*,Michigan,Big Ten,13,57,862,15.1,7,66.3,0,0,,0,0.0,57,862,15.1,7,,amara-darboh-1
66,Devin Gray,Cincinnati,American,12,58,860,14.8,5,71.7,3,-2,-0.7,0,-0.2,61,858,14.1,5,,devin-gray-1
67,Drew Wolitarsky*,Minnesota,Big Ten,13,66,860,13.0,5,66.2,3,6,2.0,0,0.5,69,866,12.6,5,,drew-wolitarsky-1
68,Steven Sims Jr.,Kansas,Big 12,12,72,859,11.9,7,71.6,2,-9,-4.5,0,-0.8,74,850,11.5,7,,steven-sims-jr-1
69,Tre'Quan Smith*,UCF,American,13,57,853,15.0,5,65.6,0,0,,0,0.0,57,853,15.0,5,,trequan-smith-1
70,Ricky Jones*,Indiana,Big Ten,13,53,848,16.0,3,65.2,1,5,5.0,0,0.4,54,853,15.8,3,,ricky-jones-1
71,Travis Rudolph*,Florida State,ACC,13,56,840,15.0,7,64.6,0,0,,0,0.0,56,840,15.0,7,,travis-rudolph-1
72,Bruce Natson,Akron,MAC,12,59,837,14.2,10,69.8,4,6,1.5,0,0.5,63,843,13.4,10,,bruce-natson-1
73,Bug Howard*,North Carolina,ACC,13,53,827,15.6,8,63.6,0,0,,0,0.0,53,827,15.6,8,,bug-howard-1
74,Dante Pettis*,Washington,Pac-12,14,53,822,15.5,15,58.7,0,0,,0,0.0,53,822,15.5,15,,dante-pettis-1
75,Ervin Philips,Syracuse,ACC,12,90,822,9.1,6,68.5,6,18,3.0,1,1.5,96,840,8.8,7,,ervin-phillips-1
76,Josh Magee*,South Alabama,Sun Belt,12,49,822,16.8,5,68.5,0,0,,0,0.0,49,822,16.8,5,,josh-magee-1
77,Rodney Adams*,South Florida,American,13,67,822,12.3,5,63.2,23,231,10.0,5,17.8,90,1053,11.7,10,,rodney-adams-1
78,Emanuel Thompson*,Troy,Sun Belt,13,80,820,10.3,6,63.1,0,0,,0,0.0,80,820,10.3,6,,emanuel-thompson-1
79,Corey Jones*,Toledo,MAC,13,66,817,12.4,5,62.8,2,6,3.0,0,0.5,68,823,12.1,5,,corey-jones-3
80,Chance Allen*,Houston,American,12,56,815,14.6,6,67.9,0,0,,0,0.0,56,815,14.6,6,,chance-allen-2
81,Jalen McCleskey*,Oklahoma State,Big 12,13,73,812,11.1,7,62.5,3,9,3.0,0,0.7,76,821,10.8,7,,jalen-mccleskey-1
82,Ishmael Zamora*,Baylor,Big 12,10,63,809,12.8,8,80.9,5,27,5.4,0,2.7,68,836,12.3,8,,ishmael-zamora-1
83,Adam Breneman,Massachusetts,Ind,12,70,808,11.5,8,67.3,0,0,,0,0.0,70,808,11.5,8,,adam-breneman-1
84,Austin Duke,Charlotte,CUSA,12,59,803,13.6,4,66.9,11,40,3.6,0,3.3,70,843,12.0,4,,austin-duke-1
85,Andy Isabella,Massachusetts,Ind,12,62,801,12.9,7,66.8,12,100,8.3,0,8.3,74,901,12.2,7,,andy-isabella-1
86,R.J. Shelton,Michigan State,Big Ten,12,53,789,14.9,5,65.8,18,121,6.7,0,10.1,71,910,12.8,5,,rj-shelton-1
87,Devin Ross*,Colorado,Pac-12,14,69,787,11.4,5,56.2,3,10,3.3,0,0.7,72,797,11.1,5,,devin-ross-2
88,Deebo Samuel*,South Carolina,SEC,10,59,783,13.3,1,78.3,15,98,6.5,6,9.8,74,881,11.9,7,,deebo-samuel-1
89,Michael Henry*,Western Michigan,MAC,14,63,779,12.4,4,55.6,0,0,,0,0.0,63,779,12.4,4,,michael-henry-1
90,Jon'Vea Johnson*,Toledo,MAC,13,40,773,19.3,10,59.5,0,0,,0,0.0,40,773,19.3,10,,jonvea-johnson-1
91,KeeSean Johnson,Fresno State,MWC,12,66,773,11.7,6,64.4,3,13,4.3,0,1.1,69,786,11.4,6,,keesean-johnson-1
92,Calvin Ridley*,Alabama,SEC,15,72,769,10.7,7,51.3,5,21,4.2,1,1.4,77,790,10.3,8,,calvin-ridley-1
93,James Quick*,Louisville,ACC,13,45,769,17.1,6,59.2,0,0,,0,0.0,45,769,17.1,6,,james-quick-1
94,Demetris Robertson,California,Pac-12,12,50,767,15.3,7,63.9,0,0,,0,0.0,50,767,15.3,7,,demetris-robertson-1
95,Stacy Coley*,Miami (FL),ACC,13,63,754,12.0,9,58.0,0,0,,0,0.0,63,754,12.0,9,,stacy-coley-1
96,James Gardner*,Miami (OH),MAC,11,45,750,16.7,6,68.2,0,0,,0,0.0,45,750,16.7,6,,james-gardner-1
97,Demetris Robertson,California,Pac-12,10,47,749,15.9,7,74.9,0,0,,0,0.0,47,749,15.9,7,,demetris-robertson-2
98,Devonte Boyd,Nevada-Las Vegas,MWC,10,45,746,16.6,4,74.6,0,0,,0,0.0,45,746,16.6,4,,devonte-boyd-1
99,Keon Hatcher*,Arkansas,SEC,12,44,743,16.9,8,61.9,4,7,1.8,0,0.6,48,750,15.6,8,,keon-hatcher-1
100,T.J. Rahming,Duke,ACC,12,70,742,10.6,1,61.8,1,-1,-1.0,0,-0.1,71,741,10.4,1,,tj-rahming-1
101,Deondre Douglas*,Troy,Sun Belt,13,60,740,12.3,6,56.9,1,1,1.0,0,0.1,61,741,12.1,6,,deondre-douglas-1
102,Drew Morgan*,Arkansas,SEC,13,65,739,11.4,3,56.8,4,8,2.0,0,0.6,69,747,10.8,3,,drew-morgan-1
103,Jordan Leggett*,Clemson,ACC,15,46,736,16.0,7,49.1,0,0,,0,0.0,46,736,16.0,7,,jordan-leggett-1
104,Jonathan Duhart*,Old Dominion,CUSA,13,48,735,15.3,9,56.5,0,0,,0,0.0,48,735,15.3,9,,jonathan-duhart-1
105,Allen Lazard,Iowa State,Big 12,12,54,731,13.5,5,60.9,0,0,,0,0.0,54,731,13.5,5,,allen-lazard-1
106,Al-Damion Riles*,Louisiana,Sun Belt,13,60,729,12.2,2,56.1,10,46,4.6,0,3.5,70,775,11.1,2,,al-damion-riles-1
107,Laquvionte Gonzalez,Kansas,Big 12,12,62,729,11.8,3,60.8,3,-9,-3.0,0,-0.8,65,720,11.1,3,,laquvionte-gonzalez-1
108,Tavares Martin Jr.*,Washington State,Pac-12,13,64,728,11.4,7,56.0,0,0,,0,0.0,64,728,11.4,7,,tavares-martin-jr-1
109,Deon Cain*,Clemson,ACC,15,38,724,19.1,9,48.3,0,0,,0,0.0,38,724,19.1,9,,deon-cain-1
110,Antonio Callaway*,Florida,SEC,12,54,721,13.4,3,60.1,5,32,6.4,1,2.7,59,753,12.8,4,,antonio-callaway-1
111,Gerald Everett*,South Alabama,Sun Belt,13,49,717,14.6,4,55.2,0,0,,0,0.0,49,717,14.6,4,,gerald-everett-1
112,Damore'ea Stringfellow,Ole Miss,SEC,12,46,716,15.6,6,59.7,0,0,,0,0.0,46,716,15.6,6,,damoreea-stringfellow-1
113,Shaedon Meadors*,Appalachian State,Sun Belt,13,45,716,15.9,2,55.1,0,0,,0,0.0,45,716,15.9,2,,shaedon-meadors-1
114,Jamire Jordan,Fresno State,MWC,12,45,713,15.8,2,59.4,17,83,4.9,1,6.9,62,796,12.8,3,,jamire-jordan-1
115,Tim White,Arizona State,Pac-12,12,56,713,12.7,2,59.4,5,-4,-0.8,0,-0.3,61,709,11.6,2,,tim-white-1
116,Malik Turner,Illinois,Big Ten,11,48,712,14.8,6,64.7,2,5,2.5,0,0.5,50,717,14.3,6,,malik-turner-1
117,Tim Patrick*,Utah,Pac-12,12,45,711,15.8,5,59.3,0,0,,0,0.0,45,711,15.8,5,,tim-patrick-2
118,Darren Andrews,UCLA,Pac-12,12,55,709,12.9,4,59.1,2,27,13.5,1,2.3,57,736,12.9,5,,darren-andrews-1
119,Donald Gray*,Mississippi State,SEC,13,41,709,17.3,5,54.5,0,0,,0,0.0,41,709,17.3,5,,donald-gray-1
120,James Proche,SMU,American,12,57,709,12.4,6,59.1,4,15,3.8,0,1.3,61,724,11.9,6,,james-proche-1
121,Taj Williams*,TCU,Big 12,13,39,702,18.0,5,54.0,0,0,,0,0.0,39,702,18.0,5,,taj-williams-1
122,River Cracraft*,Washington State,Pac-12,10,53,701,13.2,5,70.1,0,0,,0,0.0,53,701,13.2,5,,river-cracraft-1
123,Ty Lee*,Middle Tennessee State,CUSA,13,63,699,11.1,9,53.8,6,107,17.8,1,8.2,69,806,11.7,10,,ty-lee-1
