Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Nathaniel Dell*,Houston,American,13,109,1398,12.8,17,107.5,4,9,2.3,0,0.7,113,1407,12.5,17,,nathaniel-dell-1
2,Charlie Jones*,Purdue,Big Ten,13,110,1361,12.4,12,104.7,2,3,1.5,0,0.2,112,1364,12.2,12,,charlie-jones-7
3,Rashee Rice*,SMU,American,12,96,1355,14.1,10,112.9,0,0,,0,0.0,96,1355,14.1,10,,rashee-rice-1
4,Malachi Corley*,Western Kentucky,CUSA,14,101,1295,12.8,11,92.5,11,87,7.9,0,6.2,112,1382,12.3,11,,malachi-corley-1
5,Jalin Hyatt*,Tennessee,SEC,12,67,1267,18.9,15,105.6,1,0,0.0,0,0.0,68,1267,18.6,15,AA,jalin-hyatt-1
6,Marvin Harrison Jr.*,Ohio State,Big Ten,13,77,1263,16.4,14,97.2,2,32,16.0,0,2.5,79,1295,16.4,14,AA,marvin-harrison-jr-1
7,Keylon Stokes,Tulsa,American,12,76,1224,16.1,8,102.0,4,9,2.3,0,0.8,80,1233,15.4,8,,keylon-stokes-1
8,Xavier Hutchinson,Iowa State,Big 12,12,107,1171,10.9,6,97.6,0,0,,0,0.0,107,1171,10.9,6,,xavier-hutchinson-1
9,Emeka Egbuka*,Ohio State,Big Ten,13,74,1151,15.6,10,88.5,11,87,7.9,2,6.7,85,1238,14.6,12,,emeka-egbuka-1
10,Rome Odunze*,Washington,Pac-12,12,75,1145,15.3,7,95.4,3,6,2.0,1,0.5,78,1151,14.8,8,,rome-odunze-1
11,Zakhari Franklin*,UTSA,CUSA,14,94,1136,12.1,15,81.1,0,0,,0,0.0,94,1136,12.1,15,,zakhari-franklin-1
12,Tory Horton,Colorado State,MWC,12,71,1131,15.9,8,94.3,2,6,3.0,0,0.5,73,1137,15.6,8,,tory-horton-1
