Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
178,Savion Williams,TCU,Big 12,11,41,573,14.0,4,52.1,11,62,5.6,0,5.6,52,635,12.2,4,,savion-williams-2
179,Trent Hudson*,New Mexico State,CUSA,14,36,571,15.9,10,40.8,1,10,10.0,0,0.7,37,581,15.7,10,,trent-hudson-1
180,Ashton Jeanty*,Boise State,MWC,12,43,569,13.2,5,47.4,220,1347,6.1,14,112.3,263,1916,7.3,19,,ashton-jeanty-1
181,Deshon Stoudemire*,Troy,Sun Belt,14,43,569,13.2,1,40.6,0,0,,0,0.0,43,569,13.2,1,,deshon-stoudemire-1
182,Jimmy Horn Jr.,Colorado,Pac-12,12,58,567,9.8,6,47.3,2,18,9.0,0,1.5,60,585,9.8,6,,jimmy-horn-jr-1
183,Christian Horn*,Appalachian State,Sun Belt,14,36,566,15.7,6,40.4,0,0,,0,0.0,36,566,15.7,6,,christian-horn-1
184,Colbie Young*,Miami (FL),ACC,12,47,563,12.0,5,46.9,0,0,,0,0.0,47,563,12.0,5,,colbie-young-1
185,Pat Bryant,Illinois,Big Ten,12,43,560,13.0,7,46.7,0,0,,0,0.0,43,560,13.0,7,,pat-bryant-1
186,Jalen McMillan*,Washington,Pac-12,11,45,559,12.4,5,50.8,3,30,10.0,1,2.7,48,589,12.3,6,,jalen-mcmillan-1
187,Kyren Lacy*,LSU,SEC,13,30,558,18.6,7,42.9,0,0,,0,0.0,30,558,18.6,7,,kyren-lacy-1
188,Braden Smith,Cincinnati,Big 12,12,43,557,13.0,4,46.4,2,0,0.0,0,0.0,45,557,12.4,4,,braden-smith-4
189,Xavier White*,Texas Tech,Big 12,13,39,556,14.3,1,42.8,4,3,0.8,0,0.2,43,559,13.0,1,,xavier-white-1
190,Luke Grimm*,Kansas,Big 12,13,33,555,16.8,6,42.7,1,-6,-6.0,0,-0.5,34,549,16.1,6,,luke-grimm-1
191,Cameron Ross,Connecticut,Ind,12,44,552,12.5,1,46.0,4,9,2.3,0,0.8,48,561,11.7,1,,cameron-ross-1
192,Drake Dabney,Baylor,Big 12,12,33,552,16.7,5,46.0,0,0,,0,0.0,33,552,16.7,5,,drake-dabney-1
193,Tayvion Robinson*,Kentucky,SEC,13,41,552,13.5,4,42.5,2,12,6.0,0,0.9,43,564,13.1,4,,tayvion-robinson-1
194,Caleb Medford,New Mexico,MWC,12,30,551,18.4,2,45.9,0,0,,0,0.0,30,551,18.4,2,,caleb-medford-1
195,Jeremiah Ballard,UTEP,CUSA,12,34,551,16.2,1,45.9,0,0,,0,0.0,34,551,16.2,1,,jeremiah-ballard-1
196,Devin McCuin*,UTSA,American,12,42,546,13.0,3,45.5,1,10,10.0,0,0.8,43,556,12.9,3,,devin-mccuin-1
197,Barion Brown*,Kentucky,SEC,13,43,539,12.5,4,41.5,12,147,12.3,1,11.3,55,686,12.5,5,,barion-brown-1
198,Leon Johnson III*,Oklahoma State,Big 12,10,33,539,16.3,1,53.9,0,0,,0,0.0,33,539,16.3,1,,leon-johnson-iii-1
199,Eugene Wilson III,Florida,SEC,10,61,538,8.8,6,53.8,6,55,9.2,0,5.5,67,593,8.9,6,,eugene-wilson-iii-1
200,Jaylin Lane*,Virginia Tech,ACC,12,41,538,13.1,6,44.8,14,51,3.6,0,4.3,55,589,10.7,6,,jaylin-lane-1
201,David Martin-Robinson,Temple,American,12,40,537,13.4,4,44.8,9,13,1.4,1,1.1,49,550,11.2,5,,david-martin-robinson-1
202,John Paul Richardson,TCU,Big 12,12,46,536,11.7,3,44.7,3,12,4.0,0,1.0,49,548,11.2,3,,john-paul-richardson-1
203,Marcus Rosemy-Jacksaint*,Georgia,SEC,13,34,535,15.7,4,41.2,0,0,,0,0.0,34,535,15.7,4,,marcus-rosemy-jacksaint-1
204,Odieu Hiliare*,Bowling Green,MAC,13,45,532,11.8,4,40.9,1,12,12.0,0,0.9,46,544,11.8,4,,odieu-hiliare-1
205,Trayvon Rudolph*,Northern Illinois,MAC,13,51,531,10.4,2,40.8,22,182,8.3,1,14.0,73,713,9.8,3,,trayvon-rudolph-1
206,Tyler Brown*,Clemson,ACC,13,52,531,10.2,4,40.8,2,41,20.5,0,3.2,54,572,10.6,4,,tyler-brown-7
207,Daniel George,Akron,MAC,12,52,529,10.2,1,44.1,0,0,,0,0.0,52,529,10.2,1,,daniel-george-1
208,Jake Bailey*,SMU,American,14,42,528,12.6,0,37.7,1,10,10.0,0,0.7,43,538,12.5,0,,jake-bailey-2
209,Tanner McLachlan*,Arizona,Pac-12,13,45,528,11.7,4,40.6,0,0,,0,0.0,45,528,11.7,4,,tanner-mclachlan-2
210,Jared Wiley,TCU,Big 12,12,47,520,11.1,8,43.3,0,0,,0,0.0,47,520,11.1,8,,jared-wiley-1
211,RJ Maryland*,SMU,American,14,34,518,15.2,7,37.0,0,0,,0,0.0,34,518,15.2,7,,rj-maryland-1
212,Jaelen Gill*,Fresno State,MWC,13,49,516,10.5,6,39.7,10,24,2.4,0,1.8,59,540,9.2,6,,jaelen-gill-1
213,Emeka Egbuka*,Ohio State,Big Ten,10,41,515,12.6,4,51.5,5,25,5.0,0,2.5,46,540,11.7,4,,emeka-egbuka-1
214,Evan Stewart*,Texas A&M,SEC,8,38,514,13.5,4,64.3,1,-3,-3.0,0,-0.4,39,511,13.1,4,,evan-stewart-2
215,Dalvin Smith*,Western Kentucky,CUSA,11,50,513,10.3,6,46.6,1,25,25.0,0,2.3,51,538,10.5,6,,dalvin-smith-1
216,Beaux Collins*,Clemson,ACC,11,38,510,13.4,3,46.4,0,0,,0,0.0,38,510,13.4,3,,beaux-collins-1
217,Mac Dalena*,Fresno State,MWC,13,47,509,10.8,3,39.2,1,33,33.0,0,2.5,48,542,11.3,3,,mac-dalena-1
218,Dante Wright,Temple,American,11,39,507,13.0,4,46.1,2,5,2.5,0,0.5,41,512,12.5,4,,dante-wright-1
219,Jordan Whittington*,Texas,Big 12,14,42,505,12.0,1,36.1,3,18,6.0,0,1.3,45,523,11.6,1,,jordan-whittington-2
220,Jaheim Bell*,Florida State,ACC,13,39,503,12.9,2,38.7,4,2,0.5,1,0.2,43,505,11.7,3,,jaheim-bell-1
221,Zavion Thomas,Mississippi State,SEC,11,40,503,12.6,1,45.7,12,23,1.9,0,2.1,52,526,10.1,1,,zavion-thomas-1
222,Malik Rutherford*,Georgia Tech,ACC,13,46,502,10.9,4,38.6,3,17,5.7,0,1.3,49,519,10.6,4,,malik-rutherford-1
223,Reymello Murphy*,Old Dominion,Sun Belt,13,28,502,17.9,3,38.6,0,0,,0,0.0,28,502,17.9,3,,reymello-murphy-1
224,Devin Carter*,West Virginia,Big 12,12,27,501,18.6,2,41.8,0,0,,0,0.0,27,501,18.6,2,,devin-carter-2
225,Jake Briningstool*,Clemson,ACC,13,50,498,10.0,5,38.3,0,0,,0,0.0,50,498,10.0,5,,jake-briningstool-1
226,Latreal Jones,Southern Mississippi,Sun Belt,12,36,498,13.8,3,41.5,0,0,,0,0.0,36,498,13.8,3,,latreal-jones-1
227,Marlyn Johnson,Buffalo,MAC,12,40,494,12.4,4,41.2,0,0,,0,0.0,40,494,12.4,4,,marlyn-johnson-1
228,Corey Dyches*,Maryland,Big Ten,11,49,491,10.0,2,44.6,0,0,,0,0.0,49,491,10.0,2,,corey-dyches-1
229,Ketron Jackson Jr.,Baylor,Big 12,10,28,489,17.5,1,48.9,1,3,3.0,0,0.3,29,492,17.0,1,,ketron-jackson-jr-1
230,Brett Buckman,Connecticut,Ind,12,46,488,10.6,2,40.7,2,-6,-3.0,0,-0.5,48,482,10.0,2,,brett-buckman-1
231,Damon Ward,North Texas,American,12,39,487,12.5,5,40.6,0,0,,0,0.0,39,487,12.5,5,,damon-ward-2
232,Chris Tyree*,Notre Dame,Ind,12,26,484,18.6,3,40.3,3,-1,-0.3,0,-0.1,29,483,16.7,3,,chris-tyree-1
233,Easton Messer*,Western Kentucky,CUSA,13,42,484,11.5,4,37.2,2,16,8.0,0,1.2,44,500,11.4,4,,easton-messer-1
234,Jeremiah Hixon,New Mexico,MWC,11,39,482,12.4,5,43.8,2,10,5.0,0,0.9,41,492,12.0,5,,jeremiah-hixon-2
235,Umari Hatcher*,Syracuse,ACC,13,32,482,15.1,3,37.1,0,0,,0,0.0,32,482,15.1,3,,umari-hatcher-1
236,Louis Brown,Colorado State,MWC,12,47,481,10.2,5,40.1,3,5,1.7,0,0.4,50,486,9.7,5,,louis-brown-4
237,Blake Watson*,Memphis,American,13,53,480,9.1,3,36.9,192,1152,6.0,14,88.6,245,1632,6.7,17,,blake-watson-2
238,Bryson Green*,Wisconsin,Big Ten,11,32,480,15.0,2,43.6,0,0,,0,0.0,32,480,15.0,2,,bryson-green-1
239,Hudson Clement*,West Virginia,Big 12,11,22,480,21.8,4,43.6,0,0,,0,0.0,22,480,21.8,4,,hudson-clement-1
240,Wyatt Wieland*,Wyoming,MWC,13,44,480,10.9,5,36.9,7,22,3.1,1,1.7,51,502,9.8,6,,wyatt-wieland-1
241,Tanner Knue*,Eastern Michigan,MAC,12,50,479,9.6,3,39.9,1,2,2.0,0,0.2,51,481,9.4,3,,tanner-knue-1
242,Ladd McConkey*,Georgia,SEC,9,30,478,15.9,2,53.1,2,38,19.0,1,4.2,32,516,16.1,3,,ladd-mcconkey-1
243,Jacob Bernard*,Louisiana,Sun Belt,13,39,476,12.2,1,36.6,0,0,,0,0.0,39,476,12.2,1,,jacob-bernard-1
244,Nate McCollum*,North Carolina,ACC,10,44,469,10.7,1,46.9,0,0,,0,0.0,44,469,10.7,1,,nate-mccollum-1
245,Christian Dremel*,Rutgers,Big Ten,13,36,468,13.0,3,36.0,0,0,,0,0.0,36,468,13.0,3,,christian-dremel-1
246,Peter LeBlanc*,Louisiana,Sun Belt,13,30,468,15.6,4,36.0,0,0,,0,0.0,30,468,15.6,4,,peter-leblanc-1
247,Treon Sibley*,Liberty,CUSA,12,23,467,20.3,4,38.9,0,0,,0,0.0,23,467,20.3,4,,treon-sibley-1
248,Jaylen Johnson,East Carolina,American,12,45,466,10.4,2,38.8,0,0,,0,0.0,45,466,10.4,2,,jaylen-johnson-3
249,Roderic Burns,North Texas,American,12,41,466,11.4,4,38.8,0,0,,0,0.0,41,466,11.4,4,,roderic-burns-1
250,Anthony Torres*,Toledo,MAC,14,26,464,17.8,3,33.1,0,0,,0,0.0,26,464,17.8,3,,anthony-torres-2
251,Taron Keith*,Bowling Green,MAC,12,44,457,10.4,3,38.1,66,390,5.9,4,32.5,110,847,7.7,7,,taron-keith-1
252,Jarius Mack,Charlotte,American,11,25,453,18.1,2,41.2,2,-8,-4.0,0,-0.7,27,445,16.5,2,,jarius-mack-1
