Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards,-9999
1,Derrick Henry,25,TEN,RB,15,15,303,1540,73,572,1.9,968,3.2,29,10.4,PBAP-2,HenrDe00
2,Ezekiel Elliott,24,DAL,RB,16,16,301,1357,78,678,2.3,679,2.3,24,12.5,PB,ElliEz00
3,Nick Chubb,24,CLE,RB,16,16,298,1494,62,612,2.1,882,3.0,32,9.3,PB,ChubNi00
4,Christian McCaffrey,23,CAR,RB,16,16,287,1387,57,874,3.0,513,1.8,16,17.9,PBAP-1AP OPoY-3,McCaCh01
5,Chris Carson,25,SEA,RB,15,15,278,1230,75,496,1.8,734,2.6,28,9.9,,CarsCh00
6,Joe Mixon,23,CIN,RB,16,15,278,1137,56,492,1.8,645,2.3,24,11.6,,MixoJo00
7,Leonard Fournette,24,JAX,RB,15,15,265,1152,55,360,1.4,792,3.0,16,16.6,,FourLe00
8,Dalvin Cook,24,MIN,RB,14,14,250,1135,60,539,2.2,596,2.4,20,12.5,PBAP CPoY-5,CookDa01
9,Marlon Mack,23,IND,RB,14,12,247,1091,67,591,2.4,500,2.0,12,20.6,,MackMa00
10,Sony Michel,24,NWE,RB,16,14,247,912,55,521,2.1,391,1.6,16,15.4,,MichSo00
11,Le'Veon Bell,27,NYJ,RB,15,15,245,789,36,287,1.2,502,2.0,16,15.3,,BellLe00
12,Carlos Hyde,29,HOU,RB,16,14,245,1070,55,525,2.1,545,2.2,22,11.1,,HydeCa00
13,Josh Jacobs,21,OAK,RB,13,13,242,1150,53,467,1.9,683,2.8,26,9.3,AP ORoY-2,JacoJo01
14,David Montgomery,22,CHI,RB,16,8,242,889,50,496,2.0,393,1.6,28,8.6,,MontDa01
15,Aaron Jones,25,GNB,RB,16,16,236,1084,55,569,2.4,515,2.2,32,7.4,,JoneAa00
16,Phillip Lindsay,25,DEN,RB,16,16,224,1011,38,603,2.7,408,1.8,29,7.7,,LindPh00
17,Todd Gurley,25,LAR,RB,15,15,223,857,51,483,2.2,374,1.7,21,10.6,,GurlTo01
18,Saquon Barkley,22,NYG,RB,13,13,217,1003,45,398,1.8,605,2.8,16,13.6,,BarkSa00
19,Adrian Peterson,34,WAS,RB,15,15,211,898,41,374,1.8,524,2.5,7,30.1,,PeteAd01
20,Mark Ingram,30,BAL,RB,15,15,202,1018,53,494,2.4,524,2.6,18,11.2,PB,IngrMa01
21,Devonta Freeman,27,ATL,RB,14,14,184,656,31,363,2.0,293,1.6,11,16.7,,FreeDe00
22,Miles Sanders,22,PHI,RB,16,11,179,818,30,445,2.5,373,2.1,16,11.2,AP ORoY-4,SandMi01
23,Lamar Jackson,22,BAL,QB,15,15,176,1206,71,867,4.9,339,1.9,3,58.7,PBAP-1AP MVP-1AP OPoY-2,JackLa00
24,Ronald Jones II,22,TAM,RB,16,9,172,724,34,309,1.8,415,2.4,23,7.5,,JoneRo01
25,Alvin Kamara,24,NOR,RB,14,9,171,797,32,396,2.3,401,2.3,29,5.9,PB,KamaAl00
26,Kenyan Drake,25,2TM,RB,14,10,170,817,48,479,2.8,338,2.0,12,14.2,,DrakKe00
26,Kenyan Drake,25,MIA,RB,6,2,47,174,6,83,1.8,91,1.9,4,11.8,,DrakKe00
