,name,prediction 2024
0,Caleb Williams,6.71
1,Jayden Daniels,11.62
2,Drake Maye,17.23
3,J.J. McCarthy,8.3
4,Bo Nix,6.75
5,Spencer Rattler,0.3
6,Jordan Travis,0.03
7,Joe Milton,0.71
8,Devin Leary,0.16
9,Michael Pratt,0.02
