Rk,School,Conf,CW,CL,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank▲,Notes
1,Alabama,SEC,13,1,0.929,7,1,0.875,37.1,11.9,21.25,5.46,1,1,1,
2,Georgia,SEC,13,2,0.867,7,1,0.875,35.4,16.4,22.47,7.01,15,2,2,
3,Oklahoma,Big 12,12,2,0.857,8,1,0.889,45.1,27.1,19.05,5.26,7,2,3,
4,Clemson,ACC,12,2,0.857,7,1,0.875,33.3,13.6,20.62,6.84,5,1,4,
5,Ohio State,Big Ten,12,2,0.857,8,1,0.889,41.1,19,21.82,7.89,2,2,5,
6,UCF,American,13,0,1,8,0,1,48.2,25.3,16.9,-0.8,,6,6,
7,Wisconsin,Big Ten,13,1,0.929,9,0,1,33.8,13.9,22.61,6.18,9,3,7,
8,Penn State,Big Ten,11,2,0.846,7,2,0.778,41.1,16.5,21.62,6.31,6,2,8,
9,TCU,Big 12,11,3,0.786,7,2,0.778,33.6,19,14.71,3.92,,4,9,
10,Auburn,SEC,10,4,0.714,7,1,0.875,33.9,18.5,17.95,6.38,12,4,10,
11,Notre Dame,Ind,10,3,0.769,,,,34.2,21.5,19.41,8.94,,3,11,
12,USC,Pac-12,11,3,0.786,8,1,0.889,32.6,26.1,12.37,5.09,4,4,12,
13,Miami (FL),ACC,10,3,0.769,7,1,0.875,29.1,21,14.98,6.29,18,2,13,
14,Oklahoma State,Big 12,10,3,0.769,6,3,0.667,45,29.4,13.09,3.02,10,6,14,
15,Michigan State,Big Ten,10,3,0.769,7,2,0.778,24.5,20,13.83,7.68,,13,15,
16,Washington,Pac-12,10,3,0.769,7,2,0.778,36.2,16.1,16.22,1.61,8,5,16,
17,Northwestern,Big Ten,10,3,0.769,7,2,0.778,29.2,20.1,11.36,5.13,,17,17,
18,LSU,SEC,9,4,0.692,6,2,0.75,27.2,18.9,11.77,3.93,13,12,18,
19,Mississippi State,SEC,9,4,0.692,4,4,0.5,32,20.9,11.85,3.85,,16,19,
20,Stanford,Pac-12,9,5,0.643,7,2,0.778,32.4,22.7,10.84,4.92,14,14,20,
21,South Florida,American,10,2,0.833,6,2,0.75,38.3,23.5,7.27,-5.56,19,16,21,
22,Boise State,MWC,11,3,0.786,7,1,0.875,32.5,22.9,8.67,-0.48,,22,22,
23,North Carolina State,ACC,9,4,0.692,6,2,0.75,32.2,25.2,12.17,5.55,,14,23,
24,Virginia Tech,ACC,9,4,0.692,5,3,0.625,28.2,14.8,10.56,2.41,21,12,24,
25,Memphis,American,10,3,0.769,7,1,0.875,45.5,32.5,8.52,-0.79,,16,25,
26,Texas State,Sun Belt,2,10,0.167,1,7,0.125,17.3,33.6,-19.31,-7.31,,,,
27,South Alabama,Sun Belt,4,8,0.333,3,5,0.375,19.8,26.5,-11.71,-6.46,,,,
28,Idaho,Sun Belt,4,8,0.333,3,5,0.375,20.9,25.8,-11.35,-7.94,,,,
29,Louisiana-Monroe,Sun Belt,4,8,0.333,4,4,0.5,33.9,41,-10.88,-4.88,,,,
30,Louisiana,Sun Belt,5,7,0.417,4,4,0.5,28.2,40,-15.51,-8.35,,,,
31,New Mexico State,Sun Belt,7,6,0.538,4,4,0.5,29.3,29.7,-8.69,-8.3,,,,
32,Georgia State,Sun Belt,7,5,0.583,5,3,0.625,20.3,24.8,-10.66,-9.25,,,,
33,Arkansas State,Sun Belt,7,5,0.583,6,2,0.75,37.8,25.8,-2.42,-9.92,,,,
34,Troy,Sun Belt,11,2,0.846,7,1,0.875,31.5,18.5,3.59,-8.03,,,,
35,Georgia Southern,Sun Belt,2,10,0.167,2,6,0.25,20.8,32.2,-16.83,-5.58,,,,
36,Coastal Carolina,Sun Belt,3,9,0.25,2,6,0.25,23.7,34,-17.2,-8.78,,,,
37,Appalachian State,Sun Belt,9,4,0.692,7,1,0.875,33.5,20.2,0.59,-7.72,,,,
38,Arkansas,SEC,4,8,0.333,1,7,0.125,28.8,36.2,-2.45,4.3,,,,
39,Ole Miss,SEC,6,6,0.5,3,5,0.375,32.8,34.6,2.78,1.44,,,,
40,Texas A&M,SEC,7,6,0.538,4,4,0.5,32.7,30.7,3.36,3.05,,,,
41,Tennessee,SEC,4,8,0.333,0,8,0,19.8,29.1,-3.18,3.41,25,23,,
42,Vanderbilt,SEC,5,7,0.417,1,7,0.125,24.6,31.3,-2.11,2.3,,,,
43,Florida,SEC,4,7,0.364,3,5,0.375,22.1,27.3,0.83,5.37,17,17,,
44,Missouri,SEC,7,6,0.538,4,4,0.5,37.5,31.8,4.28,1.44,,,,
45,Kentucky,SEC,7,6,0.538,4,4,0.5,25.5,28.2,1.3,2.92,,,,
46,South Carolina,SEC,9,4,0.692,5,3,0.625,24.2,20.7,7.77,3.85,,,,
47,Colorado,Pac-12,5,7,0.417,2,7,0.222,26.4,28.2,-2.61,-0.36,,,,
48,Utah,Pac-12,7,6,0.538,3,6,0.333,29.5,23.2,5.07,1.22,,20,,
49,UCLA,Pac-12,6,7,0.462,4,5,0.444,32.5,36.6,0.64,4.41,,25,,
50,Arizona,Pac-12,7,6,0.538,5,4,0.556,41.3,34.4,3.17,-0.98,,23,,
51,Arizona State,Pac-12,7,6,0.538,6,3,0.667,31.8,32.8,3.8,3.72,,,,
52,Oregon State,Pac-12,1,11,0.083,0,9,0,20.7,43,-13.57,3.27,,,,
53,California,Pac-12,5,7,0.417,2,7,0.222,27.8,28.4,-0.16,1.76,,,,
54,Oregon,Pac-12,7,6,0.538,4,5,0.444,36,29,4.66,1.89,,24,,
55,Washington State,Pac-12,9,4,0.692,6,3,0.667,30.3,25.8,6.62,2.39,24,8,,
56,San Jose State,MWC,2,11,0.154,1,7,0.125,15.8,41.7,-18.4,-2.32,,,,
57,Hawaii,MWC,3,9,0.25,1,7,0.125,22.8,33.9,-13.76,-5.34,,,,
