Rk,School,Conf,CW,CL,Pct,W,L,Pct,Off,Def,SRS▼,SOS,AP Pre,AP High,AP Rank,Notes
93,Central Michigan,MAC (West),6,7,0.462,3,5,0.375,26.3,30.3,-5.6,-2.91,,,,
94,South Alabama,Sun Belt,6,7,0.462,2,6,0.25,25.4,27,-5.8,-5.26,,,,
95,Utah State,MWC (Mountain),3,9,0.25,1,7,0.125,23.9,29.3,-5.99,0.1,,,,
96,Louisiana,Sun Belt,6,7,0.462,5,3,0.625,23.6,25.3,-6.18,-4.95,,,,
97,Hawaii,MWC (West),7,7,0.5,4,4,0.5,28.3,37.3,-6.44,-3.44,,,,
98,Akron,MAC (East),5,7,0.417,3,5,0.375,27.4,33.6,-6.52,-3.93,,,,
99,Tulane,American (West),4,8,0.333,1,7,0.125,24.1,27.7,-6.54,-2.21,,,,
100,Miami (OH),MAC (East),6,7,0.462,6,2,0.75,22.8,23.8,-6.79,-5.87,,,,
101,Rutgers,Big Ten (East),2,10,0.167,0,9,0,15.7,37.5,-6.97,4.95,,,,
102,Illinois,Big Ten (West),3,9,0.25,2,7,0.222,19.7,31.9,-7.75,3.75,,,,
103,Virginia,ACC (Coastal),2,10,0.167,1,7,0.125,22.5,33.8,-8.25,1.84,,,,
104,Purdue,Big Ten (West),3,9,0.25,1,8,0.111,24.6,38.3,-8.96,1.29,,,,
105,Ball State,MAC (West),4,8,0.333,1,7,0.125,27,30.1,-9.11,-5.86,,,,
106,Kent State,MAC (East),3,9,0.25,2,6,0.25,20.6,28.7,-9.12,-3.2,,,,
107,Cincinnati,American (East),4,8,0.333,1,7,0.125,19.3,26.9,-9.17,-1.58,,,,
108,Georgia State,Sun Belt,3,9,0.25,2,6,0.25,19.9,26.6,-9.37,-3.2,,,,
109,East Carolina,American (East),3,9,0.25,1,7,0.125,27,36.1,-9.69,-0.11,,,,
110,Nevada,MWC (West),5,7,0.417,3,5,0.375,25.4,29,-9.7,-6.87,,,,
111,San Jose State,MWC (West),4,8,0.333,3,5,0.375,24.4,34.7,-10.03,-2.61,,,,
112,Nevada-Las Vegas,MWC (West),4,8,0.333,3,5,0.375,31.6,36.8,-10.05,-3.8,,,,
113,North Texas,CUSA (West),5,8,0.385,3,5,0.375,24.8,32.6,-10.33,-4.56,,,,
114,Bowling Green,MAC (East),4,8,0.333,3,5,0.375,24.8,38.3,-10.58,-4.08,,,,
115,Kansas,Big 12,2,10,0.167,1,8,0.111,20.3,37.3,-10.65,2.52,,,,
116,Massachusetts,Ind,2,10,0.167,,,,23.3,35.5,-11.94,-1.44,,,,
117,Louisiana-Monroe,Sun Belt,4,8,0.333,3,5,0.375,23.3,39.1,-11.97,-2.55,,,,
118,Charlotte,CUSA (East),4,8,0.333,,,,25.2,34.6,-12.51,-5.76,,,,
119,Florida International,CUSA (East),4,8,0.333,4,4,0.5,24,34.8,-12.82,-4.74,,,,
120,New Mexico State,Sun Belt,3,9,0.25,2,6,0.25,24.8,38.8,-12.88,-2.29,,,,
121,Connecticut,American (East),3,9,0.25,1,7,0.125,14.8,28.1,-13.3,-2.55,,,,
122,UTEP,CUSA (West),4,8,0.333,2,6,0.25,26.3,34.9,-13.33,-7.25,,,,
123,Marshall,CUSA (East),3,9,0.25,2,6,0.25,26.4,35.3,-13.59,-4.59,,,,
124,Rice,CUSA (West),3,9,0.25,2,6,0.25,25.3,37.3,-13.67,-4.34,,,,
125,Fresno State,MWC (West),1,11,0.083,0,8,0,17.7,30.9,-14.26,-2.42,,,,
126,Florida Atlantic,CUSA (East),3,9,0.25,2,6,0.25,26.4,39.8,-14.6,-5.68,,,,
127,Buffalo,MAC (East),2,10,0.167,1,7,0.125,16.5,32.3,-18.24,-5.57,,,,
128,Texas State,Sun Belt,2,10,0.167,0,8,0,18.6,41.1,-18.86,-3.36,,,,
