Rk,School,Conf,CW,CL,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank▲,Notes
61,Wyoming,MWC (Mountain),7,6,0.538,5,3,0.625,21.2,23.9,-5.59,-4.43,,,,
62,Air Force,MWC (Mountain),10,3,0.769,5,3,0.625,27.8,13.4,4.13,-7.41,,,,
63,Boise State,MWC (Mountain),10,4,0.714,8,0,1,29.5,19.5,3.54,-4.82,,,,
64,Northern Illinois,MAC (West),3,9,0.25,2,6,0.25,27.3,32.8,-11.86,-6.44,,,,
65,Central Michigan,MAC (West),4,8,0.333,3,5,0.375,24.8,28.2,-10.66,-5.16,,,,
66,Ball State,MAC (West),5,7,0.417,3,5,0.375,23.3,26.9,-7.58,-5.5,,,,
67,Western Michigan,MAC (West),5,7,0.417,4,4,0.5,19,24.1,-11.72,-5.88,,,,
68,Eastern Michigan,MAC (West),9,4,0.692,5,3,0.625,29.8,28.5,-6.78,-8.78,,,,
69,Toledo,MAC (West),9,5,0.643,5,3,0.625,31.3,25.1,-0.4,-6.75,,,,
70,Akron,MAC (East),2,10,0.167,1,7,0.125,21.8,33.5,-13.49,-5.16,,,,
71,Kent State,MAC (East),5,7,0.417,4,4,0.5,28.4,29,-5.38,-2.22,,,,
72,Miami (OH),MAC (East),6,7,0.462,4,4,0.5,20.2,22.6,-8.32,-6.32,,,,
73,Bowling Green,MAC (East),6,7,0.462,5,3,0.625,23.5,32.5,-10.99,-4.6,,,,
74,Buffalo,MAC (East),7,6,0.538,5,3,0.625,28.5,26.7,-5.74,-7.28,,,,
75,Ohio,MAC (East),10,4,0.714,7,1,0.875,31.8,28.3,-0.34,-5.91,,,,
76,Army,Ind,6,6,0.5,,,,28.6,22.5,-0.62,-4.62,,,,
77,BYU,Ind,8,5,0.615,,,,31.3,29.5,1.98,-0.1,25,12,,
78,Massachusetts,Ind,1,11,0.083,,,,12.5,31.1,-19.26,-4.34,,,,
79,Connecticut,Ind,6,7,0.462,,,,19.4,26.2,-5.78,-3.09,,,,
80,New Mexico State,Ind,7,6,0.538,,,,25.5,23.9,-8.33,-9.56,,,,
81,Liberty,Ind,8,5,0.615,,,,27.5,24.6,-2.15,-5.3,,19,,
82,Louisiana Tech,CUSA (West),3,9,0.25,2,6,0.25,29,37.9,-12.66,-4.5,,,,
83,Rice,CUSA (West),5,8,0.385,3,5,0.375,25.2,34.2,-9.45,-3.75,,,,
84,UTEP,CUSA (West),5,7,0.417,3,5,0.375,24.4,27,-9.15,-6.48,,,,
85,UAB,CUSA (West),7,6,0.538,4,4,0.5,30.1,23.2,-0.98,-5.13,,,,
86,North Texas,CUSA (West),7,7,0.5,6,2,0.75,33.8,31.7,-2.71,-4.21,,,,
87,UTSA,CUSA (West),11,3,0.786,8,0,1,36.8,25.9,5.36,-3.78,,22,,
88,Charlotte,CUSA (East),3,9,0.25,2,6,0.25,24.4,39.4,-16.23,-5.81,,,,
89,Florida International,CUSA (East),4,8,0.333,2,6,0.25,18.7,37.3,-17.44,-7.44,,,,
90,Florida Atlantic,CUSA (East),5,7,0.417,4,4,0.5,29.8,26.6,-6.44,-5.86,,,,
91,Middle Tennessee State,CUSA (East),8,5,0.615,4,4,0.5,28.8,27.7,-5.82,-6.97,,,,
92,Western Kentucky,CUSA (East),9,5,0.643,6,2,0.75,36.4,23.4,1.01,-5.49,,,,
93,Northwestern,Big Ten (West),1,11,0.083,1,8,0.111,13.8,28.3,-7.43,4.74,,,,
94,Nebraska,Big Ten (West),4,8,0.333,3,6,0.333,22.6,27.6,-2.14,2.11,,,,
95,Wisconsin,Big Ten (West),7,6,0.538,4,5,0.444,26.3,20.2,4.37,2.29,18,18,,
96,Iowa,Big Ten (West),8,5,0.615,5,4,0.556,17.7,13.3,7.91,2.29,,,,
97,Illinois,Big Ten (West),8,5,0.615,5,4,0.556,24.2,12.8,10.01,1.17,,14,,
98,Minnesota,Big Ten (West),9,4,0.692,5,4,0.556,28.2,13.8,8.48,-0.21,,21,,
99,Purdue,Big Ten (West),8,6,0.571,6,3,0.667,26.6,27.4,3.62,4.12,,,,
100,Rutgers,Big Ten (East),4,8,0.333,1,8,0.111,17.4,29.3,-5.09,3.74,,,,
101,Indiana,Big Ten (East),4,8,0.333,2,7,0.222,23.3,33.9,-3.05,5.03,,,,
102,Michigan State,Big Ten (East),5,7,0.417,3,6,0.333,24.4,27.4,0.98,5.48,15,11,,
103,Maryland,Big Ten (East),8,5,0.615,4,5,0.444,28.2,23.2,6.68,3.06,,,,
104,Iowa State,Big 12,4,8,0.333,1,8,0.111,20.2,20.3,5.71,6.37,,,,
105,West Virginia,Big 12,5,7,0.417,3,6,0.333,30.6,32.9,2.9,6.06,,,,
106,Oklahoma,Big 12,6,7,0.462,3,6,0.333,32.8,30,8.52,6.37,9,6,,
107,Kansas,Big 12,6,7,0.462,3,6,0.333,35.6,35.5,6.27,6.58,,19,,
108,Baylor,Big 12,6,7,0.462,4,5,0.444,32.2,26.8,6.19,4.96,10,9,,
109,Oklahoma State,Big 12,7,6,0.538,4,5,0.444,30.6,28.9,5.16,4.47,12,7,,
110,Texas Tech,Big 12,8,5,0.615,5,4,0.556,34.2,29.2,9.68,6.45,,,,
