Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,CHI,17,388,1468,8,3.8,86.4,25.81
2,DET,17,408,1509,15,3.7,88.8,9.70
3,SFO,17,369,1525,10,4.1,89.7,-4.82
4,NWE,17,480,1584,14,3.3,93.2,62.77
5,TAM,17,422,1620,11,3.8,95.3,31.56
6,HOU,17,468,1643,19,3.5,96.6,22.94
7,MIA,17,433,1650,15,3.8,97.1,16.04
8,MIN,17,446,1678,14,3.8,98.7,17.31
9,JAX,17,421,1752,15,4.2,103.1,-9.24
10,PHI,17,410,1758,13,4.3,103.4,-31.41
11,CLE,17,420,1793,15,4.3,105.5,30.82
12,LAR,17,433,1816,14,4.2,106.8,4.42
13,TEN,17,480,1831,10,3.8,107.7,31.53
14,BAL,17,415,1860,6,4.5,109.4,23.36
15,BUF,17,409,1880,14,4.6,110.6,-4.93
16,DAL,17,459,1910,14,4.2,112.4,9.56
17,LAC,17,467,1924,18,4.1,113.2,-7.24
18,KAN,17,432,1925,10,4.5,113.2,-20.60
19,PIT,17,454,1956,9,4.3,115.1,5.25
20,ATL,17,499,2009,11,4.0,118.2,46.27
21,LVR,17,479,2015,15,4.2,118.5,12.66
22,NOR,17,462,2038,10,4.4,119.9,23.07
23,CAR,17,508,2081,25,4.1,122.4,-8.41
24,IND,17,518,2105,22,4.1,123.8,-11.95
25,NYJ,17,517,2108,14,4.1,124.0,20.74
26,CIN,17,456,2145,17,4.7,126.2,-33.94
27,WAS,17,480,2155,15,4.5,126.8,-4.12
28,GNB,17,493,2181,15,4.4,128.3,-17.64
29,NYG,17,475,2251,24,4.7,132.4,-22.38
30,DEN,17,469,2331,15,5.0,137.1,-9.82
31,SEA,17,515,2352,24,4.6,138.4,-40.04
32,ARI,17,521,2434,19,4.7,143.2,-30.78
