Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,TAM,16,358,1289,10,3.6,80.6,20.20
2,IND,16,390,1448,16,3.7,90.5,13.82
3,LAR,16,388,1460,12,3.8,91.3,35.94
4,NOR,16,390,1502,11,3.9,93.9,22.79
5,SEA,16,392,1529,18,3.9,95.6,13.95
6,ATL,16,380,1677,15,4.4,104.8,20.45
7,SFO,16,430,1703,12,4.0,106.4,15.79
8,BAL,16,382,1740,12,4.6,108.8,14.33
9,CLE,16,412,1773,16,4.3,110.8,-19.02
10,NYG,16,432,1782,14,4.1,111.4,-0.25
11,PIT,16,414,1783,13,4.3,111.4,3.99
12,NYJ,16,445,1792,16,4.0,112.0,23.32
13,WAS,16,428,1805,14,4.2,112.8,7.17
14,GNB,16,397,1805,16,4.5,112.8,-36.94
15,CHI,16,438,1814,11,4.1,113.4,25.22
16,MIA,16,412,1862,17,4.5,116.4,-26.37
17,BUF,16,414,1914,21,4.6,119.6,-53.52
18,LAC,16,427,1917,17,4.5,119.8,-3.97
19,TEN,16,427,1933,18,4.5,120.8,-31.76
20,CAR,16,408,1936,17,4.7,121.0,-27.66
21,KAN,16,433,1954,14,4.5,122.1,-54.78
22,ARI,16,436,2008,13,4.6,125.5,-24.28
23,PHI,16,481,2012,20,4.2,125.8,14.58
24,LVR,16,438,2013,24,4.6,125.8,-38.01
25,DEN,16,434,2080,22,4.8,130.0,-28.92
26,NWE,16,464,2103,17,4.5,131.4,-42.97
27,MIN,16,472,2151,19,4.6,134.4,-41.77
28,DET,16,487,2158,27,4.4,134.9,-42.32
29,CIN,16,463,2368,13,5.1,148.0,-30.61
30,JAX,16,517,2452,23,4.7,153.3,-26.00
31,DAL,16,510,2541,20,5.0,158.8,-50.73
32,HOU,16,493,2564,24,5.2,160.3,-58.20
