Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,TEN,17,390,1307,9,3.4,76.9,32.70
2,SFO,17,389,1321,11,3.4,77.7,17.54
3,BAL,17,406,1566,11,3.9,92.1,15.65
4,BUF,16,387,1673,10,4.3,104.6,5.81
5,CIN,16,407,1706,12,4.2,106.6,2.26
6,MIA,17,422,1751,15,4.1,103.0,-5.44
7,NWE,17,441,1793,7,4.1,105.5,15.97
8,KAN,17,419,1823,10,4.4,107.2,-22.49
9,PIT,17,442,1838,7,4.2,108.1,13.16
10,DEN,17,438,1866,12,4.3,109.8,6.71
11,WAS,17,441,1926,10,4.4,113.3,19.80
12,JAX,17,470,1951,14,4.2,114.8,5.23
13,LAR,17,455,1956,12,4.3,115.1,-0.20
14,ARI,17,446,2016,21,4.5,118.6,-7.46
15,TAM,17,458,2052,12,4.5,120.7,12.95
16,NYJ,17,492,2068,14,4.2,121.6,14.66
17,PHI,17,446,2068,15,4.6,121.6,-49.48
18,CAR,17,488,2085,17,4.3,122.6,10.22
19,LVR,17,460,2087,20,4.5,122.8,-16.21
20,MIN,17,463,2093,18,4.5,123.1,-14.81
21,IND,17,511,2109,20,4.1,124.1,6.68
22,DAL,17,497,2198,9,4.4,129.3,6.58
23,ATL,17,500,2214,15,4.4,130.2,-24.68
24,NOR,17,492,2218,14,4.5,130.5,-16.64
25,CLE,17,488,2295,22,4.7,135.0,-34.44
26,GNB,17,479,2372,18,5.0,139.5,-43.83
27,NYG,17,469,2451,16,5.2,144.2,-74.11
28,LAC,17,457,2478,17,5.4,145.8,-55.06
29,DET,17,477,2491,22,5.2,146.5,-67.67
30,SEA,17,525,2554,21,4.9,150.2,-41.32
31,CHI,17,542,2674,31,4.9,157.3,-46.52
32,HOU,17,573,2894,25,5.1,170.2,-32.99
