Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
67,Deebo Samuel,26,SFO,WR,13,12,94,56,632,25,139,2.5,493,8.8,4.3,12,4.7,9,9.6,3,73.5,,SamuDe00
68,Dallas Goedert,27,PHI,TE,12,12,69,55,702,40,282,5.1,420,7.6,6.1,2,27.5,1,1.4,0,123.6,,GoedDa00
69,Josh Jacobs,24,LVR,RB,17,17,64,53,400,16,26,0.5,374,7.1,0.5,2,26.5,4,6.3,0,92.7,PBAP-1AP OPoY-5,JacoJo01
70,Robert Tonyan,28,GNB,TE,17,3,67,53,470,20,242,4.6,228,4.3,5.8,2,26.5,1,1.5,2,93.4,,TonyRo00
71,Robert Woods,30,TEN,WR,17,15,91,53,527,31,371,7.0,156,2.9,7.8,0,,4,4.4,3,68.3,,WoodRo02
72,Greg Dortch,24,ARI,WR,16,4,64,52,467,19,174,3.3,293,5.6,4.9,3,17.3,0,0.0,0,107.5,,DortGr01
73,Hayden Hurst,29,CIN,TE,13,13,68,52,414,26,222,4.3,192,3.7,4.9,5,10.4,2,2.9,1,94.9,,HursHa00
74,George Pickens,21,PIT,WR,17,12,84,52,801,38,697,13.4,104,2.0,14.5,5,10.4,3,3.6,0,109.3,,PickGe00
75,Russell Gage,26,TAM,WR,13,4,70,51,426,31,255,5.0,171,3.4,5.5,2,25.5,3,4.3,0,112.0,,GageRu00
76,Noah Fant,25,SEA,TE,17,16,63,50,486,24,265,5.3,221,4.4,6.4,0,,1,1.6,0,120.0,,FantNo00
77,Cole Kmet,23,CHI,TE,17,17,69,50,544,27,258,5.2,286,5.7,6.7,3,16.7,2,2.9,4,105.0,,KmetCo00
78,Rachaad White,23,TAM,RB,17,8,58,50,290,13,-19,-0.4,309,6.2,-0.3,3,16.7,2,3.4,0,99.0,,WhitRa01
79,Gabriel Davis,23,BUF,WR,15,15,93,48,836,35,690,14.4,146,3.0,15.3,0,,9,9.7,6,80.8,,DaviGa01
80,Dawson Knox,26,BUF,TE,15,15,65,48,517,25,324,6.8,193,4.0,7.9,3,16.0,4,6.2,3,108.3,PB,KnoxDa00
81,Chris Moore,29,HOU,WR,16,7,74,48,548,24,285,5.9,263,5.5,8.8,2,24.0,2,2.7,3,79.1,,MoorCh00
82,Demarcus Robinson,28,BAL,WR,17,5,75,48,458,23,312,6.5,146,3.0,9.0,1,48.0,3,4.0,4,67.5,,RobiDe01
83,D'Andre Swift,23,DET,RB,14,8,70,48,389,17,-51,-1.1,440,9.2,0.5,3,16.0,3,4.3,0,96.7,,SwifDA00
84,Zach Ertz,32,ARI,TE,10,10,69,47,406,24,276,5.9,130,2.8,7.9,2,23.5,3,4.3,1,96.6,,ErtzZa00
85,Kalif Raymond,28,DET,WR,17,7,64,47,616,24,398,8.5,218,4.6,10.0,2,23.5,0,0.0,0,103.4,AP-2,RaymKa00
86,DeAndre Carter,29,LAC,WR,17,7,65,46,538,29,332,7.2,206,4.5,8.9,0,,2,3.1,1,104.5,,CartDe02
87,James Conner,27,ARI,RB,13,13,58,46,300,13,-76,-1.7,376,8.2,-0.8,6,7.7,7,12.1,1,86.8,,ConnJa00
88,Antonio Gibson,24,WAS,RB,15,6,58,46,353,18,56,1.2,297,6.5,1.2,5,9.2,3,5.2,1,96.3,,GibsAn00
89,Marvin Jones,32,JAX,WR,16,10,81,46,529,29,434,9.4,95,2.1,13.2,0,,5,6.2,2,78.7,,JoneMa02
90,Darius Slayton,25,NYG,WR,16,11,71,46,724,30,462,10.0,262,5.7,12.5,2,23.0,7,9.9,2,96.2,,SlayDa01
91,Chase Claypool,24,2TM,WR,15,11,79,46,451,24,302,6.6,149,3.2,10.3,2,23.0,4,5.1,4,57.5,,ClayCh01
91,Chase Claypool,24,PIT,WR,8,8,50,32,311,17,206,6.4,105,3.3,9.5,2,16.0,1,2.0,2,71.3,,ClayCh01
91,Chase Claypool,24,CHI,WR,7,3,29,14,140,7,96,6.9,44,3.1,11.9,0,,3,10.3,2,33.7,,ClayCh01
92,Noah Brown,26,DAL,WR,16,13,74,43,555,25,427,9.9,128,3.0,10.8,4,10.8,6,8.1,4,72.7,,BrowNo00
93,Romeo Doubs,22,GNB,WR,13,7,67,42,425,20,229,5.5,196,4.7,9.4,0,,9,13.4,0,95.7,,DoubRo00
94,Juwan Johnson,26,NOR,TE,16,12,65,42,508,25,326,7.8,182,4.3,9.0,1,42.0,3,4.6,2,111.6,,JohnJu02
95,Isaiah McKenzie,27,BUF,WR,15,8,65,42,423,27,295,7.0,128,3.0,8.3,0,,6,9.2,2,90.7,,McKeIs00
96,Cade Otton,23,TAM,TE,16,11,65,42,391,19,217,5.2,174,4.1,4.9,2,21.0,5,7.7,0,91.2,,OttoCa00
97,Marquez Valdes-Scantling,28,KAN,WR,17,11,81,42,687,32,538,12.8,149,3.5,13.9,0,,5,6.2,1,83.7,,ValdMa00
98,Michael Carter,23,NYJ,RB,16,10,54,41,288,12,14,0.3,274,6.7,0.6,3,13.7,2,3.7,0,87.6,,CartMi03
99,Najee Harris,24,PIT,RB,17,17,53,41,229,16,18,0.4,211,5.1,1.7,4,10.3,3,5.7,0,103.4,,HarrNa00
100,Hunter Henry,28,NWE,TE,17,14,59,41,509,23,306,7.5,203,5.0,7.7,0,,3,5.1,1,100.2,,HenrHu00
101,Austin Hooper,28,TEN,TE,17,2,60,41,444,28,310,7.6,134,3.3,7.8,1,41.0,1,1.7,0,101.0,,HoopAu00
102,Rondale Moore,22,ARI,WR,8,8,56,41,414,16,133,3.2,281,6.9,5.5,5,8.2,6,10.7,0,99.9,,MoorRo02
103,Alec Pierce,22,IND,WR,16,12,78,41,593,28,480,11.7,113,2.8,11.7,0,,3,3.8,2,75.4,,PierAl00
104,Christian Watson,23,GNB,WR,14,11,66,41,611,28,335,8.2,276,6.7,13.8,3,13.7,4,6.1,1,121.5,AP ORoY-7,WatsCh00
105,Darnell Mooney,25,CHI,WR,12,12,61,40,493,20,329,8.2,164,4.1,12.0,2,20.0,2,3.3,2,87.7,,MoonDa00
106,Olamide Zaccheaus,25,ATL,WR,17,13,61,40,533,25,344,8.6,189,4.7,11.5,3,13.3,0,0.0,0,109.5,,ZaccOl01
107,Dalvin Cook,27,MIN,RB,17,17,56,39,295,16,-36,-0.9,331,8.5,-0.5,4,9.8,5,8.9,0,94.0,PB,CookDa01
108,Michael Gallup,26,DAL,WR,14,11,74,39,424,25,317,8.1,107,2.7,11.1,0,,6,8.1,4,65.4,,GallMi00
109,Tony Pollard,25,DAL,RB,16,4,55,39,371,18,24,0.6,347,8.9,1.4,2,19.5,3,5.5,0,107.5,PB,PollTo00
110,Ben Skowronek,25,LAR,WR,14,11,61,39,376,16,239,6.1,137,3.5,7.9,0,,2,3.3,2,67.4,,SkowBe00
111,Logan Thomas,31,WAS,TE,14,13,61,39,323,15,197,5.1,126,3.2,7.0,0,,1,1.6,2,69.2,,ThomLo00
112,Samaje Perine,27,CIN,RB,16,2,51,38,287,11,-34,-0.9,321,8.4,0.2,5,7.6,5,9.8,0,113.8,,PeriSa00
113,Josh Reynolds,27,DET,WR,14,11,59,38,479,25,364,9.6,115,3.0,11.9,0,,4,6.8,1,99.5,,ReynJo00
114,Devin Singletary,25,BUF,RB,16,16,52,38,280,15,23,0.6,257,6.8,0.2,2,19.0,6,11.5,0,91.8,,SingDe00
115,Jordan Akins,30,HOU,TE,15,3,54,37,495,23,225,6.1,270,7.3,6.1,1,37.0,3,5.6,1,120.5,,AkinJo00
116,Rex Burkhead,32,HOU,RB,16,0,51,37,204,8,0,0.0,204,5.5,1.3,1,37.0,1,2.0,1,77.6,,BurkRe00
117,Nico Collins,23,HOU,WR,10,7,66,37,481,21,318,8.6,163,4.4,11.3,3,12.3,1,1.5,1,83.0,,CollNi00
118,Devin Duvernay,25,BAL,WR,14,13,49,37,407,19,251,6.8,156,4.2,9.0,0,,1,2.0,1,111.5,PB,DuveDe00
119,Elijah Moore,22,NYJ,WR,16,9,65,37,446,22,331,8.9,115,3.1,11.7,2,18.5,2,3.1,1,76.8,,MoorEl00
120,Isaiah Hodgins,24,2TM,WR,10,5,48,37,392,24,304,8.2,88,2.4,9.1,2,18.5,0,0.0,1,119.4,,HodgIs00
120,Isaiah Hodgins,24,BUF,WR,2,0,6,4,41,2,22,5.5,19,4.8,7.3,0,,0,0.0,0,86.1,,HodgIs00
120,Isaiah Hodgins,24,NYG,WR,8,5,42,33,351,22,282,8.5,69,2.1,9.3,2,16.5,0,0.0,1,123.3,,HodgIs00
121,Isaiah Likely,22,BAL,TE,16,2,60,36,373,18,222,6.2,151,4.2,6.8,5,7.2,6,10.0,1,87.7,,LikeIs00
122,Hunter Renfrow,27,LVR,WR,10,1,50,36,330,18,181,5.0,149,4.1,6.8,2,18.0,1,2.0,4,69.6,,RenfHu00
123,Kendrick Bourne,27,NWE,WR,16,2,48,35,434,22,289,8.3,145,4.1,10.3,2,17.5,4,8.3,2,90.1,,BourKe00
124,Jahan Dotson,22,WAS,WR,12,10,61,35,523,26,386,11.0,137,3.9,13.5,1,35.0,6,9.8,4,96.6,,DotsJa00
125,Travis Etienne,23,JAX,RB,17,12,45,35,316,16,-36,-1.0,352,10.1,0.3,0,,3,6.7,0,95.9,,EtieTr00
126,Kareem Hunt,27,CLE,RB,17,0,44,35,210,11,-33,-0.9,243,6.9,-0.5,7,5.0,4,9.1,0,94.1,,HuntKa00
127,Jauan Jennings,25,SFO,WR,16,4,56,35,416,23,240,6.9,176,5.0,8.4,3,11.7,7,12.5,3,68.7,,JennJa00
128,Randall Cobb,32,GNB,WR,13,3,50,34,417,19,232,6.8,185,5.4,9.5,1,34.0,2,4.0,1,91.8,,CobbRa00
129,Will Dissly,26,SEA,TE,15,15,38,34,349,20,165,4.9,184,5.4,5.4,2,17.0,2,5.3,0,131.2,,DissWi00
130,David Montgomery,25,CHI,RB,16,16,40,34,316,10,33,1.0,283,8.3,1.3,6,5.7,1,2.5,1,97.5,,MontDa01
131,Treylon Burks,22,TEN,WR,11,6,54,33,444,19,283,8.6,161,4.9,11.6,2,16.5,3,5.6,3,70.3,,BurkTr00
132,Greg Dulcich,22,DEN,TE,10,6,55,33,411,18,256,7.8,155,4.7,11.5,1,33.0,2,3.6,3,72.6,,DulcGr00
133,Derrick Henry,28,TEN,RB,16,16,41,33,398,11,12,0.4,386,11.7,0.1,2,16.5,5,12.2,0,107.1,PBAP MVP-9AP OPoY-12AP CPoY-9,HenrDe00
134,Foster Moreau,25,LVR,TE,15,14,54,33,420,24,183,5.5,237,7.2,8.1,2,16.5,6,11.1,2,82.3,,MoreFo00
135,Allen Robinson,29,LAR,WR,10,10,52,33,339,23,268,8.1,71,2.2,9.7,0,,1,1.9,1,93.3,,RobiAl02
136,Quez Watkins,24,PHI,WR,17,8,51,33,354,13,208,6.3,146,4.4,9.0,1,33.0,3,5.9,3,80.0,,WatkQu00
137,Corey Davis,27,NYJ,WR,13,10,64,32,536,28,427,13.3,109,3.4,13.4,1,32.0,2,3.1,2,76.0,,DaviCo03
138,Mike Gesicki,27,MIA,TE,17,1,52,32,362,19,265,8.3,97,3.0,9.4,1,32.0,3,5.8,2,98.4,,GesiMi00
139,Chigoziem Okonkwo,23,TEN,TE,17,8,46,32,450,22,196,6.1,254,7.9,7.6,3,10.7,3,6.5,0,122.6,,OkonCh00
140,Nelson Agholor,29,NWE,WR,16,7,53,31,362,12,218,7.0,144,4.6,12.4,1,31.0,3,5.7,3,68.3,,AghoNe00
141,Harrison Bryant,24,CLE,TE,17,9,42,31,239,12,126,4.1,113,3.6,5.7,1,31.0,5,11.9,0,95.2,,BryaHa00
142,Kylen Granson,24,IND,TE,13,4,40,31,302,17,178,5.7,124,4.0,6.5,0,,2,5.0,3,66.9,,GranKy00
143,Raheem Mostert,30,MIA,RB,16,14,42,31,202,11,23,0.7,179,5.8,1.1,8,3.9,2,4.8,1,89.6,,MostRa00
144,DeVante Parker,29,NWE,WR,13,11,47,31,539,25,434,14.0,105,3.4,15.9,3,10.3,1,2.1,4,90.6,,ParkDe01
145,Daniel Bellinger,22,NYG,TE,12,11,35,30,268,14,124,4.1,144,4.8,4.0,0,,1,2.9,0,117.6,,BellDa00
146,DJ Chark,26,DET,WR,11,10,52,30,502,24,368,12.3,134,4.5,15.2,0,,5,9.6,1,101.6,,CharDJ00
147,Deon Jackson,23,IND,RB,16,2,34,30,209,10,-19,-0.6,228,7.6,-0.5,3,10.0,1,2.9,1,89.8,,JackDe02
148,Dameon Pierce,22,HOU,RB,13,13,39,30,165,7,-32,-1.1,197,6.6,-0.3,8,3.8,3,7.7,1,81.7,AP ORoY-9,PierDa01
149,Trent Sherfield,26,MIA,WR,17,4,51,30,417,18,272,9.1,145,4.8,10.9,1,30.0,3,5.9,2,81.9,,SherTr00
150,Nyheim Hines,26,2TM,RB,16,5,37,30,241,11,51,1.7,190,6.3,3.1,3,10.0,2,5.4,0,102.8,,HineNy00
150,Nyheim Hines,26,IND,RB,7,4,28,25,188,8,43,1.7,145,5.8,1.6,2,12.5,2,7.1,0,94.6,,HineNy00
150,Nyheim Hines,26,BUF,RB,9,1,9,5,53,3,8,1.6,45,9.0,7.9,1,5.0,0,0.0,0,110.0,,HineNy00
151,Trey McBride,23,ARI,TE,16,13,39,29,265,12,148,5.1,117,4.0,6.1,0,,2,5.1,0,100.9,,McBrTr01
152,AJ Dillon,24,GNB,RB,17,3,43,28,206,9,9,0.3,197,7.0,0.5,3,9.3,7,16.3,0,76.3,,DillAJ00
153,Noah Gray,23,KAN,TE,17,8,34,28,299,14,117,4.2,182,6.5,5.0,2,14.0,1,2.9,0,113.1,,GrayNo00
154,Terrace Marshall Jr.,22,CAR,WR,14,9,47,28,490,24,349,12.5,141,5.0,12.3,1,28.0,3,6.4,0,102.3,,MarsTe00
155,Kyle Pitts,22,ATL,TE,10,10,59,28,356,20,230,8.2,126,4.5,13.8,0,,3,5.1,1,71.0,,PittKy00
156,Rashid Shaheed,24,NOR,WR,12,6,34,28,488,18,312,11.1,176,6.3,11.6,0,,1,2.9,0,138.4,,ShahRa00
157,Jonathan Taylor,23,IND,RB,11,11,40,28,143,4,-61,-2.2,204,7.3,-1.7,3,9.3,1,2.5,1,64.9,,TaylJo02
158,Darren Waller,30,LVR,TE,9,6,43,28,388,18,308,11.0,80,2.9,13.5,0,,3,7.0,2,97.8,,WallDa01
159,Jaylen Warren,24,PIT,RB,16,0,33,28,214,14,-11,-0.4,225,8.0,-0.5,3,9.3,3,9.1,0,93.7,,WarrJa01
160,Nick Chubb,27,CLE,RB,17,17,37,27,239,12,-20,-0.7,259,9.6,0.0,3,9.0,4,10.8,0,98.8,PBAP-2,ChubNi00
161,Marquise Goodwin,32,SEA,WR,13,2,42,27,387,18,273,10.1,114,4.2,10.5,2,13.5,2,4.8,1,115.9,,GoodMa00
162,J.D. McKissic,29,WAS,RB,8,0,40,27,173,7,21,0.8,152,5.6,1.3,2,13.5,1,2.5,2,55.5,,McKiJ.00
163,Laviska Shenault Jr.,24,CAR,WR,13,4,32,27,272,10,-58,-2.1,330,12.2,-0.7,0,,2,6.3,0,112.5,,ShenLa00
164,Jonnu Smith,27,NWE,TE,14,8,38,27,245,9,45,1.7,200,7.4,3.1,9,3.0,2,5.3,1,77.2,,SmitJo01
165,Kenneth Walker III,22,SEA,RB,15,11,35,27,165,6,-56,-2.1,221,8.2,-2.1,3,9.0,2,5.7,1,74.1,AP ORoY-2,WalkKe00
166,Latavius Murray,32,2TM,RB,13,7,35,27,132,4,-56,-2.1,188,7.0,-1.8,0,,0,0.0,0,82.1,,MurrLa00
166,Latavius Murray,32,NOR,RB,1,0,1,1,8,0,-2,-2.0,10,10.0,-2.0,0,,0,0.0,0,100.0,,MurrLa00
166,Latavius Murray,32,DEN,RB,12,7,34,26,124,4,-54,-2.1,178,6.8,-1.8,0,,0,0.0,0,81.0,,MurrLa00
167,Ameer Abdullah,29,LVR,RB,17,0,32,25,211,8,16,0.6,195,7.8,3.0,2,12.5,1,3.1,0,104.6,,AbduAm00
168,Melvin Gordon,29,DEN,RB,10,6,32,25,223,11,17,0.7,206,8.2,0.7,1,25.0,3,9.4,0,95.7,,GordMe00
169,Mecole Hardman,24,KAN,WR,8,5,34,25,297,14,137,5.5,160,6.4,8.1,1,25.0,1,2.9,0,139.0,,HardMe00
170,Jarvis Landry,30,NOR,WR,9,3,39,25,272,12,211,8.4,61,2.4,9.6,1,25.0,2,5.1,2,71.7,,LandJa00
171,Colby Parkinson,23,SEA,TE,17,2,34,25,322,14,172,6.9,150,6.0,8.2,0,,0,0.0,0,122.4,,ParkCo02
172,Irv Smith Jr.,24,MIN,TE,8,1,36,25,182,9,88,3.5,94,3.8,4.6,0,,2,5.6,1,88.0,,SmitIr01
