Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
1,Cooper Kupp,28,LAR,WR,17,17,191,145,1947,89,1101,7.6,846,5.8,8.6,10,14.5,8,4.2,5,124.8,PBAP-1AP MVP-3AP OPoY-1,KuppCo00
2,Davante Adams,29,GNB,WR,16,16,169,123,1553,84,961,7.8,592,4.8,9.6,5,24.6,3,1.8,3,115.3,PBAP-1,AdamDa01
3,Tyreek Hill,27,KAN,WR,17,16,159,111,1239,75,795,7.2,444,4.0,10.4,10,11.1,7,4.4,3,103.7,PB,HillTy00
4,Justin Jefferson,22,MIN,WR,17,17,167,108,1616,75,1134,10.5,482,4.5,12.4,5,21.6,7,4.2,2,111.3,PBAP-2,JeffJu00
5,Mark Andrews,26,BAL,TE,17,9,153,107,1361,75,903,8.4,458,4.3,10.3,4,26.8,3,2.0,9,92.5,PBAP-1,AndrMa00
6,Diontae Johnson,25,PIT,WR,16,14,169,107,1161,59,634,5.9,527,4.9,8.5,8,13.4,5,3.0,3,91.9,PB,JohnDi01
7,Keenan Allen,29,LAC,WR,16,16,157,106,1138,66,801,7.6,337,3.2,8.4,1,106.0,8,5.1,5,88.0,PB,AlleKe00
8,Jaylen Waddle,23,MIA,WR,16,16,140,104,1015,59,576,5.5,439,4.2,7.1,4,26.0,8,5.7,7,87.6,,WaddJa00
9,Stefon Diggs,28,BUF,WR,17,17,164,103,1225,66,899,8.7,326,3.2,11.1,7,14.7,5,3.0,6,90.6,PB,DiggSt00
10,Hunter Renfrow,26,LVR,WR,17,9,128,103,1038,51,586,5.7,452,4.4,6.5,2,51.5,2,1.6,1,120.6,PB,RenfHu00
11,Chris Godwin,25,TAM,WR,14,14,127,98,1103,55,517,5.3,586,6.0,7.3,5,19.6,5,3.9,2,109.1,,GodwCh00
12,D.J. Moore,24,CAR,WR,17,17,163,93,1157,60,731,7.9,426,4.6,10.6,4,23.3,10,6.1,6,72.0,,MoorD.00
13,Travis Kelce,32,KAN,TE,16,16,134,92,1125,63,561,6.1,564,6.1,7.4,8,11.5,10,7.5,5,101.1,PBAP-2,KelcTr00
14,Marquise Brown,24,BAL,WR,16,16,146,91,1008,41,620,6.8,388,4.3,11.1,4,22.8,7,4.8,3,87.9,,BrowMa04
15,Brandin Cooks,28,HOU,WR,16,16,134,90,1037,45,680,7.6,357,4.0,10.5,5,18.0,5,3.7,3,95.9,,CookBr00
16,Amon-Ra St. Brown,22,DET,WR,17,9,119,90,912,48,488,5.4,424,4.7,7.1,2,45.0,1,0.8,2,104.0,,StxxAm00
17,Michael Pittman Jr.,24,IND,WR,17,17,129,88,1082,54,734,8.3,348,4.0,9.8,2,44.0,6,4.7,3,99.7,,PittMi01
18,Jakobi Meyers,25,NWE,WR,17,16,126,83,866,42,644,7.8,222,2.7,9.8,1,83.0,3,2.4,3,81.0,,MeyeJa01
19,Cole Beasley,32,BUF,WR,16,8,112,82,693,34,388,4.7,305,3.7,5.6,0,,5,4.5,3,80.7,,BeasCo00
20,Ja'Marr Chase,21,CIN,WR,17,17,128,81,1455,56,804,9.9,651,8.0,12.6,8,10.1,11,8.6,6,116.5,PBAP-2AP ORoY-1,ChasJa00
21,Darnell Mooney,24,CHI,WR,17,14,140,81,1055,49,674,8.3,381,4.7,11.1,5,16.2,9,6.4,8,67.4,,MoonDa00
22,CeeDee Lamb,22,DAL,WR,16,13,120,79,1102,54,661,8.4,441,5.6,10.3,12,6.6,8,6.7,6,91.0,PB,LambCe00
23,Dalton Schultz,25,DAL,TE,17,15,104,78,808,43,460,5.9,348,4.5,7.1,3,26.0,4,3.8,1,118.6,,SchuDa00
24,Christian Kirk,25,ARI,WR,17,11,103,77,982,44,754,9.8,228,3.0,11.6,1,77.0,6,5.8,2,112.2,,KirkCh01
25,Terry McLaurin,26,WAS,WR,17,17,130,77,1053,47,736,9.6,317,4.1,13.1,4,19.3,5,3.8,4,85.2,,McLaTe00
26,Deebo Samuel,25,SFO,WR,16,15,121,77,1405,51,637,8.3,768,10.0,8.4,13,5.9,10,8.3,4,106.2,PBAP-1,SamuDe00
27,Mike Williams,27,LAC,WR,16,14,129,76,1146,51,731,9.6,415,5.5,11.6,2,38.0,6,4.7,1,108.2,,WillMi07
28,D.K. Metcalf,24,SEA,WR,17,17,129,75,967,48,639,8.5,328,4.4,12.7,8,9.4,4,3.1,2,106.3,,MetcDK00
29,Mike Evans,28,TAM,WR,16,16,114,74,1035,56,776,10.5,259,3.5,13.0,2,37.0,2,1.8,3,122.6,PB,EvanMi00
30,Najee Harris,23,PIT,RB,17,17,94,74,467,22,-32,-0.4,499,6.7,-0.1,17,4.4,7,7.4,0,98.0,PB,HarrNa00
31,Tee Higgins,22,CIN,WR,14,14,110,74,1091,53,801,10.8,290,3.9,12.1,4,18.5,5,4.5,2,110.1,,HiggTe00
32,Zach Ertz,31,2TM,TE,17,14,112,74,763,40,423,5.7,340,4.6,7.6,2,37.0,6,5.4,4,85.5,,ErtzZa00
32,Zach Ertz,31,PHI,TE,6,3,31,18,189,10,103,5.7,86,4.8,8.0,1,18.0,3,9.7,1,83.9,,ErtzZa00
32,Zach Ertz,31,ARI,TE,11,11,81,56,574,30,320,5.7,254,4.5,7.4,1,56.0,3,3.7,3,86.1,,ErtzZa00
33,Mike Gesicki,26,MIA,TE,17,9,112,73,780,39,559,7.7,221,3.0,9.3,1,73.0,3,2.7,3,80.2,,GesiMi00
34,Marvin Jones,31,JAX,WR,17,16,120,73,832,42,700,9.6,132,1.8,11.9,0,,2,1.7,3,82.4,,JoneMa02
35,Tyler Lockett,29,SEA,WR,16,16,107,73,1175,41,898,12.3,277,3.8,14.6,2,36.5,0,0.0,3,117.9,,LockTy00
36,George Kittle,28,SFO,TE,14,14,94,71,910,42,460,6.5,450,6.3,8.3,8,8.9,2,2.1,6,100.0,PB,KittGe00
37,Austin Ekeler,26,LAC,RB,16,16,94,70,647,31,19,0.3,628,9.0,1.8,6,11.7,7,7.4,2,112.3,,EkelAu00
38,Leonard Fournette,26,TAM,RB,14,13,84,69,454,30,5,0.1,449,6.5,0.8,6,11.5,6,7.1,2,87.2,,FourLe00
39,Amari Cooper,27,DAL,WR,15,14,104,68,865,45,630,9.3,235,3.5,11.0,4,17.0,3,2.9,0,116.9,,CoopAm00
40,Noah Fant,24,DEN,TE,16,16,90,68,670,29,361,5.3,309,4.5,6.1,1,68.0,2,2.2,0,110.9,,FantNo00
41,Kyle Pitts,21,ATL,TE,17,15,110,68,1026,43,713,10.5,313,4.6,10.8,3,22.7,6,5.5,5,76.6,PB,PittKy00
42,Tyler Boyd,27,CIN,WR,16,10,94,67,828,37,439,6.6,389,5.8,7.7,2,33.5,0,0.0,4,98.2,,BoydTy00
43,Adam Thielen,31,MIN,WR,13,13,95,67,726,37,487,7.3,239,3.6,9.5,1,67.0,1,1.1,2,119.0,,ThieAd00
44,Russell Gage,25,ATL,WR,14,9,94,66,770,37,516,7.8,254,3.8,9.3,5,13.2,5,5.3,5,86.7,,GageRu00
45,DeVonta Smith,23,PHI,WR,17,16,104,64,916,43,696,10.9,220,3.4,13.9,2,32.0,2,1.9,1,102.1,,SmitDe07
46,A.J. Brown,24,TEN,WR,13,13,105,63,869,45,621,9.9,248,3.9,11.6,2,31.5,8,7.6,2,94.5,,BrowAJ00
47,Laviska Shenault Jr.,23,JAX,WR,16,10,100,63,619,30,230,3.7,389,6.2,5.5,10,6.3,8,8.0,2,72.0,,ShenLa00
48,D'Andre Swift,22,DET,RB,13,4,78,62,452,18,-48,-0.8,500,8.1,0.0,8,7.8,6,7.7,2,88.7,,SwifDA00
49,Tyler Conklin,26,MIN,TE,17,15,87,61,593,26,266,4.4,327,5.4,5.3,0,,3,3.4,0,100.4,,ConkTy00
50,Tyler Higbee,28,LAR,TE,15,15,85,61,560,33,279,4.6,281,4.6,5.3,1,61.0,3,3.5,3,94.2,,HigbTy00
51,T.J. Hockenson,24,DET,TE,12,12,84,61,583,32,384,6.3,199,3.3,7.4,4,15.3,1,1.2,3,92.5,,HockTJ00
52,Pat Freiermuth,23,PIT,TE,16,9,79,60,497,34,250,4.2,247,4.1,5.3,8,7.5,2,2.5,0,121.1,,FreiPa00
53,Cole Kmet,22,CHI,TE,17,17,93,60,612,29,366,6.1,246,4.1,7.8,4,15.0,5,5.4,2,74.3,,KmetCo00
54,Chase Claypool,23,PIT,WR,15,13,105,59,860,35,577,9.8,283,4.8,11.4,4,14.8,5,4.8,3,77.5,,ClayCh01
55,Mecole Hardman,23,KAN,WR,17,8,83,59,693,33,191,3.2,502,8.5,7.4,7,8.4,2,2.4,1,99.1,,HardMe00
56,Courtland Sutton,26,DEN,WR,17,16,98,58,776,35,641,11.1,135,2.3,15.4,1,58.0,3,3.1,3,78.4,,SuttCo00
57,Brandon Aiyuk,23,SFO,WR,17,16,84,56,826,37,479,8.6,347,6.2,9.8,3,18.7,4,4.8,0,118.5,,AiyuBr00
58,Dallas Goedert,26,PHI,TE,15,14,76,56,830,42,444,7.9,386,6.9,8.5,9,6.2,5,6.6,1,121.1,,GoedDa00
59,Kendrick Bourne,26,NWE,WR,17,5,70,55,800,27,415,7.5,385,7.0,8.5,5,11.0,2,2.9,1,132.1,,BourKe00
60,Rob Gronkowski,32,TAM,TE,12,12,89,55,802,34,452,8.2,350,6.4,10.1,9,6.1,5,5.6,0,113.6,,GronRo00
61,Darren Waller,29,LVR,TE,11,11,93,55,665,31,423,7.7,242,4.4,9.8,3,18.3,5,5.4,2,79.4,,WallDa01
62,A.J. Green,33,ARI,WR,16,9,92,54,848,37,667,12.4,181,3.4,12.2,5,10.8,5,5.4,2,91.2,,GreeA.00
63,Josh Jacobs,23,LVR,RB,15,14,64,54,348,14,-43,-0.8,391,7.2,-0.4,9,6.0,5,7.8,1,82.8,,JacoJo01
64,Rondale Moore,21,ARI,WR,14,7,64,54,435,18,-3,-0.1,438,8.1,1.4,2,27.0,1,1.6,2,87.2,,MoorRo02
65,Robbie Chosen,28,CAR,WR,17,16,110,53,519,27,361,6.8,158,3.0,10.5,2,26.5,7,6.4,7,50.5,,AndeRo04
66,Tim Patrick,28,DEN,WR,16,16,85,53,734,39,532,10.0,202,3.8,11.7,2,26.5,3,3.5,2,99.8,,PatrTi00
67,Aaron Jones,27,GNB,RB,15,15,65,52,391,22,-21,-0.4,412,7.9,0.9,4,13.0,3,4.6,0,122.5,,JoneAa00
68,Jarvis Landry,29,CLE,WR,12,12,87,52,570,30,297,5.7,273,5.3,7.9,3,17.3,2,2.3,5,62.9,,LandJa00
69,Cordarrelle Patterson,30,ATL,RB,16,13,69,52,548,26,163,3.1,385,7.4,2.9,7,7.4,1,1.4,1,116.1,,PattCo00
70,Jamison Crowder,28,NYJ,WR,12,4,71,51,447,24,271,5.3,176,3.5,6.2,0,,2,2.8,2,85.8,,CrowJa00
71,Hunter Henry,27,NWE,TE,17,10,75,50,603,34,459,9.2,144,2.9,9.7,1,50.0,0,0.0,2,119.6,,HenrHu00
72,Van Jefferson,25,LAR,WR,17,17,89,50,802,32,586,11.7,216,4.3,13.5,2,25.0,6,6.7,1,104.2,,JeffVa00
73,K.J. Osborn,24,MIN,WR,17,9,82,50,655,26,476,9.5,179,3.6,10.5,1,50.0,2,2.4,3,99.4,,OsboKJ00
74,Myles Gaskin,24,MIA,RB,17,10,63,49,234,13,-16,-0.3,250,5.1,0.5,6,8.2,3,4.8,0,103.3,,GaskMy00
75,Dawson Knox,25,BUF,TE,15,14,71,49,587,31,310,6.3,277,5.7,7.4,3,16.3,4,5.6,1,127.8,,KnoxDa00
76,C.J. Uzomah,28,CIN,TE,16,16,63,49,493,24,193,3.9,300,6.1,4.3,5,9.8,4,6.3,1,119.1,,UzomC.00
77,Jared Cook,34,LAC,TE,16,10,83,48,564,31,326,6.8,238,5.0,8.3,0,,6,7.2,4,74.6,,CookJa02
78,Gerald Everett,27,SEA,TE,15,12,63,48,478,26,229,4.8,249,5.2,5.3,9,5.3,3,4.8,1,111.7,,EverGe00
79,Kalif Raymond,27,DET,WR,16,14,71,48,576,28,314,6.5,262,5.5,10.2,3,16.0,3,4.2,1,105.1,,RaymKa00
80,Ezekiel Elliott,26,DAL,RB,17,17,65,47,287,17,9,0.2,278,5.9,0.5,3,15.7,3,4.6,1,84.6,,ElliEz00
81,Zay Jones,26,LVR,WR,17,9,70,47,546,29,376,8.0,170,3.6,14.0,3,15.7,2,2.9,5,65.5,,JoneZa00
82,Alvin Kamara,26,NOR,RB,13,10,67,47,439,20,7,0.1,432,9.2,1.2,3,15.7,9,13.4,0,112.7,PB,KamaAl00
83,Darrel Williams,26,KAN,RB,17,7,57,47,452,19,17,0.4,435,9.3,1.4,4,11.8,1,1.8,0,111.4,,WillDa10
84,Rashod Bateman,22,BAL,WR,12,4,68,46,515,29,344,7.5,171,3.7,8.8,0,,2,2.9,3,76.5,,BateRa00
85,Braxton Berrios,26,NYJ,WR,16,1,65,46,431,21,189,4.1,242,5.3,5.1,1,46.0,0,0.0,1,92.5,AP-1,BerrBr00
86,Marquez Callaway,23,NOR,WR,17,11,84,46,698,32,554,12.0,144,3.1,12.6,4,11.5,4,4.8,1,101.2,,CallMa01
87,Evan Engram,27,NYG,TE,15,12,73,46,408,21,225,4.9,183,4.0,5.0,0,,6,8.2,2,80.2,,EngrEv00
88,Cedrick Wilson Jr.,26,DAL,WR,16,4,61,45,602,27,348,7.7,254,5.6,9.5,0,,3,4.9,1,130.6,,WilsCe01
89,Robert Woods,29,LAR,WR,9,9,69,45,556,34,358,8.0,198,4.4,8.2,0,,3,4.3,1,103.3,,WoodRo02
90,Mike Davis,28,ATL,RB,17,8,58,44,259,12,-47,-1.1,306,7.0,-0.9,10,4.4,2,3.4,0,89.7,,DaviMi01
91,Odell Beckham Jr.,29,2TM,WR,14,13,82,44,537,27,386,8.8,151,3.4,13.3,1,44.0,2,2.4,3,79.2,,BeckOd00
91,Odell Beckham Jr.,29,CLE,WR,6,6,34,17,232,11,184,10.8,48,2.8,13.9,1,17.0,2,5.9,0,72.2,,BeckOd00
91,Odell Beckham Jr.,29,LAR,WR,8,7,48,27,305,16,202,7.5,103,3.8,12.9,0,,0,0.0,3,84.1,,BeckOd00
92,Chase Edmonds,25,ARI,RB,12,11,53,43,311,11,-13,-0.3,324,7.5,0.6,2,21.5,3,5.7,0,91.1,,EdmoCh00
93,J.D. McKissic,28,WAS,RB,11,3,53,43,397,15,17,0.4,380,8.8,0.5,0,,0,0.0,1,102.6,,McKiJ.00
94,Elijah Moore,21,NYJ,WR,11,6,77,43,538,24,331,7.7,207,4.8,11.7,2,21.5,1,1.3,4,77.7,,MoorEl00
95,Quez Watkins,23,PHI,WR,17,12,62,43,647,25,394,9.2,253,5.9,12.0,5,8.6,1,1.6,3,88.6,,WatkQu00
96,Javonte Williams,21,DEN,RB,17,1,53,43,316,12,-27,-0.6,343,8.0,-0.2,2,21.5,3,5.7,0,110.4,,WillJa10
97,Antonio Brown,33,TAM,WR,7,3,62,42,545,29,355,8.5,190,4.5,11.8,2,21.0,2,3.2,1,109.9,,BrowAn04
