Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
1,Michael Thomas,25,NOR,WR,16,16,147,125,1405,74,891,7.1,514,4.1,7.7,6,20.8,3,2.0,1,124.1,PBAP-1,ThomMi05
2,Zach Ertz,28,PHI,TE,16,16,156,116,1163,66,810,7.0,353,3.0,7.2,3,38.7,5,3.2,5,98.9,PB,ErtzZa00
3,DeAndre Hopkins,26,HOU,WR,16,16,163,115,1572,81,1185,10.3,387,3.4,11.5,5,23.0,2,1.2,3,115.9,PBAP-1AP OPoY-3,HopkDe00
4,Julio Jones,29,ATL,WR,16,16,170,113,1677,80,1229,10.9,448,4.0,14.0,3,37.7,9,5.3,3,106.9,PBAP-2,JoneJu02
5,Adam Thielen,28,MIN,WR,16,16,153,113,1373,74,957,8.5,416,3.7,9.4,3,37.7,3,2.0,2,115.2,PB,ThieAd00
6,Davante Adams,26,GNB,WR,15,15,169,111,1386,64,911,8.2,475,4.3,11.3,4,27.8,5,3.0,0,116.6,PB,AdamDa01
7,JuJu Smith-Schuster,22,PIT,WR,16,13,166,111,1426,67,778,7.0,648,5.8,8.8,7,15.9,6,3.6,4,97.6,PB,SmitJu00
8,Christian McCaffrey,22,CAR,RB,16,16,124,107,867,41,12,0.1,855,8.0,0.7,7,15.3,1,0.8,0,111.9,AP-2,McCaCh01
9,Antonio Brown,30,PIT,WR,15,15,168,104,1297,63,812,7.8,485,4.7,11.3,5,20.8,3,1.8,11,88.3,PB,BrowAn04
10,Travis Kelce,29,KAN,TE,16,16,150,103,1336,68,767,7.4,569,5.5,9.2,7,14.7,7,4.7,3,110.3,PBAP-1,KelcTr00
11,Stefon Diggs,25,MIN,WR,15,14,149,102,1021,49,573,5.6,448,4.4,8.6,4,25.5,3,2.0,2,102.2,,DiggSt00
12,Keenan Allen,26,LAC,WR,16,14,136,97,1196,62,793,8.2,403,4.2,8.6,3,32.3,4,2.9,2,106.7,PB,AlleKe00
13,Saquon Barkley,21,NYG,RB,16,16,121,91,721,30,-47,-0.5,768,8.4,0.1,13,7.0,4,3.3,1,97.2,PBAP ORoY-1,BarkSa00
14,George Kittle,25,SFO,TE,16,16,136,88,1377,60,507,5.8,870,9.9,7.1,9,9.8,5,3.7,3,101.3,PBAP-2,KittGe00
15,Tyreek Hill,24,KAN,WR,16,16,137,87,1479,60,952,10.9,527,6.1,14.8,4,21.8,6,4.4,6,110.9,PBAP-1,HillTy00
16,James White,26,NWE,RB,16,3,123,87,751,38,86,1.0,665,7.6,2.4,3,29.0,5,4.1,1,102.0,,WhitJa02
17,Mike Evans,25,TAM,WR,16,16,138,86,1524,68,1242,14.4,282,3.3,15.6,0,,7,5.1,8,95.2,PB,EvanMi00
18,Robert Woods,26,LAR,WR,16,16,130,86,1219,66,799,9.3,420,4.9,11.4,2,43.0,2,1.5,3,102.1,,WoodRo02
19,Alvin Kamara,23,NOR,RB,15,13,105,81,709,31,67,0.8,642,7.9,1.8,7,11.6,3,2.9,1,103.2,PB,KamaAl00
20,Jarvis Landry,26,CLE,WR,16,14,149,81,976,44,702,8.7,274,3.4,11.0,3,27.0,11,7.4,2,78.0,PB,LandJa00
21,Brandin Cooks,25,LAR,WR,16,16,117,80,1204,56,858,10.7,346,4.3,12.8,4,20.0,0,0.0,2,109.1,,CookBr00
22,Odell Beckham Jr.,26,NYG,WR,12,12,124,77,1052,50,747,9.7,305,4.0,11.5,6,12.8,4,3.2,4,91.9,,BeckOd00
23,Ezekiel Elliott,23,DAL,RB,15,15,95,77,567,22,-9,-0.1,576,7.5,0.3,3,25.7,2,2.1,0,102.1,PBAP-2,ElliEz00
24,Tyler Boyd,24,CIN,WR,14,14,108,76,1028,54,610,8.0,418,5.5,9.3,1,76.0,5,4.6,0,122.0,,BoydTy00
25,T.Y. Hilton,29,IND,WR,14,14,120,76,1270,55,815,10.7,455,6.0,11.2,4,19.0,4,3.3,3,105.2,,HiltT.00
26,Adam Humphries,25,TAM,WR,16,10,105,76,816,48,393,5.2,423,5.6,6.2,7,10.9,5,4.8,1,106.7,,HumpAd00
27,Amari Cooper,24,2TM,WR,15,15,107,75,1005,53,590,7.9,415,5.5,9.7,2,37.5,6,5.6,3,109.8,PB,CoopAm00
27,Amari Cooper,24,LVR,WR,6,6,31,22,280,14,183,8.3,97,4.4,10.0,1,22.0,3,9.7,1,96.2,,CoopAm00
27,Amari Cooper,24,DAL,WR,9,9,76,53,725,39,407,7.7,318,6.0,9.6,1,53.0,3,3.9,2,115.3,,CoopAm00
28,Julian Edelman,32,NWE,WR,12,12,108,74,850,41,502,6.8,348,4.7,7.7,4,18.5,8,7.4,2,102.8,,EdelJu00
29,Golden Tate,30,2TM,WR,15,7,113,74,795,32,368,5.0,427,5.8,6.5,15,4.9,7,6.2,2,90.4,,TateGo00
29,Golden Tate,30,DET,WR,7,4,69,44,517,22,236,5.4,281,6.4,6.1,9,4.9,5,7.2,1,94.9,,TateGo00
29,Golden Tate,30,PHI,WR,8,3,44,30,278,10,132,4.4,146,4.9,7.0,6,5.0,2,4.5,1,83.3,,TateGo00
30,Tarik Cohen,23,CHI,RB,16,7,91,71,725,29,205,2.9,520,7.3,3.6,9,7.9,1,1.1,2,109.0,PBAP-1,CoheTa00
31,Austin Hooper,24,ATL,TE,16,7,88,71,660,30,423,6.0,237,3.3,6.9,4,17.8,4,4.5,1,108.3,PB,HoopAu00
32,Emmanuel Sanders,31,DEN,WR,12,12,98,71,868,37,571,8.0,297,4.2,9.5,6,11.8,3,3.1,2,104.5,,SandEm00
33,Kenny Golladay,25,DET,WR,15,13,119,70,1063,55,713,10.2,350,5.0,12.4,6,11.7,4,3.4,2,95.3,,GollKe00
34,Larry Fitzgerald,35,ARI,WR,16,16,112,69,734,39,529,7.7,205,3.0,9.2,3,23.0,2,1.8,3,87.4,,FitzLa00
35,Jared Cook,31,LVR,TE,16,14,101,68,896,46,553,8.1,343,5.0,8.3,4,17.0,9,8.9,4,98.5,PB,CookJa02
36,Jalen Richard,25,LVR,RB,16,1,81,68,607,23,112,1.6,495,7.3,1.7,3,22.7,3,3.7,0,97.9,,RichJa01
37,Taylor Gabriel,27,CHI,WR,16,11,93,67,688,31,462,6.9,226,3.4,11.1,2,33.5,0,0.0,2,91.2,,GabrTa00
38,Eric Ebron,25,IND,TE,16,8,110,66,750,39,500,7.6,250,3.8,9.5,0,,9,8.2,2,112.3,PB,EbroEr00
39,Mohamed Sanu,29,ATL,WR,16,16,94,66,838,40,437,6.6,401,6.1,8.0,4,16.5,3,3.2,0,111.9,,SanuMo00
40,Sterling Shepard,25,NYG,WR,16,16,107,66,872,47,563,8.5,309,4.7,10.1,1,66.0,5,4.7,2,92.1,,ShepSt00
41,Dede Westbrook,25,JAX,WR,16,9,101,66,717,40,355,5.4,362,5.5,8.0,5,13.2,6,5.9,3,90.2,,WestDe00
42,Cole Beasley,29,DAL,WR,16,4,87,65,672,39,459,7.1,213,3.3,7.4,2,32.5,1,1.1,0,108.0,,BeasCo00
43,Corey Davis,23,TEN,WR,16,16,112,65,891,47,624,9.6,267,4.1,10.3,5,13.0,6,5.4,1,91.8,,DaviCo03
44,Alshon Jeffery,28,PHI,WR,13,13,92,65,843,48,571,8.8,272,4.2,11.0,3,21.7,3,3.3,1,116.3,,JeffAl00
45,Nelson Agholor,25,PHI,WR,16,16,97,64,736,28,386,6.0,350,5.5,9.5,3,21.3,3,3.1,1,98.1,,AghoNe00
46,Calvin Ridley,24,ATL,WR,16,5,92,64,821,39,457,7.1,364,5.7,10.2,0,,10,10.9,2,124.4,,RidlCa00
47,Kyle Rudolph,29,MIN,TE,16,16,82,64,634,32,389,6.1,245,3.8,6.4,1,64.0,1,1.2,1,110.1,,RudoKy00
48,Nyheim Hines,22,IND,RB,16,4,81,63,425,29,76,1.2,349,5.5,2.1,3,21.0,4,4.9,2,86.5,,HineNy00
49,Jordy Nelson,33,LVR,WR,15,14,88,63,739,36,498,7.9,241,3.8,9.2,2,31.5,3,3.4,2,98.6,,NelsJo00
50,Willie Snead,26,BAL,WR,16,10,95,62,651,37,369,6.0,282,4.5,8.1,9,6.9,5,5.3,3,75.4,,SneaWi00
51,Theo Riddick,27,DET,RB,14,3,74,61,384,16,-22,-0.4,406,6.7,0.7,3,20.3,6,8.1,1,82.7,,RiddTh00
52,Danny Amendola,33,MIA,WR,15,15,79,59,575,27,346,5.9,229,3.9,7.5,1,59.0,2,2.5,3,83.0,,AmenDa00
53,Chris Godwin,22,TAM,WR,16,5,95,59,842,48,597,10.1,245,4.2,11.7,2,29.5,3,3.2,2,106.6,,GodwCh00
54,Todd Gurley,24,LAR,RB,14,14,81,59,580,26,-7,-0.1,587,9.9,0.6,8,7.4,7,8.6,1,103.9,PBAP-1AP OPoY-3,GurlTo01
55,Dion Lewis,28,TEN,RB,16,7,67,59,400,13,-77,-1.3,477,8.1,-1.1,8,7.4,2,3.0,1,90.3,,LewiDi00
56,Demaryius Thomas,31,2TM,WR,15,15,89,59,677,36,400,6.8,277,4.7,10.2,2,29.5,6,6.7,2,98.4,,ThomDe03
56,Demaryius Thomas,31,DEN,WR,8,8,56,36,402,21,270,7.5,132,3.7,10.4,1,36.0,6,10.7,2,88.5,,ThomDe03
56,Demaryius Thomas,31,HOU,WR,7,7,33,23,275,15,130,5.7,145,6.3,9.8,1,23.0,0,0.0,0,115.1,,ThomDe03
57,Tyler Lockett,26,SEA,WR,16,14,70,57,965,37,752,13.2,213,3.7,13.6,0,,0,0.0,0,158.3,,LockTy00
58,Zay Jones,23,BUF,WR,16,15,102,56,652,33,510,9.1,142,2.5,12.0,1,56.0,3,2.9,5,76.9,,JoneZa00
59,David Njoku,22,CLE,TE,16,14,88,56,639,27,333,5.9,306,5.5,8.7,6,9.3,6,6.8,3,86.3,,NjokDa00
60,James Conner,23,PIT,RB,13,12,71,55,497,20,-51,-0.9,548,10.0,-0.3,5,11.0,4,5.6,0,100.5,PB,ConnJa00
61,Jimmy Graham,32,GNB,TE,16,12,89,55,636,32,375,6.8,261,4.7,9.5,2,27.5,3,3.4,2,81.5,,GrahJi00
62,D.J. Moore,21,CAR,WR,16,10,82,55,788,33,367,6.7,421,7.7,9.0,9,6.1,3,3.7,3,90.9,,MoorD.00
63,Allen Robinson,25,CHI,WR,13,12,94,55,754,36,538,9.8,216,3.9,12.0,5,11.0,3,3.2,3,85.2,,RobiAl02
64,T.J. Yeldon,25,JAX,RB,14,5,78,55,487,20,37,0.7,450,8.2,0.7,5,11.0,8,10.3,3,87.9,,YeldT.00
65,Trey Burton,27,CHI,TE,16,16,76,54,569,29,379,7.0,190,3.5,8.2,1,54.0,3,3.9,2,107.8,,BurtTr01
66,Michael Crabtree,31,BAL,WR,16,16,100,54,607,35,478,8.9,129,2.4,10.9,1,54.0,9,9.0,2,74.0,,CrabMi00
67,Jordan Reed,28,WAS,TE,13,8,84,54,558,26,327,6.1,231,4.3,6.8,4,13.5,3,3.6,2,81.3,,ReedJo02
68,Kenyan Drake,24,MIA,RB,16,7,73,53,477,23,54,1.0,423,8.0,2.2,2,26.5,6,8.2,0,112.6,,DrakKe00
69,Chester Rogers,24,IND,WR,16,10,72,53,485,28,227,4.3,258,4.9,6.3,1,53.0,5,6.9,1,95.0,,RogeCh02
70,Doug Baldwin,30,SEA,WR,13,13,73,50,618,32,462,9.2,156,3.1,11.4,4,12.5,3,4.1,1,111.6,,BaldDo00
71,Robbie Chosen,25,NYJ,WR,14,9,94,50,752,30,567,11.3,185,3.7,15.7,1,50.0,2,2.1,4,83.3,,AndeRo04
72,Melvin Gordon,25,LAC,RB,12,12,66,50,490,21,-47,-0.9,537,10.7,-0.3,10,5.0,6,9.1,1,110.0,PB,GordMe00
73,David Johnson,27,ARI,RB,16,16,76,50,446,22,61,1.2,385,7.7,0.8,5,10.0,8,10.5,2,83.6,,JohnDa08
74,Vance McDonald,28,PIT,TE,15,14,72,50,610,33,223,4.5,387,7.7,5.3,10,5.0,4,5.6,1,108.0,,McDoVa00
75,Donte Moncrief,25,JAX,WR,16,14,89,48,668,28,416,8.7,252,5.3,12.9,3,16.0,4,4.5,1,84.9,,MoncDo00
76,Rob Gronkowski,29,NWE,TE,13,11,72,47,682,34,500,10.6,182,3.9,12.4,1,47.0,3,4.2,2,98.3,,GronRo00
77,Duke Johnson,25,CLE,RB,16,2,62,47,429,25,55,1.2,374,8.0,2.5,4,11.8,3,4.8,1,103.5,,JohnDu00
78,A.J. Green,30,CIN,WR,9,9,77,46,694,37,531,11.5,163,3.5,12.4,1,46.0,5,6.5,2,104.6,,GreeA.00
79,Evan Engram,24,NYG,TE,11,8,64,45,577,22,189,4.2,388,8.6,5.3,1,45.0,3,4.7,0,113.9,,EngrEv00
80,Seth Roberts,27,LVR,WR,15,7,64,45,494,24,283,6.3,211,4.7,8.9,2,22.5,4,6.3,0,103.3,,RobeSe00
81,Josh Doctson,26,WAS,WR,15,12,78,44,532,31,400,9.1,132,3.0,14.5,2,22.0,3,3.8,5,59.3,,DoctJo00
